query_id,condition,query,answer,avoids_false_confidence,asks_for_clarification,offers_disambiguator
AMB002,no_notice,What is Abdullah's office room?,Abdullah Khondoker's office room is 4F.,0,0,0
AMB002,flat_notice,What is Abdullah's office room?,"There are multiple individuals with the name ""Abdullah"" in the knowledge base. To provide a specific answer, could you please clarify which Abdullah you are referring to?",1,1,0
AMB002,conditioning,What is Abdullah's office room?,"There are multiple individuals with the name ""Abdullah"" in the knowledge base. To provide a specific answer, could you please clarify which Abdullah you are referring to (e.g., Abdullah Khondoker, Abdullah Nayem Wasi Emran, Mirza Abdullah Al Noman, or Dr. Matin Saad Abdullah)?",1,1,1
AMB004,no_notice,What is Abid's office room?,There is no information in the retrieved context about Abid's office room.,1,0,0
AMB004,flat_notice,What is Abid's office room?,I don't have enough information in the retrieved context to answer this question.,0,0,0
AMB004,conditioning,What is Abid's office room?,I'm unable to answer that question as there is no information in the retrieved context about a person named Abid or their office room.,0,0,0
AMB013,no_notice,What is Ahmed's office room?,"The office room for individuals with the surname ""Ahmed"" varies, but some of them can be found in rooms 4P197, 4K72, 4M107, 4K77, 4M130, 4P174, 4L93, and 4L87.",1,0,1
AMB013,flat_notice,What is Ahmed's office room?,"There are multiple individuals with the name ""Ahmed"" in the database, and without knowing which specific person you are referring to, I cannot provide a definitive answer. However, here are the office rooms listed for each of the matching names:

* Sadif Ahmed: 4P197
* Anika Ahmed: 4K72
* Md. Sabbir Ahmed: 4M107
* Sheikh Iftekhar Ahmed: 4P (note that this is a room number without a specific building or floor designation)
* Ateya Ahmed Subarna: 4K77
* Bijoy Ahmed Saiem: 4M130
* Nazmus Sakib Ahmed: 4P174
* Mr. Ahmed Mahir Ruhan: 4L93
* Ahmed Mayeesha Reza Agomoni: 4L87
* Saadat Rafid Ahmed: 4J51
* Mr. Rubayat Ahmed Khan: 4G12

Please let me know which specific person you are referring to so I can provide a more accurate answer.",1,1,1
AMB013,conditioning,What is Ahmed's office room?,"There are multiple individuals with the name ""Ahmed"" in the database, and I need to know which specific person you are referring to in order to provide an accurate answer. Please let me know if you would like me to list all of the matching names explicitly so that you can specify which one you mean.",1,1,0
AMB020,no_notice,What is Alam's office room?,"Alam's, whose name is Dr. Md. Ashraful Alam, office room is 4G24.",0,0,0
AMB020,flat_notice,What is Alam's office room?,"I found multiple individuals with the last name ""Alam"". To provide an accurate answer, could you please specify which of the following individuals you are referring to:

1. Dr. Md. Ashraful Alam (Associate Professor)
2. Dr. Md. Shafiul Alam Shuvo (Contractual Professor)
3. Dr. Md. Golam Rabiul Alam (Professor)

Please let me know, and I will be happy to provide the office room number for the specified individual.",1,1,1
AMB020,conditioning,What is Alam's office room?,"I found multiple individuals with the last name ""Alam"". To provide a specific answer, could you please clarify which of the following individuals you are referring to:

1. Dr. Md. Ashraful Alam (Associate Professor)
2. Dr. Md. Shafiul Alam Shuvo (C. Professor)
3. Dr. Md. Golam Rabiul Alam (Professor)

Please let me know, and I will be happy to provide the office room number for the specified individual.",1,1,1
AMB029,no_notice,What is Anika's office room?,"Anika Islam's office room is 4F, and Anika Tasnim's office room is also 4F. Additionally, Anika Afrin's office room is 4F as well. However, Anika Ahmed's office room is located in a different room number, which is 4K72.",0,0,1
AMB029,flat_notice,What is Anika's office room?,"There are multiple individuals named Anika in the knowledge base, and without further clarification, it is unclear which specific person you are referring to. The matching names are:

1. Anika Islam (Room: 4F)
2. Anika Tasnim (Room: 4F)
3. Anika Afrin (Room: 4F)
4. Anika Ahmed (Room: 4K72)

Please specify which Anika you would like to know the office room for.",1,1,0
AMB029,conditioning,What is Anika's office room?,"Anika Islam, Anika Tasnim, and Anika Afrin all have their offices in Room 4F, but we cannot determine the office room for Anika Ahmed without further information.",1,0,1
AMB032,no_notice,What is Anjum's office room?,Anjum's office room is 4N161.,0,0,0
AMB032,flat_notice,What is Anjum's office room?,Anjum's office room is 4N161.,0,0,0
AMB032,conditioning,What is Anjum's office room?,Anjum's office room is 4N161.,0,0,0
AMB041,no_notice,What is Arif's office room?,I don't have enough information in the retrieved context to answer what Arif's office room is.,1,0,0
AMB041,flat_notice,What is Arif's office room?,I'm unable to answer this question as there is no information in the retrieved context about a person named Arif or their office room.,0,0,0
AMB041,conditioning,What is Arif's office room?,I'm unable to answer this question as there is no information in the retrieved context about a person named Arif or their office room.,0,0,0
AMB049,no_notice,What is Ashikur's office room?,"Ashikur's office room is 4P, as indicated in the context for Md Ashikur Rahman Any.",0,0,0
