query_id,config,query,reference_answer,generated_answer,abstained,graph_augmented,bleu,rougeL,meteor,bertscore
Q105,graph_on,What is the full prerequisite chain for PHY112?,The full prerequisite chain for PHY112 is PHY111.,The full prerequisite chain for PHY112 is PHY111.,False,True,1.0,1.0,0.9993141289437586,1.0
Q107,graph_on,What is the full prerequisite chain for CSE310?,The full prerequisite chain for CSE310 is CSE370-CSE221-CSE220-CSE111-CSE230-CSE110.,The full prerequisite chain for CSE310 is CSE370-CSE221-CSE220-CSE111-CSE230-CSE110.,False,True,1.0,1.0,0.9993141289437586,0.9999998807907104
Q109,graph_on,What is the full prerequisite chain for MAT216?,The full prerequisite chain for MAT216 is MAT120-MAT110.,The full prerequisite chain for MAT216 is MAT120-MAT110.,False,True,1.0,1.0,0.9993141289437586,1.0
Q110,graph_on,What is the full prerequisite chain for CSE460?,The full prerequisite chain for CSE460 is CSE260-CSE251-CSE250-PHY112-PHY111.,The full prerequisite chain for CSE460 is CSE260-CSE251-CSE250-PHY112-PHY111.,False,True,1.0,1.0,0.9993141289437586,0.9999998211860657
Q113,graph_on,What is the full prerequisite chain for ENG102?,The full prerequisite chain for ENG102 is ENG101.,The full prerequisite chain for ENG102 is ENG101.,False,True,1.0,1.0,0.9993141289437586,1.0
Q120,graph_on,What is the full prerequisite chain for CSE340?,The full prerequisite chain for CSE340 is CSE260-CSE251-CSE250-PHY112-PHY111.,The full prerequisite chain for CSE340 is CSE260-CSE251-CSE250-PHY112-PHY111.,False,True,1.0,1.0,0.9993141289437586,0.9999999403953552
Q121,graph_on,What is the full prerequisite chain for CSE471?,The full prerequisite chain for CSE471 is CSE370-CSE221-CSE220-CSE111-CSE230-CSE110.,The full prerequisite chain for CSE471 is CSE370-CSE221-CSE220-CSE111-CSE230-CSE110.,False,True,1.0,1.0,0.9993141289437586,1.0
Q122,graph_on,What is the full prerequisite chain for CSE260?,The full prerequisite chain for CSE260 is CSE251-CSE250-PHY112-PHY111.,The full prerequisite chain for CSE260 is CSE251-CSE250-PHY112-PHY111.,False,True,1.0,1.0,0.9993141289437586,0.9999999403953552
Q124,graph_on,What is the full prerequisite chain for CSE341?,The full prerequisite chain for CSE341 is CSE340-CSE321-CSE260-CSE221-CSE251-CSE220-CSE250-CSE111-CSE230-PHY112-CSE110-PHY111.,The full prerequisite chain for CSE341 is CSE340-CSE321-CSE260-CSE221-CSE251-CSE220-CSE250-CSE111-CSE230-PHY112-CSE110-PHY111.,False,True,1.0,1.0,0.9993141289437586,1.0
Q127,graph_on,What is the full prerequisite chain for CSE220?,The full prerequisite chain for CSE220 is CSE111-CSE230-CSE110.,The full prerequisite chain for CSE220 is CSE111-CSE230-CSE110.,False,True,1.0,1.0,0.9993141289437586,0.9999998807907104
Q129,graph_on,What is the full prerequisite chain for CSE421?,The full prerequisite chain for CSE421 is CSE320.,The full prerequisite chain for CSE421 is CSE320.,False,True,1.0,1.0,0.9993141289437586,1.000000238418579
Q130,graph_on,What is the full prerequisite chain for CSE221?,The full prerequisite chain for CSE221 is CSE220-CSE111-CSE230-CSE110.,The full prerequisite chain for CSE221 is CSE220-CSE111-CSE230-CSE110.,False,True,1.0,1.0,0.9993141289437586,0.9999999403953552
QGX001,graph_on,What is the full prerequisite chain for CSE251?,The full prerequisite chain for CSE251 is CSE250-PHY112-PHY111.,The full prerequisite chain for CSE251 is CSE250-PHY112-PHY111.,False,True,1.0,1.0,0.9993141289437586,0.9999999403953552
QGX002,graph_on,What is the full prerequisite chain for CSE321?,The full prerequisite chain for CSE321 is CSE221-CSE220-CSE111-CSE230-CSE110.,The full prerequisite chain for CSE321 is CSE221-CSE220-CSE111-CSE230-CSE110.,False,True,1.0,1.0,0.9993141289437586,0.9999997615814209
QGX003,graph_on,What is the full prerequisite chain for CSE330?,The full prerequisite chain for CSE330 is MAT216-MAT120-MAT110.,The full prerequisite chain for CSE330 is MAT216-MAT120-MAT110.,False,True,1.0,1.0,0.9993141289437586,1.0000001192092896
QGX004,graph_on,What is the full prerequisite chain for CSE331?,The full prerequisite chain for CSE331 is CSE221-CSE220-CSE111-CSE230-CSE110.,The full prerequisite chain for CSE331 is CSE221-CSE220-CSE111-CSE230-CSE110.,False,True,1.0,1.0,0.9993141289437586,1.0
QGX005,graph_on,What is the full prerequisite chain for CSE350?,The full prerequisite chain for CSE350 is CSE251-CSE250-PHY112-PHY111.,The full prerequisite chain for CSE350 is CSE251-CSE250-PHY112-PHY111.,False,True,1.0,1.0,0.9993141289437586,0.9999999403953552
QGX006,graph_on,What is the full prerequisite chain for CSE360?,The full prerequisite chain for CSE360 is CSE341-CSE340-CSE321-CSE260-CSE221-CSE251-CSE220-CSE250-CSE111-CSE230-PHY112-CSE110-PHY111.,The full prerequisite chain for CSE360 is CSE341-CSE340-CSE321-CSE260-CSE221-CSE251-CSE220-CSE250-CSE111-CSE230-PHY112-CSE110-PHY111.,False,True,1.0,1.0,0.9993141289437586,0.9999998807907104
QGX007,graph_on,What is the full prerequisite chain for CSE370?,The full prerequisite chain for CSE370 is CSE221-CSE220-CSE111-CSE230-CSE110.,The full prerequisite chain for CSE370 is CSE221-CSE220-CSE111-CSE230-CSE110.,False,True,1.0,1.0,0.9993141289437586,0.9999998807907104
QGX008,graph_on,What is the full prerequisite chain for CSE391?,The full prerequisite chain for CSE391 is CSE370-CSE221-CSE220-CSE111-CSE230-CSE110.,The full prerequisite chain for CSE391 is CSE370-CSE221-CSE220-CSE111-CSE230-CSE110.,False,True,1.0,1.0,0.9993141289437586,1.0
QGX009,graph_on,What is the full prerequisite chain for CSE410?,The full prerequisite chain for CSE410 is CSE321-CSE221-CSE220-CSE111-CSE230-CSE110.,The full prerequisite chain for CSE410 is CSE321-CSE221-CSE220-CSE111-CSE230-CSE110.,False,True,1.0,1.0,0.9993141289437586,0.9999999403953552
QGX010,graph_on,What is the full prerequisite chain for CSE420?,The full prerequisite chain for CSE420 is CSE321-CSE331-CSE340-CSE221-CSE260-CSE220-CSE251-CSE111-CSE230-CSE250-CSE110-PHY112-PHY111.,The full prerequisite chain for CSE420 is CSE321-CSE331-CSE340-CSE221-CSE260-CSE220-CSE251-CSE111-CSE230-CSE250-CSE110-PHY112-PHY111.,False,True,1.0,1.0,0.9993141289437586,0.9999998211860657
