query_id,config,query,reference_answer,generated_answer
Q001,full_hybrid_baseline,How are meal plans managed at TARC?,"Tarc provides 3 main meals breakfast,lunch and dinner and two snack time followed by them.Breakfast time continues from 7-9 am, lunch time continues from 12:30-3 pm,dinner continues from 8:30-10 pm followed by snacks time which are from 11-12 am and 4-5 pm colleectively","Meal plans are managed at TARC by providing three main meals - breakfast, lunch, and dinner - and two snack times that follow them. Breakfast time continues from 7-9 am, lunch time continues from 12:30-3 pm, dinner continues from 8:30-10 pm, followed by snacks time which are from 11-12 am and 4-5 pm collectively."
Q001,full_hybrid_trf_rerank,How are meal plans managed at TARC?,"Tarc provides 3 main meals breakfast,lunch and dinner and two snack time followed by them.Breakfast time continues from 7-9 am, lunch time continues from 12:30-3 pm,dinner continues from 8:30-10 pm followed by snacks time which are from 11-12 am and 4-5 pm colleectively","Meal plans at TARC are managed by providing 3 main meals - breakfast, lunch, and dinner - and two snack times that follow them. Breakfast time continues from 7-9 am, lunch time from 12:30-3 pm, dinner from 8:30-10 pm, followed by snacks from 11-12 am and 4-5 pm collectively."
Q002,full_hybrid_baseline,Reason for late fee appearing on pay slip of scholarship recipients after 29 June 2025?,The fee appears temporarily and will be waived automatically once the scholarship is adjusted.,The reason for a late fee appearing on the pay slip of scholarship recipients after 29 June 2025 is that the fee appears temporarily and will be waived automatically once the scholarship is adjusted.
Q002,full_hybrid_trf_rerank,Reason for late fee appearing on pay slip of scholarship recipients after 29 June 2025?,The fee appears temporarily and will be waived automatically once the scholarship is adjusted.,The reason for the late fee appearing on the pay slip of scholarship recipients after 29 June 2025 is that the fee appears temporarily and will be waived automatically once the scholarship is adjusted.
Q003,full_hybrid_baseline,When is the next intake for the undergraduate program?,"BRAC University admits new undergraduates three times a year - Spring (classes start January), Summer (May), and Fall (September). The exact application deadline and admission test date for the next intake are published on the Admissions page (bracu.ac.bd/admissions) closer to that semester.","BRAC University admits new undergraduates three times a year - Spring (classes start January), Summer (May), and Fall (September). The exact application deadline and admission test date for the next intake are published on the Admissions page (bracu.ac.bd/admissions) closer to that semester."
Q003,full_hybrid_trf_rerank,When is the next intake for the undergraduate program?,"BRAC University admits new undergraduates three times a year - Spring (classes start January), Summer (May), and Fall (September). The exact application deadline and admission test date for the next intake are published on the Admissions page (bracu.ac.bd/admissions) closer to that semester.","BRAC University admits new undergraduates three times a year - Spring (classes start January), Summer (May), and Fall (September). The exact application deadline and admission test date for the next intake are published on the Admissions page (bracu.ac.bd/admissions) closer to that semester."
Q004,full_hybrid_baseline,Can you tell me what the minimum and maximum number of group members for a thesis/project is?,A thesis/project group must have a minimum of 1 member and a maximum of 5 members.,A thesis/project group must have a minimum of 1 member and a maximum of 5 members.
Q004,full_hybrid_trf_rerank,Can you tell me what the minimum and maximum number of group members for a thesis/project is?,A thesis/project group must have a minimum of 1 member and a maximum of 5 members.,A thesis/project group must have a minimum of 1 member and a maximum of 5 members.
Q005,full_hybrid_baseline,Before I forget to ask — what should students do if they have a scheduling conflict with their exams?,"The first step is to inform the course instructor about the conflict as soon as possible. If the conflict involves multiple exams or cannot be resolved with the instructor, students should consult their department office. The department can provide additional support or coordinate with other instructors to find a solution.","The first step is to inform the course instructor about the conflict as soon as possible. If the conflict involves multiple exams or cannot be resolved with the instructor, students should consult their department office. The department can provide additional support or coordinate with other instructors to find a solution."
Q005,full_hybrid_trf_rerank,Before I forget to ask — what should students do if they have a scheduling conflict with their exams?,"The first step is to inform the course instructor about the conflict as soon as possible. If the conflict involves multiple exams or cannot be resolved with the instructor, students should consult their department office. The department can provide additional support or coordinate with other instructors to find a solution.","The first step is to inform the course instructor about the conflict as soon as possible. If the conflict involves multiple exams or cannot be resolved with the instructor, students should consult their department office. The department can provide additional support or coordinate with other instructors to find a solution."
Q006,full_hybrid_baseline,Where is the EEE Department?,The EEE Department is located on the 4th floor and the labs are on 11th and 12th.,The EEE Department is located on the 4th floor and the labs are on 11th and 12th.
Q006,full_hybrid_trf_rerank,Where is the EEE Department?,The EEE Department is located on the 4th floor and the labs are on 11th and 12th.,The EEE Department is located on the 4th floor and the labs are on 11th and 12th.
