query_id,config,lambda,query,reference_answer,retrieved_context,generated_answer,retrieval_s,generation_s,total_s,timestamp,query_confidence,bleu,rougeL,meteor,bertscore
BQ001,full_hybrid,0.5,TARC e student der ki ki amenities ar facility deya hoy?,"Tarc provides students of BRAC a residential campus where they experience to live with their fellow classmates.Tarc also provides students the importance of time dynamics ,punctuality and basic manners like to respect others work.Tarc also tries to make students do their own work by themselves.","Question (Banglish): TARC e student der ki ki amenities ar facility deya hoy?
Answer (English): Tarc provides students of BRAC a residential campus where they experience to live with their fellow classmates.Tarc also provides students the importance of time dynamics ,punctuality and basic manners like to respect others work.Tarc also tries to make students do their own work by themselves.

Question (Banglish): TARC e student der jonno ki ki academic resource ache?
Answer (English): There is vast library in Tarc which holds a collection of huge number of books.Also there is a stationary shop where notebooks and other mecessary stuffs are sold

Question (Banglish): TARC e dining er ki ki facility ache?
Answer (English): Tripti a three storied building is for dining. it provides Breakfast, Lunch dinner and also morning and evening snacks

Question (Banglish): Savar campus e ki ki academic ar welfare facility ache?
Answer (English): The Residential Campus has classrooms, conference rooms, a library with reading areas, computer labs, dormitories, dining halls, an auditorium, and outdoor sports grounds. It also has a resident doctor and nurse (with an arrangement with a local hospital for emergencies), male and female full-time psychosocial counsellors, and facilities for football, cricket, table tennis, carom, handball, volleyball and badminton (students bring their own equipment).

Question (Banglish): TARC e ki ki type er accommodation ache?
Answer (English): They provide a room where each get a bed, study table and half almirah. Usually one room can accomodate 4 students. The room has a decent washroom. There are multiple common washroom in every floor","Tarc provides students of BRAC a residential campus where they experience to live with their fellow classmates, as well as other facilities and amenities such as the importance of time dynamics, punctuality, and basic manners like respecting others' work.",0.0471,17.3926,17.4398,2026-07-27T10:18:04.311786+00:00,0.3638,0.5021766519260877,0.6976744186046512,0.6262102066236321,0.938766598701477
BQ002,full_hybrid,0.5,Pre-Registration phase er por course selection kobe confirm korte hobe?,During the Self-Registration period assigned after result publication,"Question (Banglish): Pre-Registration phase er por course selection kobe confirm korte hobe?
Answer (English): During the Self-Registration period assigned after result publication

Question (Banglish): Pre-Registration Phase 2 er starting date ta kobe?
Answer (English): You will be emailed by the registrar.

Question (Banglish): Shomoy moto Wishlist confirm korte na parle student er ki hoy?
Answer (English): Student will not be considered a participant and cannot register in Pre-Registration Phase 1

Question (Banglish): Slot time er modhye Wishlist confirm korar impact ki?
Answer (English): Ensures eligibility for Pre-Registration Phase 1 and contributes to course planning

Question (Banglish): Wishlist participation miss korle ekjon student ki register korte parbe?
Answer (English): Yes, but only during Pre-Registration Phase 2 or Self Registration, with limited course availability",During the Self-Registration period assigned after result publication.,0.0291,3.8939,3.923,2026-07-27T10:18:08.235768+00:00,0.4119,0.8633400213704505,1.0,0.9866898148148149,0.9889206290245056
BQ003,full_hybrid,0.5,"BRAC University bochore koyta semester chalay, ar kobe shuru hoy?","BRAC University runs three semesters a year - Spring, Summer and Fall - starting in January, May and September respectively. Pharmacy admits in Spring or Summer, and LLB admits in Spring or Fall.","Question (Banglish): BRAC University bochore koyta semester chalay, ar kobe shuru hoy?
Answer (English): BRAC University runs three semesters a year - Spring, Summer and Fall - starting in January, May and September respectively. Pharmacy admits in Spring or Summer, and LLB admits in Spring or Fall.

Question (Banglish): BRAC University protibochor koyta semester chalay, ar segula ke ki bola hoy?
Answer (English): BRAC University follows a semester-based system with three equal semesters each year: Spring, Summer, and Fall.

Question (Banglish): BRACU te bochore koyta semester hoy, ar segula kobe shuru hoy?
Answer (English): BRACU offers 3 semesters a year: Spring, Summer & Fall, and these start in January, May & September respectively.
For Pharmacy & LLB: BRACU offers admission for Pharmacy & LLB department twice a year. You can apply in for Pharmacy: Spring or Summer semester and for LLB: Spring or Fall. The classes start from January and July for Pharmacy. January and September for LLB accordingly.
Tentative Schedule - Admission Tests:
Semester
1st Intake
2nd Intake
Spring
November
December
Summer
March
April
Fall
July
August

Question (Banglish): Eta kobe shuru hoy?
Answer (English): Could you clarify what you're asking about - a specific semester, an event, the Residential Semester? Happy to help once I know which one.

Question (Banglish): BRAC University er Department of Architecture kobe shuru hoyechilo, ar er typical intake koto?
Answer (English): The department started in Spring 2002 with 15 students and 3 faculty members. Admission is competitive and intake has historically been limited to around 25-30 students per year to maintain close studio supervision.","BRAC University runs three semesters a year - Spring, Summer and Fall - starting in January, May and September respectively.",0.0311,5.4025,5.4336,2026-07-27T10:18:13.669787+00:00,0.186,0.5209121273117441,0.7346938775510204,0.5590801978403294,0.9622128009796143
BQ004,full_hybrid,0.5,Amar vehicle ta kothay park korte hobe?,You can park your vehicle at basement-2.,"Question (Banglish): Amar vehicle ta kothay park korte hobe?
Answer (English): You can park your vehicle at basement-2.

Question (Banglish): Ami koto shomoy campus e amar vehicle park korte pari?
Answer (English): As long as you're paying the parking fee

Question (Banglish): Driver driven car parking er payment koto?
Answer (English): For driver-driven vehicles: registered vehicles pay Tk 5,000 per semester; non-registered vehicles pay Tk 60 for the first 4 hours and Tk 20 for each additional hour.

Question (Banglish): Motorcycle parking er payment koto?
Answer (English): For Registered vehicles it's 1500Tk per semester and for non-registered vehicles it's Tk 30 for first 4 hours Tk 10 for every additional hour.

Question (Banglish): Official transport service inquiry er jonno kake contact korte hobe?
Answer (English): Official inquiries should be directed to Md Lutfor Rahman (01711-859787) or Mijan Hosen (01827-407161).",You can park your vehicle at basement-2.,0.0238,3.831,3.8548,2026-07-27T10:18:17.524802+00:00,0.3199,1.0,1.0,0.9990234375,1.0
BQ005,full_hybrid,0.5,Exam hall e student der koto age ashte hobe?,Students should aim to arrive at the exam hall at least 15 to 30 minutes before the scheduled start time of their exam.,"Question (Banglish): Exam hall e student der koto age ashte hobe?
Answer (English): Students should aim to arrive at the exam hall at least 15 to 30 minutes before the scheduled start time of their exam.

Question (Banglish): Badda campus e amar age theke ENG102 kora ache, tahole TARC e amake kon course deya hobe?
Answer (English): If you completed ENG102 already, you will be given BUS201 at TARC.

Question (Banglish): RS er final exam e boste hole koto percent attendance lagbe?
Answer (English): Students must attend at least 90 percent of classes to be eligible to sit for the final examinations at the Residential Campus.

Question (Banglish): Final exam e boste hole minimum koto class attendance lagbe?
Answer (English): Under the general course-teaching guidelines, a student must attend at least 70% of total classes (including tutorials and labs) to be allowed to sit for the final exam in that course.

Question (Banglish): Gato semester er exam e ami pass korechi ki?
Answer (English): I can't see individual grades, unfortunately. Your results should be in Connect - if they're not showing, the Office of the Controller of Examinations can help.",Students should aim to arrive at the exam hall at least 15 to 30 minutes before the scheduled start time of their exam.,0.0251,5.5693,5.5944,2026-07-27T10:18:23.120004+00:00,0.4684,1.0,1.0,0.9999638310185185,1.0
BQ006,full_hybrid,0.5,Print korar jonno jaiga gula thik kon kon jaygay ache?,"Level-12:

Level-12, Zone-B, Adjacent to Room No: 12B-15L

Level-12, Zone-D, Adjacent to Room No: 12D-25L

Level-12, Zone-F, Room No: 12F-31L

Level-12, Zone-F, Room No: 12F-32L

Level-11:

Level-11, Zone-A, Room No: 11A-03L

Level-11, Zone-B, Adjacent to Room No: 11B-15L

Level-11, Zone-B, Adjacent to Room No: 11B-16L

Level-11, Zone-D, Adjacent to Room No: 11D-27L

Level-11, Zone-F, Adjacent to Room No: 11F-34L

Level-10:

Level-10, Zone-B, Adjacent to Room No: 10B-11L

Level-10, Zone-D, Adjacent to Room No: 10D-22L

Level-10, Zone-F, Adjacent to Room No: 10F-28L

Level-09:

Level-09, Zone-B, Adjacent to Room No: 09B-09L

Level-09, Zone-D, Adjacent to Room No: 09D-17C

Level-09, Zone-F, Adjacent to Room No: 09F-25L

Level-08:

Level-08, Zone-B, Adjacent to Room No: 08B-08C

Level-08, Zone-D, Adjacent to Room No: 08D-12C

Level-08, Zone-F, Adjacent to Room No: 08F-19C

Level-07:

Level-07, Block-F, Adjacent to Room No: 07F-22C

Level-07, Zone-D, Adjacent to Room No: 07D-19C

Facilities Tower:

Facilities Tower, 10th Floor, Waiting Room","Question (Banglish): Print korar jonno jaiga gula thik kon kon jaygay ache?
Answer (English): Level-12:

Level-12, Zone-B, Adjacent to Room No: 12B-15L

Level-12, Zone-D, Adjacent to Room No: 12D-25L

Level-12, Zone-F, Room No: 12F-31L

Level-12, Zone-F, Room No: 12F-32L

Level-11:

Level-11, Zone-A, Room No: 11A-03L

Level-11, Zone-B, Adjacent to Room No: 11B-15L

Level-11, Zone-B, Adjacent to Room No: 11B-16L

Level-11, Zone-D, Adjacent to Room No: 11D-27L

Level-11, Zone-F, Adjacent to Room No: 11F-34L

Level-10:

Level-10, Zone-B, Adjacent to Room No: 10B-11L

Level-10, Zone-D, Adjacent to Room No: 10D-22L

Level-10, Zone-F, Adjacent to Room No: 10F-28L

Level-09:

Level-09, Zone-B, Adjacent to Room No: 09B-09L

Level-09, Zone-D, Adjacent to Room No: 09D-17C

Level-09, Zone-F, Adjacent to Room No: 09F-25L

Level-08:

Level-08, Zone-B, Adjacent to Room No: 08B-08C

Level-08, Zone-D, Adjacent to Room No: 08D-12C

Level-08, Zone-F, Adjacent to Room No: 08F-19C

Level-07:

Level-07, Block-F, Adjacent to Room No: 07F-22C

Level-07, Zone-D, Adjacent to Room No: 07D-19C

Facilities Tower:

Facilities Tower, 10th Floor, Waiting Room

Question (Banglish): International Student der jonno kon kon Scholarship ache?
Answer (English): Merit Scholarship Based on BracU Academic Results and BRAC Scholarship (A Needs Based Scholarship) are available for the International students.

Question (Banglish): CGPA ta thik kon niyome calculate kora hoy?
Answer (English): To calculate your CGPA, simply sum all your GPAs for each semester and divide it by the sum of the Total Credit Units (TCU) for each semester

Question (Banglish): Request korar jonno kon dorm room shobcheye bhalo?
Answer (English): Room-by-room comparisons aren't something I have data on. The Residential Semester handbook covers general allocation rules, but room-level preferences are better discussed with the dorm supervisor directly.

Question (Banglish): Section change korte hole thik kon niyom follow korte hobe?
Answer (English): If you are already enrolled in a section then your request will be rejected by DCO due to the policies set by department.","The locations where printing can be done are Level-12, Zone-B, Adjacent to Room No: 12B-15L; Level-12, Zone-D, Adjacent to Room No: 12D-25L; Level-12, Zone-F, Room No: 12F-31L; Level-12, Zone-F, Room No: 12F-32L; and several other locations listed below.",0.0362,13.3352,13.3714,2026-07-27T10:18:36.491806+00:00,0.0387,0.029157606232824287,0.2727272727272727,0.10376703064286066,0.8333969712257385
BQ007,full_hybrid,0.5,EEE Department kothay?,The EEE Department is located on the 4th floor and the labs are on 11th and 12th.,"Question (Banglish): EEE Department kothay?
Answer (English): The EEE Department is located on the 4th floor and the labs are on 11th and 12th.

Question (Banglish): EEE department er printing Lab kothay?
Answer (English): The EEE Department's printing lab is on 12B-17L

Question: Where is the EEE Department?
Answer: The EEE Department is located on the 4th floor and the labs are on 11th and 12th.

Question (Banglish): ENH Department kothay?
Answer (English): The ENH Department is located on the 5th floor.

Question (Banglish): EEE/ECE student ra tader program er official course listing ar prerequisite sequence kothay pabe?
Answer (English): EEE and ECE students can access the official course listing, prerequisites and recommended course sequence documents through department-shared drive links (requiring their BRACU email for access), which are also referenced in the department's official FAQ document under 'Necessary Documents'.",The EEE Department is located on the 4th floor and the labs are on 11th and 12th.,0.0186,5.2381,5.2567,2026-07-27T10:18:41.748665+00:00,0.1079,1.0,1.0,0.9999142661179699,1.0000001192092896
BQ008,full_hybrid,0.5,Summer 2025 er Wishlist event er purpose ki?,To help plan course offerings based on student demand,"Question (Banglish): Summer 2025 er Wishlist event er purpose ki?
Answer (English): To help plan course offerings based on student demand

Question: Purpose of the Wishlist event for Summer 2025?
Answer: To help plan course offerings based on student demand

Question (Banglish): Protita semester e advising phase shuru kora event er naam ki?
Answer (English): Wishlist event, the schedule will be mailed by the registrar.

Question (Banglish): Kon group er student der Wishlist event e participate korar requirement nei?
Answer (English): Students who are eligible for residential semester in the upcoming semester.

Question (Banglish): Ke Wishlist event e participate korte hobe?
Answer (English): All undergraduate students attending upcoming, excluding RS-eligible students and LLB, PHR students",To help plan course offerings based on student demand.,0.0305,3.7714,3.8019,2026-07-27T10:18:45.551021+00:00,0.1521,0.8801117367933934,1.0,0.9883326549993218,0.9958562850952148
BQ009,full_hybrid,0.5,Transport service e change hole student der kivabe janano hoy?,Students are informed through official BRAC University notices and announcements.,"Question (Banglish): Transport service e change hole student der kivabe janano hoy?
Answer (English): Students are informed through official BRAC University notices and announcements.

Question (Banglish): Student ra transport service e problem hole kivabe report korbe?
Answer (English): Students can report issues by calling the designated route-specific numbers or reaching out to transport officers.

Question (Banglish): Student ra transport service ke kivabe contact korbe?
Answer (English): Students can contact the transport service via designated phone numbers.

Question (Banglish): Student ra ki transport service er jonno notun route suggest korte pare?
Answer (English): Suggestions for new routes can be submitted to the transport office for review.

Question (Banglish): Ashche semester gula te transport schedule change hobe ki?
Answer (English): The transport schedule is subject to change based on academic schedules and operational needs. Updated schedules will be communicated by the university.",Students are informed through official BRAC University notices and announcements.,0.0276,3.8435,3.8711,2026-07-27T10:18:49.422235+00:00,0.3318,1.0,1.0,0.9996243425995492,1.0000001192092896
BQ010,full_hybrid,0.5,Ke Wishlist event e participate korte hobe?,"All undergraduate students attending upcoming, excluding RS-eligible students and LLB, PHR students","Question (Banglish): Ke Wishlist event e participate korte hobe?
Answer (English): All undergraduate students attending upcoming, excluding RS-eligible students and LLB, PHR students

Question (Banglish): Wishlist event e course select korar por ki korte hobe?
Answer (English): Press the ""Confirm"" button within the assigned slot time

Question (Banglish): Wishlist event e participate na korle ki consequence hoy?
Answer (English): Student will not be allowed to register during Pre-Registration Phase 1

Question (Banglish): Kon group er student der Wishlist event e participate korar requirement nei?
Answer (English): Students who are eligible for residential semester in the upcoming semester.

Question (Banglish): Wishlist event ekta course er offer kora section shonkha ke kivabe influence kore?
Answer (English): Course demand collected from Wishlist submissions is used to determine the number of sections needed","All undergraduate students attending the upcoming semester, excluding RS-eligible students and LLB, PHR students will be able to participate in the Wishlist event.",0.0214,5.5741,5.5955,2026-07-27T10:18:55.018256+00:00,0.2364,0.4055105980173464,0.7027027027027027,0.9165212137486574,0.9300753474235535
