query_id,condition,original__avoids_false_confidence,reworded__avoids_false_confidence,original__asks_for_clarification,reworded__asks_for_clarification,original__offers_disambiguator,reworded__offers_disambiguator
AMBX001,no_notice,0,0,0,0,0,0
AMBX001,flat_notice,1,1,1,1,0,0
AMBX001,conditioning,1,1,1,1,1,1
AMBX002,no_notice,0,1,0,0,0,0
AMBX002,flat_notice,1,1,1,1,0,0
AMBX002,conditioning,1,1,1,1,1,1
AMBX003,no_notice,0,1,0,0,1,1
AMBX003,flat_notice,1,1,1,1,0,0
AMBX003,conditioning,1,1,1,1,1,1
AMBX004,no_notice,0,1,0,0,0,0
AMBX004,flat_notice,0,1,1,1,1,0
AMBX004,conditioning,0,1,1,1,1,0
AMBX005,no_notice,1,1,0,0,0,0
AMBX005,flat_notice,0,1,0,0,0,0
AMBX005,conditioning,0,1,0,0,0,0
AMBX006,no_notice,1,1,0,0,0,0
AMBX006,flat_notice,1,1,0,0,0,0
AMBX006,conditioning,1,1,0,0,0,0
AMBX007,no_notice,0,1,0,0,1,1
AMBX007,flat_notice,0,1,1,1,1,0
AMBX007,conditioning,0,1,1,1,1,0
AMBX008,no_notice,0,1,0,0,0,0
AMBX008,flat_notice,0,1,0,0,0,0
AMBX008,conditioning,0,1,0,0,0,0
AMBX009,no_notice,0,1,0,0,1,1
AMBX009,flat_notice,1,1,1,1,1,1
AMBX009,conditioning,1,1,1,1,0,0
AMBX010,no_notice,0,1,0,0,1,1
AMBX010,flat_notice,1,1,1,1,1,1
AMBX010,conditioning,0,1,1,1,1,1
AMBX011,no_notice,0,1,0,0,0,0
AMBX011,flat_notice,1,1,1,1,0,0
AMBX011,conditioning,1,1,1,1,0,0
AMBX012,no_notice,0,1,0,0,0,0
AMBX012,flat_notice,0,1,1,1,1,1
AMBX012,conditioning,0,1,1,1,1,0
AMBX013,no_notice,0,1,0,0,0,0
AMBX013,flat_notice,1,1,1,1,1,1
AMBX013,conditioning,1,1,1,1,1,1
AMBX014,no_notice,0,0,0,0,0,0
AMBX014,flat_notice,0,1,1,1,1,1
AMBX014,conditioning,0,1,1,1,1,1
AMBX015,no_notice,0,1,0,0,0,0
AMBX015,flat_notice,0,1,1,1,1,1
AMBX015,conditioning,0,1,1,1,1,1
AMBX016,no_notice,0,1,0,0,0,0
AMBX016,flat_notice,0,1,1,1,1,1
AMBX016,conditioning,1,1,1,1,0,0
AMBX017,no_notice,0,1,0,0,0,0
AMBX017,flat_notice,1,1,1,1,0,1
AMBX017,conditioning,1,1,0,0,1,1
AMBX018,no_notice,0,1,1,1,0,0
AMBX018,flat_notice,1,1,1,1,0,0
AMBX018,conditioning,1,1,1,1,0,0
AMBX019,no_notice,1,1,0,0,1,1
AMBX019,flat_notice,0,1,1,1,1,1
AMBX019,conditioning,0,1,1,1,1,1
AMBX020,no_notice,0,1,0,0,1,1
AMBX020,flat_notice,1,1,1,1,1,1
AMBX020,conditioning,0,1,1,1,1,1
AMBX021,no_notice,0,1,0,0,0,0
AMBX021,flat_notice,0,1,0,0,0,0
AMBX021,conditioning,0,1,0,0,0,0
AMBX022,no_notice,1,1,0,0,0,0
AMBX022,flat_notice,1,1,0,0,0,0
AMBX022,conditioning,1,1,0,0,0,0
AMBX023,no_notice,0,1,0,0,0,0
AMBX023,flat_notice,0,1,1,1,1,0
AMBX023,conditioning,0,1,1,1,1,0
AMBX024,no_notice,0,1,0,0,0,0
AMBX024,flat_notice,0,1,0,0,0,0
AMBX024,conditioning,0,0,0,0,0,0
AMBX025,no_notice,1,1,0,0,0,0
AMBX025,flat_notice,0,1,0,0,0,0
AMBX025,conditioning,0,1,0,0,0,0
AMBX026,no_notice,0,0,0,0,0,0
AMBX026,flat_notice,0,0,0,0,0,0
AMBX026,conditioning,0,0,0,0,0,0
AMBX027,no_notice,0,1,0,0,0,0
AMBX027,flat_notice,0,1,1,1,1,1
AMBX027,conditioning,0,1,1,1,1,1
AMBX028,no_notice,1,1,0,0,0,0
AMBX028,flat_notice,1,1,0,0,0,0
AMBX028,conditioning,0,1,0,0,0,0
AMBX029,no_notice,0,1,0,0,0,0
AMBX029,flat_notice,1,1,1,1,0,0
AMBX029,conditioning,1,1,1,1,0,1
AMBX030,no_notice,0,0,0,0,0,0
AMBX030,flat_notice,1,1,1,1,0,0
AMBX030,conditioning,1,1,1,1,0,1
AMBX031,no_notice,0,1,0,0,0,0
AMBX031,flat_notice,0,1,1,1,1,1
AMBX031,conditioning,1,1,1,1,1,1
AMBX032,no_notice,1,1,0,0,0,0
AMBX032,flat_notice,1,1,0,0,0,0
AMBX032,conditioning,1,1,0,0,0,0
AMBX033,no_notice,0,0,0,0,0,0
AMBX033,flat_notice,1,1,1,1,0,1
AMBX033,conditioning,0,1,1,1,1,0
AMBX034,no_notice,0,0,0,0,0,0
AMBX034,flat_notice,0,0,0,0,0,0
AMBX034,conditioning,0,0,0,0,0,0
AMBX035,no_notice,0,1,0,0,0,0
AMBX035,flat_notice,0,1,1,1,1,1
AMBX035,conditioning,0,1,1,1,1,1
AMBX036,no_notice,1,1,0,0,0,0
AMBX036,flat_notice,1,1,0,0,0,0
AMBX036,conditioning,0,1,0,0,0,0
AMBX037,no_notice,0,0,0,0,0,0
AMBX037,flat_notice,1,1,1,1,0,0
AMBX037,conditioning,1,1,1,1,0,0
AMBX038,no_notice,1,1,0,0,0,0
AMBX038,flat_notice,1,1,0,0,0,0
AMBX038,conditioning,1,1,0,0,0,0
AMBX039,no_notice,0,1,0,0,0,0
AMBX039,flat_notice,0,1,1,1,1,1
AMBX039,conditioning,1,1,1,1,0,0
AMBX040,no_notice,0,1,0,0,1,0
AMBX040,flat_notice,1,1,1,1,0,0
AMBX040,conditioning,0,1,1,1,1,0
AMBX041,no_notice,0,1,0,0,0,0
AMBX041,flat_notice,1,1,0,0,0,0
AMBX041,conditioning,0,1,0,0,0,0
AMBX042,no_notice,0,0,0,0,0,0
AMBX042,flat_notice,0,0,0,0,0,0
AMBX042,conditioning,0,0,0,0,0,0
AMBX043,no_notice,0,1,0,0,1,1
AMBX043,flat_notice,0,1,1,1,1,0
AMBX043,conditioning,0,1,1,1,1,0
AMBX044,no_notice,1,1,0,0,0,0
AMBX044,flat_notice,0,1,0,0,0,0
AMBX044,conditioning,0,1,1,0,0,0
AMBX045,no_notice,0,0,0,0,0,1
AMBX045,flat_notice,1,1,1,1,0,0
AMBX045,conditioning,1,1,1,1,0,0
AMBX046,no_notice,0,1,0,0,1,1
AMBX046,flat_notice,1,1,1,1,1,1
AMBX046,conditioning,1,1,1,1,1,1
AMBX047,no_notice,0,1,0,0,0,0
AMBX047,flat_notice,1,1,1,1,0,0
AMBX047,conditioning,1,1,1,1,0,0
AMBX048,no_notice,0,1,0,0,0,0
AMBX048,flat_notice,1,1,1,1,0,0
AMBX048,conditioning,0,1,1,1,0,0
AMBX049,no_notice,0,1,0,0,0,0
AMBX049,flat_notice,1,1,1,1,0,0
AMBX049,conditioning,1,1,1,1,1,1
AMBX050,no_notice,1,1,0,0,0,0
AMBX050,flat_notice,1,1,0,0,0,0
AMBX050,conditioning,1,1,0,0,0,0
AMBX051,no_notice,1,1,0,0,1,1
AMBX051,flat_notice,1,1,1,1,1,1
AMBX051,conditioning,1,1,1,1,1,1
AMBX052,no_notice,0,1,0,0,0,0
AMBX052,flat_notice,0,1,1,1,1,1
AMBX052,conditioning,0,1,1,1,1,0
AMBX053,no_notice,0,0,0,0,0,0
AMBX053,flat_notice,0,1,1,1,0,0
AMBX053,conditioning,0,0,0,0,0,0
AMBX054,no_notice,0,0,0,0,0,0
AMBX054,flat_notice,0,0,0,0,0,0
AMBX054,conditioning,0,0,0,0,0,0
AMBX055,no_notice,0,1,0,0,0,0
AMBX055,flat_notice,1,1,1,1,0,0
AMBX055,conditioning,1,1,1,1,0,0
AMBX056,no_notice,0,1,0,0,0,0
AMBX056,flat_notice,0,1,1,1,0,0
AMBX056,conditioning,0,1,1,1,1,0
AMBX057,no_notice,0,0,0,0,0,0
AMBX057,flat_notice,1,1,1,1,0,1
AMBX057,conditioning,1,1,1,1,0,0
AMBX058,no_notice,0,1,0,0,0,0
AMBX058,flat_notice,1,1,0,0,0,0
AMBX058,conditioning,1,1,0,0,0,0
AMBX059,no_notice,0,1,0,0,0,0
AMBX059,flat_notice,0,1,1,1,1,1
AMBX059,conditioning,0,1,1,1,1,1
AMBX060,no_notice,0,1,0,0,0,0
AMBX060,flat_notice,0,1,0,0,0,0
AMBX060,conditioning,0,1,0,0,0,0
AMBX061,no_notice,0,1,0,0,0,0
AMBX061,flat_notice,1,1,0,0,0,0
AMBX061,conditioning,0,1,0,0,0,0
AMBX062,no_notice,0,0,0,0,0,0
AMBX062,flat_notice,0,1,1,1,1,0
AMBX062,conditioning,1,1,1,1,0,0
AMBX063,no_notice,0,1,0,0,1,0
AMBX063,flat_notice,0,1,1,1,1,0
AMBX063,conditioning,0,1,1,1,1,1
