query_id,config,query,reference_answer,retrieved_context,generated_answer,route,fusion,lambda,abstained,raw_abstain,sufficient_context_override,graph_augmented,faculty_room_augmented,exact_match_any,question_match_any,translated_query,normalized_query,retrieval_s,rerank_s,generation_s,total_s,timestamp,query_confidence,query_top1_score,bleu,rougeL,meteor,bertscore
FR-00,adaptive_novel,Who teaches the theory section of CSE251-03B and what is their office room?,Md. Fatin Ishraq Faruqui (Lecturer) teaches the theory section of CSE251-03B. Their office room is 4N169.,"Course: CSE251-03B
Theory Initial: FFR
Theory Day: SUN+TUE
Theory Time: 9:30 AM
Theory Room: 07H-27C
Lab Faculty: NFS,SZZ
Lab Day: WED
Lab Time: 2:00 PM
Lab Room: 12B-20L

Course: CSE350-03B
Theory Initial: ZBH
Theory Day: SAT+THU
Theory Time: 11:00 AM
Theory Room: 09A-07C
Lab Faculty: NUR,AKDB
Lab Day: MON
Lab Time: 11:00 AM
Lab Room: FT10-02L

Course: CSE260-03B
Theory Initial: DZK
Theory Day: SUN+TUE
Theory Time: 12:30 PM
Theory Room: 09E-20T
Lab Faculty: MZW,ADD
Lab Day: WED
Lab Time: 8:00 AM
Lab Room: FT10-04L

Course: CSE250-03B
Theory Initial: SEF
Theory Day: SAT+THU
Theory Time: 11:00 AM
Theory Room: 07H-26C
Lab Faculty: AKDB,ALSM
Lab Day: SAT
Lab Time: 2:00 PM
Lab Room: 12B-20L

Initial: NFS
Name: Nafis Faisal
Day: Wednesday
Scheduled commitments (classes/labs/breaks, not availability): 11:00 AM - CSE251-05B (LAB) SDQ,NFS 12B-20L; 12:30 PM - CSE251-05B (LAB) SDQ,NFS 12B-20L; 2:00 PM - CSE251-03B (LAB) NFS,SZZ 12B-20L; 3:30 PM - CSE251-03B (LAB) NFS,SZZ 12B-20L","The instructor teaching the theory section of CSE251-03B is not specified in the retrieved context, but it does mention that the initial for the theory section is FFR.",entity_heavy,rrf,0.9,False,False,False,False,False,True,False,,,0.0737,0.0,6.7371,6.8108,2026-07-31T16:11:53.703233+00:00,100.0019,100.0166,0.1264203703898735,0.34782608695652173,0.3207049086757991,0.8683855533599854
FR-01,adaptive_novel,Who teaches the theory section of CSE110-19 and what is their office room?,Tahsin Tanim Ramisha (C. Lecturer) teaches the theory section of CSE110-19. Their office room is 4F.,"Course: CSE110-19
Theory Initial: THR
Theory Day: SUN+TUE
Theory Time: 8:00 AM
Theory Room: 10B-16C
Lab Faculty: PRC,FZN
Lab Day: WED
Lab Time: 2:00 PM
Lab Room: 12F-30L

Course: CSE470-19
Theory Initial: SKIB
Theory Day: SAT+THU
Theory Time: 11:00 AM
Theory Room: 09D-17C

Initial: FZN
Name: Kh.Fardin Zubair Nafis
Day: Wednesday
Scheduled commitments (classes/labs/breaks, not availability): 8:00 AM - CSE110-09 (LAB) MVH,FZN 09B-09L; 9:30 AM - CSE110-09 (LAB) MVH,FZN 09B-09L; 11:00 AM - Consultation; 12:30 PM - Consultation; 2:00 PM - CSE110-19 (LAB) PRC,FZN 12F-30L; 3:30 PM - CSE110-19 (LAB) PRC,FZN 12F-30L

Course: STA201-19
Theory Initial: TBS
Theory Day: SAT+THU
Theory Time: 11:00 AM
Theory Room: 09H-35C

Course: CSE340-19
Theory Initial: SADA
Theory Day: MON+WED
Theory Time: 9:30 AM
Theory Room: 10B-16C","The theory section of CSE110-19 is taught by faculty members with initials THR, but their specific names and office rooms are not specified in the retrieved context.",entity_heavy,rrf,0.9,False,False,False,False,False,True,False,,,0.0269,0.0,6.4425,6.4695,2026-07-31T16:12:00.173330+00:00,100.0019,100.0167,0.13952118378975725,0.39999999999999997,0.45849974297125234,0.8750491738319397
FR-02,adaptive_novel,Who teaches the theory section of CSE350-02B and what is their office room?,Nur Mohammad Shaon (Lecturer) teaches the theory section of CSE350-02B. Their office room is 4N170.,"Course: CSE350-02B
Theory Initial: NUR
Theory Day: SAT+THU
Theory Time: 12:30 PM
Theory Room: 09A-07C
Lab Faculty: RAO,AKJ
Lab Day: WED
Lab Time: 8:00 AM
Lab Room: FT10-02L

Course: CSE350-01B
Theory Initial: NUR
Theory Day: SAT+THU
Theory Time: 9:30 AM
Theory Room: 09A-07C
Lab Faculty: SDU,RFQ
Lab Day: SAT
Lab Time: 11:00 AM
Lab Room: FT10-02L

Course: CSE350-03B
Theory Initial: ZBH
Theory Day: SAT+THU
Theory Time: 11:00 AM
Theory Room: 09A-07C
Lab Faculty: NUR,AKDB
Lab Day: MON
Lab Time: 11:00 AM
Lab Room: FT10-02L

Initial: NUR
Name: Nur Mohammad Shaon
Day: Saturday
Scheduled commitments (classes/labs/breaks, not availability): 9:30 AM - CSE350-01A 09A-07C,CSE350-01B 09A-07C; 12:30 PM - CSE350-02A 09A-07C,CSE350-02B 09A-07C

Course: CSE350-01A
Theory Initial: NUR
Theory Day: SAT+THU
Theory Time: 9:30 AM
Theory Room: 09A-07C
Lab Faculty: ARA,SHJR
Lab Day: SAT
Lab Time: 11:00 AM
Lab Room: FT10-01L","The instructor teaching the theory section of CSE350-02B is Nur Mohammad Shaon, but unfortunately, there is no information provided about their office room.",entity_heavy,rrf,0.9,False,False,False,False,False,True,False,,,0.028,0.0,6.3276,6.3557,2026-07-31T16:12:06.529514+00:00,100.0013,100.0167,0.23203058032469892,0.5,0.6944732207603854,0.9322408437728882
FR-03,adaptive_novel,Who teaches the theory section of CSE340-09 and what is their office room?,Mohammed Ashfaqul Haque (Lecturer) teaches the theory section of CSE340-09. Their office room is 4N137.,"Course: CSE340-09
Theory Initial: AFQ
Theory Day: SAT+THU
Theory Time: 8:00 AM
Theory Room: 09C-16T

Course: CSE340-04
Theory Initial: MTSM
Theory Day: SUN+TUE
Theory Time: 9:30 AM
Theory Room: 09E-20T

Course: CSE340-07
Theory Initial: TNMF
Theory Day: MON+WED
Theory Time: 11:00 AM
Theory Room: 09C-16T

Course: CSE340-05
Theory Initial: TNMF
Theory Day: MON+WED
Theory Time: 11:00 AM
Theory Room: 09C-16T

Course: CSE340-01
Theory Initial: ACH
Theory Day: SUN+TUE
Theory Time: 9:30 AM
Theory Room: 09E-20T","The instructor for the theory section of CSE340-09, AFQ, does not have an office room listed in this context.",entity_heavy,rrf,0.9,False,False,False,False,False,True,False,,,0.0265,0.0,5.7694,5.7959,2026-07-31T16:12:12.326141+00:00,100.0004,100.0166,0.19228544753133758,0.4444444444444445,0.4035783678756477,0.8810982704162598
FR-04,adaptive_novel,Who teaches the theory section of CSE331-03 and what is their office room?,Dr. Badhan Das (Assistant Professor) teaches the theory section of CSE331-03. Their office room is 4G19.,"Course: CSE331-03
Theory Initial: NBD
Theory Day: SUN+TUE
Theory Time: 11:00 AM
Theory Room: 09G-31T

Course: CSE331-02
Theory Initial: NBD
Theory Day: SUN+TUE
Theory Time: 11:00 AM
Theory Room: 09G-31T

Course: CSE331-07
Theory Initial: ZYH
Theory Day: SAT+THU
Theory Time: 11:00 AM
Theory Room: 09A-05C

Course: CSE331-06
Theory Initial: RSS
Theory Day: MON+WED
Theory Time: 9:30 AM
Theory Room: 09A-04C

Course: CSE331-01
Theory Initial: NBD
Theory Day: SUN+TUE
Theory Time: 11:00 AM
Theory Room: 09G-31T","The instructor for the theory section of CSE331-03 is NBD, but unfortunately, I do not have information on their office room.",entity_heavy,rrf,0.9,False,False,False,False,False,True,False,,,0.0257,0.0,5.7571,5.7829,2026-07-31T16:12:18.109576+00:00,100.0003,100.0166,0.20828838183973028,0.46153846153846156,0.47450980392156866,0.9018084406852722
FR-05,adaptive_novel,Who teaches the theory section of CSE260-09A and what is their office room?,Fatiha Ishrar Chowdhury (Lecturer) teaches the theory section of CSE260-09A. Their office room is 4K81.,"Course: CSE260-09A
Theory Initial: FIC
Theory Day: MON+WED
Theory Time: 11:00 AM
Theory Room: 09C-13C
Lab Faculty: ANKH,FIC
Lab Day: TUE
Lab Time: 2:00 PM
Lab Room: FT10-03L

Course: CSE260-04B
Theory Initial: DZK
Theory Day: SUN+TUE
Theory Time: 11:00 AM
Theory Room: 09A-03C
Lab Faculty: NNTN,MAZW
Lab Day: WED
Lab Time: 11:00 AM
Lab Room: FT10-04L

Course: CSE260-05B
Theory Initial: NLH
Theory Day: MON+WED
Theory Time: 8:00 AM
Theory Room: 09A-03C
Lab Faculty: PBK,NQM
Lab Day: TUE
Lab Time: 8:00 AM
Lab Room: FT10-04L

Course: CSE260-05A
Theory Initial: NLH
Theory Day: MON+WED
Theory Time: 8:00 AM
Theory Room: 09A-03C
Lab Faculty: CSYR,SMDS
Lab Day: TUE
Lab Time: 8:00 AM
Lab Room: FT10-03L

Course: CSE260-04A
Theory Initial: DZK
Theory Day: SUN+TUE
Theory Time: 11:00 AM
Theory Room: 09A-03C
Lab Faculty: NFF,MZW
Lab Day: WED
Lab Time: 11:00 AM
Lab Room: FT10-03L","The instructor who teaches the theory section of CSE260-09A is FIC, but unfortunately, there is no information provided about their office room.",entity_heavy,rrf,0.9,False,False,False,False,False,True,False,,,0.0257,0.0,6.1831,6.2088,2026-07-31T16:12:24.318613+00:00,100.0017,100.0167,0.24835336815593242,0.5128205128205128,0.5477314892899308,0.893309473991394
FR-06,adaptive_novel,Who teaches the theory section of CSE250-08A and what is their office room?,Mr. Shadman Shahriar (Lecturer) teaches the theory section of CSE250-08A. Their office room is 4N143.,"Course: CSE250-08A
Theory Initial: SDS
Theory Day: MON+WED
Theory Time: 11:00 AM
Theory Room: 07H-27C
Lab Faculty: ALSM,NFS
Lab Day: TUE
Lab Time: 8:00 AM
Lab Room: 12B-20L

Course: CSE260-08A
Theory Initial: PBK
Theory Day: MON+WED
Theory Time: 12:30 PM
Theory Room: 07F-22C
Lab Faculty: AFQ,TWK
Lab Day: SUN
Lab Time: 11:00 AM
Lab Room: FT10-03L

Initial: NFS
Name: Nafis Faisal
Day: Tuesday
Scheduled commitments (classes/labs/breaks, not availability): 8:00 AM - CSE250-08A (LAB) ALSM,NFS 12B-20L; 9:30 AM - CSE250-08A (LAB) ALSM,NFS 12B-20L; 12:30 PM - CSE402-01 09A-06C

Course: CSE350-08A
Theory Initial: SZZ
Theory Day: MON+WED
Theory Time: 12:30 PM
Theory Room: 09A-07C
Lab Faculty: TSE,MOM
Lab Day: MON
Lab Time: 8:00 AM
Lab Room: FT10-01L

Course: CSE251-08A
Theory Initial: PDS
Theory Day: MON+WED
Theory Time: 2:00 PM
Theory Room: 09H-35C
Lab Faculty: ZBH,RAS
Lab Day: SAT
Lab Time: 8:00 AM
Lab Room: 12B-20L","The instructor teaching the theory section of CSE250-08A is not specified in the provided context, but it does mention that Nafis Faisal (NFS) is one of the lab faculty members for this course. However, there is no information about who teaches the theory section or their office room.",entity_heavy,rrf,0.9,False,False,False,False,False,True,False,,,0.0271,0.0,9.9632,9.9904,2026-07-31T16:12:34.309610+00:00,100.0014,100.0167,0.1179691761258836,0.3076923076923077,0.5395691609977324,0.8805906772613525
FR-07,adaptive_novel,Who teaches the theory section of CSE230-11 and what is their office room?,Yasmin Nadia (Lecturer) teaches the theory section of CSE230-11. Their office room is 4L89.,"Course: CSE230-11
Theory Initial: YND
Theory Day: MON+WED
Theory Time: 3:30 PM
Theory Room: 09D-18C

Course: CSE230-05
Theory Initial: TSM
Theory Day: MON+WED
Theory Time: 11:00 AM
Theory Room: 08H-22C

Course: CSE230-01
Theory Initial: NZRF
Theory Day: SUN+TUE
Theory Time: 2:00 PM
Theory Room: 07D-20C

Course: CSE230-07
Theory Initial: QUZA
Theory Day: SUN+TUE
Theory Time: 11:00 AM
Theory Room: 09D-18C

Course: CSE230-03
Theory Initial: TSM
Theory Day: SUN+TUE
Theory Time: 11:00 AM
Theory Room: 08H-22C","The instructor teaching the theory section of CSE230-11 is not specified in the retrieved context, but the Theory Initial for CSE230-11 is YND.",entity_heavy,rrf,0.9,False,False,False,False,False,True,False,,,0.0241,0.0,6.3702,6.3943,2026-07-31T16:12:40.704704+00:00,100.0017,100.0167,0.15337404749451009,0.4,0.33756684491978606,0.8653877377510071
FR-08,adaptive_novel,Who teaches the theory section of CSE427-04 and what is their office room?,Mr. Dibyo Fabian Dofadar (Lecturer) teaches the theory section of CSE427-04. Their office room is 4M106.,"Course: CSE427-04
Theory Initial: DFD
Theory Day: MON+WED
Theory Time: 12:30 PM
Theory Room: 09C-16T
Lab Faculty: NDT,ITTSC
Lab Day: SUN
Lab Time: 11:00 AM
Lab Room: 09F-27L

Course: CSE427-09
Theory Initial: NAST
Theory Day: MON+WED
Theory Time: 9:30 AM
Theory Room: 07H-26C
Lab Faculty: ITTSC,HFN
Lab Day: TUE
Lab Time: 11:00 AM
Lab Room: 09F-24L

Initial: DFD
Name: Mr. Dibyo Fabian Dofadar
Day: Monday
Scheduled commitments (classes/labs/breaks, not availability): 11:00 AM - Consultation; 12:30 PM - CSE427-01 CSE427-02 CSE427-03 CSE427-04 09C-16T; 2:00 PM - Consultation; 3:30 PM - Consultation by Appointment

Initial: ITTSC
Name: Ittehad Saleh Chowdhury
Day: Sunday
Scheduled commitments (classes/labs/breaks, not availability): 8:00 AM - CSE427-03 (LAB) ITTSC,RKBM 09F-27L; 9:30 AM - CSE427-03 (LAB) ITTSC,RKBM 09F-27L; 11:00 AM - CSE427-04 (LAB) NDT,ITTSC 09F-27L; 12:30 PM - CSE427-04 (LAB) NDT,ITTSC 09F-27L

Course: CSE427-05
Theory Initial: QUZA
Theory Day: SUN+TUE
Theory Time: 9:30 AM
Theory Room: 09C-13C
Lab Faculty: QUZA,ITTSC
Lab Day: MON
Lab Time: 11:00 AM
Lab Room: 09F-27L","The instructor who teaches the theory section of CSE427-04 is Mr. Dibyo Fabian Dofadar, and his scheduled commitment for this course is at 12:30 PM in Room 09C-16T.",entity_heavy,rrf,0.9,False,False,False,False,False,True,False,,,0.0262,0.0,8.1488,8.175,2026-07-31T16:12:48.880502+00:00,100.001,100.0166,0.24819948911232714,0.3333333333333333,0.6014370245139476,0.9200652837753296
FR-09,adaptive_novel,Who teaches the theory section of CSE111-06 and what is their office room?,Mr. Ahmed Mahir Ruhan (Lecturer) teaches the theory section of CSE111-06. Their office room is 4L93.,"Course: CSE111-06
Theory Initial: ADU
Theory Day: SUN+TUE
Theory Time: 12:30 PM
Theory Room: 09H-35C
Lab Faculty: MAFZ,MAU
Lab Day: WED
Lab Time: 2:00 PM
Lab Room: 09B-11L

Course: CSE331-06
Theory Initial: RSS
Theory Day: MON+WED
Theory Time: 9:30 AM
Theory Room: 09A-04C

Course: CSE437-06
Theory Initial: SADF
Theory Day: SAT+THU
Theory Time: 9:30 AM
Theory Room: 07D-19C

Course: CSE340-06
Theory Initial: TNMF
Theory Day: MON+WED
Theory Time: 11:00 AM
Theory Room: 09C-16T

Initial: MAU
Name: Marshia Nujhat
Day: Wednesday
Scheduled commitments (classes/labs/breaks, not availability): 8:00 AM - CSE111-11 (LAB) MAU,AFA 09E-21L; 9:30 AM - CSE111-11 (LAB) MAU,AFA 09E-21L; 2:00 PM - CSE111-06 (LAB) MAFZ,MAU 09B-11L; 3:30 PM - CSE111-06 (LAB) MAFZ,MAU 09B-11L","The instructor for the theory section of CSE111-06 is not specified in the provided context. However, it does mention that the lab faculty for CSE111-06 are MAFZ and MAU, but it does not provide information about who teaches the theory section.",entity_heavy,rrf,0.9,False,False,False,False,False,True,False,,,0.0279,0.0,9.0469,9.0749,2026-07-31T16:12:57.955836+00:00,100.0019,100.0167,0.11085434134712652,0.23333333333333336,0.3407407407407408,0.8574730157852173
