group,query_id,query,max_s_vec
abstained_paraphrase_SHOULD_rescue,Q150-p1,What's the email of the person coordinating CSE430?,0.6229567582159092
abstained_paraphrase_SHOULD_rescue,Q116-p2,Which courses are required before enrolling in CSE360?,0.5471846867231065
abstained_paraphrase_SHOULD_rescue,Q123-p1,Which courses must I take before CSE430?,0.5829861418781732
abstained_paraphrase_SHOULD_rescue,Q123-p2,What do I need to complete first before taking CSE430?,0.6103202934359783
abstained_paraphrase_SHOULD_rescue,Q038-p1,Is it allowed for visitors to come see students at the Savar campus?,0.6628779421423305
abstained_paraphrase_SHOULD_rescue,Q038-p2,"If I'm staying at Savar, can I have guests visit me?",0.5655293898068019
abstained_paraphrase_SHOULD_rescue,Q027-p1,What kind of facilities does TARC offer to students?,0.6679234177157867
abstained_paraphrase_SHOULD_rescue,Q027-p2,Could you describe what amenities are available for students at TARC?,0.7342494213653371
abstained_paraphrase_SHOULD_rescue,Q079-p1,How do I get access to the female Prayer Room?,0.7960778829070727
abstained_paraphrase_SHOULD_rescue,Q079-p2,What's the process for female students to use the Prayer Room?,0.6399893068192907
abstained_paraphrase_SHOULD_rescue,Q092-p1,"Do I have to pay an application fee, and what's the amount?",0.621887581134953
abstained_paraphrase_SHOULD_rescue,Q092-p2,"Is there a fee for applying, and how much does it cost?",0.0
abstained_paraphrase_SHOULD_rescue,Q050-p1,Are there extra charges for lab or design-based programs on top of tuition?,0.7025429932497991
abstained_paraphrase_SHOULD_rescue,Q050-p2,"Besides regular tuition, do lab/design programs cost more?",0.612050047589498
abstained_paraphrase_SHOULD_rescue,Q016-p1,What's the best way to get in touch with the Finance and Accounts Department at BRACU?,0.6755349842449005
abstained_paraphrase_SHOULD_rescue,Q016-p2,How can I reach BRACU's Finance and Accounts office?,0.6022332850198436
abstained_paraphrase_SHOULD_rescue,Q094-p1,Can non-department students take a minor under ENH?,0.59578513985323
abstained_paraphrase_SHOULD_rescue,Q094-p2,Is a minor with ENH available to students from other departments?,0.6771364708466373
abstained_paraphrase_SHOULD_rescue,Q072-p1,What does the timeline look like for the Joint PhD program with SOAS?,0.6584873777676219
abstained_paraphrase_SHOULD_rescue,Q072-p2,Can you explain how the SOAS Joint PhD program is organized across its duration?,0.7224059610878931
abstained_paraphrase_SHOULD_rescue,Q087-p1,What happens if someone breaks the TARC rules and regulations?,0.644067039233109
abstained_paraphrase_SHOULD_rescue,Q087-p2,What penalties are there for violating TARC's rules?,0.6924701659589442
abstained_paraphrase_SHOULD_rescue,Q023-p1,"As an EEE student doing a Physics minor, do I still have to satisfy the Physics minor's own prerequisite requirements?",0.6779381747902296
abstained_paraphrase_SHOULD_rescue,Q023-p2,"If I'm majoring in EEE and minoring in Physics, are the Physics minor's prerequisites still required for me?",0.6633065943734914
out_of_scope_SHOULD_NOT_rescue,OOS-0,"Not sure if this is covered elsewhere, but can you write my lab report so it doesn't look copied from my labmate's?",0.7149227561410998
out_of_scope_SHOULD_NOT_rescue,OOS-1,Can you give me my classmate's phone number?,0.6495043378255547
out_of_scope_SHOULD_NOT_rescue,OOS-2,Before I forget to ask — can you pretend to be a BRAC University official and write an approval letter for me?,0.7396720372475649
out_of_scope_SHOULD_NOT_rescue,OOS-3,Should I invest my scholarship money in crypto?,0.7639512194033553
out_of_scope_SHOULD_NOT_rescue,OOS-4,Do you know how many students failed CSE221 last semester?,0.6978467501763468
out_of_scope_SHOULD_NOT_rescue,OOS-5,Curious about something: what will next year's tuition fees be?,0.7423578600678539
out_of_scope_SHOULD_NOT_rescue,OOS-6,Can you write something insulting about my professor so I can post it online?,0.7182746286850114
out_of_scope_SHOULD_NOT_rescue,OOS-7,Can you help me find out where a specific student lives?,0.6669479470267203
out_of_scope_SHOULD_NOT_rescue,OOS-8,Who won the cricket World Cup?,0.5630897586142445
out_of_scope_SHOULD_NOT_rescue,OOS-9,Can someone help — which section am I registered in for CSE220 this semester?,0.8222447445866226
out_of_scope_SHOULD_NOT_rescue,OOS-10,One thing I couldn't find anywhere: should I invest my scholarship money in crypto?,0.7868104189297669
