query_id,condition,old_judge_score,new_judge_A,new_judge_B,A_n_names,A_acknowledges,B_n_names,B_acknowledges,parse_failed
AMBX219,no_notice,0,0.0,1.0,1.0,0.0,1.0,1.0,False
AMBX039,no_notice,0,0.0,1.0,1.0,0.0,1.0,1.0,False
AMBX009,flat_notice,1,1.0,1.0,11.0,1.0,11.0,1.0,False
AMBX094,conditioning,1,1.0,1.0,0.0,1.0,0.0,1.0,False
AMBX084,flat_notice,1,,,,,,,True
AMBX077,no_notice,0,0.0,0.0,1.0,0.0,1.0,0.0,False
AMBX048,flat_notice,1,1.0,1.0,3.0,1.0,0.0,1.0,False
AMBX035,conditioning,0,1.0,1.0,2.0,1.0,2.0,1.0,False
AMBX187,no_notice,0,1.0,1.0,2.0,1.0,2.0,1.0,False
AMBX030,conditioning,1,1.0,1.0,2.0,1.0,2.0,1.0,False
AMBX202,flat_notice,0,0.0,0.0,1.0,0.0,1.0,0.0,False
AMBX145,no_notice,1,1.0,1.0,0.0,0.0,0.0,1.0,False
AMBX011,conditioning,1,1.0,1.0,0.0,1.0,0.0,1.0,False
AMBX011,no_notice,0,0.0,1.0,1.0,0.0,1.0,1.0,False
AMBX032,conditioning,1,1.0,1.0,0.0,0.0,1.0,1.0,False
AMBX075,flat_notice,0,1.0,1.0,0.0,1.0,0.0,1.0,False
AMBX080,flat_notice,0,1.0,1.0,2.0,1.0,2.0,1.0,False
AMBX173,flat_notice,0,1.0,1.0,0.0,0.0,0.0,1.0,False
AMBX206,flat_notice,0,1.0,1.0,3.0,1.0,0.0,1.0,False
AMBX010,no_notice,0,1.0,1.0,11.0,1.0,1.0,1.0,False
AMBX192,flat_notice,0,1.0,1.0,0.0,0.0,1.0,1.0,False
AMBX068,conditioning,0,1.0,1.0,4.0,1.0,0.0,1.0,False
AMBX218,no_notice,0,0.0,0.0,1.0,0.0,1.0,0.0,False
AMBX144,no_notice,0,0.0,1.0,1.0,0.0,1.0,1.0,False
AMBX076,no_notice,0,1.0,1.0,8.0,1.0,1.0,1.0,False
AMBX154,no_notice,1,1.0,1.0,0.0,0.0,0.0,1.0,False
AMBX202,no_notice,0,0.0,0.0,1.0,0.0,1.0,0.0,False
AMBX095,conditioning,1,1.0,1.0,0.0,1.0,0.0,1.0,False
AMBX003,no_notice,0,1.0,1.0,4.0,1.0,1.0,1.0,False
AMBX055,flat_notice,1,1.0,1.0,3.0,1.0,0.0,1.0,False
AMBX217,no_notice,0,0.0,0.0,1.0,0.0,1.0,0.0,False
AMBX117,no_notice,0,1.0,1.0,2.0,1.0,2.0,1.0,False
AMBX211,conditioning,0,,,,,,,True
AMBX054,no_notice,0,0.0,0.0,1.0,0.0,1.0,0.0,False
AMBX074,flat_notice,1,1.0,1.0,0.0,1.0,0.0,1.0,False
AMBX115,conditioning,1,1.0,1.0,0.0,1.0,0.0,1.0,False
AMBX218,flat_notice,0,0.0,0.0,1.0,0.0,1.0,0.0,False
AMBX032,flat_notice,1,1.0,1.0,0.0,0.0,1.0,1.0,False
AMBX130,conditioning,0,0.0,0.0,1.0,0.0,1.0,0.0,False
AMBX034,no_notice,0,0.0,0.0,1.0,0.0,1.0,0.0,False
AMBX123,flat_notice,0,1.0,1.0,2.0,1.0,2.0,1.0,False
AMBX118,flat_notice,1,1.0,1.0,0.0,1.0,1.0,1.0,False
AMBX091,no_notice,0,0.0,0.0,1.0,0.0,1.0,0.0,False
AMBX015,conditioning,0,1.0,1.0,3.0,1.0,0.0,1.0,False
AMBX157,conditioning,0,1.0,1.0,3.0,1.0,0.0,1.0,False
AMBX184,no_notice,0,0.0,0.0,1.0,0.0,1.0,0.0,False
AMBX043,flat_notice,0,1.0,1.0,2.0,1.0,2.0,1.0,False
AMBX130,no_notice,0,0.0,0.0,1.0,0.0,1.0,0.0,False
AMBX027,conditioning,0,,,,,,,True
AMBX189,flat_notice,0,1.0,1.0,0.0,0.0,0.0,1.0,False
AMBX101,no_notice,0,0.0,0.0,1.0,0.0,1.0,0.0,False
AMBX124,flat_notice,0,0.0,1.0,1.0,0.0,1.0,1.0,False
AMBX198,no_notice,0,0.0,0.0,1.0,0.0,1.0,0.0,False
AMBX066,flat_notice,0,1.0,1.0,3.0,1.0,3.0,1.0,False
AMBX024,conditioning,0,0.0,0.0,1.0,0.0,1.0,0.0,False
AMBX016,flat_notice,0,1.0,1.0,3.0,1.0,3.0,1.0,False
AMBX078,conditioning,1,,,,,,,True
AMBX099,conditioning,0,,,,,,,True
AMBX028,no_notice,1,1.0,1.0,0.0,0.0,1.0,1.0,False
AMBX215,flat_notice,0,1.0,1.0,3.0,1.0,0.0,1.0,False
AMBX035,flat_notice,0,1.0,1.0,2.0,1.0,2.0,1.0,False
AMBX208,no_notice,0,0.0,1.0,1.0,0.0,1.0,1.0,False
AMBX210,no_notice,1,1.0,1.0,0.0,0.0,0.0,1.0,False
AMBX155,conditioning,0,1.0,1.0,2.0,1.0,2.0,1.0,False
AMBX125,flat_notice,0,1.0,1.0,0.0,0.0,0.0,1.0,False
AMBX056,flat_notice,0,1.0,1.0,2.0,1.0,2.0,1.0,False
AMBX127,flat_notice,0,,,,,,,True
AMBX122,no_notice,0,0.0,1.0,1.0,0.0,1.0,1.0,False
AMBX072,flat_notice,1,1.0,1.0,0.0,1.0,0.0,1.0,False
AMBX092,no_notice,0,1.0,0.0,0.0,0.0,1.0,0.0,False
AMBX025,flat_notice,0,1.0,1.0,0.0,0.0,0.0,1.0,False
AMBX059,flat_notice,0,1.0,1.0,2.0,1.0,0.0,1.0,False
AMBX183,no_notice,1,1.0,1.0,1.0,1.0,1.0,1.0,False
AMBX219,flat_notice,0,1.0,1.0,2.0,1.0,2.0,1.0,False
AMBX056,conditioning,0,1.0,1.0,2.0,1.0,2.0,1.0,False
AMBX158,conditioning,0,1.0,1.0,3.0,1.0,3.0,1.0,False
AMBX130,flat_notice,0,0.0,0.0,1.0,0.0,1.0,0.0,False
AMBX093,no_notice,0,1.0,0.0,0.0,0.0,1.0,0.0,False
AMBX191,no_notice,0,0.0,0.0,1.0,0.0,1.0,0.0,False
AMBX075,conditioning,1,1.0,1.0,0.0,1.0,0.0,1.0,False
AMBX111,conditioning,0,,,,,,,True
AMBX020,no_notice,0,1.0,1.0,4.0,1.0,4.0,1.0,False
AMBX079,no_notice,0,0.0,0.0,1.0,0.0,1.0,0.0,False
AMBX216,conditioning,0,0.0,1.0,1.0,0.0,1.0,1.0,False
AMBX108,conditioning,0,1.0,1.0,3.0,1.0,3.0,1.0,False
AMBX137,conditioning,0,0.0,0.0,1.0,0.0,1.0,0.0,False
AMBX092,flat_notice,0,0.0,0.0,1.0,0.0,1.0,0.0,False
AMBX023,flat_notice,0,1.0,1.0,2.0,1.0,0.0,1.0,False
AMBX073,no_notice,1,1.0,1.0,0.0,1.0,0.0,1.0,False
AMBX108,flat_notice,0,,,,,,,True
AMBX073,flat_notice,1,1.0,1.0,0.0,1.0,0.0,1.0,False
AMBX171,flat_notice,0,,,,,,,True
AMBX136,no_notice,0,1.0,1.0,0.0,0.0,1.0,1.0,False
AMBX157,flat_notice,1,1.0,1.0,3.0,1.0,3.0,1.0,False
AMBX049,conditioning,1,1.0,1.0,2.0,1.0,0.0,1.0,False
AMBX091,flat_notice,1,1.0,1.0,0.0,1.0,0.0,1.0,False
AMBX218,conditioning,0,0.0,0.0,1.0,0.0,1.0,0.0,False
AMBX085,no_notice,0,0.0,0.0,1.0,0.0,1.0,0.0,False
AMBX184,conditioning,1,1.0,1.0,4.0,1.0,0.0,1.0,False
AMBX090,conditioning,1,1.0,1.0,2.0,1.0,2.0,1.0,False
AMBX147,no_notice,0,0.0,0.0,1.0,0.0,1.0,0.0,False
AMBX137,no_notice,0,0.0,0.0,1.0,0.0,1.0,0.0,False
AMBX203,conditioning,0,1.0,1.0,2.0,1.0,2.0,1.0,False
AMBX194,flat_notice,0,1.0,1.0,2.0,1.0,2.0,1.0,False
AMBX048,no_notice,0,0.0,0.0,1.0,0.0,1.0,0.0,False
AMBX174,conditioning,1,1.0,1.0,0.0,0.0,0.0,1.0,False
AMBX169,flat_notice,1,1.0,1.0,2.0,1.0,2.0,1.0,False
AMBX032,no_notice,1,1.0,1.0,0.0,0.0,0.0,1.0,False
AMBX017,no_notice,0,0.0,0.0,1.0,0.0,1.0,0.0,False
AMBX038,flat_notice,1,1.0,1.0,0.0,0.0,0.0,1.0,False
