query_id,config,lambda,query,reference_answer,retrieved_context,generated_answer,retrieval_s,generation_s,total_s,timestamp,query_confidence
Q001,full_hybrid,0.5,How are meal plans managed at TARC?,"Tarc provides 3 main meals breakfast,lunch and dinner and two snack time followed by them.Breakfast time continues from 7-9 am, lunch time continues from 12:30-3 pm,dinner continues from 8:30-10 pm followed by snacks time which are from 11-12 am and 4-5 pm colleectively","Question: How are meal plans managed at TARC?
Answer: Tarc provides 3 main meals breakfast,lunch and dinner and two snack time followed by them.Breakfast time continues from 7-9 am, lunch time continues from 12:30-3 pm,dinner continues from 8:30-10 pm followed by snacks time which are from 11-12 am and 4-5 pm colleectively

Question: Before I forget to ask — how are meal plans managed at TARC?
Answer: Tarc provides 3 main meals breakfast,lunch and dinner and two snack time followed by them.Breakfast time continues from 7-9 am, lunch time continues from 12:30-3 pm,dinner continues from 8:30-10 pm followed by snacks time which are from 11-12 am and 4-5 pm colleectively

Question: Sorry if this was already answered, but how are meal plans managed at TARC?
Answer: Tarc provides 3 main meals breakfast,lunch and dinner and two snack time followed by them.Breakfast time continues from 7-9 am, lunch time continues from 12:30-3 pm,dinner continues from 8:30-10 pm followed by snacks time which are from 11-12 am and 4-5 pm colleectively

Question: For a friend who's asking — what are the rules and regulations students must follow while at TARC?
Answer: Students must maintain the time schedule for the meals.Nobody is provided meal after that particular time.Also nobody can roam in the campus after 10:00pm.

Question (Banglish): TARC e meal plan kivabe manage kora hoy?
Answer (English): Tarc provides 3 main meals breakfast,lunch and dinner and two snack time followed by them.Breakfast time continues from 7-9 am, lunch time continues from 12:30-3 pm,dinner continues from 8:30-10 pm followed by snacks time which are from 11-12 am and 4-5 pm colleectively","Meal plans at TARC are managed by providing three main meals - breakfast, lunch, and dinner - and two snack times that follow them. Breakfast time continues from 7-9 am, lunch time from 12:30-3 pm, dinner from 8:30-10 pm, followed by snacks from 11-12 am and 4-5 pm collectively.",0.0504,19.682,19.7324,2026-07-27T03:39:22.330943+00:00,0.0101
Q002,full_hybrid,0.5,Reason for late fee appearing on pay slip of scholarship recipients after 29 June 2025?,The fee appears temporarily and will be waived automatically once the scholarship is adjusted.,"Question: Reason for late fee appearing on pay slip of scholarship recipients after 29 June 2025?
Answer: The fee appears temporarily and will be waived automatically once the scholarship is adjusted.

Question (Banglish): Scholarship pawa student der pay slip e 29 June 2025 er por late fee keno ashe?
Answer (English): The fee appears temporarily and will be waived automatically once the scholarship is adjusted.

Question: Consequence of adding courses after 24 June 2025?
Answer: A late registration fee will be applied.

Question: What are the consequences of late payment of tuition and fees?
Answer: At BRAC University, failure to make timely payments of tuition and fees can result in significant academic and financial consequences. Students who do not meet payment deadlines may have their academic results withheld, preventing them from accessing their grades or academic records. Additionally, unpaid dues can lead to the student being blocked from registering for future semesters, thereby delaying their academic progress. The university may also impose late fees or penalties, further increasing the cost of attendance. In extreme cases, continued non-payment could result in deregistration from the university, causing the student to lose their enrollment status

Question: Can you tell me what the consequences of late payment of tuition and fees are?
Answer: At BRAC University, failure to make timely payments of tuition and fees can result in significant academic and financial consequences. Students who do not meet payment deadlines may have their academic results withheld, preventing them from accessing their grades or academic records. Additionally, unpaid dues can lead to the student being blocked from registering for future semesters, thereby delaying their academic progress. The university may also impose late fees or penalties, further increasing the cost of attendance. In extreme cases, continued non-payment could result in deregistration from the university, causing the student to lose their enrollment status",The reason for a late fee appearing on the pay slip of scholarship recipients after 29 June 2025 is that the fee appears temporarily and will be waived automatically once the scholarship is adjusted.,0.0299,6.4758,6.5057,2026-07-27T03:39:28.837224+00:00,0.3411
Q003,full_hybrid,0.5,When is the next intake for the undergraduate program?,"BRAC University admits new undergraduates three times a year - Spring (classes start January), Summer (May), and Fall (September). The exact application deadline and admission test date for the next intake are published on the Admissions page (bracu.ac.bd/admissions) closer to that semester.","Question: When is the next intake for the undergraduate program?
Answer: BRAC University admits new undergraduates three times a year - Spring (classes start January), Summer (May), and Fall (September). The exact application deadline and admission test date for the next intake are published on the Admissions page (bracu.ac.bd/admissions) closer to that semester.

Question: Do you know when is the next intake for the undergraduate program?
Answer: BRAC University admits new undergraduates three times a year - Spring (classes start January), Summer (May), and Fall (September). The exact application deadline and admission test date for the next intake are published on the Admissions page (bracu.ac.bd/admissions) closer to that semester.

Question (Banglish): Undergraduate program e porer barer intake ta thik kobe theke shuru hobe?
Answer (English): BRAC University admits new undergraduates three times a year - Spring (classes start January), Summer (May), and Fall (September). The exact application deadline and admission test date for the next intake are published on the Admissions page (bracu.ac.bd/admissions) closer to that semester.

Question (Banglish): BRAC University bochore koyta semester chalay, ar kobe shuru hoy?
Answer (English): BRAC University runs three semesters a year - Spring, Summer and Fall - starting in January, May and September respectively. Pharmacy admits in Spring or Summer, and LLB admits in Spring or Fall.

Question: Hi, how many semesters are offered yearly at BRACU and when do they start?
Answer: BRACU offers 3 semesters a year: Spring, Summer & Fall, and these start in January, May & September respectively.
For Pharmacy & LLB: BRACU offers admission for Pharmacy & LLB department twice a year. You can apply in for Pharmacy: Spring or Summer semester and for LLB: Spring or Fall. The classes start from January and July for Pharmacy. January and September for LLB accordingly.
Tentative Schedule - Admission Tests:
Semester
1st Intake
2nd Intake
Spring
November
December
Summer
March
April
Fall
July
August","BRAC University admits new undergraduates three times a year - Spring (classes start January), Summer (May), and Fall (September). The exact application deadline and admission test date for the next intake are published on the Admissions page (bracu.ac.bd/admissions) closer to that semester.",0.0192,8.5884,8.6076,2026-07-27T03:39:37.445998+00:00,0.017
Q004,full_hybrid,0.5,Can you tell me what the minimum and maximum number of group members for a thesis/project is?,A thesis/project group must have a minimum of 1 member and a maximum of 5 members.,"Question: Can you tell me what the minimum and maximum number of group members for a thesis/project is?
Answer: A thesis/project group must have a minimum of 1 member and a maximum of 5 members.

Question: What is the minimum and maximum number of group members for a thesis/project?
Answer: A thesis/project group must have a minimum of 1 member and a maximum of 5 members.

Question (Banglish): Thesis/project er jonno group member minimum ar maximum koyjon lagbe?
Answer (English): A thesis/project group must have a minimum of 1 member and a maximum of 5 members.

Question: How many members can join for an internship?
Answer: A maximum of 1 member per group.

Question: What is the maximum number of supervisors/co-supervisors allowed per group?
Answer: A maximum of 2 supervisors and 2 co-supervisors.",A thesis/project group must have a minimum of 1 member and a maximum of 5 members.,0.0253,4.5428,4.5681,2026-07-27T03:39:42.014470+00:00,0.0583
Q005,full_hybrid,0.5,Before I forget to ask — what should students do if they have a scheduling conflict with their exams?,"The first step is to inform the course instructor about the conflict as soon as possible. If the conflict involves multiple exams or cannot be resolved with the instructor, students should consult their department office. The department can provide additional support or coordinate with other instructors to find a solution.","Question: Before I forget to ask — what should students do if they have a scheduling conflict with their exams?
Answer: The first step is to inform the course instructor about the conflict as soon as possible. If the conflict involves multiple exams or cannot be resolved with the instructor, students should consult their department office. The department can provide additional support or coordinate with other instructors to find a solution.

Question: What should students do if they have a scheduling conflict with their exams?
Answer: The first step is to inform the course instructor about the conflict as soon as possible. If the conflict involves multiple exams or cannot be resolved with the instructor, students should consult their department office. The department can provide additional support or coordinate with other instructors to find a solution.

Question: Random question, what should students do if they have a scheduling conflict with their exams?
Answer: The first step is to inform the course instructor about the conflict as soon as possible. If the conflict involves multiple exams or cannot be resolved with the instructor, students should consult their department office. The department can provide additional support or coordinate with other instructors to find a solution.

Question (Banglish): Exam er scheduling e conflict thakle student der ki korte hoy?
Answer (English): The first step is to inform the course instructor about the conflict as soon as possible. If the conflict involves multiple exams or cannot be resolved with the instructor, students should consult their department office. The department can provide additional support or coordinate with other instructors to find a solution.

Question: I wanted to ask, are students required to attend all quizzes, tests and assignments, or can some be skipped?
Answer: All students are required to attend all scheduled tests, quizzes, assignments and exams; these are typically scheduled within the regular class hour or tutorial hour.","The first step is to inform the course instructor about the conflict as soon as possible. If the conflict involves multiple exams or cannot be resolved with the instructor, students should consult their department office. The department can provide additional support or coordinate with other instructors to find a solution.",0.0229,7.9544,7.9773,2026-07-27T03:39:49.992353+00:00,0.1144
Q006,full_hybrid,0.5,Where is the EEE Department?,The EEE Department is located on the 4th floor and the labs are on 11th and 12th.,"Question: Where is the EEE Department?
Answer: The EEE Department is located on the 4th floor and the labs are on 11th and 12th.

Question (Banglish): EEE Department kothay?
Answer (English): The EEE Department is located on the 4th floor and the labs are on 11th and 12th.

Question: Where is EEE department's printing Lab?
Answer: The EEE Department's printing lab is on 12B-17L

Question: Where can I find EEE department's printing Lab?
Answer: The EEE Department's printing lab is on 12B-17L

Question (Banglish): EEE department er printing Lab kothay?
Answer (English): The EEE Department's printing lab is on 12B-17L",The EEE Department is located on the 4th floor and the labs are on 11th and 12th.,0.0187,5.0098,5.0284,2026-07-27T03:39:55.021525+00:00,0.0241
Q007,full_hybrid,0.5,What services does the BRAC University Medical Center provide?,"The Medical Center offers emergency medical services and free consultations/medicine to students and employees, health checkups with an official Health Card, referrals to partner hospitals for emergencies, ambulance support, and workshops on reproductive health and family planning. It also runs blood donation programs in collaboration with student clubs, arranges vaccination drives for communicable diseases, and holds regular STD/reproductive health workshops each semester with BRAC James P Grant School of Public Health.","Question: Hi, what services does the BRAC University Medical Center provide?
Answer: The Medical Center offers emergency medical services and free consultations/medicine to students and employees, health checkups with an official Health Card, referrals to partner hospitals for emergencies, ambulance support, and workshops on reproductive health and family planning, among other services.

Question: What services does the BRAC University Medical Center provide?
Answer: The Medical Center offers emergency medical services and free consultations/medicine to students and employees, health checkups with an official Health Card, referrals to partner hospitals for emergencies, ambulance support, and workshops on reproductive health and family planning. It also runs blood donation programs in collaboration with student clubs, arranges vaccination drives for communicable diseases, and holds regular STD/reproductive health workshops each semester with BRAC James P Grant School of Public Health.

Question: Does BRAC University have a medical center for students?
Answer: Yes, BRAC University's Student Life section lists a Medical Center that provides healthcare services to students on campus, in addition to the medical facilities available at the Savar Residential Campus.

Question: Before I forget to ask — does BRAC University have a medical center for students?
Answer: Yes, BRAC University's Student Life section lists a Medical Center that provides healthcare services to students on campus, in addition to the medical facilities available at the Savar Residential Campus.

Question (Banglish): BRAC University te student der jonno ki medical center ache?
Answer (English): Yes, BRAC University's Student Life section lists a Medical Center that provides healthcare services to students on campus, in addition to the medical facilities available at the Savar Residential Campus.","The BRAC University Medical Center offers emergency medical services and free consultations/medicine to students and employees, health checkups with an official Health Card, referrals to partner hospitals for emergencies, ambulance support, workshops on reproductive health and family planning, blood donation programs in collaboration with student clubs, vaccination drives for communicable diseases, and regular STD/reproductive health workshops each semester with BRAC James P Grant School of Public Health.",0.022,11.1061,11.1281,2026-07-27T03:40:06.150508+00:00,0.0976
Q008,full_hybrid,0.5,When must course selections be confirmed after Pre-Registration phases?,During the Self-Registration period assigned after result publication,"Question: When must course selections be confirmed after Pre-Registration phases?
Answer: During the Self-Registration period assigned after result publication

Question (Banglish): Pre-registration ta ki?
Answer (English): Pre-registation is an important step in the academic registration process. It is a phase where students plan and select the courses they intend to take in the upcoming semester. During pre-advising, students consult with their assigned academic advisors and mentors to ensure their course selections align with their degree requirements, academic standing, and future goals.

Here are some key points about the pre-advising process at BRAC University:

Course Selection: Students can review the available courses for the upcoming semester and choose the ones they need to enroll in. This includes major courses, general education courses, and electives.

Academic Planning: Pre-advising provides an opportunity for students to plan their academic journey, ensuring they meet prerequisites and avoid scheduling conflicts.

Consultation with Advisors/Mentors: Students meet with academic advisors/mentors who provide guidance on course loads, graduation requirements, and academic performance.

System Access: Once students finalize their course plan, they can proceed to formal registration when the advising period opens. Pre-advising helps prevent delays during registration as students have already mapped out their courses.

Pre-advising is crucial for staying on track with academic goals and preventing potential issues with course availability.

Question: What is pre-registation?
Answer: Pre-registation is an important step in the academic registration process. It is a phase where students plan and select the courses they intend to take in the upcoming semester. During pre-advising, students consult with their assigned academic advisors and mentors to ensure their course selections align with their degree requirements, academic standing, and future goals.

Here are some key points about the pre-advising process at BRAC University:

Course Selection: Students can review the available courses for the upcoming semester and choose the ones they need to enroll in. This includes major courses, general education courses, and electives.

Academic Planning: Pre-advising provides an opportunity for students to plan their academic journey, ensuring they meet prerequisites and avoid scheduling conflicts.

Consultation with Advisors/Mentors: Students meet with academic advisors/mentors who provide guidance on course loads, graduation requirements, and academic performance.

System Access: Once students finalize their course plan, they can proceed to formal registration when the advising period opens. Pre-advising helps prevent delays during registration as students have already mapped out their courses.

Pre-advising is crucial for staying on track with academic goals and preventing potential issues with course availability.

Question: Final opportunity for course registration after Pre-Registration Phases?
Answer: The Self-Registration period is the final opportunity for course registration after both Pre-Registration phases have ended.

Question: Just wondering, final opportunity for course registration after Pre-Registration Phases?
Answer: The Self-Registration period is the final opportunity for course registration after both Pre-Registration phases have ended.",Course selections must be confirmed during the Self-Registration period assigned after result publication.,0.0254,4.9152,4.9406,2026-07-27T03:40:11.091677+00:00,0.4809
Q009,full_hybrid,0.5,Where do i have to park the vehicle?,You can park your vehicle at basement-2.,"Question: Where do i have to park the vehicle?
Answer: You can park your vehicle at basement-2.

Question (Banglish): Amar vehicle ta kothay park korte hobe?
Answer (English): You can park your vehicle at basement-2.

Question: How long can i park my vehicle on campus?
Answer: As long as you're paying the parking fee

Question (Banglish): Ami koto shomoy campus e amar vehicle park korte pari?
Answer (English): As long as you're paying the parking fee

Question: Where is the Cycle Garage located?
Answer: Ground Floor, Gate no. 2 (Pocket Gate)",You can park your vehicle at basement-2.,0.017,3.6731,3.6902,2026-07-27T03:40:14.782569+00:00,0.1374
Q010,full_hybrid,0.5,Purpose of the Wishlist event for Summer 2025?,To help plan course offerings based on student demand,"Question: Purpose of the Wishlist event for Summer 2025?
Answer: To help plan course offerings based on student demand

Question (Banglish): Summer 2025 er Wishlist event er purpose ki?
Answer (English): To help plan course offerings based on student demand

Question: Why is participation in the Wishlist event important?
Answer: Course offerings will be based on student demand collected from Wishlist submissions

Question: Can you tell me what Wishlist is?
Answer: Wishlist event – an online pre-advising activity where undergraduate students (all programs except LLB, PHR, and Residential-Semester-eligible cohorts) log in during an assigned time slot, select the courses they intend to take, and press “Confirm.”
The collected course demands are then used by BRAC University to decide how many sections to open for each course, and only students who complete this step become eligible for Pre-Registration Phase 1.

Question: What is Wishlist?
Answer: Wishlist event – an online pre-advising activity where undergraduate students (all programs except LLB, PHR, and Residential-Semester-eligible cohorts) log in during an assigned time slot, select the courses they intend to take, and press “Confirm.”
The collected course demands are then used by BRAC University to decide how many sections to open for each course, and only students who complete this step become eligible for Pre-Registration Phase 1.",To help plan course offerings based on student demand.,0.0214,3.7683,3.7897,2026-07-27T03:40:18.572924+00:00,0.1067
