query_id,condition,query,label
AMB002,no_notice,What is Abdullah's office room?,partial
AMB002,flat_notice,What is Abdullah's office room?,partial
AMB002,conditioning,What is Abdullah's office room?,partial
AMB004,no_notice,What is Abid's office room?,no_answer
AMB004,flat_notice,What is Abid's office room?,no_answer
AMB004,conditioning,What is Abid's office room?,no_answer
AMB013,no_notice,What is Ahmed's office room?,partial
AMB013,flat_notice,What is Ahmed's office room?,partial
AMB013,conditioning,What is Ahmed's office room?,partial
AMB020,no_notice,What is Alam's office room?,partial
AMB020,flat_notice,What is Alam's office room?,partial
AMB020,conditioning,What is Alam's office room?,partial
AMB029,no_notice,What is Anika's office room?,partial
AMB029,flat_notice,What is Anika's office room?,partial
AMB029,conditioning,What is Anika's office room?,partial
AMB032,no_notice,What is Anjum's office room?,merged
AMB032,flat_notice,What is Anjum's office room?,merged
AMB032,conditioning,What is Anjum's office room?,merged
AMB041,no_notice,What is Arif's office room?,no_answer
AMB041,flat_notice,What is Arif's office room?,no_answer
AMB041,conditioning,What is Arif's office room?,no_answer
AMB049,no_notice,What is Ashikur's office room?,merged
AMB049,flat_notice,What is Ashikur's office room?,partial
AMB049,conditioning,What is Ashikur's office room?,partial
AMB052,no_notice,What is Ashraful's office room?,merged
AMB052,flat_notice,What is Ashraful's office room?,partial
AMB052,conditioning,What is Ashraful's office room?,partial
AMB053,no_notice,What is Asif's office room?,partial
AMB053,flat_notice,What is Asif's office room?,partial
AMB053,conditioning,What is Asif's office room?,partial
AMB067,no_notice,What is Azwad's office room?,no_answer
AMB067,flat_notice,What is Azwad's office room?,no_answer
AMB067,conditioning,What is Azwad's office room?,no_answer
AMB081,no_notice,What is Chowdhury's office room?,partial
AMB081,flat_notice,What is Chowdhury's office room?,partial
AMB081,conditioning,What is Chowdhury's office room?,partial
AMB099,no_notice,What is Fardin's office room?,partial
AMB099,flat_notice,What is Fardin's office room?,partial
AMB099,conditioning,What is Fardin's office room?,partial
AMB101,no_notice,What is Farhan's office room?,partial
AMB101,flat_notice,What is Farhan's office room?,partial
AMB101,conditioning,What is Farhan's office room?,partial
AMB112,no_notice,What is Ferdous's office room?,merged
AMB112,flat_notice,What is Ferdous's office room?,partial
AMB112,conditioning,What is Ferdous's office room?,partial
AMB117,no_notice,What is Habib's office room?,no_answer
AMB117,flat_notice,What is Habib's office room?,no_answer
AMB117,conditioning,What is Habib's office room?,no_answer
AMB122,no_notice,What is Haque's office room?,partial
AMB122,flat_notice,What is Haque's office room?,partial
AMB122,conditioning,What is Haque's office room?,partial
AMB123,no_notice,What is Hasan's office room?,partial
AMB123,flat_notice,What is Hasan's office room?,partial
AMB123,conditioning,What is Hasan's office room?,partial
AMB127,no_notice,What is Hossain's office room?,partial
AMB127,flat_notice,What is Hossain's office room?,partial
AMB127,conditioning,What is Hossain's office room?,partial
AMB138,no_notice,What is Iqbal's office room?,partial
AMB138,flat_notice,What is Iqbal's office room?,partial
AMB138,conditioning,What is Iqbal's office room?,partial
AMB143,no_notice,What is Islam's office room?,merged
AMB143,flat_notice,What is Islam's office room?,partial
AMB143,conditioning,What is Islam's office room?,partial
AMB146,no_notice,What is Jahan's office room?,merged
AMB146,flat_notice,What is Jahan's office room?,merged
AMB146,conditioning,What is Jahan's office room?,merged
AMB155,no_notice,What is Kazi's office room?,merged
AMB155,flat_notice,What is Kazi's office room?,merged
AMB155,conditioning,What is Kazi's office room?,merged
AMB159,no_notice,What is Khan's office room?,partial
AMB159,flat_notice,What is Khan's office room?,partial
AMB159,conditioning,What is Khan's office room?,partial
AMB161,no_notice,What is Khondoker's office room?,merged
AMB161,flat_notice,What is Khondoker's office room?,partial
AMB161,conditioning,What is Khondoker's office room?,partial
AMB176,no_notice,What is Mahir's office room?,merged
AMB176,flat_notice,What is Mahir's office room?,merged
AMB176,conditioning,What is Mahir's office room?,merged
AMB178,no_notice,What is Mahmud's office room?,merged
AMB178,flat_notice,What is Mahmud's office room?,partial
AMB178,conditioning,What is Mahmud's office room?,partial
AMB187,no_notice,What is Mehnaz's office room?,merged
AMB187,flat_notice,What is Mehnaz's office room?,partial
AMB187,conditioning,What is Mehnaz's office room?,partial
AMB188,no_notice,What is Mirza's office room?,partial
AMB188,flat_notice,What is Mirza's office room?,partial
AMB188,conditioning,What is Mirza's office room?,partial
AMB191,no_notice,What is Mohammad's office room?,partial
AMB191,flat_notice,What is Mohammad's office room?,partial
AMB191,conditioning,What is Mohammad's office room?,partial
AMB192,no_notice,What is Mohammed's office room?,merged
AMB192,flat_notice,What is Mohammed's office room?,merged
AMB192,conditioning,What is Mohammed's office room?,merged
AMB201,no_notice,What is Muhammad's office room?,no_answer
AMB201,flat_notice,What is Muhammad's office room?,no_answer
AMB201,conditioning,What is Muhammad's office room?,no_answer
AMB211,no_notice,What is Nafis's office room?,no_answer
AMB211,flat_notice,What is Nafis's office room?,no_answer
AMB211,conditioning,What is Nafis's office room?,no_answer
AMB213,no_notice,What is Nafiz's office room?,merged
AMB213,flat_notice,What is Nafiz's office room?,merged
AMB213,conditioning,What is Nafiz's office room?,merged
AMB219,no_notice,What is Nasim's office room?,merged
AMB219,flat_notice,What is Nasim's office room?,merged
AMB219,conditioning,What is Nasim's office room?,merged
AMB225,no_notice,What is Nazmus's office room?,merged
AMB225,flat_notice,What is Nazmus's office room?,merged
AMB225,conditioning,What is Nazmus's office room?,merged
AMB255,no_notice,What is Rafid's office room?,no_answer
AMB255,flat_notice,What is Rafid's office room?,no_answer
AMB255,conditioning,What is Rafid's office room?,no_answer
AMB258,no_notice,What is Rahman's office room?,partial
AMB258,flat_notice,What is Rahman's office room?,partial
AMB258,conditioning,What is Rahman's office room?,partial
AMB266,no_notice,What is Rasel's office room?,merged
AMB266,flat_notice,What is Rasel's office room?,merged
AMB266,conditioning,What is Rasel's office room?,merged
AMB271,no_notice,What is Reza's office room?,partial
AMB271,flat_notice,What is Reza's office room?,partial
AMB271,conditioning,What is Reza's office room?,complete
AMB274,no_notice,What is Rifat's office room?,no_answer
AMB274,flat_notice,What is Rifat's office room?,no_answer
AMB274,conditioning,What is Rifat's office room?,no_answer
AMB277,no_notice,What is Ruhan's office room?,merged
AMB277,flat_notice,What is Ruhan's office room?,merged
AMB277,conditioning,What is Ruhan's office room?,merged
AMB280,no_notice,What is Sabbir's office room?,merged
AMB280,flat_notice,What is Sabbir's office room?,partial
AMB280,conditioning,What is Sabbir's office room?,partial
AMB290,no_notice,What is Saha's office room?,no_answer
AMB290,flat_notice,What is Saha's office room?,no_answer
AMB290,conditioning,What is Saha's office room?,no_answer
AMB296,no_notice,What is Sakib's office room?,partial
AMB296,flat_notice,What is Sakib's office room?,partial
AMB296,conditioning,What is Sakib's office room?,partial
AMB313,no_notice,What is Shahriar's office room?,partial
AMB313,flat_notice,What is Shahriar's office room?,partial
AMB313,conditioning,What is Shahriar's office room?,partial
AMB324,no_notice,What is Sheikh's office room?,partial
AMB324,flat_notice,What is Sheikh's office room?,partial
AMB324,conditioning,What is Sheikh's office room?,partial
AMB329,no_notice,What is Shuvo's office room?,no_answer
AMB329,flat_notice,What is Shuvo's office room?,no_answer
AMB329,conditioning,What is Shuvo's office room?,no_answer
AMB347,no_notice,What is Tabassum's office room?,merged
AMB347,flat_notice,What is Tabassum's office room?,merged
AMB347,conditioning,What is Tabassum's office room?,merged
AMB349,no_notice,What is Tahsin's office room?,merged
