query_id,config,is_entity_heavy,precision@1,precision@3,precision@5,precision@10,ap
Q001,bm25_only,False,1.0,1.0,0.6,0.4,0.8928571428571428
Q002,bm25_only,False,1.0,0.6666666666666666,0.4,0.2,1.0
Q003,bm25_only,False,1.0,1.0,0.6,0.3,1.0
Q004,bm25_only,False,1.0,1.0,0.6,0.3,1.0
Q005,bm25_only,False,1.0,1.0,0.8,0.4,1.0
Q006,bm25_only,False,1.0,0.6666666666666666,0.4,0.2,1.0
Q007,bm25_only,False,0.0,0.6666666666666666,0.4,0.2,0.5833333333333333
Q008,bm25_only,False,1.0,0.3333333333333333,0.2,0.1,1.0
Q009,bm25_only,False,1.0,0.6666666666666666,0.4,0.2,1.0
Q010,bm25_only,False,1.0,0.6666666666666666,0.4,0.2,1.0
Q011,bm25_only,False,1.0,0.6666666666666666,0.4,0.2,1.0
Q012,bm25_only,False,1.0,0.6666666666666666,0.4,0.2,1.0
Q013,bm25_only,False,1.0,1.0,0.6,0.3,1.0
Q014,bm25_only,False,1.0,0.6666666666666666,0.4,0.2,1.0
Q015,bm25_only,False,1.0,0.6666666666666666,0.4,0.3,0.8333333333333334
Q016,bm25_only,False,1.0,1.0,0.6,0.3,1.0
Q017,bm25_only,False,1.0,0.6666666666666666,0.4,0.3,0.7777777777777778
Q018,bm25_only,False,1.0,1.0,0.8,0.9,0.9282627865961199
Q019,bm25_only,False,1.0,0.6666666666666666,0.4,0.2,1.0
Q020,bm25_only,False,1.0,0.6666666666666666,0.4,0.2,1.0
Q021,bm25_only,False,1.0,0.6666666666666666,0.4,0.2,1.0
Q022,bm25_only,False,1.0,1.0,0.6,0.3,1.0
Q023,bm25_only,False,1.0,0.3333333333333333,0.2,0.1,1.0
Q024,bm25_only,False,1.0,1.0,0.6,0.3,1.0
Q025,bm25_only,False,1.0,1.0,0.6,0.3,1.0
Q026,bm25_only,False,1.0,0.6666666666666666,0.4,0.2,1.0
Q027,bm25_only,False,1.0,1.0,1.0,0.5,1.0
Q028,bm25_only,False,1.0,0.6666666666666666,0.4,0.2,1.0
Q029,bm25_only,False,1.0,1.0,1.0,0.5,1.0
Q030,bm25_only,False,1.0,0.6666666666666666,0.4,0.2,1.0
Q031,bm25_only,False,1.0,0.6666666666666666,0.4,0.2,1.0
Q032,bm25_only,False,1.0,0.6666666666666666,0.4,0.2,1.0
Q033,bm25_only,False,1.0,0.6666666666666666,0.4,0.2,1.0
Q034,bm25_only,False,1.0,1.0,0.6,0.3,1.0
Q035,bm25_only,False,1.0,1.0,0.6,0.3,1.0
Q036,bm25_only,False,1.0,0.3333333333333333,0.2,0.1,1.0
Q037,bm25_only,False,1.0,1.0,0.6,0.3,1.0
Q038,bm25_only,False,1.0,1.0,0.8,0.4,1.0
Q039,bm25_only,False,1.0,0.6666666666666666,0.4,0.2,1.0
Q040,bm25_only,False,1.0,1.0,0.6,0.3,1.0
Q041,bm25_only,False,1.0,0.6666666666666666,0.6,0.3,0.9166666666666666
Q042,bm25_only,False,1.0,0.6666666666666666,0.4,0.2,1.0
Q043,bm25_only,False,1.0,0.6666666666666666,0.4,0.2,1.0
Q044,bm25_only,False,1.0,1.0,1.0,0.5,1.0
Q045,bm25_only,False,1.0,0.3333333333333333,0.4,0.2,0.75
Q046,bm25_only,False,0.0,0.0,0.4,0.2,0.325
Q047,bm25_only,False,1.0,1.0,0.8,0.4,1.0
Q048,bm25_only,False,1.0,1.0,0.8,0.4,1.0
Q049,bm25_only,False,1.0,1.0,0.6,0.3,1.0
Q050,bm25_only,False,1.0,1.0,0.6,0.3,1.0
Q051,bm25_only,False,1.0,1.0,0.6,0.4,0.9166666666666666
Q052,bm25_only,False,1.0,0.6666666666666666,0.4,0.2,1.0
Q053,bm25_only,False,1.0,1.0,0.6,0.3,1.0
Q054,bm25_only,False,1.0,0.6666666666666666,0.4,0.2,1.0
Q055,bm25_only,False,1.0,0.6666666666666666,0.6,0.3,0.9166666666666666
Q056,bm25_only,False,1.0,1.0,1.0,0.8,1.0
Q057,bm25_only,False,1.0,0.3333333333333333,0.2,0.2,0.6666666666666666
Q058,bm25_only,False,0.0,0.6666666666666666,0.8,0.5,0.7100000000000001
Q059,bm25_only,False,1.0,1.0,0.8,0.4,1.0
Q060,bm25_only,False,1.0,1.0,0.8,0.4,1.0
Q061,bm25_only,False,1.0,0.6666666666666666,0.4,0.2,1.0
Q062,bm25_only,False,1.0,1.0,0.8,0.4,1.0
Q063,bm25_only,False,1.0,1.0,0.6,0.3,1.0
Q064,bm25_only,False,1.0,1.0,0.6,0.4,0.8611111111111112
Q065,bm25_only,False,1.0,0.6666666666666666,0.4,0.2,1.0
Q066,bm25_only,False,1.0,0.6666666666666666,0.4,0.2,1.0
Q067,bm25_only,False,1.0,1.0,0.8,0.4,1.0
Q068,bm25_only,False,1.0,1.0,1.0,0.8,0.9293650793650793
Q069,bm25_only,False,1.0,1.0,0.6,0.3,1.0
Q070,bm25_only,False,1.0,1.0,0.8,0.4,1.0
Q071,bm25_only,False,1.0,0.3333333333333333,0.2,0.1,1.0
Q072,bm25_only,False,1.0,0.6666666666666666,0.4,0.2,1.0
Q073,bm25_only,False,1.0,0.6666666666666666,0.4,0.2,0.8333333333333333
Q074,bm25_only,False,1.0,0.6666666666666666,0.4,0.2,0.8333333333333333
Q075,bm25_only,False,1.0,1.0,0.6,0.3,1.0
Q076,bm25_only,False,1.0,1.0,1.0,0.6,1.0
Q077,bm25_only,False,1.0,0.6666666666666666,0.4,0.2,1.0
Q078,bm25_only,False,1.0,1.0,0.8,0.4,1.0
Q079,bm25_only,False,1.0,0.6666666666666666,0.6,0.3,0.9166666666666666
Q080,bm25_only,False,1.0,1.0,1.0,0.5,1.0
Q081,bm25_only,False,0.0,0.0,0.0,0.0,0.0
Q082,bm25_only,False,1.0,1.0,1.0,0.5,1.0
Q083,bm25_only,False,1.0,0.6666666666666666,0.4,0.2,1.0
Q084,bm25_only,False,1.0,1.0,0.6,0.3,1.0
Q085,bm25_only,False,1.0,0.6666666666666666,0.4,0.2,1.0
Q086,bm25_only,False,1.0,0.6666666666666666,0.4,0.2,1.0
Q087,bm25_only,False,1.0,1.0,1.0,0.5,1.0
Q088,bm25_only,False,1.0,1.0,0.6,0.3,1.0
Q089,bm25_only,False,1.0,0.6666666666666666,0.4,0.2,1.0
Q090,bm25_only,False,1.0,1.0,1.0,0.7,1.0
Q091,bm25_only,False,1.0,1.0,1.0,0.6,1.0
Q092,bm25_only,False,1.0,0.3333333333333333,0.4,0.2,0.7
Q093,bm25_only,False,1.0,1.0,0.8,0.4,1.0
Q094,bm25_only,False,1.0,0.6666666666666666,0.4,0.2,1.0
Q095,bm25_only,False,0.0,0.0,0.0,0.4,0.28154761904761905
Q096,bm25_only,False,1.0,1.0,1.0,0.7,1.0
Q097,bm25_only,False,1.0,0.6666666666666666,0.4,0.3,0.7777777777777778
Q098,bm25_only,False,1.0,0.6666666666666666,0.4,0.2,1.0
Q099,bm25_only,False,1.0,1.0,0.6,0.3,1.0
Q100,bm25_only,False,1.0,0.6666666666666666,0.4,0.2,1.0
Q101,bm25_only,True,1.0,0.3333333333333333,0.2,0.1,1.0
Q102,bm25_only,True,1.0,0.3333333333333333,0.2,0.3,0.5277777777777778
Q103,bm25_only,True,1.0,0.3333333333333333,0.2,0.1,1.0
Q104,bm25_only,True,1.0,0.3333333333333333,0.2,0.1,1.0
Q105,bm25_only,True,1.0,1.0,1.0,1.0,1.0
Q106,bm25_only,True,1.0,0.6666666666666666,0.4,0.2,1.0
Q107,bm25_only,True,1.0,0.3333333333333333,0.2,0.1,1.0
Q108,bm25_only,True,1.0,0.3333333333333333,0.2,0.1,1.0
Q109,bm25_only,True,1.0,1.0,1.0,0.5,1.0
Q110,bm25_only,True,1.0,0.3333333333333333,0.2,0.1,1.0
Q111,bm25_only,True,1.0,0.3333333333333333,0.2,0.1,1.0
Q112,bm25_only,True,1.0,0.3333333333333333,0.2,0.3,0.5277777777777778
Q113,bm25_only,True,1.0,0.6666666666666666,0.4,0.2,1.0
Q114,bm25_only,True,1.0,0.3333333333333333,0.2,0.1,1.0
Q115,bm25_only,True,1.0,0.3333333333333333,0.2,0.1,1.0
Q116,bm25_only,True,1.0,0.3333333333333333,0.2,0.1,1.0
Q117,bm25_only,True,1.0,0.3333333333333333,0.2,0.1,1.0
Q118,bm25_only,True,1.0,0.3333333333333333,0.2,0.2,0.6
Q119,bm25_only,True,1.0,0.3333333333333333,0.2,0.1,1.0
Q120,bm25_only,True,1.0,1.0,0.8,0.4,1.0
Q121,bm25_only,True,1.0,0.3333333333333333,0.2,0.1,1.0
Q122,bm25_only,True,1.0,1.0,1.0,0.7,1.0
Q123,bm25_only,True,1.0,0.3333333333333333,0.2,0.1,1.0
Q124,bm25_only,True,1.0,0.6666666666666666,0.4,0.2,1.0
Q125,bm25_only,True,1.0,0.3333333333333333,0.2,0.1,1.0
Q126,bm25_only,True,1.0,0.3333333333333333,0.2,0.1,1.0
Q127,bm25_only,True,1.0,1.0,1.0,1.0,1.0
Q128,bm25_only,True,1.0,1.0,0.6,0.7,0.7947278911564626
Q129,bm25_only,True,1.0,0.3333333333333333,0.2,0.1,1.0
Q130,bm25_only,True,1.0,1.0,1.0,1.0,1.0
Q131,bm25_only,True,1.0,0.6666666666666666,0.4,0.2,1.0
Q132,bm25_only,True,1.0,0.3333333333333333,0.2,0.1,1.0
Q133,bm25_only,True,1.0,0.3333333333333333,0.2,0.1,1.0
Q134,bm25_only,True,1.0,0.3333333333333333,0.2,0.1,1.0
Q135,bm25_only,True,1.0,0.3333333333333333,0.2,0.1,1.0
Q136,bm25_only,True,1.0,0.3333333333333333,0.2,0.1,1.0
Q137,bm25_only,True,1.0,0.3333333333333333,0.2,0.1,1.0
Q138,bm25_only,True,1.0,0.3333333333333333,0.2,0.1,1.0
Q139,bm25_only,True,1.0,0.3333333333333333,0.2,0.1,1.0
