query_id,config,query,reference_answer,retrieved_context,generated_answer,route,fusion,lambda,abstained,raw_abstain,sufficient_context_override,graph_augmented,exact_match_any,question_match_any,retrieval_s,rerank_s,generation_s,total_s,timestamp,query_confidence,query_top1_score
BQ001,adaptive_novel,TARC e student der ki ki amenities ar facility deya hoy?,"Tarc provides students of BRAC a residential campus where they experience to live with their fellow classmates.Tarc also provides students the importance of time dynamics ,punctuality and basic manners like to respect others work.Tarc also tries to make students do their own work by themselves.","Question (Banglish): TARC e student der ki ki amenities ar facility deya hoy?
Answer (English): Tarc provides students of BRAC a residential campus where they experience to live with their fellow classmates.Tarc also provides students the importance of time dynamics ,punctuality and basic manners like to respect others work.Tarc also tries to make students do their own work by themselves.

Question (Banglish): Savar campus e ki ki academic ar welfare facility ache?
Answer (English): The Residential Campus has classrooms, conference rooms, a library with reading areas, computer labs, dormitories, dining halls, an auditorium, and outdoor sports grounds. It also has a resident doctor and nurse (with an arrangement with a local hospital for emergencies), male and female full-time psychosocial counsellors, and facilities for football, cricket, table tennis, carom, handball, volleyball and badminton (students bring their own equipment).

Question (Banglish): TARC e ki ki type er accommodation ache?
Answer (English): They provide a room where each get a bed, study table and half almirah. Usually one room can accomodate 4 students. The room has a decent washroom. There are multiple common washroom in every floor

Question (Banglish): TARC e dining er ki ki facility ache?
Answer (English): Tripti a three storied building is for dining. it provides Breakfast, Lunch dinner and also morning and evening snacks

Question (Banglish): Student Life Store e student der jonno ki ki facility available?
Answer (English): The Student Life Store offers various student supplies, merchandise, and campus-related items.","Tarc provides students of BRAC a residential campus where they experience to live with their fellow classmates. Tarc also provides students the importance of time dynamics ,punctuality and basic manners like to respect others work. Tarc also tries to make students do their own work by themselves.",open_ended,linear,0.5,False,False,False,False,False,True,0.0612,0.2215,9.8477,10.1312,2026-07-27T11:14:52.625699+00:00,0.3638,0.9865
BQ002,adaptive_novel,Pre-Registration phase er por course selection kobe confirm korte hobe?,During the Self-Registration period assigned after result publication,"Question (Banglish): Pre-Registration phase er por course selection kobe confirm korte hobe?
Answer (English): During the Self-Registration period assigned after result publication

Question (Banglish): Shomoy moto Wishlist confirm korte na parle student er ki hoy?
Answer (English): Student will not be considered a participant and cannot register in Pre-Registration Phase 1

Question (Banglish): Pre-Registration Phase 2 er starting date ta kobe?
Answer (English): You will be emailed by the registrar.

Question (Banglish): Wishlist participation miss korle ekjon student ki register korte parbe?
Answer (English): Yes, but only during Pre-Registration Phase 2 or Self Registration, with limited course availability

Question (Banglish): Pre-Registration Phase er por course registration er final opportunity ta ki?
Answer (English): The Self-Registration period is the final opportunity for course registration after both Pre-Registration phases have ended.",During the Self-Registration period assigned after result publication.,open_ended,linear,0.5,False,False,False,False,False,True,0.0294,0.0734,3.9223,4.0263,2026-07-27T11:14:56.652798+00:00,0.4119,1.0417
BQ003,adaptive_novel,"BRAC University bochore koyta semester chalay, ar kobe shuru hoy?","BRAC University runs three semesters a year - Spring, Summer and Fall - starting in January, May and September respectively. Pharmacy admits in Spring or Summer, and LLB admits in Spring or Fall.","Question (Banglish): BRAC University bochore koyta semester chalay, ar kobe shuru hoy?
Answer (English): BRAC University runs three semesters a year - Spring, Summer and Fall - starting in January, May and September respectively. Pharmacy admits in Spring or Summer, and LLB admits in Spring or Fall.

Question (Banglish): BRAC University protibochor koyta semester chalay, ar segula ke ki bola hoy?
Answer (English): BRAC University follows a semester-based system with three equal semesters each year: Spring, Summer, and Fall.

Question (Banglish): BRACU te bochore koyta semester hoy, ar segula kobe shuru hoy?
Answer (English): BRACU offers 3 semesters a year: Spring, Summer & Fall, and these start in January, May & September respectively.
For Pharmacy & LLB: BRACU offers admission for Pharmacy & LLB department twice a year. You can apply in for Pharmacy: Spring or Summer semester and for LLB: Spring or Fall. The classes start from January and July for Pharmacy. January and September for LLB accordingly.
Tentative Schedule - Admission Tests:
Semester
1st Intake
2nd Intake
Spring
November
December
Summer
March
April
Fall
July
August

Question (Banglish): BRAC University er Department of Architecture kobe shuru hoyechilo, ar er typical intake koto?
Answer (English): The department started in Spring 2002 with 15 students and 3 faculty members. Admission is competitive and intake has historically been limited to around 25-30 students per year to maintain close studio supervision.

Question (Banglish): Ekhonkar BRAC University campus building ke design koreche, ar construction kobe shuru hoyechilo?
Answer (English): The campus was designed by WOHA Designs Pte Ltd, a Singapore-based architecture firm, with construction beginning in 2017. The completed building has 14 floors in total.","BRAC University runs three semesters a year - Spring, Summer and Fall - starting in January, May and September respectively.",open_ended,linear,0.5,False,False,False,False,False,True,0.0275,0.1637,5.2723,5.4645,2026-07-27T11:15:02.117578+00:00,0.1860,0.9460
BQ004,adaptive_novel,Amar vehicle ta kothay park korte hobe?,You can park your vehicle at basement-2.,"Question (Banglish): Amar vehicle ta kothay park korte hobe?
Answer (English): You can park your vehicle at basement-2.

Question (Banglish): Ami koto shomoy campus e amar vehicle park korte pari?
Answer (English): As long as you're paying the parking fee

Question (Banglish): Amar taka hariye gele ar fare pay korte na parle ki hoy?
Answer (English): The student must inform the transport authority and make the payment at a later time.

Question (Banglish): Badda campus e amar age theke ENG102 kora ache, tahole TARC e amake kon course deya hobe?
Answer (English): If you completed ENG102 already, you will be given BUS201 at TARC.

Question (Banglish): Official transport service inquiry er jonno kake contact korte hobe?
Answer (English): Official inquiries should be directed to Md Lutfor Rahman (01711-859787) or Mijan Hosen (01827-407161).",You can park your vehicle at basement-2.,open_ended,linear,0.5,False,False,False,False,False,True,0.0230,0.0863,3.7298,3.8398,2026-07-27T11:15:05.957667+00:00,0.3199,0.9849
BQ005,adaptive_novel,Exam hall e student der koto age ashte hobe?,Students should aim to arrive at the exam hall at least 15 to 30 minutes before the scheduled start time of their exam.,"Question (Banglish): Exam hall e student der koto age ashte hobe?
Answer (English): Students should aim to arrive at the exam hall at least 15 to 30 minutes before the scheduled start time of their exam.

Question (Banglish): Badda campus e amar age theke ENG102 kora ache, tahole TARC e amake kon course deya hobe?
Answer (English): If you completed ENG102 already, you will be given BUS201 at TARC.

Question (Banglish): Semester e student er grade kon kon assessment diye toiri hoy?
Answer (English): Student performance is evaluated continuously through class tests, quizzes, assignments, and midterm exams during the semester, plus end-of-semester assessment such as final exams, term papers, and project work; all these numerical scores are combined and converted into a letter grade.

Question (Banglish): Final exam e boste hole minimum koto class attendance lagbe?
Answer (English): Under the general course-teaching guidelines, a student must attend at least 70% of total classes (including tutorials and labs) to be allowed to sit for the final exam in that course.

Question (Banglish): RS er final exam e boste hole koto percent attendance lagbe?
Answer (English): Students must attend at least 90 percent of classes to be eligible to sit for the final examinations at the Residential Campus.",Students should aim to arrive at the exam hall at least 15 to 30 minutes before the scheduled start time of their exam.,open_ended,linear,0.5,False,False,False,False,False,True,0.0253,0.1098,5.3447,5.4809,2026-07-27T11:15:11.438826+00:00,0.4684,0.9936
BQ006,adaptive_novel,Print korar jonno jaiga gula thik kon kon jaygay ache?,"Level-12:

Level-12, Zone-B, Adjacent to Room No: 12B-15L

Level-12, Zone-D, Adjacent to Room No: 12D-25L

Level-12, Zone-F, Room No: 12F-31L

Level-12, Zone-F, Room No: 12F-32L

Level-11:

Level-11, Zone-A, Room No: 11A-03L

Level-11, Zone-B, Adjacent to Room No: 11B-15L

Level-11, Zone-B, Adjacent to Room No: 11B-16L

Level-11, Zone-D, Adjacent to Room No: 11D-27L

Level-11, Zone-F, Adjacent to Room No: 11F-34L

Level-10:

Level-10, Zone-B, Adjacent to Room No: 10B-11L

Level-10, Zone-D, Adjacent to Room No: 10D-22L

Level-10, Zone-F, Adjacent to Room No: 10F-28L

Level-09:

Level-09, Zone-B, Adjacent to Room No: 09B-09L

Level-09, Zone-D, Adjacent to Room No: 09D-17C

Level-09, Zone-F, Adjacent to Room No: 09F-25L

Level-08:

Level-08, Zone-B, Adjacent to Room No: 08B-08C

Level-08, Zone-D, Adjacent to Room No: 08D-12C

Level-08, Zone-F, Adjacent to Room No: 08F-19C

Level-07:

Level-07, Block-F, Adjacent to Room No: 07F-22C

Level-07, Zone-D, Adjacent to Room No: 07D-19C

Facilities Tower:

Facilities Tower, 10th Floor, Waiting Room","Question (Banglish): Print korar jonno jaiga gula thik kon kon jaygay ache?
Answer (English): Level-12:

Level-12, Zone-B, Adjacent to Room No: 12B-15L

Level-12, Zone-D, Adjacent to Room No: 12D-25L

Level-12, Zone-F, Room No: 12F-31L

Level-12, Zone-F, Room No: 12F-32L

Level-11:

Level-11, Zone-A, Room No: 11A-03L

Level-11, Zone-B, Adjacent to Room No: 11B-15L

Level-11, Zone-B, Adjacent to Room No: 11B-16L

Level-11, Zone-D, Adjacent to Room No: 11D-27L

Level-11, Zone-F, Adjacent to Room No: 11F-34L

Level-10:

Level-10, Zone-B, Adjacent to Room No: 10B-11L

Level-10, Zone-D, Adjacent to Room No: 10D-22L

Level-10, Zone-F, Adjacent to Room No: 10F-28L

Level-09:

Level-09, Zone-B, Adjacent to Room No: 09B-09L

Level-09, Zone-D, Adjacent to Room No: 09D-17C

Level-09, Zone-F, Adjacent to Room No: 09F-25L

Level-08:

Level-08, Zone-B, Adjacent to Room No: 08B-08C

Level-08, Zone-D, Adjacent to Room No: 08D-12C

Level-08, Zone-F, Adjacent to Room No: 08F-19C

Level-07:

Level-07, Block-F, Adjacent to Room No: 07F-22C

Level-07, Zone-D, Adjacent to Room No: 07D-19C

Facilities Tower:

Facilities Tower, 10th Floor, Waiting Room

Question (Banglish): International Student der jonno kon kon Scholarship ache?
Answer (English): Merit Scholarship Based on BracU Academic Results and BRAC Scholarship (A Needs Based Scholarship) are available for the International students.

Question (Banglish): Request korar jonno kon dorm room shobcheye bhalo?
Answer (English): Room-by-room comparisons aren't something I have data on. The Residential Semester handbook covers general allocation rules, but room-level preferences are better discussed with the dorm supervisor directly.

Question (Banglish): CGPA ta thik kon niyome calculate kora hoy?
Answer (English): To calculate your CGPA, simply sum all your GPAs for each semester and divide it by the sum of the Total Credit Units (TCU) for each semester

Question (Banglish): Section change korte hole thik kon niyom follow korte hobe?
Answer (English): If you are already enrolled in a section then your request will be rejected by DCO due to the policies set by department.","The locations where printing is available are Level-12, Zone-B, Adjacent to Room No: 12B-15L; Level-12, Zone-D, Adjacent to Room No: 12D-25L; Level-12, Zone-F, Room No: 12F-31L; Level-12, Zone-F, Room No: 12F-32L; and several other locations listed below.",open_ended,linear,0.5,False,True,True,False,False,True,0.0291,0.4835,12.8856,13.3990,2026-07-27T11:15:24.838622+00:00,0.0387,0.6077
BQ007,adaptive_novel,EEE Department kothay?,The EEE Department is located on the 4th floor and the labs are on 11th and 12th.,"Question (Banglish): EEE Department kothay?
Answer (English): The EEE Department is located on the 4th floor and the labs are on 11th and 12th.

Question (Banglish): EEE department er printing Lab kothay?
Answer (English): The EEE Department's printing lab is on 12B-17L

Question (Banglish): EEE/ECE student ra tader program er official course listing ar prerequisite sequence kothay pabe?
Answer (English): EEE and ECE students can access the official course listing, prerequisites and recommended course sequence documents through department-shared drive links (requiring their BRACU email for access), which are also referenced in the department's official FAQ document under 'Necessary Documents'.

Question (Banglish): ENH Department kothay?
Answer (English): The ENH Department is located on the 5th floor.

Question (Banglish): BBA Department kothay?
Answer (English): The BRAC Business School (BBA Department) is on the 5th floor.",The EEE Department is located on the 4th floor and the labs are on 11th and 12th.,open_ended,linear,0.5,False,False,False,False,False,True,0.0196,0.1159,5.1337,5.2697,2026-07-27T11:15:30.108728+00:00,0.1079,0.9825
BQ008,adaptive_novel,Summer 2025 er Wishlist event er purpose ki?,To help plan course offerings based on student demand,"Question (Banglish): Summer 2025 er Wishlist event er purpose ki?
Answer (English): To help plan course offerings based on student demand

Question: Purpose of the Wishlist event for Summer 2025?
Answer: To help plan course offerings based on student demand

Question (Banglish): Protita semester e advising phase shuru kora event er naam ki?
Answer (English): Wishlist event, the schedule will be mailed by the registrar.

Question (Banglish): Connect system e Course Wishlist feature er purpose ki?
Answer (English): Addition of preferred courses to a wishlist to secure seats as they become available while following university policies

Question (Banglish): Wishlist ta ki?
Answer (English): Wishlist event – an online pre-advising activity where undergraduate students (all programs except LLB, PHR, and Residential-Semester-eligible cohorts) log in during an assigned time slot, select the courses they intend to take, and press ""Confirm.""
The collected course demands are then used by BRAC University to decide how many sections to open for each course, and only students who complete this step become eligible for Pre-Registration Phase 1.",To help plan course offerings based on student demand.,open_ended,linear,0.5,False,False,False,False,False,True,0.0269,0.1282,3.7957,3.9516,2026-07-27T11:15:34.060595+00:00,0.1521,1.0013
BQ009,adaptive_novel,Transport service e change hole student der kivabe janano hoy?,Students are informed through official BRAC University notices and announcements.,"Question (Banglish): Transport service e change hole student der kivabe janano hoy?
Answer (English): Students are informed through official BRAC University notices and announcements.

Question (Banglish): Student ra transport service e problem hole kivabe report korbe?
Answer (English): Students can report issues by calling the designated route-specific numbers or reaching out to transport officers.

Question (Banglish): Student ra transport service ke kivabe contact korbe?
Answer (English): Students can contact the transport service via designated phone numbers.

Question (Banglish): Financial aid er decision student der kivabe janano hoy?
Answer (English): Financial aid decisions are typically communicated through email, an online student portal, or physical mail.

Question (Banglish): Ashche semester gula te transport schedule change hobe ki?
Answer (English): The transport schedule is subject to change based on academic schedules and operational needs. Updated schedules will be communicated by the university.",Students are informed through official BRAC University notices and announcements.,open_ended,linear,0.5,False,False,False,False,False,True,0.0278,0.0870,3.8968,4.0128,2026-07-27T11:15:38.073542+00:00,0.3318,1.0004
BQ010,adaptive_novel,Ke Wishlist event e participate korte hobe?,"All undergraduate students attending upcoming, excluding RS-eligible students and LLB, PHR students","Question (Banglish): Ke Wishlist event e participate korte hobe?
Answer (English): All undergraduate students attending upcoming, excluding RS-eligible students and LLB, PHR students

Question (Banglish): Wishlist event e course select korar por ki korte hobe?
Answer (English): Press the ""Confirm"" button within the assigned slot time

Question (Banglish): Wishlist event e participate na korle ki consequence hoy?
Answer (English): Student will not be allowed to register during Pre-Registration Phase 1

Question (Banglish): Wishlist participation miss korle ekjon student ki register korte parbe?
Answer (English): Yes, but only during Pre-Registration Phase 2 or Self Registration, with limited course availability

Question (Banglish): Kon group er student der Wishlist event e participate korar requirement nei?
Answer (English): Students who are eligible for residential semester in the upcoming semester.","All undergraduate students attending the upcoming event, excluding RS-eligible students and LLB, PHR students.",open_ended,linear,0.5,False,False,False,False,False,True,0.0222,0.0682,4.6806,4.7721,2026-07-27T11:15:42.846054+00:00,0.2364,0.9996
