query_id,query,hypothetical_answer
Q001,How are meal plans managed at TARC?,"I'm not aware of any information regarding the management of meal plans at TARC (Tertiary and Research Centre), as I am an advising assistant for BRAC University. However, I can tell you that BRAC University's student affairs department is responsible for managing meal plans on campus, which are typically handled through a centralized system to ensure efficient distribution and tracking of meals."
Q002,Reason for late fee appearing on pay slip of scholarship recipients after 29 June 2025?,"The reason for the late fee appearing on the pay slip of scholarship recipients after 29 June 2025 is likely due to a change in the university's payment processing schedule, which now includes a late fee assessment for payments received beyond the specified deadline. This adjustment aims to encourage timely payments and align with BRAC University's academic advising policies regarding financial obligations."
Q003,When is the next intake for the undergraduate program?,"The next intake for the undergraduate programs at BRAC University typically takes place in July of each year, with applications usually accepted from January to June. However, it's best to confirm this information by checking the university's official website or contacting their admissions office directly for the most up-to-date and accurate information."
Q004,Can you tell me what the minimum and maximum number of group members for a thesis/project is?,"According to the BRAC University guidelines, the minimum number of group members for a thesis/project is three students, while the maximum number is five students. This allows for effective collaboration and distribution of workload among team members."
Q005,Before I forget to ask — what should students do if they have a scheduling conflict with their exams?,"Students who experience a scheduling conflict with their exams at BRAC University should contact the Office of Academic Affairs as soon as possible to discuss available options, which may include rescheduling the exam or making alternative arrangements. The university's academic advising team can also provide guidance on the procedures for resolving such conflicts and ensuring that students' academic progress is not compromised."
Q006,Where is the EEE Department?,"The Electrical and Electronics Engineering (EEE) Department at BRAC University is located in the university's main campus on Mohakhali, Dhaka, Bangladesh, which serves as a central hub for academic activities. The department is situated within the Faculty of Science and Engineering building, where students can easily access various facilities and resources."
Q007,What services does the BRAC University Medical Center provide?,"The BRAC University Medical Center provides a range of medical and healthcare services to students, faculty, and staff, including primary care, specialty consultations, laboratory testing, and emergency care. Additionally, the center also offers health education programs and workshops on various topics such as nutrition, stress management, and disease prevention."
Q008,When must course selections be confirmed after Pre-Registration phases?,"At BRAC University, students typically have a few days to confirm their course selections after the Pre-Registration phase, usually within 2-3 working days. This allows them sufficient time to review and finalize their schedules before the start of the semester."
Q009,Where do i have to park the vehicle?,"Students and visitors with vehicles can park in designated parking lots located near the main campus entrance of BRAC University, which offers a limited number of paid parking spots on a first-come, first-served basis. Additionally, there are also some free parking options available along the adjacent streets, but please note that these spaces may be subject to time limits and restrictions."
Q010,Purpose of the Wishlist event for Summer 2025?,"The Wishlist event at BRAC University is designed to provide students with an opportunity to meet with their academic advisors and discuss their course selection for the upcoming semester, including Summer 2025. During this event, students can review their progress towards degree completion and make informed decisions about their academic plans."
