query_id,config,recall@1,recall@3,recall@5,mrr,ndcg@5,ndcg@10
Q001,full_hybrid_baseline,1.0,1.0,1.0,1.0,0.9828920819566879,0.9828920819566879
Q001,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q002,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q002,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q003,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q003,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q004,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q004,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q005,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q005,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q006,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q006,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q007,full_hybrid_baseline,0.0,1.0,1.0,0.5,0.6934264036172708,0.6934264036172708
Q007,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,0.9197207891481876,0.9197207891481876
Q008,full_hybrid_baseline,1.0,1.0,1.0,1.0,0.8772153153380493,0.8772153153380493
Q008,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q009,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q009,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q010,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q010,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q011,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q011,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q012,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q012,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q013,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q013,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q014,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q014,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q015,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q015,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q016,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q016,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q017,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q017,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q018,full_hybrid_baseline,1.0,1.0,1.0,1.0,0.8687949224876582,0.9770153702993118
Q018,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,0.8687949224876582,0.9770153702993118
Q019,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q019,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q020,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q020,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q021,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q021,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q022,full_hybrid_baseline,1.0,1.0,1.0,1.0,0.8318724637288826,0.9619991470595832
Q022,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q023,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q023,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q024,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q024,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q025,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q025,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q026,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q026,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q027,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q027,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q028,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q028,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q029,full_hybrid_baseline,1.0,1.0,1.0,1.0,0.46927872602275644,0.7461976723150332
Q029,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q030,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q030,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q031,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q031,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q032,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q032,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q033,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q033,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q034,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q034,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q035,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q035,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,0.9469024295259745,0.9469024295259745
Q036,full_hybrid_baseline,1.0,1.0,1.0,1.0,0.6131471927654584,0.7977228895450266
Q036,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q037,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q037,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q038,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q038,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q039,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q039,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q040,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q040,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q041,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q041,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q042,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q042,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q043,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q043,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q044,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,0.9796825595768971
Q044,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q045,full_hybrid_baseline,1.0,1.0,1.0,1.0,0.8772153153380493,0.8772153153380493
Q045,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,0.8772153153380493,0.8772153153380493
Q046,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q046,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q047,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q047,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q048,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q048,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q049,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q049,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q050,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q050,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q051,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q051,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q052,full_hybrid_baseline,1.0,1.0,1.0,1.0,0.7653606369886217,0.9010126104210695
Q052,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,0.7653606369886217,0.9134015924715543
Q053,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q053,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,0.9674679834891693,0.9674679834891693
Q054,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q054,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q055,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q055,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q056,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q056,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,0.9963488021549354
Q057,full_hybrid_baseline,1.0,1.0,1.0,1.0,0.8772153153380493,0.8772153153380493
Q057,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,0.8772153153380493,0.8772153153380493
Q058,full_hybrid_baseline,0.0,1.0,1.0,0.5,0.6608397947263839,0.7816510974258781
Q058,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q059,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q059,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q060,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q060,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q061,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q061,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q062,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q062,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q063,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q063,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q064,full_hybrid_baseline,1.0,1.0,1.0,1.0,0.8318724637288826,0.9709286432396583
Q064,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q065,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q065,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q066,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q066,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q067,full_hybrid_baseline,1.0,1.0,1.0,1.0,0.9060254355346823,0.9060254355346823
Q067,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q068,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q068,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q069,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q069,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,0.9469024295259745,0.9469024295259745
Q070,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q070,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q071,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q071,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q072,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q072,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q073,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q073,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q074,full_hybrid_baseline,1.0,1.0,1.0,1.0,0.9197207891481876,0.9197207891481876
Q074,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,0.9197207891481876,0.9197207891481876
Q075,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q075,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q076,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q076,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q077,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q077,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q078,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q078,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q079,full_hybrid_baseline,1.0,1.0,1.0,1.0,0.9674679834891693,0.9674679834891693
Q079,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,0.9674679834891693,0.9674679834891693
Q080,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q080,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q081,full_hybrid_baseline,0.0,0.0,0.0,0.0,0.0,0.0
Q081,full_hybrid_trf_rerank,0.0,0.0,0.0,0.0,0.0,0.0
Q082,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q082,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q083,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q083,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q084,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q084,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q085,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q085,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q086,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q086,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q087,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q087,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q088,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q088,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q089,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q089,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q090,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q090,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q091,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q091,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q092,full_hybrid_baseline,1.0,1.0,1.0,1.0,0.7653606369886217,0.9325210919548239
Q092,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,0.7653606369886217,0.9325210919548239
Q093,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q093,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q094,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q094,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q095,full_hybrid_baseline,1.0,1.0,1.0,1.0,0.75369761125927,0.8927537907700456
Q095,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q096,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q096,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q097,full_hybrid_baseline,1.0,1.0,1.0,1.0,0.9674679834891693,0.9674679834891693
Q097,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q098,full_hybrid_baseline,1.0,1.0,1.0,1.0,0.7653606369886217,0.9217868789962071
Q098,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,0.9674679834891693,0.9674679834891693
Q099,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q099,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
Q100,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q100,full_hybrid_trf_rerank,1.0,1.0,1.0,1.0,1.0,1.0
