query_id,config,is_entity_heavy,recall@1,recall@3,recall@5,mrr,ndcg@5,ndcg@10
Q001,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q002,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q003,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q004,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q005,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q006,bm25_only,False,1.0,1.0,1.0,1.0,0.9197207891481876,0.9197207891481876
Q007,bm25_only,False,0.0,1.0,1.0,0.5,0.38685280723454163,0.5912352048230277
Q008,bm25_only,False,1.0,1.0,1.0,1.0,0.6131471927654584,0.8315546295836225
Q009,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q010,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q011,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q012,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q013,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q014,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q015,bm25_only,False,1.0,1.0,1.0,1.0,0.7653606369886217,0.9325210919548239
Q016,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q017,bm25_only,False,1.0,1.0,1.0,1.0,0.7653606369886217,0.9217868789962071
Q018,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q019,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q020,bm25_only,False,1.0,1.0,1.0,1.0,0.9197207891481876,0.9197207891481876
Q021,bm25_only,False,1.0,1.0,1.0,1.0,0.9197207891481876,0.9197207891481876
Q022,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q023,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q024,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q025,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q026,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q027,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q028,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q029,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q030,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q031,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q032,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q033,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q034,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q035,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q036,bm25_only,False,1.0,1.0,1.0,1.0,0.6131471927654584,0.8065735963827293
Q037,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q038,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q039,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q040,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q041,bm25_only,False,1.0,1.0,1.0,1.0,0.9674679834891693,0.9674679834891693
Q042,bm25_only,False,1.0,1.0,1.0,1.0,0.9197207891481876,0.9197207891481876
Q043,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q044,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q045,bm25_only,False,1.0,1.0,1.0,1.0,0.8772153153380493,0.8772153153380493
Q046,bm25_only,False,0.0,0.0,1.0,0.25,0.38364913903790027,0.5508095940041026
Q047,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q048,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q049,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q050,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q051,bm25_only,False,1.0,1.0,1.0,1.0,0.9828920819566879,0.9828920819566879
Q052,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q053,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q054,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q055,bm25_only,False,1.0,1.0,1.0,1.0,0.9674679834891693,0.9674679834891693
Q056,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q057,bm25_only,False,1.0,1.0,1.0,1.0,0.6131471927654584,0.8175295903539445
Q058,bm25_only,False,0.0,1.0,1.0,0.5,0.6608397947263839,0.7816510974258781
Q059,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q060,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q061,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q062,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q063,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q064,bm25_only,False,1.0,1.0,1.0,1.0,0.8318724637288826,0.9709286432396583
Q065,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q066,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q067,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q068,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q069,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q070,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q071,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q072,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q073,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q074,bm25_only,False,1.0,1.0,1.0,1.0,0.9197207891481876,0.9197207891481876
Q075,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q076,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q077,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q078,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q079,bm25_only,False,1.0,1.0,1.0,1.0,0.9469024295259745,0.9469024295259745
Q080,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q081,bm25_only,False,0.0,0.0,0.0,0.0,0.0,0.0
Q082,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q083,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q084,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q085,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q086,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q087,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q088,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q089,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q090,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q091,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q092,bm25_only,False,1.0,1.0,1.0,1.0,0.8503449055347546,0.8503449055347546
Q093,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q094,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q095,bm25_only,False,1.0,1.0,1.0,1.0,0.3903800499921017,0.7438924904678291
Q096,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q097,bm25_only,False,1.0,1.0,1.0,1.0,0.7039180890341347,0.86034433104172
Q098,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q099,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q100,bm25_only,False,1.0,1.0,1.0,1.0,1.0,1.0
Q101,bm25_only,True,1.0,1.0,1.0,1.0,1.0,1.0
Q102,bm25_only,True,1.0,1.0,1.0,1.0,0.46927872602275644,0.7737459235132744
Q103,bm25_only,True,1.0,1.0,1.0,1.0,1.0,1.0
Q104,bm25_only,True,1.0,1.0,1.0,1.0,1.0,1.0
Q105,bm25_only,True,1.0,1.0,1.0,1.0,1.0,1.0
Q106,bm25_only,True,1.0,1.0,1.0,1.0,1.0,1.0
Q107,bm25_only,True,0.0,0.0,0.0,0.0,0.0,0.0
Q108,bm25_only,True,1.0,1.0,1.0,1.0,1.0,1.0
Q109,bm25_only,True,1.0,1.0,1.0,1.0,1.0,1.0
Q110,bm25_only,True,0.0,0.0,0.0,0.0,0.0,0.0
Q111,bm25_only,True,1.0,1.0,1.0,1.0,1.0,1.0
Q112,bm25_only,True,1.0,1.0,1.0,1.0,1.0,1.0
Q113,bm25_only,True,1.0,1.0,1.0,1.0,1.0,1.0
Q114,bm25_only,True,1.0,1.0,1.0,1.0,0.6131471927654584,0.8175295903539445
Q115,bm25_only,True,1.0,1.0,1.0,1.0,1.0,1.0
Q116,bm25_only,True,1.0,1.0,1.0,1.0,1.0,1.0
