answer,n_questions,n_clusters,possible_collapse
"As of late 2024, Professor Syed Ferhat Anwar serves as Vice-Chancellor of BRAC University, having previously been Director of the Institute of Business Administration (IBA) at Dhaka University. He succeeded Vincent Chang, who served from 2019 to 2023.",5,2,True
"As of recent figures, BRAC University has over 20,000 students in total (around 17,000+ undergraduates and 3,000+ postgraduates) and roughly 649 academic staff.",5,4,False
"As with other Bangladeshi universities, the President of Bangladesh serves as Chancellor of BRAC University in an ex-officio capacity; day-to-day academic leadership rests with the Vice-Chancellor.",5,3,False
"BRAC Onnesha orbited about 400 km above Earth, completing one orbit roughly every 90 minutes and passing over Bangladesh 4-6 times a day; it was designed to capture imagery useful for studying vegetation, urbanization, flooding, water resources, and forestry.",5,3,False
"BRAC Onnesha was Bangladesh's first nanosatellite, a 10cm CubeSat designed, developed, and assembled by three BRAC University postgraduate students (Abdulla Hil Kafi, Raihana Shams Islam Antara, and Maisun Ibn Monowar) at Japan's Kyushu Institute of Technology (Kyutech). It made BRAC University the first Bangladeshi educational institution to have its own satellite.",5,2,True
"BRAC Onnesha was launched on July 7, 2017, aboard a SpaceX Falcon 9 rocket as part of the CRS-11 resupply mission to the International Space Station, built in collaboration with Kyutech's Birds-1 program involving five countries.",5,3,False
"BRAC University has a community of over 26,000 alumni around the world, spanning graduates from all its undergraduate and postgraduate programs since the university's founding in 2001.",5,1,True
"BRAC University was established in 2001, founded by Sir Fazle Hasan Abed, and is affiliated with the University Grants Commission (UGC) of Bangladesh.",5,2,True
"BRAC University's current governance structure (Board of Trustees, Syndicate, and Academic Council as currently organized) was established in 2011, a decade after the university's 2001 founding.",5,4,False
"BRAC University's official colours are blue, black, and gray.",5,2,True
BRAC University's official motto is 'Inspiring Excellence'.,5,2,True
"BRAC University's programs are recognized/accredited by bodies including the Bar Council (for LLB), the Institution of Engineers Bangladesh (IEB), the Pharmacy Council of Bangladesh (PCB), and the Institute of Architects Bangladesh (IAB). It also holds international affiliations and memberships including the Association to Advance Collegiate Schools of Business (AACSB) network, the Association of Commonwealth Universities (ACU), and the Association of Private Universities of Bangladesh (APUB), in addition to its core affiliation with the University Grants Commission (UGC) of Bangladesh.",5,2,True
"BRACU Dichari is a BRAC University undergraduate robotics team that became the first Bangladeshi team to qualify for the European Robotics League (ERL). At the ERL Emergency Local Tournament in Poznan, Poland, the team won the 'Perseverance Award' and placed 4th in the tournament.",5,3,False
"Dr. Jamilur Reza Choudhury served as BRAC University's first Vice-Chancellor, from the university's founding in 2001 until 2010.",5,1,True
"EEE alumni designed and developed BRAC Onnesha, described as the first nanosatellite from Bangladesh, which the department highlights as a signature achievement of its graduates.",5,2,True
"The Academic Council, also chaired by the Vice-Chancellor, makes education policy recommendations and reviews curricula and academic progress across the university.",5,4,False
"The Board of Trustees is BRAC University's highest policy-making body and has 12 members, one of whom is the Vice-Chancellor.",5,3,False
"The Office of Career Services and Alumni Relations (OCSAR) is responsible for facilitating BRAC University's alumni community, including career consultations and staying updated on job market requirements.",5,5,False
"The Syndicate, chaired by the Vice-Chancellor, supervises the university's academic and administrative functions.",5,3,False
"Yes, BRAC University has official regional alumni networks including BRAC University Alumni Network - Asia Pacific, Australia, US, and Canada, alongside an official alumni Facebook group for graduates to connect and collaborate globally.",5,3,False
"Yes, alumni benefits include a discount on pathological (lab) tests, in addition to continued access to career support and networking opportunities through OCSAR and the regional alumni networks.",5,5,False
"Yes, the BRAC Onnesha project received the ACI Award and the Airbus Diversity Award, one of the more prestigious recognitions in the engineering field, for its successful 2017 launch.",5,2,True
