query_id,is_entity_heavy,retrieval_consistent,exact_match_all_repeats,min_pairwise_similarity,answers
Q184,True,True,True,1.0,"[""Atonu Roy Chowdhury's email is atonuroy.chowdhury@bracu.ac.bd."", ""Atonu Roy Chowdhury's email is atonuroy.chowdhury@bracu.ac.bd."", ""Atonu Roy Chowdhury's email is atonuroy.chowdhury@bracu.ac.bd.""]"
Q154,True,True,True,1.0,"[""The theory class for CSE370-16 is held on Saturday and Thursday at 9:30 AM."", ""The theory class for CSE370-16 is held on Saturday and Thursday at 9:30 AM."", ""The theory class for CSE370-16 is held on Saturday and Thursday at 9:30 AM.""]"
Q171,True,True,False,0.5344129554655871,"[""The lab section of CSE221-19 is taught by both Mr. Ayman Rasheed and Md. Anonto Shuvo on Saturday at 11:00 AM in room 09E-22L, and again at 12:30 PM in the same location."", ""The lab instructors for CSE221-19 are Mr. Ayman Rasheed and Md. Anonto Shuvo."", ""The lab instructors for CSE221-19 are Mr. Ayman Rasheed and Md. Anonto Shuvo.""]"
Q146,True,True,True,1.0,"[""The first Theory Coordinator for CSE461 is KHR."", ""The first Theory Coordinator for CSE461 is KHR."", ""The first Theory Coordinator for CSE461 is KHR.""]"
Q145,True,True,True,1.0,"[""The theory coordinator email for CSE446 is sadek.ferdous@bracu.ac.bd, and the lab coordinator emails are ext.sajid.mahir@bracu.ac.bd and sadek.ferdous@bracu.ac.bd."", ""The theory coordinator email for CSE446 is sadek.ferdous@bracu.ac.bd, and the lab coordinator emails are ext.sajid.mahir@bracu.ac.bd and sadek.ferdous@bracu.ac.bd."", ""The theory coordinator email for CSE446 is sadek.ferdous@bracu.ac.bd, and the lab coordinator emails are ext.sajid.mahir@bracu.ac.bd and sadek.ferdous@bracu.ac.bd.""]"
Q140,True,True,True,1.0,"[""The first Theory Coordinator for CSE330 is AMK and the second Theory Coordinator is AQU."", ""The first Theory Coordinator for CSE330 is AMK and the second Theory Coordinator is AQU."", ""The first Theory Coordinator for CSE330 is AMK and the second Theory Coordinator is AQU.""]"
Q123,True,True,True,1.0,"[""The prerequisite for CSE430 is MAT120 (HP), with a full prerequisite chain of MAT120-MAT110."", ""The prerequisite for CSE430 is MAT120 (HP), with a full prerequisite chain of MAT120-MAT110."", ""The prerequisite for CSE430 is MAT120 (HP), with a full prerequisite chain of MAT120-MAT110.""]"
Q181,True,True,True,1.0,"[""Anika Tasnim's room is 4F."", ""Anika Tasnim's room is 4F."", ""Anika Tasnim's room is 4F.""]"
Q111,True,True,True,1.0,"[""The prerequisites for CSE420 are CSE321 (HP), CSE331 (HP), and CSE340 (HP)."", ""The prerequisites for CSE420 are CSE321 (HP), CSE331 (HP), and CSE340 (HP)."", ""The prerequisites for CSE420 are CSE321 (HP), CSE331 (HP), and CSE340 (HP).""]"
Q101,True,True,True,1.0,"[""The full prerequisite chain for CSE423 is MAT216 (HP) - MAT120 - MAT110."", ""The full prerequisite chain for CSE423 is MAT216 (HP) - MAT120 - MAT110."", ""The full prerequisite chain for CSE423 is MAT216 (HP) - MAT120 - MAT110.""]"
