question,category,answer
What is advising?,Advising,Advising is the procedure of taking courses for your next semester. It is divided into two parts. Firstly Pre-advising then main advising. Pre-advising usually happens few days before your cuurent semester's final starts and main advising usually begins 1 week before the class starts.
Can you give me the understanding of the overall advising process?,Advising,"Firstly during pre advising the The advising procedures are different for every department. Example: For CSE department the advising is divided into 3 parts. Pre Advising(2 Slots for everyone), Discord Advising and On campus Advising. Pre Advising schedule will be uploaded at Brac University Website and you will also be emailed by the Office of the registrar beforehand. So, check your G-suite for updates.Discord advising happens for two/three days. For discord advising you have to verify yourself first (Only needed if you are not verified before or if you are a 2nd semester student or you are using a new discord id which was not authorized before). The rules and verification procedures will be sent in your g-suite email. After following them you will get yourself verified. Then you will be assigned to an advisor. In your advisor's advising channel you will be able to text your swap/drop/add requests. After the discord advising, you will find your advisor on campus. You have to meet him to get fast response for your request. You can also use discord but the advisor will procede your request when he is free from his on campus students. When the classes begin, you will also able to do advising both on Discord and On campus. But the advisor will only response in this free time."
Can you give me the actual advising schedule of next semester?,Advising,"For Fall'24 the advising session will begin on 16 October. Here is the detailed information: **2024 FALL DATES:**
**Online Advising (Discord)**
> **Date:** 16  to 17 October
> **Active Time:** **[**9 AM to 12.30 PM**]**, **[**1.30 PM to 5 PM**]**

**Offline Advising (On Campus)**
> **Date:** 20 to 21 October
> **Active Time:** **[**10 AM to 12.30 PM**]**, **[**1.30 PM to 4 PM**]**

**NO ADVISING ON**
> 18 to 19 October - Weekend

**AFTER ADVISING WEEK**
> Please note that advisors will only advise during their consultation/free hours after 21 October

**Last date to DROP:**
> **100% Waive:** 28 October 2024
> **75% Waive:** 4 November 2024
> **With W Grade:** 11 November 2024

**Last date to ADD/SWAP/SECTION CHANGE:**
> Monday, 28 October

**Class Start Dates**
> Theory classes: 22 October
> Lab classes: <TBA>   For Details Visit: https://cse.sds.bracu.ac.bd/advising"
What is pre advising?,Advising,"Pre-advising is an important step in the academic registration process. It is a phase where students plan and select the courses they intend to take in the upcoming semester. During pre-advising, students consult with their assigned academic advisors and mentors to ensure their course selections align with their degree requirements, academic standing, and future goals.

Here are some key points about the pre-advising process at BRAC University:

Course Selection: Students can review the available courses for the upcoming semester and choose the ones they need to enroll in. This includes major courses, general education courses, and electives.

Academic Planning: Pre-advising provides an opportunity for students to plan their academic journey, ensuring they meet prerequisites and avoid scheduling conflicts.

Consultation with Advisors/Mentors: Students meet with academic advisors/mentors who provide guidance on course loads, graduation requirements, and academic performance.

System Access: Once students finalize their course plan, they can proceed to formal registration when the advising period opens. Pre-advising helps prevent delays during registration as students have already mapped out their courses.

Pre-advising is crucial for staying on track with academic goals and preventing potential issues with course availability."
What is main advising?,Advising,"Main advising refers to the formal academic advising phase that takes place after pre-advising. In this stage, students finalize their course selections and officially register for their chosen courses. Main advising is a critical part of the registration process, ensuring that students’ course choices are reviewed and approved by their academic advisors.

Here are the key aspects of main advising:

Final Course Selection: During main advising, students confirm their course choices, often making adjustments based on availability, prerequisites, or advisor recommendations.

Advisor Approval: Academic advisors review the selected courses to ensure they align with the student’s degree plan and academic progress. Advisors also provide feedback or suggestions on course load, timing, and long-term academic planning.

Registration: After advisor approval, students proceed to register for their courses in the university’s registration system. This step locks in the student’s schedule for the semester.

Adjustments and Overrides: In some cases, students might need to make last-minute changes, such as adding or dropping courses, based on availability or changes in their academic goals. Advisors may assist with necessary overrides if a course is full or if the student needs special permission.

Follow-up: Main advising helps ensure that students are taking the correct courses to fulfill graduation requirements and stay on track academically.

Main advising is essential for ensuring that students are properly registered and that their academic plan aligns with university guidelines and personal academic goals."
Why my Usis is blocked durning advising?,Advising,You have login into these page using your g-suit to get help. LINK: https://bracu.atlassian.net/servicedesk/customer/portal/2/user/login?destination=portal%2F2 or try emailing about your problem at usis-help@bracu.ac.bd
How to do advising as my advising is blocked but my payment is clear?,Advising,You have login into these page using your g-suit to get help. LINK: https://bracu.atlassian.net/servicedesk/customer/portal/2/user/login?destination=portal%2F2 or try emailing at usis-help@bracu.ac.bd
Which courses to take next semester as I am from this department and I have done ….?,Advising,"If you are fresher of CSE department and done doing all credit courses you can take them: Docs fetch kore sajano lagbe                                                           
Doc link: https://docs.google.com/spreadsheets/d/1sCJKDlOa7y6mj3gPRQqZ5nFHUeWVwOFzt-dub92vw5Q/edit?gid=0#gid=0"
How to do pre advising?,Advising,"Firstly, you have to know when is your advising. Visit BRACU official website: https://www.bracu.ac.bd/pre-registration-schedule-fall-2024"
How to do main advising? (Department Wise),Advising,"The advising procedures are different for every department. Example: For CSE department the advising is divided into 2 parts. First one, Discord Advising and On campus Advising. Discord advising happens for two/three days. For discord advising you have to verify yourself first. The rules and verification procedures will be sent in your g-suite email. After following them you will get yourself verified. Then you will be assigned to an advisor. In your advisor's advising channel you will be able to text your swap/drop/add requests. After the discord advising, you will find your advisor on campus. You have to meet him to get fast response for your request. You can also use discord but the advisor will procede your request when he is free from his on campus students. When the classes begin, you will also able to do advising both on Discord and On campus. But the advisor will only response in this free time."
