query_id,config,query,reference_answer,retrieved_context,generated_answer,route,fusion,lambda,abstained,raw_abstain,sufficient_context_override,graph_augmented,faculty_room_augmented,exact_match_any,question_match_any,translated_query,normalized_query,retrieval_s,rerank_s,generation_s,total_s,timestamp,query_confidence,query_top1_score
Q001,adaptive_novel,How are meal plans managed at TARC?,"Tarc provides 3 main meals breakfast,lunch and dinner and two snack time followed by them.Breakfast time continues from 7-9 am, lunch time continues from 12:30-3 pm,dinner continues from 8:30-10 pm followed by snacks time which are from 11-12 am and 4-5 pm colleectively","Question: How are meal plans managed at TARC?
Answer: Tarc provides 3 main meals breakfast,lunch and dinner and two snack time followed by them.Breakfast time continues from 7-9 am, lunch time continues from 12:30-3 pm,dinner continues from 8:30-10 pm followed by snacks time which are from 11-12 am and 4-5 pm colleectively

Question: Sorry if this was already answered, but how are meal plans managed at TARC?
Answer: Tarc provides 3 main meals breakfast,lunch and dinner and two snack time followed by them.Breakfast time continues from 7-9 am, lunch time continues from 12:30-3 pm,dinner continues from 8:30-10 pm followed by snacks time which are from 11-12 am and 4-5 pm colleectively

Question (Banglish): BRAC Savar Residential Campus dining hall weekly menu nutritionist guidance follow kore?
Answer (English): Yes, meal plans are designed under nutritional guidelines to offer balanced diets for resident students.

Question (Banglish): TARC e meal plan kivabe manage kora hoy?
Answer (English): Tarc provides 3 main meals breakfast,lunch and dinner and two snack time followed by them.Breakfast time continues from 7-9 am, lunch time continues from 12:30-3 pm,dinner continues from 8:30-10 pm followed by snacks time which are from 11-12 am and 4-5 pm colleectively

Question: Before I forget to ask — how are meal plans managed at TARC?
Answer: Tarc provides 3 main meals breakfast,lunch and dinner and two snack time followed by them.Breakfast time continues from 7-9 am, lunch time continues from 12:30-3 pm,dinner continues from 8:30-10 pm followed by snacks time which are from 11-12 am and 4-5 pm colleectively","Meal plans are managed at TARC by providing three main meals (breakfast, lunch, and dinner) and two snack times, with specific time slots for each: breakfast from 7-9 am, lunch from 12:30-3 pm, dinner from 8:30-10 pm, followed by snacks from 11-12 am and 4-5 pm collectively.",open_ended,linear,0.5,False,False,False,False,False,False,True,,,0.4909,0.0000,10.7212,11.2122,2026-08-01T21:13:18.226611+00:00,0.0131,1.0441
Q002,adaptive_novel,Reason for late fee appearing on pay slip of scholarship recipients after 29 June 2025?,The fee appears temporarily and will be waived automatically once the scholarship is adjusted.,"Question: Reason for late fee appearing on pay slip of scholarship recipients after 29 June 2025?
Answer: The fee appears temporarily and will be waived automatically once the scholarship is adjusted.

Question: Consequence of adding courses after 24 June 2025?
Answer: A late registration fee will be applied.

Question: Can you tell me what the consequences of late payment of tuition and fees are?
Answer: At BRAC University, failure to make timely payments of tuition and fees can result in significant academic and financial consequences. Students who do not meet payment deadlines may have their academic results withheld, preventing them from accessing their grades or academic records. Additionally, unpaid dues can lead to the student being blocked from registering for future semesters, thereby delaying their academic progress. The university may also impose late fees or penalties, further increasing the cost of attendance. In extreme cases, continued non-payment could result in deregistration from the university, causing the student to lose their enrollment status

Question: What are the consequences of late payment of tuition and fees?
Answer: At BRAC University, failure to make timely payments of tuition and fees can result in significant academic and financial consequences. Students who do not meet payment deadlines may have their academic results withheld, preventing them from accessing their grades or academic records. Additionally, unpaid dues can lead to the student being blocked from registering for future semesters, thereby delaying their academic progress. The university may also impose late fees or penalties, further increasing the cost of attendance. In extreme cases, continued non-payment could result in deregistration from the university, causing the student to lose their enrollment status

Question (Banglish): Scholarship pawa student der pay slip e 29 June 2025 er por late fee keno ashe?
Answer (English): The fee appears temporarily and will be waived automatically once the scholarship is adjusted.",The reason for the late fee appearing on the pay slip of scholarship recipients after 29 June 2025 is that the fee appears temporarily and will be waived automatically once the scholarship is adjusted.,open_ended,linear,0.5,False,False,False,False,False,False,True,,,0.0281,0.0000,6.4383,6.4665,2026-08-01T21:13:24.693818+00:00,0.4164,1.1036
Q003,adaptive_novel,When is the next intake for the undergraduate program?,"BRAC University admits new undergraduates three times a year - Spring (classes start January), Summer (May), and Fall (September). The exact application deadline and admission test date for the next intake are published on the Admissions page (bracu.ac.bd/admissions) closer to that semester.","Question: When is the next intake for the undergraduate program?
Answer: BRAC University admits new undergraduates three times a year - Spring (classes start January), Summer (May), and Fall (September). The exact application deadline and admission test date for the next intake are published on the Admissions page (bracu.ac.bd/admissions) closer to that semester.

Question (Banglish): Undergraduate program e porer barer intake ta thik kobe theke shuru hobe?
Answer (English): BRAC University admits new undergraduates three times a year - Spring (classes start January), Summer (May), and Fall (September). The exact application deadline and admission test date for the next intake are published on the Admissions page (bracu.ac.bd/admissions) closer to that semester.

Question (Banglish): BRAC University er Department of Architecture kobe shuru hoyechilo, ar er typical intake koto?
Answer (English): The department started in Spring 2002 with 15 students and 3 faculty members. Admission is competitive and intake has historically been limited to around 25-30 students per year to maintain close studio supervision.

Question: When did the Department of Architecture at BRAC University start, and how large is its typical intake?
Answer: The department started in Spring 2002 with 15 students and 3 faculty members. Admission is competitive and intake has historically been limited to around 25-30 students per year to maintain close studio supervision.

Question: Do you know when is the next intake for the undergraduate program?
Answer: BRAC University admits new undergraduates three times a year - Spring (classes start January), Summer (May), and Fall (September). The exact application deadline and admission test date for the next intake are published on the Admissions page (bracu.ac.bd/admissions) closer to that semester.","BRAC University admits new undergraduates three times a year - Spring (classes start January), Summer (May), and Fall (September). The exact application deadline and admission test date for the next intake are published on the Admissions page (bracu.ac.bd/admissions) closer to that semester.",open_ended,linear,0.5,False,False,False,False,False,False,True,,,0.0166,0.0000,8.7013,8.7180,2026-08-01T21:13:33.412465+00:00,0.0162,1.0435
Q004,adaptive_novel,Can you tell me what the minimum and maximum number of group members for a thesis/project is?,A thesis/project group must have a minimum of 1 member and a maximum of 5 members.,"Question: Can you tell me what the minimum and maximum number of group members for a thesis/project is?
Answer: A thesis/project group must have a minimum of 1 member and a maximum of 5 members.

Question (Banglish): Thesis/project er jonno group member minimum ar maximum koyjon lagbe?
Answer (English): A thesis/project group must have a minimum of 1 member and a maximum of 5 members.

Question (Banglish): BRAC e ekta thesis group e koyjon student thakte pare?
Answer (English): The permitted number of students in a thesis or project group is determined by the academic department and may vary depending on the program and course requirements.

Question: Can you tell me what the maximum number of supervisors/co-supervisors allowed per group is?
Answer: A maximum of 2 supervisors and 2 co-supervisors.

Question: What is the minimum and maximum number of group members for a thesis/project?
Answer: A thesis/project group must have a minimum of 1 member and a maximum of 5 members.",A thesis/project group must have a minimum of 1 member and a maximum of 5 members.,open_ended,linear,0.5,False,False,False,False,False,False,True,,,0.0223,0.0000,4.5778,4.6002,2026-08-01T21:13:38.012922+00:00,0.0613,1.0320
Q005,adaptive_novel,Before I forget to ask — what should students do if they have a scheduling conflict with their exams?,"The first step is to inform the course instructor about the conflict as soon as possible. If the conflict involves multiple exams or cannot be resolved with the instructor, students should consult their department office. The department can provide additional support or coordinate with other instructors to find a solution.","Question: What should students do if they have a scheduling conflict with their exams?
Answer: The first step is to inform the course instructor about the conflict as soon as possible. If the conflict involves multiple exams or cannot be resolved with the instructor, students should consult their department office. The department can provide additional support or coordinate with other instructors to find a solution.

Question: Before I forget to ask — what should students do if they have a scheduling conflict with their exams?
Answer: The first step is to inform the course instructor about the conflict as soon as possible. If the conflict involves multiple exams or cannot be resolved with the instructor, students should consult their department office. The department can provide additional support or coordinate with other instructors to find a solution.

Question (Banglish): BRAC e Midterm ba Final Exam conflict hoye gele student er ki koronio?
Answer (English): If a student faces an exam time conflict (two exams scheduled at the same time), they must inform their respective course instructors and the Department Office at least one week prior to the exam to arrange a rescheduled test.

Question (Banglish): Exam er scheduling e conflict thakle student der ki korte hoy?
Answer (English): The first step is to inform the course instructor about the conflict as soon as possible. If the conflict involves multiple exams or cannot be resolved with the instructor, students should consult their department office. The department can provide additional support or coordinate with other instructors to find a solution.

Question: Random question, what should students do if they have a scheduling conflict with their exams?
Answer: The first step is to inform the course instructor about the conflict as soon as possible. If the conflict involves multiple exams or cannot be resolved with the instructor, students should consult their department office. The department can provide additional support or coordinate with other instructors to find a solution.","The first step is to inform the course instructor about the conflict as soon as possible. If the conflict involves multiple exams or cannot be resolved with the instructor, students should consult their department office. The department can provide additional support or coordinate with other instructors to find a solution.",open_ended,linear,0.5,False,False,False,False,False,False,True,,,0.0197,0.0000,7.9785,7.9987,2026-08-01T21:13:46.011807+00:00,0.0018,1.0424
Q006,adaptive_novel,Where is the EEE Department?,The EEE Department is located on the 4th floor and the labs are on 11th and 12th.,"Question: Where is the EEE Department?
Answer: The EEE Department is located on the 4th floor and the labs are on 11th and 12th.

Question: Where is EEE department's printing Lab?
Answer: The EEE Department's printing lab is on 12B-17L

Question (Banglish): Department of EEE ki ki undergraduate ar graduate program offer kore?
Answer (English): The Department of Electrical and Electronic Engineering offers two undergraduate programs - Bachelor of Science in Electrical and Electronic Engineering (BSEEE) and Bachelor of Science in Electronic and Communication Engineering (BSECE) - plus two graduate programs, the Master of Science in EEE (MScEEE) and the Master of Engineering in EEE (MEnggEEE).

Question: What undergraduate and graduate programs does the Department of EEE offer?
Answer: The Department of Electrical and Electronic Engineering offers two undergraduate programs - Bachelor of Science in Electrical and Electronic Engineering (BSEEE) and Bachelor of Science in Electronic and Communication Engineering (BSECE) - plus two graduate programs, the Master of Science in EEE (MScEEE) and the Master of Engineering in EEE (MEnggEEE).

Question (Banglish): EEE Department kothay?
Answer (English): The EEE Department is located on the 4th floor and the labs are on 11th and 12th.",The EEE Department is located on the 4th floor and the labs are on 11th and 12th.,open_ended,linear,0.5,False,False,False,False,False,False,True,,,0.0151,0.0000,5.1409,5.1561,2026-08-01T21:13:51.168463+00:00,0.0303,1.0142
Q007,adaptive_novel,What services does the BRAC University Medical Center provide?,"The Medical Center offers emergency medical services and free consultations/medicine to students and employees, health checkups with an official Health Card, referrals to partner hospitals for emergencies, ambulance support, and workshops on reproductive health and family planning. It also runs blood donation programs in collaboration with student clubs, arranges vaccination drives for communicable diseases, and holds regular STD/reproductive health workshops each semester with BRAC James P Grant School of Public Health.","Question: Hi, what services does the BRAC University Medical Center provide?
Answer: The Medical Center offers emergency medical services and free consultations/medicine to students and employees, health checkups with an official Health Card, referrals to partner hospitals for emergencies, ambulance support, and workshops on reproductive health and family planning, among other services.

Question (Banglish): BRAC University Medical Center ki ki service provide kore?
Answer (English): The Medical Center offers emergency medical services and free consultations/medicine to students and employees, health checkups with an official Health Card, referrals to partner hospitals for emergencies, ambulance support, and workshops on reproductive health and family planning. It also runs blood donation programs in collaboration with student clubs, arranges vaccination drives for communicable diseases, and holds regular STD/reproductive health workshops each semester with BRAC James P Grant School of Public Health.

Question (Banglish): BRAC University te student der jonno ki medical center ache?
Answer (English): Yes, BRAC University's Student Life section lists a Medical Center that provides healthcare services to students on campus, in addition to the medical facilities available at the Savar Residential Campus.

Question: Does BRAC University have a medical center for students?
Answer: Yes, BRAC University's Student Life section lists a Medical Center that provides healthcare services to students on campus, in addition to the medical facilities available at the Savar Residential Campus.

Question: What services does the BRAC University Medical Center provide?
Answer: The Medical Center offers emergency medical services and free consultations/medicine to students and employees, health checkups with an official Health Card, referrals to partner hospitals for emergencies, ambulance support, and workshops on reproductive health and family planning. It also runs blood donation programs in collaboration with student clubs, arranges vaccination drives for communicable diseases, and holds regular STD/reproductive health workshops each semester with BRAC James P Grant School of Public Health.","The BRAC University Medical Center provides emergency medical services and free consultations/medicine to students and employees, health checkups with an official Health Card, referrals to partner hospitals for emergencies, ambulance support, and workshops on reproductive health and family planning. It also runs blood donation programs in collaboration with student clubs, arranges vaccination drives for communicable diseases, and holds regular STD/reproductive health workshops each semester with BRAC James P Grant School of Public Health.",open_ended,linear,0.5,False,False,False,False,False,False,True,,,0.0206,0.0000,12.1224,12.1432,2026-08-01T21:14:03.311972+00:00,0.0638,1.0087
Q008,adaptive_novel,When must course selections be confirmed after Pre-Registration phases?,During the Self-Registration period assigned after result publication,"Question: When must course selections be confirmed after Pre-Registration phases?
Answer: During the Self-Registration period assigned after result publication

Question: Final opportunity for course registration after Pre-Registration Phases?
Answer: The Self-Registration period is the final opportunity for course registration after both Pre-Registration phases have ended.

Question (Banglish): Pre-Registration Phase er por course registration er final opportunity ta ki?
Answer (English): The Self-Registration period is the final opportunity for course registration after both Pre-Registration phases have ended.

Question: Just wondering, final opportunity for course registration after Pre-Registration Phases?
Answer: The Self-Registration period is the final opportunity for course registration after both Pre-Registration phases have ended.

Question (Banglish): Pre-Registration phase er por course selection kobe confirm korte hobe?
Answer (English): During the Self-Registration period assigned after result publication",Course selections must be confirmed during the Self-Registration period assigned after result publication.,open_ended,linear,0.5,False,False,False,False,False,False,True,,,0.0213,0.0000,4.3412,4.3627,2026-08-01T21:14:07.674985+00:00,0.6639,1.1032
Q009,adaptive_novel,Where do i have to park the vehicle?,You can park your vehicle at basement-2.,"Question: Where do i have to park the vehicle?
Answer: You can park your vehicle at basement-2.

Question: How long can i park my vehicle on campus?
Answer: As long as you're paying the parking fee

Question (Banglish): BRAC campus parking e daily vehicle parking token fee koto?
Answer (English): Authorized students and faculty members can park their registered vehicles at designated campus parking zones by adhering to the university parking guidelines and security checks.

Question (Banglish): Ami koto shomoy campus e amar vehicle park korte pari?
Answer (English): As long as you're paying the parking fee

Question (Banglish): Amar vehicle ta kothay park korte hobe?
Answer (English): You can park your vehicle at basement-2.",You can park your vehicle at basement-2.,open_ended,linear,0.5,False,False,False,False,False,False,True,,,0.0165,0.0000,3.6792,3.6958,2026-08-01T21:14:11.370892+00:00,0.1406,1.0425
Q010,adaptive_novel,Purpose of the Wishlist event for Summer 2025?,To help plan course offerings based on student demand,"Question: Purpose of the Wishlist event for Summer 2025?
Answer: To help plan course offerings based on student demand

Question: Why is participation in the Wishlist event important?
Answer: Course offerings will be based on student demand collected from Wishlist submissions

Question: Purpose of the Course Wishlist feature in the Connect system?
Answer: Addition of preferred courses to a wishlist to secure seats as they become available while following university policies

Question (Banglish): Wishlist event e participation kora keno eto important, seta ektu bujhiye bolben?
Answer (English): Course offerings will be based on student demand collected from Wishlist submissions

Question (Banglish): Summer 2025 er Wishlist event er purpose ki?
Answer (English): To help plan course offerings based on student demand",The purpose of the Wishlist event for Summer 2025 is to help plan course offerings based on student demand.,open_ended,linear,0.5,False,False,False,False,False,False,True,,,0.0202,0.0000,4.6973,4.7176,2026-08-01T21:14:16.088760+00:00,0.0256,0.9939
