query_id,config,query,reference_answer,generated_answer,abstained,n_context_pieces,bleu,rougeL,meteor,bertscore
Q001,ordering_on,How are meal plans managed at TARC?,"Tarc provides 3 main meals breakfast,lunch and dinner and two snack time followed by them.Breakfast time continues from 7-9 am, lunch time continues from 12:30-3 pm,dinner continues from 8:30-10 pm followed by snacks time which are from 11-12 am and 4-5 pm colleectively","Meal plans at TARC are managed by providing three main meals (breakfast, lunch, and dinner) and two snack times, with specific time windows for each meal. Breakfast is from 7-9 am, lunch is from 12:30-3 pm, dinner is from 8:30-10 pm, followed by snacks from 11-12 am and 4-5 pm collectively.",False,14,0.28370946870775343,0.7207207207207208,0.7526559330628804,0.9280598759651184
Q002,ordering_on,Reason for late fee appearing on pay slip of scholarship recipients after 29 June 2025?,The fee appears temporarily and will be waived automatically once the scholarship is adjusted.,The reason for late fee appearing on pay slip of scholarship recipients after 29 June 2025 is that the fee appears temporarily and will be waived automatically once the scholarship is adjusted.,False,10,0.42736529994169026,0.6086956521739131,0.8927248677248678,0.9370502829551697
Q003,ordering_on,When is the next intake for the undergraduate program?,"BRAC University admits new undergraduates three times a year - Spring (classes start January), Summer (May), and Fall (September). The exact application deadline and admission test date for the next intake are published on the Admissions page (bracu.ac.bd/admissions) closer to that semester.","BRAC University admits new undergraduates three times a year - Spring (classes start January), Summer (May), and Fall (September). The exact application deadline and admission test date for the next intake are published on the Admissions page (bracu.ac.bd/admissions) closer to that semester.",False,10,1.0,1.0,0.9999968246710359,1.0000001192092896
Q004,ordering_on,Can you tell me what the minimum and maximum number of group members for a thesis/project is?,A thesis/project group must have a minimum of 1 member and a maximum of 5 members.,A thesis/project group must have a minimum of 1 member and a maximum of 5 members.,False,10,1.0,1.0,0.999898229187869,0.9999998807907104
Q005,ordering_on,Before I forget to ask — what should students do if they have a scheduling conflict with their exams?,"The first step is to inform the course instructor about the conflict as soon as possible. If the conflict involves multiple exams or cannot be resolved with the instructor, students should consult their department office. The department can provide additional support or coordinate with other instructors to find a solution.","The first step is to inform the course instructor about the conflict as soon as possible. If the conflict involves multiple exams or cannot be resolved with the instructor, students should consult their department office. The department can provide additional support or coordinate with other instructors to find a solution.",False,10,1.0,1.0,0.9999969947407964,0.9999998807907104
Q006,ordering_on,Where is the EEE Department?,The EEE Department is located on the 4th floor and the labs are on 11th and 12th.,The EEE Department is located on the 4th floor and the labs are on 11th and 12th.,False,10,1.0,1.0,0.9999142661179699,1.0000001192092896
Q007,ordering_on,What services does the BRAC University Medical Center provide?,"The Medical Center offers emergency medical services and free consultations/medicine to students and employees, health checkups with an official Health Card, referrals to partner hospitals for emergencies, ambulance support, and workshops on reproductive health and family planning. It also runs blood donation programs in collaboration with student clubs, arranges vaccination drives for communicable diseases, and holds regular STD/reproductive health workshops each semester with BRAC James P Grant School of Public Health.","The BRAC University Medical Center provides emergency medical services and free consultations/medicine to students and employees, health checkups with an official Health Card, referrals to partner hospitals for emergencies, ambulance support, and workshops on reproductive health and family planning. It also runs blood donation programs in collaboration with student clubs, arranges vaccination drives for communicable diseases, and holds regular STD/reproductive health workshops each semester with BRAC James P Grant School of Public Health.",False,10,0.9367606314985516,0.9729729729729729,0.9848204679935451,0.9907112717628479
Q008,ordering_on,When must course selections be confirmed after Pre-Registration phases?,During the Self-Registration period assigned after result publication,Course selections must be confirmed during the Self-Registration period assigned after result publication.,False,10,0.5142401605028263,0.782608695652174,0.9293241279069768,0.9285576343536377
Q009,ordering_on,Where do i have to park the vehicle?,You can park your vehicle at basement-2.,You can park your vehicle at basement-2.,False,10,1.0,1.0,0.9990234375,1.000000238418579
Q010,ordering_on,Purpose of the Wishlist event for Summer 2025?,To help plan course offerings based on student demand,To help plan course offerings based on student demand.,False,10,0.8801117367933934,1.0,0.9883326549993218,0.9958561062812805
