id,QuestionBanglish,cluster_id,cluster_size
968,Route-01 (Abdullahpur) er first outbound timing ta ki?,988,10
970,Route-01 (Abdullahpur) er second outbound timing ta ki?,988,10
972,Route-02 (Mirpur-A) er first outbound timing ta ki?,988,10
974,Route-02 (Mirpur-A) er second outbound timing ta ki?,988,10
977,Route-02 (Mirpur-B) er first outbound timing ta ki?,988,10
979,Route-02 (Mirpur-B) er second outbound timing ta ki?,988,10
987,Route-04 (Azimpur) er first outbound timing ta ki?,988,10
989,Route-04 (Azimpur) er second outbound timing ta ki?,988,10
1002,Route-07 (Mohammadpur) er first outbound timing ta ki?,988,10
1004,Route-07 (Mohammadpur) er second outbound timing ta ki?,988,10
967,Route-01 (Abdullahpur) er designated bus stop gula kothay?,990,7
971,Route-02 (Mirpur-A) er designated bus stop gula kothay?,990,7
976,Route-02 (Mirpur-B) er designated bus stop gula kothay?,990,7
981,Route-03 (Jigatola) er designated bus stop gula kothay?,990,7
986,Route-04 (Azimpur) er designated bus stop gula kothay?,990,7
991,Route-05 (Jatrabari) er designated bus stop gula kothay?,990,7
1001,Route-07 (Mohammadpur) er designated bus stop gula kothay?,990,7
909,Bashundhara route e round trip er fare koto?,912,5
910,Bashundhara route e single trip er fare koto?,912,5
911,Bashundhara route er fare koto?,912,5
912,Beshirbhag route e round trip er fare koto?,912,5
913,Beshirbhag route e single trip er fare koto?,912,5
969,Route-01 (Abdullahpur) er pickup time gula ki?,1002,5
973,Route-02 (Mirpur-A) er pickup time gula ki?,1002,5
978,Route-02 (Mirpur-B) er pickup time gula ki?,1002,5
988,Route-04 (Azimpur) er pickup time gula ki?,1002,5
1003,Route-07 (Mohammadpur) er pickup time gula ki?,1002,5
189,12th Floor e ki ki facility available?,197,3
193,1st Floor e ki ki facility available?,197,3
198,5th Floor e ki ki facility available?,197,3
428,International student der jonno ki kono scholarship scheme ache?,567,3
567,International Student der jonno kon kon Scholarship ache?,567,3
568,International student der jonno specifically ki kono scholarship ache?,567,3
413,BRAC University er international scholarship er jonno ami kivabe apply korbo?,585,3
549,BRAC University te student ra scholarship er jonno kivabe apply korbe?,585,3
586,Scholarship er jonno ami kivabe apply korbo?,585,3
954,Narayanganj route e round trip er fare koto?,955,3
955,Narayanganj route e single trip er fare koto?,955,3
956,Narayanganj route er fare koto?,955,3
11,Admissions office ke ami kivabe contact korbo?,27,2
28,BRAC University admissions office ke ami kivabe contact korbo?,27,2
31,BRAC University er kon undergraduate program e total credit requirement shobcheye beshi?,31,2
32,BRAC University er kon undergraduate program gula te total credit requirement shobcheye kom?,31,2
35,"BRAC University koyta postgraduate program offer kore, ar segula ki ki?",35,2
36,"BRAC University koyta undergraduate program offer kore, ar segula ki ki?",35,2
65,Postgraduate program er jonno bidesh theke pass kora candidate der ki ki documents submit korte hoy?,74,2
75,Undergraduate program er jonno bidesh theke pass kora candidate der ki ki documents submit korte hoy?,74,2
66,Postgraduate program er jonno ki evening class ache?,75,2
76,Undergraduate program er jonno ki evening class ache?,75,2
94,Advising ta ki?,135,2
136,Main advising ta ki?,135,2
243,Center of Entrepreneurship Development (CED) ki ki service offer kore?,243,2
244,Center of Entrepreneurship Development (CED) ki support provide kore?,243,2
267,Female prayer room ta kothay?,283,2
284,Male prayer room ta kothay?,283,2
268,Female washroom kothay?,284,2
285,Male washroom kothay?,284,2
401,Offline program er budget koto?,402,2
403,Online program er budget koto?,402,2
599,Tuition ar fee pay korar accepted method gula ki ki?,602,2
603,Tuition fee pay korar way gula ki ki?,602,2
19,Application er jonno ki ki documents lagbe?,611,2
612,Application er shathe ki ki documents lagbe?,611,2
673,BBA program e koto credit hour lage?,706,2
707,BSEEE program e koto credit hour lage?,706,2
806,Amar BRACU G Suite email password kivabe change korbo?,806,2
807,"Amar BRACU G Suite email password mone nei, kivabe reset korbo?",806,2
814,BRAC University lab PC te ami kivabe log in korbo?,814,2
815,BRAC University lab PC theke ami kivabe log out korbo?,814,2
880,Pre-Thesis I er shomoy group bhange/divide korle penalty ki?,881,2
882,Pre-Thesis II er shomoy group bhange/divide korle penalty ki?,881,2
871,Internship/thesis shoho BBA program e mot koto credit lage?,898,2
899,Thesis/internship e koto credit thake?,898,2
921,BRAC University student transport service ekhon koyta bus route cover kore?,925,2
926,BRAC University transport service koyta route cover kore?,925,2
963,Protita route er first pickup time ta ki?,964,2
965,Protita route er second pickup time ta ki?,964,2
982,Route-03 (Jigatola) er first outbound timing ta ki?,983,2
984,Route-03 (Jigatola) er second outbound timing ta ki?,983,2
983,Route-03 (Jigatola) er pickup time gula ki?,992,2
993,Route-05 (Jatrabari) er pickup time gula ki?,992,2
992,Route-05 (Jatrabari) er first outbound timing ta ki?,993,2
994,Route-05 (Jatrabari) er second outbound timing ta ki?,993,2
997,Route-06 (Baldha Garden) er first outbound timing ta ki?,998,2
999,Route-06 (Baldha Garden) er second outbound timing ta ki?,998,2
1007,Route-08 (Narayanganj) er first outbound timing ta ki?,1008,2
1009,Route-08 (Narayanganj) er second outbound timing ta ki?,1008,2
1013,Route-09 (Bashundhara) er first outbound timing ta ki?,1013,2
1014,Route-09 (Bashundhara) er second outbound timing ta ki?,1013,2
941,Driver driven car parking er payment koto?,1014,2
1015,Self driven car parking er payment koto?,1014,2
958,Official transport service inquiry er jonno kake contact korte hobe?,1025,2
1026,Transport service er official inquiry er jonno kake contact korte hobe?,1025,2
210,BRAC University er affiliation ar accreditation er jonno ki dedicated page ache?,1042,2
1043,BRAC University er ki ki academic accreditation ar affiliation ache?,1042,2
1,Admission application fee ami kivabe pay korbo?,0,1
2,Admission er important date ar deadline gula ki?,1,1
3,Admission er jonno ami kivabe apply korbo?,2,1
4,Admission er jonno application korte gele fee hisebe koto taka lagbe?,3,1
5,Admission niye aro information er jonno kake contact korbo?,4,1
6,Admission test e boste local applicant der ki identification lagbe?,5,1
7,Admission test er jonno BRAC University ki sample questions publish kore?,6,1
8,Admission test er result ami kivabe pabo?,7,1
9,Admission withdrawal er process ta ki?,8,1
10,Admission written test e koyta section thakbe?,9,1
12,Amar Admit card ami kivabe collect korbo?,11,1
13,Amar application er status ami kivabe check korbo?,12,1
14,Amar credit transfer hobe kina ami kivabe jante parbo?,13,1
15,Ami ki amar application status online e dekhte pari?,14,1
16,Ami ki ekshathe ekaddhik program e apply korte pari?,15,1
17,Ami ki visiting student hisebe enroll korte pari?,16,1
18,"Applicant ra ki shudhu online e apply kore, naki in person, naki written application diye?",17,1
20,Application fee ki ache? Koto?,19,1
21,Application form e amar kora bhul ami kivabe correct korbo?,20,1
22,Application form er part hisebe amake ki photograph upload korte hobe?,21,1
23,Architecture applicant der jonno ki specific admission test section ache?,22,1
24,Bangladesh e na thakle international student ra ki off-campus interview er offer pay?,23,1
25,BBA ar BSS in Economics admission test e kon kon subject test hoy?,24,1
26,Bidesh theke Bachelor's kora postgraduate applicant der ki ki documents lagbe?,25,1
27,BRAC University admission er jonno GED (General Educational Development) qualification accept kora hoy ki?,26,1
29,"BRAC University bochore koyta semester chalay, ar kobe shuru hoy?",28,1
30,BRAC University er 'Freshman Enrollment and Class Sign' ta ki?,29,1
33,BRAC University ki kono online course offer kore?,32,1
34,BRAC University ki PhD program offer kore?,33,1
37,BRAC University main Mohakhali/Badda campus er baire ki kono diploma program chalay?,36,1
38,BRAC University te Diploma ar Certificate program er jonno ki alada admission requirement ache?,37,1
39,BRAC University te ki kono accommodation facility ache?,38,1
40,BRAC University te Scholarship/Financial Aid niye information ami kivabe pabo?,39,1
41,BRAC University undergraduate admission er jonno shadharonoto minimum SSC/HSC ba O/A-Level grade koto lagbe?,40,1
42,BRACU admission application er jonno amar 'O'/'A' level er GPA ami kivabe calculate korbo?,41,1
43,BRACU graduate ra nijer university te postgraduate program er jonno kivabe apply korbe?,42,1
44,BRACU shomporke admission information ami kivabe pabo?,43,1
45,"BRACU te bochore koyta semester hoy, ar segula kobe shuru hoy?",44,1
46,BRACU te ki ki Postgraduate Certificate ar Diploma course ache?,45,1
47,"BSc in CS program e mot koto credit lage, CSE er tulonay?",46,1
48,BSc in Microbiology ba Biotechnology admission er jonno kon subject test lagbe?,47,1
49,"BSS in Anthropology, BA in English, ar LLB admission er jonno kon kon subject test hoy?",48,1
50,"Continuing student der jonno minimum CGPA policy ta ki, ar eta transfer credit er admission decision e matter kore ki?",49,1
51,CSE program er prerequisite gula ki?,50,1
52,"CSE, EEE, Physics, ba Mathematics er moto BSc program er jonno kon kon subject test hoy?",51,1
53,Ei joint PhD program e student ra ki London na thakleo Bangladesh theke korte parbe?,52,1
54,Ekjon fresher department kivabe change korte pare?,53,1
55,EMBA program e apply korte applicant der koto bochorer work experience lagbe?,54,1
56,Engineering program er jonno consider howar jonno amar GPA koto lagbe?,55,1
57,International applicant der jonno application process ki shoman?,56,1
58,"Jader English language e required level er proficiency nei, tader jonno ki provisional admission ache?",57,1
59,Join na korle amar application/admission fee ki refund pabo?,58,1
60,Kono category er applicant er jonno ki written admission test skip kora hoy?,59,1
61,MBA program er jonno ki kono special admission requirement ache?,60,1
62,Onno educational institution e complete kora credit BRAC University accept kore ki?,61,1
63,Onno university theke credit ami kivabe transfer korbo?,62,1
64,Postgraduate admission er jonno amake ki written test ar interview duitai dite hobe?,63,1
67,Shudhu Foundation ba GED course complete korle ki BRACU admission er jonno qualify kora jay?,66,1
68,SOAS er shathe Joint PhD program shomoyer shathe kivabe structured?,67,1
69,Transfer student hisebe apply korar process ta ki?,68,1
70,Undergraduate admission er jonno shadharonoto O-Level/A-Level grade er kon combination lagbe?,69,1
71,Undergraduate level e Biotechnology/Microbiology e apply korte ki ki requirement lagbe?,70,1
72,Undergraduate level e EEE/ECE/CSE/Physics/APE/CS/Mathematics e apply korte ki ki requirement lagbe?,71,1
73,Undergraduate level e Pharmacy te apply korte ki ki requirement lagbe?,72,1
74,Undergraduate program e porer barer intake ta thik kobe theke shuru hobe?,73,1
77,Undergraduate Program er jonno Pre-University Course ta ki?,76,1
78,Undergraduate program er shomoy residential semester attend korar ki kono obligation ache?,77,1
79,Written admission test pass korar por ki alada interview lagbe?,78,1
80,'Change of Department/Program' niye ki kono official policy specifically ache?,79,1
81,2 semester gap er por course korle amar GPA/CGPA ki 3.3 e cap hoye jabe?,80,1
82,24 June 2025 er por course add korle ki consequence hoy?,81,1
83,8-bochorer degree completion time frame exceed kora student der jonno advising restriction ki?,82,1
84,Academic advisor assign korar niyom recent bochor gula te change hoyeche ki (jemon EEE student der jonno)?,83,1
85,Academic probation e thaka student der advising confirm korar eligibility ki?,84,1
86,Academic probation guideline ta ki?,85,1
87,Additional application chara tuition fee payment er jonno notun method ki introduce kora hoyeche?,86,1
88,Advising confirm howar por change korte departmental adviser ke contact korar deadline ta kobe?,87,1
89,Advising confirm korar por course ba section change korar ability ache ki?,88,1
90,Advising er shomoy 'swapping' ar 'dropping/adding' er modhye difference ta ki?,89,1
