query_id,config,query,reference_answer,generated_answer,abstained,graph_augmented,bleu,rougeL,meteor,bertscore
Q105,graph_on,What is the full prerequisite chain for PHY112?,The full prerequisite chain for PHY112 is PHY111.,The full prerequisite chain for PHY112 is PHY111.,False,True,1.0,1.0,0.9993141289437586,1.0
Q107,graph_on,What is the full prerequisite chain for CSE310?,The full prerequisite chain for CSE310 is CSE370-CSE221-CSE220-CSE111-CSE230-CSE110.,The full prerequisite chain for CSE310 is CSE370-CSE221-CSE220-CSE111-CSE230-CSE110.,False,True,1.0,1.0,0.9993141289437586,0.9999998807907104
Q109,graph_on,What is the full prerequisite chain for MAT216?,The full prerequisite chain for MAT216 is MAT120-MAT110.,The full prerequisite chain for MAT216 is MAT120-MAT110.,False,True,1.0,1.0,0.9993141289437586,1.0
Q110,graph_on,What is the full prerequisite chain for CSE460?,The full prerequisite chain for CSE460 is CSE260-CSE251-CSE250-PHY112-PHY111.,The full prerequisite chain for CSE460 is CSE260-CSE251-CSE250.,False,True,0.7506238537503395,0.9090909090909091,0.8819444444444444,0.9686688780784607
Q113,graph_on,What is the full prerequisite chain for ENG102?,The full prerequisite chain for ENG102 is ENG101.,The full prerequisite chain for ENG102 is ENG101.,False,True,1.0,1.0,0.9993141289437586,1.0
Q120,graph_on,What is the full prerequisite chain for CSE340?,The full prerequisite chain for CSE340 is CSE260-CSE251-CSE250-PHY112-PHY111.,The full prerequisite chain for CSE340 is CSE260-CSE251-CSE250.,False,True,0.7506238537503395,0.9090909090909091,0.8819444444444444,0.9701862931251526
Q121,graph_on,What is the full prerequisite chain for CSE471?,The full prerequisite chain for CSE471 is CSE370-CSE221-CSE220-CSE111-CSE230-CSE110.,The full prerequisite chain for CSE471 is CSE370-CSE221-CSE220-CSE111-CSE230-CSE110.,False,True,1.0,1.0,0.9993141289437586,1.0
Q122,graph_on,What is the full prerequisite chain for CSE260?,The full prerequisite chain for CSE260 is CSE251-CSE250-PHY112-PHY111.,The full prerequisite chain for CSE260 is PHY112-PHY111.,False,True,0.7506238537503395,0.9,0.8819444444444444,0.9592928886413574
Q124,graph_on,What is the full prerequisite chain for CSE341?,The full prerequisite chain for CSE341 is CSE340-CSE321-CSE260-CSE221-CSE251-CSE220-CSE250-CSE111-CSE230-PHY112-CSE110-PHY111.,The full prerequisite chain for CSE341 is CSE340-CSE321.,False,True,0.7506238537503395,0.6428571428571429,0.8819444444444444,0.9181411266326904
Q127,graph_on,What is the full prerequisite chain for CSE220?,The full prerequisite chain for CSE220 is CSE111-CSE230-CSE110.,The full prerequisite chain for CSE220 is CSE230-CSE111-CSE110.,False,True,0.7506238537503395,0.9,0.8819444444444444,0.9942383170127869
Q129,graph_on,What is the full prerequisite chain for CSE421?,The full prerequisite chain for CSE421 is CSE320.,The full prerequisite chain for CSE421 is CSE320.,False,True,1.0,1.0,0.9993141289437586,1.000000238418579
Q130,graph_on,What is the full prerequisite chain for CSE221?,The full prerequisite chain for CSE221 is CSE220-CSE111-CSE230-CSE110.,The full prerequisite chain for CSE221 is CSE220-CSE111-CSE230-CSE110.,False,True,1.0,1.0,0.9993141289437586,0.9999999403953552
Q105,graph_off,What is the full prerequisite chain for PHY112?,The full prerequisite chain for PHY112 is PHY111.,The full prerequisite chain for PHY112 is PHY111.,False,False,1.0,1.0,0.9993141289437586,1.0
Q107,graph_off,What is the full prerequisite chain for CSE310?,The full prerequisite chain for CSE310 is CSE370-CSE221-CSE220-CSE111-CSE230-CSE110.,The full prerequisite chain for CSE310 is CSE370-CSE221-CSE220-CSE111-CSE110.,False,False,0.7506238537503395,0.9600000000000001,0.8819444444444444,0.9919931888580322
Q109,graph_off,What is the full prerequisite chain for MAT216?,The full prerequisite chain for MAT216 is MAT120-MAT110.,The full prerequisite chain for MAT216 is MAT120-MAT110.,False,False,1.0,1.0,0.9993141289437586,1.0
Q110,graph_off,What is the full prerequisite chain for CSE460?,The full prerequisite chain for CSE460 is CSE260-CSE251-CSE250-PHY112-PHY111.,The full prerequisite chain for CSE460 is CSE260-CSE251-CSE250.,False,False,0.7506238537503395,0.9090909090909091,0.8819444444444444,0.9686688780784607
Q113,graph_off,What is the full prerequisite chain for ENG102?,The full prerequisite chain for ENG102 is ENG101.,The full prerequisite chain for ENG102 is ENG101.,False,False,1.0,1.0,0.9993141289437586,1.0
Q120,graph_off,What is the full prerequisite chain for CSE340?,The full prerequisite chain for CSE340 is CSE260-CSE251-CSE250-PHY112-PHY111.,The full prerequisite chain for CSE340 is CSE260-CSE251-CSE250.,False,False,0.7506238537503395,0.9090909090909091,0.8819444444444444,0.9701862931251526
Q121,graph_off,What is the full prerequisite chain for CSE471?,The full prerequisite chain for CSE471 is CSE370-CSE221-CSE220-CSE111-CSE230-CSE110.,The full prerequisite chain for CSE471 is CSE370-CSE221-CSE220-CSE111-CSE110.,False,False,0.7506238537503395,0.9600000000000001,0.8819444444444444,0.9921835064888
Q122,graph_off,What is the full prerequisite chain for CSE260?,The full prerequisite chain for CSE260 is CSE251-CSE250-PHY112-PHY111.,The full prerequisite chain for CSE260 is CSE251-CSE250.,False,False,0.7506238537503395,0.9,0.8819444444444444,0.9610573053359985
Q124,graph_off,What is the full prerequisite chain for CSE341?,The full prerequisite chain for CSE341 is CSE340-CSE321-CSE260-CSE221-CSE251-CSE220-CSE250-CSE111-CSE230-PHY112-CSE110-PHY111.,"The full prerequisite chain for CSE341 is CSE340, CSE321.",False,False,0.5900468726392808,0.6428571428571429,0.8627717391304347,0.9121699929237366
Q127,graph_off,What is the full prerequisite chain for CSE220?,The full prerequisite chain for CSE220 is CSE111-CSE230-CSE110.,The full prerequisite chain for CSE220 is CSE230-CSE111-CSE110.,False,False,0.7506238537503395,0.9,0.8819444444444444,0.9942383170127869
Q129,graph_off,What is the full prerequisite chain for CSE421?,The full prerequisite chain for CSE421 is CSE320.,The full prerequisite chain for CSE421 is CSE320.,False,False,1.0,1.0,0.9993141289437586,1.000000238418579
Q130,graph_off,What is the full prerequisite chain for CSE221?,The full prerequisite chain for CSE221 is CSE220-CSE111-CSE230-CSE110.,"The full prerequisite chain for CSE221 is not explicitly stated in the retrieved context, as it only lists courses that have CSE221 as a prerequisite.",False,False,0.21849712035317279,0.3888888888888889,0.49262152777777773,0.8706313371658325
