query_id,config,query,reference_answer,retrieved_context,generated_answer,route,fusion,lambda,abstained,raw_abstain,sufficient_context_override,graph_augmented,exact_match_any,question_match_any,translated_query,retrieval_s,rerank_s,generation_s,total_s,timestamp,query_confidence,query_top1_score
BQ001,adaptive_novel,TARC e student der ki ki amenities ar facility deya hoy?,"Tarc provides students of BRAC a residential campus where they experience to live with their fellow classmates.Tarc also provides students the importance of time dynamics ,punctuality and basic manners like to respect others work.Tarc also tries to make students do their own work by themselves.","Question (Banglish): TARC e student der ki ki amenities ar facility deya hoy?
Answer (English): Tarc provides students of BRAC a residential campus where they experience to live with their fellow classmates.Tarc also provides students the importance of time dynamics ,punctuality and basic manners like to respect others work.Tarc also tries to make students do their own work by themselves.

Question (Banglish): Generator Room e ki ki amenities available?
Answer (English): The Generator Room houses the backup power supply for the campus facilities.

Question: What amenities and facilities are provided for students at TARC?
Answer: Tarc provides students of BRAC a residential campus where they experience to live with their fellow classmates.Tarc also provides students the importance of time dynamics ,punctuality and basic manners like to respect others work.Tarc also tries to make students do their own work by themselves.

Question: Quick question — what amenities and facilities are provided for students at TARC?
Answer: Tarc provides students of BRAC a residential campus where they experience to live with their fellow classmates.Tarc also provides students the importance of time dynamics ,punctuality and basic manners like to respect others work.Tarc also tries to make students do their own work by themselves.

Question: For a friend who's asking — what amenities and facilities are provided for students at TARC?
Answer: Tarc provides students of BRAC a residential campus where they experience to live with their fellow classmates.Tarc also provides students the importance of time dynamics ,punctuality and basic manners like to respect others work.Tarc also tries to make students do their own work by themselves.","Tarc provides students of BRAC a residential campus where they experience to live with their fellow classmates. Tarc also provides students the importance of time dynamics, punctuality and basic manners like to respect others' work. Tarc also tries to make students do their own work by themselves.",open_ended,linear,0.5,False,False,False,False,False,True,What facilities and amenities does the TARC provide for students?,4.2943,0.2169,19.2271,23.7392,2026-07-27T16:08:52.813699+00:00,0.5276,0.9742
BQ002,adaptive_novel,Pre-Registration phase er por course selection kobe confirm korte hobe?,During the Self-Registration period assigned after result publication,"Question (Banglish): Pre-Registration phase er por course selection kobe confirm korte hobe?
Answer (English): During the Self-Registration period assigned after result publication

Question (Banglish): Pre-Registration Phase 2 er starting date ta kobe?
Answer (English): You will be emailed by the registrar.

Question (Banglish): Pre-Registration Phase er por course registration er final opportunity ta ki?
Answer (English): The Self-Registration period is the final opportunity for course registration after both Pre-Registration phases have ended.

Question: When must course selections be confirmed after Pre-Registration phases?
Answer: During the Self-Registration period assigned after result publication

Question (Banglish): Pre-Registration Phase 1 ba Phase 2 e ki kono confirmation button ache?
Answer (English): No confirmation button is available in either phase",During the Self-Registration period assigned after result publication.,open_ended,linear,0.5,False,False,False,False,False,True,When will the course selection be confirmed during the pre-registration phase?,13.7424,0.0779,13.5272,27.3487,2026-07-27T16:09:20.163567+00:00,0.4001,1.0111
BQ003,adaptive_novel,"BRAC University bochore koyta semester chalay, ar kobe shuru hoy?","BRAC University runs three semesters a year - Spring, Summer and Fall - starting in January, May and September respectively. Pharmacy admits in Spring or Summer, and LLB admits in Spring or Fall.","Question (Banglish): BRAC University bochore koyta semester chalay, ar kobe shuru hoy?
Answer (English): BRAC University runs three semesters a year - Spring, Summer and Fall - starting in January, May and September respectively. Pharmacy admits in Spring or Summer, and LLB admits in Spring or Fall.

Question (Banglish): BRAC University protibochor koyta semester chalay, ar segula ke ki bola hoy?
Answer (English): BRAC University follows a semester-based system with three equal semesters each year: Spring, Summer, and Fall.

Question (Banglish): BRACU te bochore koyta semester hoy, ar segula kobe shuru hoy?
Answer (English): BRACU offers 3 semesters a year: Spring, Summer & Fall, and these start in January, May & September respectively.
For Pharmacy & LLB: BRACU offers admission for Pharmacy & LLB department twice a year. You can apply in for Pharmacy: Spring or Summer semester and for LLB: Spring or Fall. The classes start from January and July for Pharmacy. January and September for LLB accordingly.
Tentative Schedule - Admission Tests:
Semester
1st Intake
2nd Intake
Spring
November
December
Summer
March
April
Fall
July
August

Question (Banglish): Spring, Summer, ar Fall semester shadharonoto kon kon month e shuru hoy?
Answer (English): Spring semester usually starts in January, Summer in May, and Fall in September, though the exact start date each year is announced in that year's Academic Calendar.

Question (Banglish): Eta kobe shuru hoy?
Answer (English): Could you clarify what you're asking about - a specific semester, an event, the Residential Semester? Happy to help once I know which one.","BRAC University runs three semesters a year - Spring, Summer and Fall - starting in January, May and September respectively.",open_ended,linear,0.5,False,False,False,False,False,True,,0.0295,0.1769,5.5021,5.7095,2026-07-27T16:09:25.873878+00:00,0.1753,0.9350
BQ004,adaptive_novel,Amar vehicle ta kothay park korte hobe?,You can park your vehicle at basement-2.,"Question (Banglish): Amar vehicle ta kothay park korte hobe?
Answer (English): You can park your vehicle at basement-2.

Question (Banglish): Ami koto shomoy campus e amar vehicle park korte pari?
Answer (English): As long as you're paying the parking fee

Question (Banglish): Cycle Garage kothay obosthito?
Answer (English): Ground Floor, Gate no. 2 (Pocket Gate)

Question (Banglish): Campus e bus kothay theke chare?
Answer (English): The bus leave campus from the Basement-1

Question: Where do i have to park the vehicle?
Answer: You can park your vehicle at basement-2.",You can park your vehicle at basement-2.,open_ended,linear,0.5,False,False,False,False,False,True,Where should I park my vehicle?,12.2023,0.0837,13.0415,25.3282,2026-07-27T16:09:51.203059+00:00,0.3120,0.9972
BQ005,adaptive_novel,Exam hall e student der koto age ashte hobe?,Students should aim to arrive at the exam hall at least 15 to 30 minutes before the scheduled start time of their exam.,"Question (Banglish): Exam hall e student der koto age ashte hobe?
Answer (English): Students should aim to arrive at the exam hall at least 15 to 30 minutes before the scheduled start time of their exam.

Question (Banglish): Final exam e boste hole minimum koto class attendance lagbe?
Answer (English): Under the general course-teaching guidelines, a student must attend at least 70% of total classes (including tutorials and labs) to be allowed to sit for the final exam in that course.

Question: How early should students arrive at the exam hall?
Answer: Students should aim to arrive at the exam hall at least 15 to 30 minutes before the scheduled start time of their exam.

Question: What identification is required for local applicants when they sit for the admission test?
Answer: Applicants must bring their printed Admit Card (downloaded from their applicant account and printed on 80gsm A4 paper) to the exam hall; without it, they will not be allowed to sit for the exam.

Question: This might be a silly question, but what identification is required for local applicants when they sit for the admission test?
Answer: Applicants must bring their printed Admit Card (downloaded from their applicant account and printed on 80gsm A4 paper) to the exam hall; without it, they will not be allowed to sit for the exam.",Students should aim to arrive at the exam hall at least 15 to 30 minutes before the scheduled start time of their exam.,open_ended,linear,0.5,False,False,False,False,False,True,How many students will be allowed to sit for the exam?,12.5102,0.1000,15.1249,27.7359,2026-07-27T16:10:18.940992+00:00,0.4742,0.9886
BQ006,adaptive_novel,Print korar jonno jaiga gula thik kon kon jaygay ache?,"Level-12:

Level-12, Zone-B, Adjacent to Room No: 12B-15L

Level-12, Zone-D, Adjacent to Room No: 12D-25L

Level-12, Zone-F, Room No: 12F-31L

Level-12, Zone-F, Room No: 12F-32L

Level-11:

Level-11, Zone-A, Room No: 11A-03L

Level-11, Zone-B, Adjacent to Room No: 11B-15L

Level-11, Zone-B, Adjacent to Room No: 11B-16L

Level-11, Zone-D, Adjacent to Room No: 11D-27L

Level-11, Zone-F, Adjacent to Room No: 11F-34L

Level-10:

Level-10, Zone-B, Adjacent to Room No: 10B-11L

Level-10, Zone-D, Adjacent to Room No: 10D-22L

Level-10, Zone-F, Adjacent to Room No: 10F-28L

Level-09:

Level-09, Zone-B, Adjacent to Room No: 09B-09L

Level-09, Zone-D, Adjacent to Room No: 09D-17C

Level-09, Zone-F, Adjacent to Room No: 09F-25L

Level-08:

Level-08, Zone-B, Adjacent to Room No: 08B-08C

Level-08, Zone-D, Adjacent to Room No: 08D-12C

Level-08, Zone-F, Adjacent to Room No: 08F-19C

Level-07:

Level-07, Block-F, Adjacent to Room No: 07F-22C

Level-07, Zone-D, Adjacent to Room No: 07D-19C

Facilities Tower:

Facilities Tower, 10th Floor, Waiting Room","Question (Banglish): Print korar jonno jaiga gula thik kon kon jaygay ache?
Answer (English): Level-12:

Level-12, Zone-B, Adjacent to Room No: 12B-15L

Level-12, Zone-D, Adjacent to Room No: 12D-25L

Level-12, Zone-F, Room No: 12F-31L

Level-12, Zone-F, Room No: 12F-32L

Level-11:

Level-11, Zone-A, Room No: 11A-03L

Level-11, Zone-B, Adjacent to Room No: 11B-15L

Level-11, Zone-B, Adjacent to Room No: 11B-16L

Level-11, Zone-D, Adjacent to Room No: 11D-27L

Level-11, Zone-F, Adjacent to Room No: 11F-34L

Level-10:

Level-10, Zone-B, Adjacent to Room No: 10B-11L

Level-10, Zone-D, Adjacent to Room No: 10D-22L

Level-10, Zone-F, Adjacent to Room No: 10F-28L

Level-09:

Level-09, Zone-B, Adjacent to Room No: 09B-09L

Level-09, Zone-D, Adjacent to Room No: 09D-17C

Level-09, Zone-F, Adjacent to Room No: 09F-25L

Level-08:

Level-08, Zone-B, Adjacent to Room No: 08B-08C

Level-08, Zone-D, Adjacent to Room No: 08D-12C

Level-08, Zone-F, Adjacent to Room No: 08F-19C

Level-07:

Level-07, Block-F, Adjacent to Room No: 07F-22C

Level-07, Zone-D, Adjacent to Room No: 07D-19C

Facilities Tower:

Facilities Tower, 10th Floor, Waiting Room

Question (Banglish): International Student der jonno kon kon Scholarship ache?
Answer (English): Merit Scholarship Based on BracU Academic Results and BRAC Scholarship (A Needs Based Scholarship) are available for the International students.

Question (Banglish): Request korar jonno kon dorm room shobcheye bhalo?
Answer (English): Room-by-room comparisons aren't something I have data on. The Residential Semester handbook covers general allocation rules, but room-level preferences are better discussed with the dorm supervisor directly.

Question (Banglish): CGPA ta thik kon niyome calculate kora hoy?
Answer (English): To calculate your CGPA, simply sum all your GPAs for each semester and divide it by the sum of the Total Credit Units (TCU) for each semester

Question: Where can I find the printing locations?
Answer: Level-12:

Level-12, Zone-B, Adjacent to Room No: 12B-15L

Level-12, Zone-D, Adjacent to Room No: 12D-25L

Level-12, Zone-F, Room No: 12F-31L

Level-12, Zone-F, Room No: 12F-32L

Level-11:

Level-11, Zone-A, Room No: 11A-03L

Level-11, Zone-B, Adjacent to Room No: 11B-15L

Level-11, Zone-B, Adjacent to Room No: 11B-16L

Level-11, Zone-D, Adjacent to Room No: 11D-27L

Level-11, Zone-F, Adjacent to Room No: 11F-34L

Level-10:

Level-10, Zone-B, Adjacent to Room No: 10B-11L

Level-10, Zone-D, Adjacent to Room No: 10D-22L

Level-10, Zone-F, Adjacent to Room No: 10F-28L

Level-09:

Level-09, Zone-B, Adjacent to Room No: 09B-09L

Level-09, Zone-D, Adjacent to Room No: 09D-17C

Level-09, Zone-F, Adjacent to Room No: 09F-25L

Level-08:

Level-08, Zone-B, Adjacent to Room No: 08B-08C

Level-08, Zone-D, Adjacent to Room No: 08D-12C

Level-08, Zone-F, Adjacent to Room No: 08F-19C

Level-07:

Level-07, Block-F, Adjacent to Room No: 07F-22C

Level-07, Zone-D, Adjacent to Room No: 07D-19C

Facilities Tower:

Facilities Tower, 10th Floor, Waiting Room","The printing locations are Level-12: Level-12, Zone-B, Adjacent to Room No: 12B-15L, Level-12, Zone-D, Adjacent to Room No: 12D-25L, Level-12, Zone-F, Room No: 12F-31L, and Level-12, Zone-F, Room No: 12F-32L.",open_ended,linear,0.5,False,True,True,False,False,True,Where are all the places to print?,12.3156,0.5608,24.6922,37.5694,2026-07-27T16:10:56.511817+00:00,0.1145,0.6077
BQ007,adaptive_novel,EEE Department kothay?,The EEE Department is located on the 4th floor and the labs are on 11th and 12th.,"Question (Banglish): EEE Department kothay?
Answer (English): The EEE Department is located on the 4th floor and the labs are on 11th and 12th.

Question (Banglish): EEE department er printing Lab kothay?
Answer (English): The EEE Department's printing lab is on 12B-17L

Question (Banglish): EEE/ECE student ra tader program er official course listing ar prerequisite sequence kothay pabe?
Answer (English): EEE and ECE students can access the official course listing, prerequisites and recommended course sequence documents through department-shared drive links (requiring their BRACU email for access), which are also referenced in the department's official FAQ document under 'Necessary Documents'.

Question (Banglish): ENH Department kothay?
Answer (English): The ENH Department is located on the 5th floor.

Question (Banglish): BBA Department kothay?
Answer (English): The BRAC Business School (BBA Department) is on the 5th floor.",The EEE Department is located on the 4th floor and the labs are on 11th and 12th.,open_ended,linear,0.5,False,False,False,False,False,True,,0.0249,0.1133,5.3511,5.4898,2026-07-27T16:11:02.002724+00:00,0.1681,1.0057
BQ008,adaptive_novel,Summer 2025 er Wishlist event er purpose ki?,To help plan course offerings based on student demand,"Question (Banglish): Summer 2025 er Wishlist event er purpose ki?
Answer (English): To help plan course offerings based on student demand

Question: Purpose of the Wishlist event for Summer 2025?
Answer: To help plan course offerings based on student demand

Question (Banglish): Wishlist ta ki?
Answer (English): Wishlist event – an online pre-advising activity where undergraduate students (all programs except LLB, PHR, and Residential-Semester-eligible cohorts) log in during an assigned time slot, select the courses they intend to take, and press ""Confirm.""
The collected course demands are then used by BRAC University to decide how many sections to open for each course, and only students who complete this step become eligible for Pre-Registration Phase 1.

Question (Banglish): Slot time er modhye Wishlist confirm korar impact ki?
Answer (English): Ensures eligibility for Pre-Registration Phase 1 and contributes to course planning

Question: What is Wishlist?
Answer: Wishlist event – an online pre-advising activity where undergraduate students (all programs except LLB, PHR, and Residential-Semester-eligible cohorts) log in during an assigned time slot, select the courses they intend to take, and press “Confirm.”
The collected course demands are then used by BRAC University to decide how many sections to open for each course, and only students who complete this step become eligible for Pre-Registration Phase 1.",To help plan course offerings based on student demand.,open_ended,linear,0.5,False,False,False,False,False,True,What is the purpose of the Wishlist event in Summer 2025?,14.0179,0.1536,13.9763,28.1485,2026-07-27T16:11:30.152490+00:00,0.0872,1.0443
BQ009,adaptive_novel,Transport service e change hole student der kivabe janano hoy?,Students are informed through official BRAC University notices and announcements.,"Question (Banglish): Transport service e change hole student der kivabe janano hoy?
Answer (English): Students are informed through official BRAC University notices and announcements.

Question (Banglish): Student ra transport service e problem hole kivabe report korbe?
Answer (English): Students can report issues by calling the designated route-specific numbers or reaching out to transport officers.

Question (Banglish): Student ra transport service ke kivabe contact korbe?
Answer (English): Students can contact the transport service via designated phone numbers.

Question (Banglish): Ashche semester gula te transport schedule change hobe ki?
Answer (English): The transport schedule is subject to change based on academic schedules and operational needs. Updated schedules will be communicated by the university.

Question (Banglish): Student ra ki transport service er jonno notun route suggest korte pare?
Answer (English): Suggestions for new routes can be submitted to the transport office for review.",Students are informed through official BRAC University notices and announcements.,open_ended,linear,0.5,False,False,False,False,False,True,,0.0344,0.0977,3.9816,4.1146,2026-07-27T16:11:34.267603+00:00,0.4606,0.9964
BQ010,adaptive_novel,Ke Wishlist event e participate korte hobe?,"All undergraduate students attending upcoming, excluding RS-eligible students and LLB, PHR students","Question (Banglish): Ke Wishlist event e participate korte hobe?
Answer (English): All undergraduate students attending upcoming, excluding RS-eligible students and LLB, PHR students

Question (Banglish): Wishlist event e participate na korle ki consequence hoy?
Answer (English): Student will not be allowed to register during Pre-Registration Phase 1

Question (Banglish): Kon group er student der Wishlist event e participate korar requirement nei?
Answer (English): Students who are eligible for residential semester in the upcoming semester.

Question: Who must participate in the Wishlist event?
Answer: All undergraduate students attending upcoming, excluding RS-eligible students and LLB, PHR students

Question (Banglish): Pass/Fail ba Satisfactory/Unsatisfactory grade ki Dean's List ba VC's List er eligibility credit e count hoy?
Answer (English): No. Dean's List and VC's List eligibility is calculated only from credits with regular letter grades; Pass/Fail and Satisfactory/Unsatisfactory graded credits are excluded from that count.","All undergraduate students attending the upcoming semester, excluding RS-eligible students and LLB, PHR students must participate in the Wishlist event.",open_ended,linear,0.5,False,False,False,False,False,True,What events will be included in the wish list?,13.2372,0.1460,16.0215,29.4056,2026-07-27T16:12:03.674496+00:00,0.2835,1.0217
