query_id,config,lambda,query,reference_answer,retrieved_context,generated_answer,retrieval_s,generation_s,total_s,timestamp,query_confidence,faithfulness,faithfulness_reason,sample_source,route,fusion,abstained,raw_abstain,sufficient_context_override,graph_augmented,exact_match_any,question_match_any,rerank_s,query_top1_score,nli_faithfulness
Q096,bm25_only,1.0,"Are journals, magazines and reference books available for borrowing?","No. Journals, magazines, newspapers, and items in the reference collection are for in-library use only and cannot be checked out.","Question: Are journals, magazines and reference books available for borrowing?
Answer: No. Journals, magazines, newspapers, and items in the reference collection are for in-library use only and cannot be checked out.

Question: Just wondering, are journals, magazines and reference books available for borrowing?
Answer: No. Journals, magazines, newspapers, and items in the reference collection are for in-library use only and cannot be checked out.

Question: Quick question — are journals, magazines and reference books available for borrowing?
Answer: No. Journals, magazines, newspapers, and items in the reference collection are for in-library use only and cannot be checked out.

Question: Can someone help — are journals, magazines and reference books available for borrowing?
Answer: No. Journals, magazines, newspapers, and items in the reference collection are for in-library use only and cannot be checked out.

Question: For a friend who's asking — are journals, magazines and reference books available for borrowing?
Answer: No. Journals, magazines, newspapers, and items in the reference collection are for in-library use only and cannot be checked out.","Journals, magazines, and reference books are not available for borrowing; they are for in-library use only.",0.0235,4.9555,4.9791,2026-07-27T12:34:30.339200+00:00,0.0148,1.0,SCORE: 1.0 | REASON: The answer's claim is fully supported by the context as it directly quotes the same information.,baselines,,,,,,,,,,,0.9616168737411499
Q016,bm25_only,1.0,How to contact with BRACU Finance and Accounts Department?,"BRAC University
Kha-224 Bir Uttam Rafiqul Islam Avenue, Merul Badda,
Dhaka 1212, Bangladesh
Phone: +88 09638464646 Ext: 1220, 1221

Email: queries-accounts@bracu.ac.bd","Question: How to contact with BRACU Finance and Accounts Department?
Answer: BRAC University
Kha-224 Bir Uttam Rafiqul Islam Avenue, Merul Badda,
Dhaka 1212, Bangladesh
Phone: +88 09638464646 Ext: 1220, 1221

Email: queries-accounts@bracu.ac.bd

Question: Can someone help — how to contact with BRACU Finance and Accounts Department?
Answer: BRAC University
Kha-224 Bir Uttam Rafiqul Islam Avenue, Merul Badda,
Dhaka 1212, Bangladesh
Phone: +88 09638464646 Ext: 1220, 1221

Email: queries-accounts@bracu.ac.bd

Question (Banglish): BRACU Finance and Accounts Department ke kivabe contact korbo?
Answer (English): BRAC University
Kha-224 Bir Uttam Rafiqul Islam Avenue, Merul Badda,
Dhaka 1212, Bangladesh
Phone: +88 09638464646 Ext: 1220, 1221

Email: queries-accounts@bracu.ac.bd

Question: What services are offered by the Finance & Accounts Office?
Answer: The Finance & Accounts Office manages student accounts, tuition payments, and financial aid. You can also email at queries-accounts@bracu.ac.bd

Question: For a friend who's asking — what services are offered by the Finance & Accounts Office?
Answer: The Finance & Accounts Office manages student accounts, tuition payments, and financial aid. You can also email at queries-accounts@bracu.ac.bd","To contact the BRACU Finance and Accounts Department, you can visit BRAC University located at Kha-224 Bir Uttam Rafiqul Islam Avenue, Merul Badda, Dhaka 1212, Bangladesh. You can also reach them by phone at +88 09638464646 Ext: 1220 or 1221, or by emailing queries-accounts@bracu.ac.bd.",0.0193,11.4078,11.427,2026-07-27T12:24:26.294932+00:00,0.0279,1.0,SCORE: 1.0 | REASON: All claims are directly supported by the provided CONTEXT.,baselines,,,,,,,,,,,0.8225950598716736
Q031,bm25_only,1.0,"New student here, could you please provide details about the tuition fee structure at BRAC University?","For students enrolled in the Computer Science and Engineering (CSE) program at BRAC University, the tuition fee structure includes a one-time, non-refundable admission fee of BDT 30,800. Each course within the CSE program costs BDT 22,500. Additionally, students are required to pay a semester fee of BDT 11,500, which covers various facilities such as IT services and library access. There is also a one-time library membership fee of BDT 2,500. This fee structure is designed to support the comprehensive education provided in the CSE program, ensuring access to advanced resources and facilities?","Question: New student here, could you please provide details about the tuition fee structure at BRAC University?
Answer: For students enrolled in the Computer Science and Engineering (CSE) program at BRAC University, the tuition fee structure includes a one-time, non-refundable admission fee of BDT 30,800. Each course within the CSE program costs BDT 22,500. Additionally, students are required to pay a semester fee of BDT 11,500, which covers various facilities such as IT services and library access. There is also a one-time library membership fee of BDT 2,500. This fee structure is designed to support the comprehensive education provided in the CSE program, ensuring access to advanced resources and facilities?

Question: Could you please provide details about the tuition fee structure at BRAC University?
Answer: For students enrolled in the Computer Science and Engineering (CSE) program at BRAC University, the tuition fee structure includes a one-time, non-refundable admission fee of BDT 30,800. Each course within the CSE program costs BDT 22,500. Additionally, students are required to pay a semester fee of BDT 11,500, which covers various facilities such as IT services and library access. There is also a one-time library membership fee of BDT 2,500. This fee structure is designed to support the comprehensive education provided in the CSE program, ensuring access to advanced resources and facilities?

Question (Banglish): BRAC University er tuition fee structure ta ektu bolben please?
Answer (English): For students enrolled in the Computer Science and Engineering (CSE) program at BRAC University, the tuition fee structure includes a one-time, non-refundable admission fee of BDT 30,800. Each course within the CSE program costs BDT 22,500. Additionally, students are required to pay a semester fee of BDT 11,500, which covers various facilities such as IT services and library access. There is also a one-time library membership fee of BDT 2,500. This fee structure is designed to support the comprehensive education provided in the CSE program, ensuring access to advanced resources and facilities

Question: What's the tuition fee at North South University?
Answer: That's outside what I can help with - I only have information about BRAC University. North South University's own website would have their current fee structure.

Question: Not sure if this is covered elsewhere, but what's the tuition fee at North South University?
Answer: That's outside what I can help with - I only have information about BRAC University. North South University's own website would have their current fee structure.","For students enrolled in the Computer Science and Engineering (CSE) program at BRAC University, the tuition fee structure includes a one-time, non-refundable admission fee of BDT 30,800. Each course within the CSE program costs BDT 22,500. Additionally, students are required to pay a semester fee of BDT 11,500, which covers various facilities such as IT services and library access. There is also a one-time library membership fee of BDT 2,500. This fee structure is designed to support the comprehensive education provided in the CSE program, ensuring access to advanced resources and facilities?",0.0284,17.4595,17.4879,2026-07-27T12:26:20.974741+00:00,0.0926,1.0,SCORE: 1.0 | REASON: The answer is fully supported by the context as it directly quotes the provided information about BRAC University's tuition fee structure.,baselines,,,,,,,,,,,0.9848341941833496
Q159,bm25_only,1.0,What day and time is the theory class for CSE250-06A?,The theory class for CSE250-06A is on SUN+TUE at 2:00 PM in room 07H-27C.,"Course: CSE250-06A
Theory Initial: RAO
Theory Day: SUN+TUE
Theory Time: 2:00 PM
Theory Room: 07H-27C
Lab Faculty: FFR,MHY
Lab Day: MON
Lab Time: 8:00 AM
Lab Room: 12B-20L

Initial: FFR
Name: Md. Fatin Ishraq Faruqui
Day: Monday
Scheduled commitments (classes/labs/breaks, not availability): 8:00 AM - CSE250-06A (LAB) FFR,MHY 12B-20L; 9:30 AM - CSE250-06A (LAB) FFR,MHY 12B-20L; 11:00 AM - CSE250-04A (LAB) SDQ,FFR 12B-20L; 12:30 PM - CSE250-04A (LAB) SDQ,FFR 12B-20L

Initial: SDAS
Name: Sowmitra Das
Day: Sunday
Scheduled commitments (classes/labs/breaks, not availability): 8:00 AM - CSE250-09A (LAB) SDAS,SZZ 12B-20L; 9:30 AM - CSE250-09A (LAB) SDAS,SZZ 12B-20L; 11:00 AM - CSE251-06A (LAB) SDAS,UPM 12B-20L; 12:30 PM - CSE251-06A (LAB) SDAS,UPM 12B-20L

Course: CSE251-06A
Theory Initial: AQT
Theory Day: MON+WED
Theory Time: 8:00 AM
Theory Room: 07H-27C
Lab Faculty: SDAS,UPM
Lab Day: SUN
Lab Time: 11:00 AM
Lab Room: 12B-20L

Course: CSE350-06A
Theory Initial: ZBH
Theory Day: SUN+TUE
Theory Time: 2:00 PM
Theory Room: 09A-07C
Lab Faculty: TSE,AQT
Lab Day: WED
Lab Time: 11:00 AM
Lab Room: FT10-01L",The theory class for CSE250-06A is held on Sunday and Tuesday at 2:00 PM.,0.022,5.367,5.389,2026-07-27T12:39:55.614897+00:00,0.4237,1.0,"SCORE: 1.0 | REASON: All claims are supported by the context. 

Here's a breakdown of how I arrived at this score:

1. Claim 1: The theory class for CSE250-06A is held on Sunday.
   - Supported by CONTEXT, as Theory Day for CSE250-06A includes SUN.

2. Claim 2: The theory class for CSE250-06A is held on Tuesday.
   - Supported by CONTEXT, as Theory Day for CSE250-06A also includes TUE.

3. Claim 3: The theory class for CSE250-06A is held at 2:00 PM.
   - Supported by CONTEXT, as Theory Time for CSE250-06A is indeed 2:00 PM.

Since all three claims are supported by the context, the score is 1.0.",baselines,,,,,,,,,,,0.10355457663536072
Q129,bm25_only,1.0,What is the full prerequisite chain for CSE421?,The full prerequisite chain for CSE421 is CSE320.,"Course: CSE421-03
Theory Initial: NKMA
Theory Day: SAT+THU
Theory Time: 2:00 PM
Theory Room: 09D-17C
Lab Faculty: SRJ,NKMA
Lab Day: TUE
Lab Time: 11:00 AM
Lab Room: 12D-26L

Course: CSE421-02
Theory Initial: ARF
Theory Day: MON+WED
Theory Time: 2:00 PM
Theory Room: 10A-04C
Lab Faculty: CQAE,WBH
Lab Day: SAT
Lab Time: 2:00 PM
Lab Room: 12D-26L

Course: CSE421
Prerequisite: CSE320 (SP)

Course: CSE421-01
Theory Initial: ARF
Theory Day: MON+WED
Theory Time: 12:30 PM
Theory Room: 10A-04C
Lab Faculty: CQAE,WBH
Lab Day: SAT
Lab Time: 2:00 PM
Lab Room: 12D-26L

Course: CSE421
First Theory Coordinator: MSMA
Second Theory Coordinator: NDT
Theory Coordinator Email: shamim.mia@bracu.ac.bd,nirjhor.datta@bracu.ac.bd
First Lab Coordinator: SRJ
Second Lab Coordinator: MSMA
Lab Coordinator Email: seraj.mehnaz@bracu.ac.bd,shamim.mia@bracu.ac.bd",The full prerequisite chain for CSE421 is CSE320 (SP).,0.0202,4.3891,4.4093,2026-07-27T12:37:21.778935+00:00,0.0,1.0,SCORE: 1.0 | REASON: The ANSWER is fully supported by the CONTEXT as it accurately states the prerequisite chain for CSE421.,baselines,,,,,,,,,,,0.17816706001758575
Q116,bm25_only,1.0,What are the prerequisites for CSE360?,The prerequisite for CSE360 is CSE341 (HP).,"Course: CSE360-01
Theory Initial: ASA
Theory Day: MON+WED
Theory Time: 3:30 PM
Theory Room: 09H-34C
Lab Faculty: SMYA,IRZA
Lab Day: TUE
Lab Time: 11:00 AM
Lab Room: 12B-19L

Course: CSE360-03
Theory Initial: RDW
Theory Day: SAT+THU
Theory Time: 11:00 AM
Theory Room: 09H-33C
Lab Faculty: RDW,SMYA
Lab Day: SUN
Lab Time: 11:00 AM
Lab Room: 12B-19L

Course: CSE360
First Theory Coordinator: UJT
Theory Coordinator Email: jannat.taposhi@bracu.ac.bd
First Lab Coordinator: UJT
Second Lab Coordinator: RDW
Lab Coordinator Email: jannat.taposhi@bracu.ac.bd,redowanul.akbar@bracu.ac.bd

Course: CSE360-04
Theory Initial: RDW
Theory Day: SAT+THU
Theory Time: 12:30 PM
Theory Room: 09H-33C
Lab Faculty: RDW,SMYA
Lab Day: SUN
Lab Time: 11:00 AM
Lab Room: 12B-19L

Course: CSE360
Prerequisite: CSE341 (HP)
Full Prerequisite Chain: CSE341",The prerequisite for CSE360 is CSE341 with a grade of High Pass. The full prerequisite chain for CSE360 is CSE341.,0.0167,5.6741,5.6907,2026-07-27T12:36:19.553453+00:00,0.0,1.0,SCORE: 1.0 | REASON: All claims are fully supported by the provided CONTEXT.,baselines,,,,,,,,,,,0.14806680381298065
Q070,bm25_only,1.0,For a friend who's asking — do I need to pay any fee to collect my degree certificate at Convocation?,"No, based on published notices, there is no fee to collect your certificate at the time of Convocation itself; fees apply if you request documents outside of that window.","Question: For a friend who's asking — do I need to pay any fee to collect my degree certificate at Convocation?
Answer: No, based on published notices, there is no fee to collect your certificate at the time of Convocation itself; fees apply if you request documents outside of that window.

Question: Do I need to pay any fee to collect my degree certificate at Convocation?
Answer: No, based on published notices, there is no fee to collect your certificate at the time of Convocation itself; fees apply if you request documents outside of that window.

Question: Am I required to need to pay any fee to collect my degree certificate at Convocation?
Answer: No, based on published notices, there is no fee to collect your certificate at the time of Convocation itself; fees apply if you request documents outside of that window.

Question (Banglish): Convocation e degree certificate collect korte ki amake fee dite hobe?
Answer (English): No, based on published notices, there is no fee to collect your certificate at the time of Convocation itself; fees apply if you request documents outside of that window.

Question: How do I collect my convocation gown after graduating?
Answer: Graduates collect their convocation gown and souvenirs from a designated location on campus (announced separately each year, e.g. the Alumni Lounge or Student Information Center) during a specific distribution window. You generally need to bring your student ID card and the original pay slip of your convocation fee payment.","No, based on published notices, there is no fee to collect your certificate at the time of Convocation itself; fees apply if you request documents outside of that window.",0.0258,6.2311,6.257,2026-07-27T12:31:18.500620+00:00,0.1937,1.0,SCORE: 1.0 | REASON: The answer is fully supported by the context as it directly quotes a published notice stating no fee for certificate collection at Convocation.,baselines,,,,,,,,,,,0.9921911358833313
Q171,bm25_only,1.0,Who teaches the lab section of CSE221-19?,"The lab section of CSE221-19 is taught by ARD,ANV.","Course: CSE221-19
Theory Initial: IBA
Theory Day: SUN+TUE
Theory Time: 2:00 PM
Theory Room: 09H-33C
Lab Faculty: ARD,ANV
Lab Day: SAT
Lab Time: 11:00 AM
Lab Room: 09E-22L

Initial: ARD
Name: Mr. Ayman Rasheed
Day: Saturday
Scheduled commitments (classes/labs/breaks, not availability): 8:00 AM - CSE221-15 (LAB) MZW,ARD 09E-22L; 9:30 AM - CSE221-15 (LAB) MZW,ARD 09E-22L; 11:00 AM - CSE221-19 (LAB) ARD,ANV 09E-22L; 12:30 PM - CSE221-19 (LAB) ARD,ANV 09E-22L

Initial: ANV
Name: Md. Anonto Shuvo
Day: Saturday
Scheduled commitments (classes/labs/breaks, not availability): 8:00 AM - CSE221-12 (LAB) NRHB,ANV 09B-10L; 9:30 AM - CSE221-12 (LAB) NRHB,ANV 09B-10L; 11:00 AM - CSE221-19 (LAB) ARD,ANV 09E-22L; 12:30 PM - CSE221-19 (LAB) ARD,ANV 09E-22L; 2:00 PM - CSE221-11 (LAB) ANV,CSYR 09B-09L; 3:30 PM - CSE221-11 (LAB) ANV,CSYR 09B-09L

Initial: NARC
Name: Atonu Roy Chowdhury
Day: Saturday
Scheduled commitments (classes/labs/breaks, not availability): 8:00 AM - CSE221-05 (LAB) NARC,FBAW 09B-08L; 11:00 AM - CSE221-13 (LAB) NARC,NMMR 09B-10L; 2:00 PM - CSE330-18 07D-20C; 3:30 PM - CSE330-19 07D-20C

Initial: IRZA
Name: Md. Irtiza Hossain
Day: Thursday
Scheduled commitments (classes/labs/breaks, not availability): 8:00 AM - CSE221-18 10B-17C; 9:30 AM - CSE220-19 09D-17C","The lab instructors for CSE221-19 are Mr. Ayman Rasheed and Md. Anonto Shuvo, who team-teach the lab sections on Saturday at 11:00 AM in room 09E-22L.",0.0196,8.0695,8.0891,2026-07-27T12:41:01.165615+00:00,0.3,1.0,"SCORE: 1.0 | REASON: All claims are supported by the context.

Here's how I broke down the ANSWER into individual factual claims and checked whether the CONTEXT supports each claim:

1. The lab instructors for CSE221-19 are Mr. Ayman Rasheed and Md. Anonto Shuvo.
	* Supported by CONTEXT: Yes, Lab Faculty: ARD,ANV and Initial: ANV's Scheduled commitments include 11:00 AM - CSE221-19 (LAB) ARD,ANV 09E-22L.
2. They team-teach the lab sections on Saturday.
	* Supported by CONTEXT: Yes, Day: Saturday is mentioned in both Initial: ARD and Initial: ANV's information.
3. The lab sections are at 11:00 AM.
	* Supported by CONTEXT: Yes, Lab Time: 11:00 AM is mentioned in the CONTEXT for CSE221-19.
4. The lab sections take place in room 09E-22L.
	* Supported by CONTEXT: Yes, Lab Room: 09E-22L is mentioned in the CONTEXT for CSE221-19.

All four claims are supported by the context, so the final score is 1.0.",baselines,,,,,,,,,,,0.26091647148132324
Q175,bm25_only,1.0,Who teaches the lab section of CSE260-19B?,"The lab section of CSE260-19B is taught by CMHQ,CABS.","Course: CSE260-19B
Theory Initial: TWK
Theory Day: SUN+TUE
Theory Time: 2:00 PM
Theory Room: 09A-02C
Lab Faculty: CMHQ,CABS
Lab Day: SAT
Lab Time: 2:00 PM
Lab Room: FT10-04L

Initial: CABS
Name: Aabrar Islam
Day: Saturday
Scheduled commitments (classes/labs/breaks, not availability): 2:00 PM - CSE260-19B (LAB) CMHQ,CABS FT10-04L; 3:30 PM - CSE260-19B (LAB) CMHQ,CABS FT10-04L

Initial: CMHQ
Name: Moinul Haque
Day: Saturday
Scheduled commitments (classes/labs/breaks, not availability): 8:00 AM - CSE260-10A (LAB) CSYR,CMHQ FT11-01L; 9:30 AM - CSE260-10A (LAB) CSYR,CMHQ FT11-01L; 11:00 AM - Consultation; 12:30 PM - Consultation; 2:00 PM - CSE260-19B (LAB) CMHQ,CABS FT10-04L; 3:30 PM - CSE260-19B (LAB) CMHQ,CABS FT10-04L

Initial: TWK
Name: Towshik Anam Taj
Day: Sunday
Scheduled commitments (classes/labs/breaks, not availability): 8:00 AM - CSE260-22B (LAB) TWK,AAF FT10-04L; 9:30 AM - CSE260-22B (LAB) TWK,AAF FT10-04L; 11:00 AM - CSE260-08A (LAB) AFQ,TWK FT10-03L; 12:30 PM - CSE260-08A (LAB) AFQ,TWK FT10-03L; 2:00 PM - CSE260-19A 09A-02C,CSE260-19B 09A-02C; 3:30 PM - Consultation

Initial: TWK
Name: Towshik Anam Taj
Day: Tuesday
Scheduled commitments (classes/labs/breaks, not availability): 9:30 AM - Consultation; 11:00 AM - Consultation; 12:30 PM - Consultation; 2:00 PM - CSE260-19A 09A-02C,CSE260-19B 09A-02C; 3:30 PM - Consultation",The lab section of CSE260-19B is taught by CMHQ and CABS.,0.0199,5.1884,5.2083,2026-07-27T12:41:22.820751+00:00,0.3,1.0,SCORE: 1.0 | REASON: The answer is fully supported by the context as it directly matches the lab faculty listed for CSE260-19B in the context.,baselines,,,,,,,,,,,0.40801090002059937
Q046,bm25_only,1.0,What sports teams does the university have?,"BRAC University Football Club, BRAC University Chess Club, BRAC University Cricket Club, and BRAC University Indoor Games Club.","Question: Does BRAC University have any costs associated with joining clubs or sports teams?
Answer: No there no costs associated with joining clubs or sports teams.

Question: Are there any costs associated with joining clubs or sports teams?
Answer: No there no costs associated with joining clubs or sports teams.

Question: Just wondering, are there any costs associated with joining clubs or sports teams?
Answer: No there no costs associated with joining clubs or sports teams.

Question: What sports teams does the university have?
Answer: BRAC University Football Club, BRAC University Chess Club, BRAC University Cricket Club, and BRAC University Indoor Games Club.

Question: New student here, what sports teams does the university have?
Answer: BRAC University Football Club, BRAC University Chess Club, BRAC University Cricket Club, and BRAC University Indoor Games Club.","BRAC University has several sports teams, including the BRAC University Football Club, BRAC University Chess Club, BRAC University Cricket Club, and BRAC University Indoor Games Club.",0.0175,6.0528,6.0702,2026-07-27T12:28:00.120158+00:00,0.074,1.0,SCORE: 1.0 | REASON: All individual factual claims are directly supported by the CONTEXT.,baselines,,,,,,,,,,,0.9662309288978577
