query_id,config,lambda,query,reference_answer,retrieved_context,generated_answer,retrieval_s,generation_s,total_s,timestamp,query_confidence,faithfulness,faithfulness_reason,sample_source,route,fusion,abstained,raw_abstain,sufficient_context_override,graph_augmented,faculty_room_augmented,exact_match_any,question_match_any,translated_query,normalized_query,rerank_s,query_top1_score,nli_faithfulness
Q084,full_hybrid,0.5,"Just wondering, what types of general education courses are required for all undergraduate students at BRAC University?","Here is the list of all gen ed courses you can take to complete your credit:
https://www.bracu.ac.bd/academics/institutes-and-schools/school-general-education/streams-and-courses. But all the courses won't be available at every semester so please check USIS to make sure your prefered courses are available or not.","Question: What types of general education courses are required for all undergraduate students at BRAC University?
Answer: Here is the list of all gen ed courses you can take to complete your credit:
https://www.bracu.ac.bd/academics/institutes-and-schools/school-general-education/streams-and-courses. But all the courses won't be available at every semester so please check USIS to make sure your prefered courses are available or not.

Question: Just wondering, what types of general education courses are required for all undergraduate students at BRAC University?
Answer: Here is the list of all gen ed courses you can take to complete your credit:
https://www.bracu.ac.bd/academics/institutes-and-schools/school-general-education/streams-and-courses. But all the courses won't be available at every semester so please check USIS to make sure your prefered courses are available or not.

Question (Banglish): BRAC University er shob undergraduate student der jonno ki ki type er general education course required?
Answer (English): Here is the list of all gen ed courses you can take to complete your credit:
https://www.bracu.ac.bd/academics/institutes-and-schools/school-general-education/streams-and-courses. But all the courses won't be available at every semester so please check USIS to make sure your prefered courses are available or not.

Question (Banglish): Protita student ke General Education (GenEd) course er koto credit-hour complete korte hoy?
Answer (English): Every undergraduate student, regardless of major, must complete 42 credit-hours (14 courses) of General Education courses, generally within the first two years of study, spanning Humanities, Social Sciences, Law, Mathematics, Sciences, Technology and Architecture.

Question (Banglish): BRAC e School of General Education (SGE) kon dhoroner core courses coordinate kore?
Answer (English): The School of General Education coordinates university-wide core and foundation courses required across all undergraduate degree programs.","Every undergraduate student, regardless of major, must complete 42 credit-hours (14 courses) of General Education courses, generally within the first two years of study, spanning Humanities, Social Sciences, Law, Mathematics, Sciences, Technology and Architecture.",0.1859,16.3056,16.4915,2026-08-02T16:14:33.286697+00:00,0.0066,0.5,"SCORE: 0.5 | REASON: The answer partially matches the context, as it mentions the total credit-hours and courses required, but not the specific streams or courses listed in the provided link.",baselines,,,,,,,,,,,,,,0.9794409275054932
Q054,full_hybrid,0.5,What does the Counseling and Wellness Centre at BRAC University offer?,"The Counseling and Wellness Centre is a dedicated student-life office providing psychological and wellbeing support to students, separate from the psychosocial counselling available specifically at the Residential Campus.","Question: What does the Counseling and Wellness Centre at BRAC University offer?
Answer: The Counseling and Wellness Centre is a dedicated student-life office providing psychological and wellbeing support to students, separate from the psychosocial counselling available specifically at the Residential Campus.

Question (Banglish): BRAC University er Counseling and Wellness Centre ki offer kore?
Answer (English): The Counseling and Wellness Centre is a dedicated student-life office providing psychological and wellbeing support to students, separate from the psychosocial counselling available specifically at the Residential Campus.

Question: Does the Counseling and Wellness Centre charge for its services?
Answer: No, the Counseling and Wellness Centre (CWC) provides free and confidential mental health and wellbeing services to all students and staff, including individual counseling, both face-to-face and online.

Question (Banglish): BRAC e Counseling and Wellness Centre kon dhoroner mental health support dey?
Answer (English): The Counseling and Wellness Centre provides confidential individual counseling, stress management sessions, and mental health awareness workshops for students.

Question (Banglish): Counseling and Wellness Centre ki tar service er jonno charge kore?
Answer (English): No, the Counseling and Wellness Centre (CWC) provides free and confidential mental health and wellbeing services to all students and staff, including individual counseling, both face-to-face and online.","The Counseling and Wellness Centre is a dedicated student-life office providing psychological and wellbeing support to students, separate from the psychosocial counselling available specifically at the Residential Campus.",0.0267,6.08,6.1068,2026-08-02T16:14:39.396456+00:00,0.0795,0.5,"SCORE: 0.5 | REASON: The answer partially matches the context, as it correctly states that the Counseling and Wellness Centre is a dedicated student-life office providing psychological support to students, but incorrectly implies that psychosocial counselling at the Residential Campus is separate from its services when in fact the context does not specify this.",baselines,,,,,,,,,,,,,,0.9926122426986694
Q071,full_hybrid,0.5,"I'm an international student on the BRAC Scholarship with a 3.1 CGPA, but I need to retake a course I failed. Will my scholarship cover the retake fee?","No - tuition fee waivers and scholarships, including the BRAC Scholarship, are not applied to retake or repeat courses; you'd need to pay for the retake yourself. Separately, since you failed a course, you also won't be considered for the tuition fee waiver for the following two semesters even on your other coursework, regardless of your CGPA being above the 3.0 minimum.","Question: I'm an international student on the BRAC Scholarship with a 3.1 CGPA, but I need to retake a course I failed. Will my scholarship cover the retake fee?
Answer: No - tuition fee waivers and scholarships, including the BRAC Scholarship, are not applied to retake or repeat courses; you'd need to pay for the retake yourself. Separately, since you failed a course, you also won't be considered for the tuition fee waiver for the following two semesters even on your other coursework, regardless of your CGPA being above the 3.0 minimum.

Question: I'm on the Merit Scholarship and I failed one course this semester. Does that affect my scholarship the same way it would affect an international student's BRAC Scholarship?
Answer: Not necessarily the same way - the rules differ by scholarship. For the international BRAC Scholarship, failing a course makes you ineligible for the tuition fee waiver for the next two semesters. The Merit Scholarship (based on BRACU academic results) is instead tied to maintaining a specific CGPA each semester to keep the award active going forward - so a single failed course's impact would show up through its effect on your CGPA meeting that semester's required threshold, rather than through an automatic two-semester penalty like the BRAC Scholarship's rule.

Question (Banglish): International student der retake ba repeat kora course e ki tuition fee waiver cover kore?
Answer (English): No. Tuition fee waivers and scholarships are not applied to retake or repeat subjects - the student must pay for those separately at their own cost.

Question: Quick question — does a tuition fee waiver cover retaken or repeated courses for international students?
Answer: No. Tuition fee waivers and scholarships are not applied to retake or repeat subjects - the student must pay for those separately at their own cost.

Question: Hey, does a tuition fee waiver cover retaken or repeated courses for international students?
Answer: No. Tuition fee waivers and scholarships are not applied to retake or repeat subjects - the student must pay for those separately at their own cost.","No - tuition fee waivers and scholarships, including the BRAC Scholarship, are not applied to retake or repeat courses; you'd need to pay for the retake yourself. Separately, since you failed a course, you also won't be considered for the tuition fee waiver for the following two semesters even on your other coursework, regardless of your CGPA being above the 3.0 minimum.",0.0405,11.3583,11.3989,2026-08-02T16:14:50.798850+00:00,0.4618,1.0,SCORE: 1.0 | REASON: All individual factual claims are fully supported by the retrieved CONTEXT.,baselines,,,,,,,,,,,,,,0.9866122007369995
Q046,full_hybrid,0.5,What sports teams does the university have?,"BRAC University Football Club, BRAC University Chess Club, BRAC University Cricket Club, and BRAC University Indoor Games Club.","Question: What sports teams does the university have?
Answer: BRAC University Football Club, BRAC University Chess Club, BRAC University Cricket Club, and BRAC University Indoor Games Club.

Question: New student here, what sports teams does the university have?
Answer: BRAC University Football Club, BRAC University Chess Club, BRAC University Cricket Club, and BRAC University Indoor Games Club.

Question: One thing I couldn't find anywhere: does BRAC University take part in inter-university sports tournaments regularly?
Answer: Yes, BRAC University teams regularly compete in inter-university football and other sports tournaments in Dhaka, including tournaments like the Shahjalal Islami Bank Faraaz Gold Cup Inter-University Football Tournament.

Question: Does BRAC University have any costs associated with joining clubs or sports teams?
Answer: No there no costs associated with joining clubs or sports teams.

Question: Are there any costs associated with joining clubs or sports teams?
Answer: No there no costs associated with joining clubs or sports teams.","The university has BRAC University Football Club, BRAC University Chess Club, BRAC University Cricket Club, and BRAC University Indoor Games Club.",0.0261,5.4898,5.5158,2026-08-02T16:14:56.316681+00:00,0.0115,1.0,SCORE: 1.0 | REASON: All individual factual claims are directly supported by the provided CONTEXT.,baselines,,,,,,,,,,,,,,0.9736749529838562
Q045,full_hybrid,0.5,"My advisor is not responding, what to do?","Please wait, your advisor is maybe busy with other students response. You can request other advisors for your advising but he will only add it but he will not approve it. So, it is wise to get request done by the advisor.","Question: My advisor is not responding, what to do?
Answer: Please wait, your advisor is maybe busy with other students response. You can request other advisors for your advising but he will only add it but he will not approve it. So, it is wise to get request done by the advisor.

Question: My advisor is not on campus, what to do?
Answer: Please request on Discord on your advisor's channel or try requesting other advisor. But he can reject you easily because it is not his duty as you are not assigned to him in the advising session. So, please ask your advisor on the Discord channel or request other advisor if they are willing to help.

Question (Banglish): Amar advisor response korche na, ki korbo?
Answer (English): Please wait, your advisor is maybe busy with other students response. You can request other advisors for your advising but he will only add it but he will not approve it. So, it is wise to get request done by the advisor.

Question (Banglish): Amar advisor campus e nei, ki korbo?
Answer (English): Please request on Discord on your advisor's channel or try requesting other advisor. But he can reject you easily because it is not his duty as you are not assigned to him in the advising session. So, please ask your advisor on the Discord channel or request other advisor if they are willing to help.

Question: I have not been advised to a advisor yet, what to do?
Answer: If you haven't been assigned an advisor yet, contact your department's DCO (Departmental Coordination Officer) - for CSE, current DCO contact details are published via the department's official advising channel or notice board, since DCO assignments can change between semesters. If the DCOs don't respond, escalate to your department's advising coordinator.","Please wait, your advisor is maybe busy with other students' responses. You can request other advisors for your advising but they will only add it, but they will not approve it. So, it is wise to get the request done by your assigned advisor.",0.0157,8.0015,8.0173,2026-08-02T16:15:04.336490+00:00,0.3645,0.8,"SCORE: 0.8 | REASON: The answer's claim about advisors only adding requests but not approving them is partially supported by the context, which mentions that other advisors can reject requests due to lack of assigned duty.",baselines,,,,,,,,,,,,,,0.7515425086021423
Q040,full_hybrid,0.5,Can you tell me what the deadline to change the thesis title before the final defense is?,The deadline to change a thesis title before the final defense varies by semester - check the current semester's thesis deadline sheet for the exact date.,"Question: Can you tell me what the deadline to change the thesis title before the final defense is?
Answer: The deadline to change a thesis title before the final defense varies by semester - check the current semester's thesis deadline sheet for the exact date.

Question: What is the deadline to change the thesis title before the final defense?
Answer: The deadline to change a thesis title before the final defense varies by semester - check the current semester's thesis deadline sheet for the exact date.

Question (Banglish): Final defense er age thesis title change korar deadline ta kobe?
Answer (English): The deadline to change a thesis title before the final defense varies by semester - check the current semester's thesis deadline sheet for the exact date.

Question: My thesis defense got postponed due to a cyclone, and separately I want to change my thesis title before the (new) defense date. Are both of these OK?
Answer: Both are handled, but through different mechanisms - a defense postponed for an external/valid reason like a cyclone is simply rescheduled, no penalty. Changing your thesis title before the (rescheduled) final defense is also possible, but the deadline for that varies by semester, so you'd want to check the current thesis deadline sheet to make sure your title-change request still falls within whatever window applies to your now-rescheduled defense date.

Question: Can you tell me what the current deadlines for thesis submission and defense are?
Answer: Thesis submission and defense deadlines are set fresh each semester by the CSE Thesis Committee and shared with enrolled thesis students via a deadline sheet. Check with your thesis coordinator or department for the current semester's exact dates, since these change every term.",The deadline to change a thesis title before the final defense varies by semester - check the current semester's thesis deadline sheet for the exact date.,0.0218,5.6135,5.6354,2026-08-02T16:15:09.974202+00:00,0.0415,0.5,"SCORE: 0.5 | REASON: The answer is partially supported because it accurately states that the deadline varies by semester, but fails to provide any actual deadline or source for verification.",baselines,,,,,,,,,,,,,,0.9930863976478577
Q023,full_hybrid,0.5,I'm an EEE student minoring in Physics. Do I need to separately meet the Physics minor's prerequisites even though I'm not a Physics major?,"Yes - BRACU's Minor in Physics has its own defined set of required courses and prerequisites, separate from your EEE major requirements, open to students from other departments as long as they meet those specific prerequisites. Being an EEE major doesn't automatically satisfy the Physics minor's course requirements; you'd need to check and fulfill them independently.","Question: I'm an EEE student minoring in Physics. Do I need to separately meet the Physics minor's prerequisites even though I'm not a Physics major?
Answer: Yes - BRACU's Minor in Physics has its own defined set of required courses and prerequisites, separate from your EEE major requirements, open to students from other departments as long as they meet those specific prerequisites. Being an EEE major doesn't automatically satisfy the Physics minor's course requirements; you'd need to check and fulfill them independently.

Question: New student here, can students minor in Physics, Mathematics, Biotechnology, or Microbiology even if it's not their major?
Answer: Yes, BRAC University offers formal Minor programs in Physics, Mathematics, Biotechnology, and Microbiology, each with a specific set of required courses, open to students from other majors who meet the prerequisites.

Question: Can students minor in Physics, Mathematics, Biotechnology, or Microbiology even if it's not their major?
Answer: Yes, BRAC University offers formal Minor programs in Physics, Mathematics, Biotechnology, and Microbiology, each with a specific set of required courses, open to students from other majors who meet the prerequisites.

Question (Banglish): Major na hoile o student ra ki Physics, Mathematics, Biotechnology, ba Microbiology te minor korte pare?
Answer (English): Yes, BRAC University offers formal Minor programs in Physics, Mathematics, Biotechnology, and Microbiology, each with a specific set of required courses, open to students from other majors who meet the prerequisites.

Question (Banglish): Major department na hole o student ra ki EEE te minor korte pare?
Answer (English): Yes, BRAC University offers a Minor in EEE with its own defined set of required courses and prerequisites (such as Electrical Circuits I & II and Electronic Circuits I & II), open to students from other departments who meet the prerequisites.","Yes - BRACU's Minor in Physics has its own defined set of required courses and prerequisites, separate from your EEE major requirements, open to students from other departments as long as they meet those specific prerequisites. Being an EEE major doesn't automatically satisfy the Physics minor's course requirements; you'd need to check and fulfill them independently.",0.0285,10.002,10.0306,2026-08-02T16:15:20.008039+00:00,0.4489,1.0,SCORE: 1.0 | REASON: All individual factual claims in the ANSWER are fully supported by the retrieved CONTEXT.,baselines,,,,,,,,,,,,,,0.9911775588989258
Q081,full_hybrid,0.5,What is BRAC Scholarship?,"BRAC Scholarship is for economically disadvantaged students.

Eligibility criteria and other requirements:

1. Parents’ monthly income - not more than Tk. 20,000. 

2. Students must have a GPA of 4.50 (without 4th subject) in SSC and HSC from Science, Arts & Commerce Group.","Question (Banglish): Scholarship er jonno ami kivabe apply korbo?
Answer (English): 1. Students who are eligible for Scholarship Based on Previous Academic Results / Sibling Scholarship / BRAC Scholarship / Physically Challenged Students / Children of Freedom Fighter / Debater's Blue Scholarship / Children of Brac University Regular Confirmed Employee will have to apply for the first time through BracU prescribed form which is available at the Brac University website (https://www.bracu.ac.bd/admission/scholarships-financial-aid) and submit it to the International & Scholarship Office, Brac University or email the scan copy to: scholarship@bracu.ac.bd 

2. Those students who are eligible under Merit Scholarship Based on Brac University Academic Results and Scholarship Based on Brac University Admission Test Result are not required to apply as a scholarship will be awarded automatically. 

3. Those students who are already availing of scholarships/financial aid are not required to apply further. If they fulfill all the conditions of the scholarship, they will be awarded automatically. 

4. If the scholarship /financial aid of a student is discontinued for one or more than one semester, s/he needs to re-apply through BracU prescribed form after fulfilling the eligibility criteria.

Question (Banglish): BRAC University je Scholarship/Financial aid dey, segula ki ki type er?
Answer (English): 1. Scholarship Based on Previous Academic Results 

2. Merit Scholarship based on BracU Academic Results 

3. Scholarship Based on Brac University Admission Test Result

4. Sibling Scholarship

5. Spouse Scholarship

6. BRAC Scholarship

7. Physically Challenged Students

8. Children of Freedom Fighter

9. Debater's Blue Scholarship

10. Children of BracU Regular Confirmed Employee

For detailed information: https://www.bracu.ac.bd/admission/scholarships-financial-aid

Question: How can I apply for the scholarship?
Answer: 1. Students who are eligible for Scholarship Based on Previous Academic Results / Sibling Scholarship / BRAC Scholarship / Physically Challenged Students / Children of Freedom Fighter / Debater’s Blue Scholarship / Children of Brac University Regular Confirmed Employee will have to apply for the first time through BracU prescribed form which is available at the Brac University website (https://www.bracu.ac.bd/admission/scholarships-financial-aid) and submit it to the International & Scholarship Office, Brac University or email the scan copy to: scholarship@bracu.ac.bd 

2. Those students who are eligible under Merit Scholarship Based on Brac University Academic Results and Scholarship Based on Brac University Admission Test Result are not required to apply as a scholarship will be awarded automatically. 

3. Those students who are already availing of scholarships/financial aid are not required to apply further. If they fulfill all the conditions of the scholarship, they will be awarded automatically. 

4. If the scholarship /financial aid of a student is discontinued for one or more than one semester, s/he needs to re-apply through BracU prescribed form after fulfilling the eligibility criteria.

Question: What are the types of Scholarship/ Financial aid offered by Brac University?
Answer: 1. Scholarship Based on Previous Academic Results 

2. Merit Scholarship based on BracU Academic Results 

3. Scholarship Based on Brac University Admission Test Result

4. Sibling Scholarship

5. Spouse Scholarship

6. BRAC Scholarship

7. Physically Challenged Students

8. Children of Freedom Fighter

9. Debater’s Blue Scholarship

10. Children of BracU Regular Confirmed Employee

For detailed information: https://www.bracu.ac.bd/admission/scholarships-financial-aid

Question: Can you tell me what the types of Scholarship/ Financial aid offered by Brac University are?
Answer: 1. Scholarship Based on Previous Academic Results 

2. Merit Scholarship based on BracU Academic Results 

3. Scholarship Based on Brac University Admission Test Result

4. Sibling Scholarship

5. Spouse Scholarship

6. BRAC Scholarship

7. Physically Challenged Students

8. Children of Freedom Fighter

9. Debater’s Blue Scholarship

10. Children of BracU Regular Confirmed Employee

For detailed information: https://www.bracu.ac.bd/admission/scholarships-financial-aid","BRAC Scholarship is one of the types of scholarships offered by Brac University, listed among the 10 types of scholarship/financial aid provided by the university.",0.0174,7.0449,7.0623,2026-08-02T16:15:27.072942+00:00,0.0094,1.0,SCORE: 1.0 | REASON: All individual factual claims made in the ANSWER are directly supported by the CONTEXT.,baselines,,,,,,,,,,,,,,0.2811886966228485
Q011,full_hybrid,0.5,"Does BRAC University have a digital student ID card, or only a physical one?","Yes, BRAC University introduced a digital ID card in 2017, generated through the BRACU Mobile App (accessible via the app's 'ID Card' menu option). Both the physical and digital ID have been usable, and students are advised to keep the app updated to generate their digital card.","Question: Does BRAC University have a digital student ID card, or only a physical one?
Answer: Yes, BRAC University introduced a digital ID card in 2017, generated through the BRACU Mobile App (accessible via the app's 'ID Card' menu option). Both the physical and digital ID have been usable, and students are advised to keep the app updated to generate their digital card.

Question (Banglish): BRAC University er ki digital student ID card ache, naki shudhu physical ta?
Answer (English): Yes, BRAC University introduced a digital ID card in 2017, generated through the BRACU Mobile App (accessible via the app's 'ID Card' menu option). Both the physical and digital ID have been usable, and students are advised to keep the app updated to generate their digital card.

Question (Banglish): ID card chara student ra ki transport service use korte pare?
Answer (English): No, students must present a valid BRAC University ID card.

Question (Banglish): ID card na thakle notun student ra ki dekhabe?
Answer (English): New students must show a photocopy of their payment receipt.

Question (Banglish): BRAC e student ID card kokhon pawa jay?
Answer (English): New students receive information about collecting their student ID card after completing the required admission and registration formalities.","BRAC University has both a digital and a physical student ID card. The digital ID card was introduced in 2017 through the BRACU Mobile App, which can be accessed via the app's 'ID Card' menu option.",0.0236,7.5974,7.621,2026-08-02T16:15:34.696839+00:00,0.1222,0.8,"SCORE: 0.8 | REASON: The answer's claim about the digital ID card being introduced in 2017 is supported, but its statement that students are advised to keep the app updated is not mentioned in the context.",baselines,,,,,,,,,,,,,,0.9395742416381836
Q001,full_hybrid,0.5,How are meal plans managed at TARC?,"Tarc provides 3 main meals breakfast,lunch and dinner and two snack time followed by them.Breakfast time continues from 7-9 am, lunch time continues from 12:30-3 pm,dinner continues from 8:30-10 pm followed by snacks time which are from 11-12 am and 4-5 pm colleectively","Question: How are meal plans managed at TARC?
Answer: Tarc provides 3 main meals breakfast,lunch and dinner and two snack time followed by them.Breakfast time continues from 7-9 am, lunch time continues from 12:30-3 pm,dinner continues from 8:30-10 pm followed by snacks time which are from 11-12 am and 4-5 pm colleectively

Question: Before I forget to ask — how are meal plans managed at TARC?
Answer: Tarc provides 3 main meals breakfast,lunch and dinner and two snack time followed by them.Breakfast time continues from 7-9 am, lunch time continues from 12:30-3 pm,dinner continues from 8:30-10 pm followed by snacks time which are from 11-12 am and 4-5 pm colleectively

Question: Sorry if this was already answered, but how are meal plans managed at TARC?
Answer: Tarc provides 3 main meals breakfast,lunch and dinner and two snack time followed by them.Breakfast time continues from 7-9 am, lunch time continues from 12:30-3 pm,dinner continues from 8:30-10 pm followed by snacks time which are from 11-12 am and 4-5 pm colleectively

Question (Banglish): TARC e meal plan kivabe manage kora hoy?
Answer (English): Tarc provides 3 main meals breakfast,lunch and dinner and two snack time followed by them.Breakfast time continues from 7-9 am, lunch time continues from 12:30-3 pm,dinner continues from 8:30-10 pm followed by snacks time which are from 11-12 am and 4-5 pm colleectively

Question (Banglish): BRAC Savar Residential Campus dining hall weekly menu nutritionist guidance follow kore?
Answer (English): Yes, meal plans are designed under nutritional guidelines to offer balanced diets for resident students.","Meal plans at TARC are managed by providing 3 main meals - breakfast, lunch, and dinner - and two snack times that follow them. Breakfast time continues from 7-9 am, lunch time from 12:30-3 pm, dinner from 8:30-10 pm, followed by snacks from 11-12 am and 4-5 pm collectively.",0.0193,11.1881,11.2073,2026-08-02T16:15:45.907653+00:00,0.0131,0.8,"SCORE: 0.8 | REASON: The answer's claim about breakfast time continuing from 7-9 am is not supported by the context, which actually states it continues from 12:30-3 pm.",baselines,,,,,,,,,,,,,,0.79347825050354
