query_id,config,lambda,query,reference_answer,retrieved_context,generated_answer,retrieval_s,generation_s,total_s,timestamp,query_confidence,bleu,rougeL,meteor,bertscore
Q001,full_hybrid,0.5,How are meal plans managed at TARC?,"Tarc provides 3 main meals breakfast,lunch and dinner and two snack time followed by them.Breakfast time continues from 7-9 am, lunch time continues from 12:30-3 pm,dinner continues from 8:30-10 pm followed by snacks time which are from 11-12 am and 4-5 pm colleectively","Question: How are meal plans managed at TARC?
Answer: Tarc provides 3 main meals breakfast,lunch and dinner and two snack time followed by them.Breakfast time continues from 7-9 am, lunch time continues from 12:30-3 pm,dinner continues from 8:30-10 pm followed by snacks time which are from 11-12 am and 4-5 pm colleectively

Question: Before I forget to ask — how are meal plans managed at TARC?
Answer: Tarc provides 3 main meals breakfast,lunch and dinner and two snack time followed by them.Breakfast time continues from 7-9 am, lunch time continues from 12:30-3 pm,dinner continues from 8:30-10 pm followed by snacks time which are from 11-12 am and 4-5 pm colleectively

Question: Sorry if this was already answered, but how are meal plans managed at TARC?
Answer: Tarc provides 3 main meals breakfast,lunch and dinner and two snack time followed by them.Breakfast time continues from 7-9 am, lunch time continues from 12:30-3 pm,dinner continues from 8:30-10 pm followed by snacks time which are from 11-12 am and 4-5 pm colleectively

Question (Banglish): TARC e meal plan kivabe manage kora hoy?
Answer (English): Tarc provides 3 main meals breakfast,lunch and dinner and two snack time followed by them.Breakfast time continues from 7-9 am, lunch time continues from 12:30-3 pm,dinner continues from 8:30-10 pm followed by snacks time which are from 11-12 am and 4-5 pm colleectively

Question (Banglish): BRAC Savar Residential Campus dining hall weekly menu nutritionist guidance follow kore?
Answer (English): Yes, meal plans are designed under nutritional guidelines to offer balanced diets for resident students.","Meal plans at TARC are managed by providing 3 main meals - breakfast, lunch, and dinner - and two snack times that follow them. Breakfast time continues from 7-9 am, lunch time from 12:30-3 pm, dinner from 8:30-10 pm, followed by snacks from 11-12 am and 4-5 pm collectively.",0.333,11.0308,11.3638,2026-08-02T04:07:39.973949+00:00,0.0131,0.3829306532272853,0.8598130841121496,0.7899857347310508,0.9380478858947754
Q002,full_hybrid,0.5,Reason for late fee appearing on pay slip of scholarship recipients after 29 June 2025?,The fee appears temporarily and will be waived automatically once the scholarship is adjusted.,"Question: Reason for late fee appearing on pay slip of scholarship recipients after 29 June 2025?
Answer: The fee appears temporarily and will be waived automatically once the scholarship is adjusted.

Question (Banglish): Scholarship pawa student der pay slip e 29 June 2025 er por late fee keno ashe?
Answer (English): The fee appears temporarily and will be waived automatically once the scholarship is adjusted.

Question: Consequence of adding courses after 24 June 2025?
Answer: A late registration fee will be applied.

Question: What are the consequences of late payment of tuition and fees?
Answer: At BRAC University, failure to make timely payments of tuition and fees can result in significant academic and financial consequences. Students who do not meet payment deadlines may have their academic results withheld, preventing them from accessing their grades or academic records. Additionally, unpaid dues can lead to the student being blocked from registering for future semesters, thereby delaying their academic progress. The university may also impose late fees or penalties, further increasing the cost of attendance. In extreme cases, continued non-payment could result in deregistration from the university, causing the student to lose their enrollment status

Question: Can you tell me what the consequences of late payment of tuition and fees are?
Answer: At BRAC University, failure to make timely payments of tuition and fees can result in significant academic and financial consequences. Students who do not meet payment deadlines may have their academic results withheld, preventing them from accessing their grades or academic records. Additionally, unpaid dues can lead to the student being blocked from registering for future semesters, thereby delaying their academic progress. The university may also impose late fees or penalties, further increasing the cost of attendance. In extreme cases, continued non-payment could result in deregistration from the university, causing the student to lose their enrollment status",The reason for the late fee appearing on the pay slip of scholarship recipients after 29 June 2025 is that the fee appears temporarily and will be waived automatically once the scholarship is adjusted.,0.0356,6.6281,6.6636,2026-08-02T04:07:46.638215+00:00,0.4164,0.4018215766366551,0.5833333333333334,0.8822222222222224,0.9395237565040588
Q003,full_hybrid,0.5,When is the next intake for the undergraduate program?,"BRAC University admits new undergraduates three times a year - Spring (classes start January), Summer (May), and Fall (September). The exact application deadline and admission test date for the next intake are published on the Admissions page (bracu.ac.bd/admissions) closer to that semester.","Question: When is the next intake for the undergraduate program?
Answer: BRAC University admits new undergraduates three times a year - Spring (classes start January), Summer (May), and Fall (September). The exact application deadline and admission test date for the next intake are published on the Admissions page (bracu.ac.bd/admissions) closer to that semester.

Question: Do you know when is the next intake for the undergraduate program?
Answer: BRAC University admits new undergraduates three times a year - Spring (classes start January), Summer (May), and Fall (September). The exact application deadline and admission test date for the next intake are published on the Admissions page (bracu.ac.bd/admissions) closer to that semester.

Question (Banglish): Undergraduate program e porer barer intake ta thik kobe theke shuru hobe?
Answer (English): BRAC University admits new undergraduates three times a year - Spring (classes start January), Summer (May), and Fall (September). The exact application deadline and admission test date for the next intake are published on the Admissions page (bracu.ac.bd/admissions) closer to that semester.

Question: When did the Department of Architecture at BRAC University start, and how large is its typical intake?
Answer: The department started in Spring 2002 with 15 students and 3 faculty members. Admission is competitive and intake has historically been limited to around 25-30 students per year to maintain close studio supervision.

Question (Banglish): BRAC University er Department of Architecture kobe shuru hoyechilo, ar er typical intake koto?
Answer (English): The department started in Spring 2002 with 15 students and 3 faculty members. Admission is competitive and intake has historically been limited to around 25-30 students per year to maintain close studio supervision.","BRAC University admits new undergraduates three times a year - Spring (classes start January), Summer (May), and Fall (September). The exact application deadline and admission test date for the next intake are published on the Admissions page (bracu.ac.bd/admissions) closer to that semester.",0.02,9.0201,9.0402,2026-08-02T04:07:55.678740+00:00,0.0162,1.0,1.0,0.9999968246710359,1.0000001192092896
Q004,full_hybrid,0.5,Can you tell me what the minimum and maximum number of group members for a thesis/project is?,A thesis/project group must have a minimum of 1 member and a maximum of 5 members.,"Question: Can you tell me what the minimum and maximum number of group members for a thesis/project is?
Answer: A thesis/project group must have a minimum of 1 member and a maximum of 5 members.

Question: What is the minimum and maximum number of group members for a thesis/project?
Answer: A thesis/project group must have a minimum of 1 member and a maximum of 5 members.

Question (Banglish): Thesis/project er jonno group member minimum ar maximum koyjon lagbe?
Answer (English): A thesis/project group must have a minimum of 1 member and a maximum of 5 members.

Question: Can you tell me what the maximum number of supervisors/co-supervisors allowed per group is?
Answer: A maximum of 2 supervisors and 2 co-supervisors.

Question (Banglish): BRAC e ekta thesis group e koyjon student thakte pare?
Answer (English): The permitted number of students in a thesis or project group is determined by the academic department and may vary depending on the program and course requirements.",A thesis/project group must have a minimum of 1 member and a maximum of 5 members.,0.026,4.9017,4.9276,2026-08-02T04:08:00.606606+00:00,0.0613,1.0,1.0,0.999898229187869,1.0
Q005,full_hybrid,0.5,Before I forget to ask — what should students do if they have a scheduling conflict with their exams?,"The first step is to inform the course instructor about the conflict as soon as possible. If the conflict involves multiple exams or cannot be resolved with the instructor, students should consult their department office. The department can provide additional support or coordinate with other instructors to find a solution.","Question: What should students do if they have a scheduling conflict with their exams?
Answer: The first step is to inform the course instructor about the conflict as soon as possible. If the conflict involves multiple exams or cannot be resolved with the instructor, students should consult their department office. The department can provide additional support or coordinate with other instructors to find a solution.

Question: Random question, what should students do if they have a scheduling conflict with their exams?
Answer: The first step is to inform the course instructor about the conflict as soon as possible. If the conflict involves multiple exams or cannot be resolved with the instructor, students should consult their department office. The department can provide additional support or coordinate with other instructors to find a solution.

Question: Before I forget to ask — what should students do if they have a scheduling conflict with their exams?
Answer: The first step is to inform the course instructor about the conflict as soon as possible. If the conflict involves multiple exams or cannot be resolved with the instructor, students should consult their department office. The department can provide additional support or coordinate with other instructors to find a solution.

Question (Banglish): Exam er scheduling e conflict thakle student der ki korte hoy?
Answer (English): The first step is to inform the course instructor about the conflict as soon as possible. If the conflict involves multiple exams or cannot be resolved with the instructor, students should consult their department office. The department can provide additional support or coordinate with other instructors to find a solution.

Question (Banglish): BRAC e Midterm ba Final Exam conflict hoye gele student er ki koronio?
Answer (English): If a student faces an exam time conflict (two exams scheduled at the same time), they must inform their respective course instructors and the Department Office at least one week prior to the exam to arrange a rescheduled test.","The first step is to inform the course instructor about the conflict as soon as possible. If the conflict involves multiple exams or cannot be resolved with the instructor, students should consult their department office. The department can provide additional support or coordinate with other instructors to find a solution.",0.0217,8.198,8.2196,2026-08-02T04:08:08.826999+00:00,0.0018,1.0,1.0,0.9999969947407964,0.9999998807907104
Q006,full_hybrid,0.5,Where is the EEE Department?,The EEE Department is located on the 4th floor and the labs are on 11th and 12th.,"Question: Where is the EEE Department?
Answer: The EEE Department is located on the 4th floor and the labs are on 11th and 12th.

Question (Banglish): EEE Department kothay?
Answer (English): The EEE Department is located on the 4th floor and the labs are on 11th and 12th.

Question: Where is EEE department's printing Lab?
Answer: The EEE Department's printing lab is on 12B-17L

Question: What undergraduate and graduate programs does the Department of EEE offer?
Answer: The Department of Electrical and Electronic Engineering offers two undergraduate programs - Bachelor of Science in Electrical and Electronic Engineering (BSEEE) and Bachelor of Science in Electronic and Communication Engineering (BSECE) - plus two graduate programs, the Master of Science in EEE (MScEEE) and the Master of Engineering in EEE (MEnggEEE).

Question (Banglish): Department of EEE ki ki undergraduate ar graduate program offer kore?
Answer (English): The Department of Electrical and Electronic Engineering offers two undergraduate programs - Bachelor of Science in Electrical and Electronic Engineering (BSEEE) and Bachelor of Science in Electronic and Communication Engineering (BSECE) - plus two graduate programs, the Master of Science in EEE (MScEEE) and the Master of Engineering in EEE (MEnggEEE).",The EEE Department is located on the 4th floor and the labs are on 11th and 12th.,0.0143,5.0543,5.0686,2026-08-02T04:08:13.895971+00:00,0.0303,1.0,1.0,0.9999142661179699,1.0000001192092896
Q007,full_hybrid,0.5,What services does the BRAC University Medical Center provide?,"The Medical Center offers emergency medical services and free consultations/medicine to students and employees, health checkups with an official Health Card, referrals to partner hospitals for emergencies, ambulance support, and workshops on reproductive health and family planning. It also runs blood donation programs in collaboration with student clubs, arranges vaccination drives for communicable diseases, and holds regular STD/reproductive health workshops each semester with BRAC James P Grant School of Public Health.","Question: Hi, what services does the BRAC University Medical Center provide?
Answer: The Medical Center offers emergency medical services and free consultations/medicine to students and employees, health checkups with an official Health Card, referrals to partner hospitals for emergencies, ambulance support, and workshops on reproductive health and family planning, among other services.

Question: What services does the BRAC University Medical Center provide?
Answer: The Medical Center offers emergency medical services and free consultations/medicine to students and employees, health checkups with an official Health Card, referrals to partner hospitals for emergencies, ambulance support, and workshops on reproductive health and family planning. It also runs blood donation programs in collaboration with student clubs, arranges vaccination drives for communicable diseases, and holds regular STD/reproductive health workshops each semester with BRAC James P Grant School of Public Health.

Question (Banglish): BRAC University Medical Center ki ki service provide kore?
Answer (English): The Medical Center offers emergency medical services and free consultations/medicine to students and employees, health checkups with an official Health Card, referrals to partner hospitals for emergencies, ambulance support, and workshops on reproductive health and family planning. It also runs blood donation programs in collaboration with student clubs, arranges vaccination drives for communicable diseases, and holds regular STD/reproductive health workshops each semester with BRAC James P Grant School of Public Health.

Question: Does BRAC University have a medical center for students?
Answer: Yes, BRAC University's Student Life section lists a Medical Center that provides healthcare services to students on campus, in addition to the medical facilities available at the Savar Residential Campus.

Question (Banglish): BRAC University te student der jonno ki medical center ache?
Answer (English): Yes, BRAC University's Student Life section lists a Medical Center that provides healthcare services to students on campus, in addition to the medical facilities available at the Savar Residential Campus.","The BRAC University Medical Center offers emergency medical services and free consultations/medicine to students and employees, health checkups with an official Health Card, referrals to partner hospitals for emergencies, ambulance support, and workshops on reproductive health and family planning. It also runs blood donation programs in collaboration with student clubs, arranges vaccination drives for communicable diseases, and holds regular STD/reproductive health workshops each semester with BRAC James P Grant School of Public Health.",0.0252,11.8675,11.8927,2026-08-02T04:08:25.788696+00:00,0.0638,0.965325976608878,0.9864864864864865,0.9974666550135225,0.9911755323410034
Q008,full_hybrid,0.5,When must course selections be confirmed after Pre-Registration phases?,During the Self-Registration period assigned after result publication,"Question: When must course selections be confirmed after Pre-Registration phases?
Answer: During the Self-Registration period assigned after result publication

Question (Banglish): Pre-Registration phase er por course selection kobe confirm korte hobe?
Answer (English): During the Self-Registration period assigned after result publication

Question: Final opportunity for course registration after Pre-Registration Phases?
Answer: The Self-Registration period is the final opportunity for course registration after both Pre-Registration phases have ended.

Question: Just wondering, final opportunity for course registration after Pre-Registration Phases?
Answer: The Self-Registration period is the final opportunity for course registration after both Pre-Registration phases have ended.

Question (Banglish): Pre-Registration Phase er por course registration er final opportunity ta ki?
Answer (English): The Self-Registration period is the final opportunity for course registration after both Pre-Registration phases have ended.",Course selections must be confirmed during the Self-Registration period assigned after result publication.,0.0222,4.3041,4.3263,2026-08-02T04:08:30.115729+00:00,0.6639,0.5142401605028263,0.782608695652174,0.9293241279069768,0.9285575747489929
Q009,full_hybrid,0.5,Where do i have to park the vehicle?,You can park your vehicle at basement-2.,"Question: Where do i have to park the vehicle?
Answer: You can park your vehicle at basement-2.

Question (Banglish): Amar vehicle ta kothay park korte hobe?
Answer (English): You can park your vehicle at basement-2.

Question: How long can i park my vehicle on campus?
Answer: As long as you're paying the parking fee

Question (Banglish): Ami koto shomoy campus e amar vehicle park korte pari?
Answer (English): As long as you're paying the parking fee

Question (Banglish): BRAC campus parking e daily vehicle parking token fee koto?
Answer (English): Authorized students and faculty members can park their registered vehicles at designated campus parking zones by adhering to the university parking guidelines and security checks.",You can park your vehicle at basement-2.,0.0177,3.7143,3.7319,2026-08-02T04:08:33.847834+00:00,0.1406,1.0,1.0,0.9990234375,1.0000001192092896
Q010,full_hybrid,0.5,Purpose of the Wishlist event for Summer 2025?,To help plan course offerings based on student demand,"Question: Purpose of the Wishlist event for Summer 2025?
Answer: To help plan course offerings based on student demand

Question (Banglish): Summer 2025 er Wishlist event er purpose ki?
Answer (English): To help plan course offerings based on student demand

Question: Why is participation in the Wishlist event important?
Answer: Course offerings will be based on student demand collected from Wishlist submissions

Question (Banglish): Wishlist event e participation kora keno eto important, seta ektu bujhiye bolben?
Answer (English): Course offerings will be based on student demand collected from Wishlist submissions

Question: Purpose of the Course Wishlist feature in the Connect system?
Answer: Addition of preferred courses to a wishlist to secure seats as they become available while following university policies",The purpose of the Wishlist event for Summer 2025 is to help plan course offerings based on student demand.,0.0226,4.7705,4.7931,2026-08-02T04:08:38.641474+00:00,0.0256,0.401577332834242,0.6428571428571429,0.8904779366825571,0.9402251839637756
