query_id,config,query,reference_answer,retrieved_context,generated_answer,route,fusion,lambda,abstained,raw_abstain,sufficient_context_override,graph_augmented,exact_match_any,question_match_any,retrieval_s,rerank_s,generation_s,total_s,timestamp,query_confidence,query_top1_score
Q079,adaptive_novel,What steps do I need to follow to access the Prayer Room for females?,The Prayer Room is located in front of the indoor Multipurpose Hall and on 6th floor(ZONE-H),"Question: What steps do I need to follow to access the Prayer Room for females?
Answer: The Prayer Room is located in front of the indoor Multipurpose Hall and on 6th floor(ZONE-H)

Question: How can I access the Prayer Room for females?
Answer: The Prayer Room is located in front of the indoor Multipurpose Hall and on 6th floor(ZONE-H)

Question: Where can I find the Prayer Room for females?
Answer: In front of the indoor (Multipurpose Hall) and also on 6th floor(ZONE-H).

Question (Banglish): Female der Prayer Room ami kivabe access korbo?
Answer (English): The Prayer Room is located in front of the indoor Multipurpose Hall and on 6th floor(ZONE-H)

Question: Where's the male prayer room?
Answer: The male prayer room is on the 6th floor (ZONE-H).","To access the Prayer Room for females, you need to follow these steps: locate it in front of the indoor Multipurpose Hall and also find it on the 6th floor(ZONE-H).",open_ended,linear,0.5,False,False,False,False,False,True,0.022,0.0,6.4316,6.4538,2026-07-27T15:38:31.734931+00:00,0.227,1.0902
Q017,adaptive_novel,"Hey, for further information regarding Admission who should I contact?","For more queries, please contact the Inquiry, Registration & Admissions Office, BRACU (Phone: +88 09638464646, Call Center Ext: 1001. You can also send e-mail at admissions@bracu.ac.bd.","Question: Hey, for further information regarding Admission who should I contact?
Answer: For more queries, please contact the Inquiry, Registration & Admissions Office, BRACU (Phone: +88 09638464646, Call Center Ext: 1001. You can also send e-mail at admissions@bracu.ac.bd.

Question: For further information regarding Admission who should I contact?
Answer: For more queries, please contact the Inquiry, Registration & Admissions Office, BRACU (Phone: +88 09638464646, Call Center Ext: 1001. You can also send e-mail at admissions@bracu.ac.bd.

Question (Banglish): Admission niye aro information er jonno kake contact korbo?
Answer (English): For more queries, please contact the Inquiry, Registration & Admissions Office, BRACU (Phone: +88 09638464646, Call Center Ext: 1001. You can also send e-mail at admissions@bracu.ac.bd.

Question: How do I contact the admissions office?
Answer: You can mail to admissions@bracu.ac.bd

Question: How can I get information about Scholarship/Financial Aid in BRAC University?
Answer: Regarding all information about Financial Aid, please contact:
BRACU (Phone: +88 09638464646, Call Center Ext: 1001 or email at scholarship@bracu.ac.bd
(BRACU Scholarship Office)","For more queries about admission, please contact the Inquiry, Registration & Admissions Office, BRACU (Phone: +88 09638464646, Call Center Ext: 1001. You can also send e-mail at admissions@bracu.ac.bd.",open_ended,linear,0.5,False,False,False,False,False,True,0.0206,0.0,8.0949,8.1157,2026-07-27T15:30:43.305415+00:00,0.1016,1.0511
Q066,adaptive_novel,Can you tell me what the prerequisites for the Cse program are?,"Candidates applying for EEE, ECE, CSE, APE and Physics:HSC/ Equivalent(“B” grade in Physics & Mathematics),A-levels: “C” grade in Physics & Mathematics","Question: Can you tell me what the prerequisites for the Cse program are?
Answer: Candidates applying for EEE, ECE, CSE, APE and Physics:HSC/ Equivalent(“B” grade in Physics & Mathematics),A-levels: “C” grade in Physics & Mathematics

Question: What are the prerequisites for the Cse program?
Answer: Candidates applying for EEE, ECE, CSE, APE and Physics:HSC/ Equivalent(“B” grade in Physics & Mathematics),A-levels: “C” grade in Physics & Mathematics

Question: Can you tell me what the specific core courses required for the CSE program are?
Answer: The specific program core courses for CSE are CSE110/CSE161+CSE162L (or EEE/ECE103+103L), CSE111, CSE220, CSE221, CSE230, CSE250, CSE251, CSE260 (or EEE/ECE283+283L or EEE301+302), CSE320, CSE321, CSE330, CSE331, CSE340, CSE341, CSE350, CSE360, CSE370, CSE420, CSE421, CSE422, CSE423, CSE460, CSE461, CSE470, CSE471. This list can be revised between catalog years, so confirm against the current official degree plan with your department's DCO or academic advisor.

Question (Banglish): CSE program er prerequisite gula ki?
Answer (English): Candidates applying for EEE, ECE, CSE, APE and Physics:HSC/ Equivalent(""B"" grade in Physics & Mathematics),A-levels: ""C"" grade in Physics & Mathematics

Question: What are the specific core courses required for the CSE program?
Answer: The specific program core courses for CSE are CSE110/CSE161+CSE162L (or EEE/ECE103+103L), CSE111, CSE220, CSE221, CSE230, CSE250, CSE251, CSE260 (or EEE/ECE283+283L or EEE301+302), CSE320, CSE321, CSE330, CSE331, CSE340, CSE341, CSE350, CSE360, CSE370, CSE420, CSE421, CSE422, CSE423, CSE460, CSE461, CSE470, CSE471. This list can be revised between catalog years, so confirm against the current official degree plan with your department's DCO or academic advisor.","The prerequisites for the CSE program are Candidates applying for EEE, ECE, CSE, APE and Physics:HSC/ Equivalent(“B” grade in Physics & Mathematics),A-levels: “C” grade in Physics & Mathematics.",open_ended,linear,0.5,False,False,False,False,False,True,0.02,0.0,8.397,8.4172,2026-07-27T15:36:53.189592+00:00,0.1148,0.9902
Q116,adaptive_novel,What are the prerequisites for CSE360?,The prerequisite for CSE360 is CSE341 (HP).,"Question: What prerequisites must be completed before the thesis defense?
Answer: Pre-Thesis I and Pre-Thesis II.

Question: Curious about something: what prerequisites must be completed before the thesis defense?
Answer: Pre-Thesis I and Pre-Thesis II.

Question: I'm an EEE student minoring in Physics. Do I need to separately meet the Physics minor's prerequisites even though I'm not a Physics major?
Answer: Yes - BRACU's Minor in Physics has its own defined set of required courses and prerequisites, separate from your EEE major requirements, open to students from other departments as long as they meet those specific prerequisites. Being an EEE major doesn't automatically satisfy the Physics minor's course requirements; you'd need to check and fulfill them independently.

Course: CSE360
Prerequisite: CSE341 (HP)
Full Prerequisite Chain: CSE341

Question: What are the prerequisites for the Cse program?
Answer: Candidates applying for EEE, ECE, CSE, APE and Physics:HSC/ Equivalent(“B” grade in Physics & Mathematics),A-levels: “C” grade in Physics & Mathematics",The prerequisite for CSE360 is CSE341 (HP).,entity_heavy,rrf,0.9,False,True,True,False,True,False,0.0164,0.0,3.8562,3.8731,2026-07-27T15:42:11.669031+00:00,0.0005,0.0219
Q077,adaptive_novel,Consequence of not confirming advising during the Self-Registration period?,All selected courses will be automatically cancelled,"Question: Consequence of not confirming advising during the Self-Registration period?
Answer: All selected courses will be automatically cancelled

Question (Banglish): Self-Registration period e advising confirm na korle ki consequence hoy?
Answer (English): All selected courses will be automatically cancelled

Question: When must course selections be confirmed after Pre-Registration phases?
Answer: During the Self-Registration period assigned after result publication

Question (Banglish): Notun admitted student der jonno self-registration requirement ki?
Answer (English): Not required; registration will be done by respective departments.

Question: Just wondering, what happens if a student fails to confirm the Wishlist on time?
Answer: Student will not be considered a participant and cannot register in Pre-Registration Phase 1",All selected courses will be automatically cancelled.,open_ended,linear,0.5,False,False,False,False,False,True,0.0233,0.0,3.6968,3.7203,2026-07-27T15:38:20.014040+00:00,0.2415,1.0419
Q020,adaptive_novel,What is checked at the Security Supervisor Office?,"Student ID Check, All workers In out","Question: What is checked at the Security Supervisor Office?
Answer: Student ID Check, All workers In out

Question: What is the function of the Security Supervisor Office?
Answer: To check student IDs and monitor the entry and exit of all workers.

Question (Banglish): Security Supervisor Office e ki check kora hoy?
Answer (English): Student ID Check, All workers In out

Question (Banglish): Security Supervisor Office er function ta ki?
Answer (English): To check student IDs and monitor the entry and exit of all workers.

Question: What exactly does the Office of the Proctor handle at BRAC University?
Answer: The Office of the Proctor is responsible for student discipline and campus safety, acting as an intermediary for complaints about harassment, bullying, or intimidation involving anyone affiliated with BRACU - students, faculty, staff, or security personnel.","Student ID Check, All workers In out.",open_ended,linear,0.5,False,False,False,False,False,True,0.0221,0.0,3.5854,3.6076,2026-07-27T15:30:55.168705+00:00,0.2682,1.0276
Q124,adaptive_novel,What is the full prerequisite chain for CSE341?,The full prerequisite chain for CSE341 is CSE340-CSE321-CSE260-CSE221-CSE251-CSE220-CSE250-CSE111-CSE230-PHY112-CSE110-PHY111.,"Verified prerequisite chain for CSE341 (nearest prerequisite first, from the Prerequisites knowledge base): CSE340 -> CSE321 -> CSE260 -> CSE221 -> CSE251 -> CSE220 -> CSE250 -> CSE111 -> CSE230 -> PHY112 -> CSE110 -> PHY111.

Course: CSE251
Prerequisite: CSE250 (HP)
Full Prerequisite Chain: CSE250

Course: CSE260
Prerequisite: CSE251 (HP)
Full Prerequisite Chain: CSE251-CSE250

Course: CSE330
Prerequisite: MAT216 (HP)
Full Prerequisite Chain: MAT120-MAT110

Course: CSE341-03
Theory Initial: RKN
Theory Day: MON+WED
Theory Time: 11:00 AM
Theory Room: 09A-02C
Lab Faculty: CABS,TRZA
Lab Day: THU
Lab Time: 8:00 AM
Lab Room: 09F-27L

Course: CSE341
First Theory Coordinator: RKN
Theory Coordinator Email: raisul.kabir@bracu.ac.bd
First Lab Coordinator: NHBN
Second Lab Coordinator: RAHA
Lab Coordinator Email: hamim.nasim@bracu.ac.bd,reefat.raha@bracu.ac.bd",The full prerequisite chain for CSE341 is not explicitly stated in the retrieved context.,entity_heavy,rrf,0.9,False,False,False,True,True,False,0.0198,0.0,4.4369,4.4567,2026-07-27T15:42:47.590329+00:00,0.0012,0.0163
Q025,adaptive_novel,Can you tell me what the difference in focus between the BSEEE and BSECE programs is?,"BSEEE (Electrical and Electronic Engineering) has a broader focus spanning power, electronics and general EEE topics, while BSECE (Electronic and Communication Engineering) concentrates more specifically on communication-related topics such as signal processing, telecommunications, microwave engineering, and data/optical/satellite communications.","Question: Can you tell me what the difference in focus between the BSEEE and BSECE programs is?
Answer: BSEEE (Electrical and Electronic Engineering) has a broader focus spanning power, electronics and general EEE topics, while BSECE (Electronic and Communication Engineering) concentrates more specifically on communication-related topics such as signal processing, telecommunications, microwave engineering, and data/optical/satellite communications.

Question: What is the difference in focus between the BSEEE and BSECE programs?
Answer: BSEEE (Electrical and Electronic Engineering) has a broader focus spanning power, electronics and general EEE topics, while BSECE (Electronic and Communication Engineering) concentrates more specifically on communication-related topics such as signal processing, telecommunications, microwave engineering, and data/optical/satellite communications.

Question (Banglish): BSEEE ar BSECE program er focus e ki difference?
Answer (English): BSEEE (Electrical and Electronic Engineering) has a broader focus spanning power, electronics and general EEE topics, while BSECE (Electronic and Communication Engineering) concentrates more specifically on communication-related topics such as signal processing, telecommunications, microwave engineering, and data/optical/satellite communications.

Question: What undergraduate and graduate programs does the Department of EEE offer?
Answer: The Department of Electrical and Electronic Engineering offers two undergraduate programs - Bachelor of Science in Electrical and Electronic Engineering (BSEEE) and Bachelor of Science in Electronic and Communication Engineering (BSECE) - plus two graduate programs, the Master of Science in EEE (MScEEE) and the Master of Engineering in EEE (MEnggEEE).

Question: Is BRAC University's CSE program better than BUET's?
Answer: I can't give an objective ranking there - 'better' depends on what you're optimizing for, and I don't have comparative data on BUET to draw from anyway.","BSEEE (Electrical and Electronic Engineering) has a broader focus spanning power, electronics and general EEE topics, while BSECE (Electronic and Communication Engineering) concentrates more specifically on communication-related topics such as signal processing, telecommunications, microwave engineering, and data/optical/satellite communications.",open_ended,linear,0.5,False,False,False,False,False,True,0.0234,0.0,9.2003,9.2239,2026-07-27T15:31:39.564207+00:00,0.0563,1.0068
Q067,adaptive_novel,I looked around the site but couldn't find it — how to submit report after a club event?,"After conducting an online event or offline event, a report on the event with details needs to be submitted to <student_org@bracu.ac.bd> within 7 working days. Without the report, future proposals will not be accepted and approved.

• The report must contain a minimum of 500 words to a maximum of 1000 words with detailed activities, discussion, social impact, and outcome. If you get any media, coverage please provide the link.

• The social media data must be included in the report such as the number of attendees, likes, shares, views, and comments. For the best accuracy please collect this information immediately after the event is completed.

• After receiving and reviewing the appropriate report, we will complete the event or online program. Without completing one program, student organizations will not allow moving to other events.","Question: I looked around the site but couldn't find it — how to submit report after a club event?
Answer: After conducting an online event or offline event, a report on the event with details needs to be submitted to <student_org@bracu.ac.bd> within 7 working days. Without the report, future proposals will not be accepted and approved.

• The report must contain a minimum of 500 words to a maximum of 1000 words with detailed activities, discussion, social impact, and outcome. If you get any media, coverage please provide the link.

• The social media data must be included in the report such as the number of attendees, likes, shares, views, and comments. For the best accuracy please collect this information immediately after the event is completed.

• After receiving and reviewing the appropriate report, we will complete the event or online program. Without completing one program, student organizations will not allow moving to other events.

Question: How to do event Budget and submit bill?
Answer: Within 48 hours of the event, the Executive Committee of a club/forum should submit the expense details with advisor’s signature along with all receipts/vouchers to the OCA. They also need to submit a report and photographs of the event along with the bills.

Question: Hey, how to do event Budget and submit bill?
Answer: Within 48 hours of the event, the Executive Committee of a club/forum should submit the expense details with advisor’s signature along with all receipts/vouchers to the OCA. They also need to submit a report and photographs of the event along with the bills.

Question: How to submit report after a club event?
Answer: After conducting an online event or offline event, a report on the event with details needs to be submitted to <student_org@bracu.ac.bd> within 7 working days. Without the report, future proposals will not be accepted and approved.

• The report must contain a minimum of 500 words to a maximum of 1000 words with detailed activities, discussion, social impact, and outcome. If you get any media, coverage please provide the link.

• The social media data must be included in the report such as the number of attendees, likes, shares, views, and comments. For the best accuracy please collect this information immediately after the event is completed.

• After receiving and reviewing the appropriate report, we will complete the event or online program. Without completing one program, student organizations will not allow moving to other events.

Question: Hey, how to submit report after a club event?
Answer: After conducting an online event or offline event, a report on the event with details needs to be submitted to <student_org@bracu.ac.bd> within 7 working days. Without the report, future proposals will not be accepted and approved.

• The report must contain a minimum of 500 words to a maximum of 1000 words with detailed activities, discussion, social impact, and outcome. If you get any media, coverage please provide the link.

• The social media data must be included in the report such as the number of attendees, likes, shares, views, and comments. For the best accuracy please collect this information immediately after the event is completed.

• After receiving and reviewing the appropriate report, we will complete the event or online program. Without completing one program, student organizations will not allow moving to other events.","To submit a report after a club event, you need to send an email with details of the event to <student_org@bracu.ac.bd> within 7 working days. The report should be between 500 and 1000 words long, including detailed activities, discussion, social impact, and outcome, as well as any media coverage or social media data such as attendees, likes, shares, views, and comments collected immediately after the event.",open_ended,linear,0.5,False,False,False,False,False,True,0.0259,0.0,13.269,13.2951,2026-07-27T15:37:06.485780+00:00,0.3303,1.0249
Q154,adaptive_novel,What day and time is the theory class for CSE370-16?,The theory class for CSE370-16 is on SAT+THU at 9:30 AM in room 10B-17C.,"Course: CSE370-16
Theory Initial: MZG
Theory Day: SAT+THU
Theory Time: 9:30 AM
Theory Room: 10B-17C
Lab Faculty: RBR,KZMN
Lab Day: TUE
Lab Time: 2:00 PM
Lab Room: 12F-31L

Course: CSE340-16
Theory Initial: ZLNM
Theory Day: MON+WED
Theory Time: 9:30 AM
Theory Room: 09H-32C

Initial: KZMN
Name: Kazi Kamruzzaman Rabbi
Day: Tuesday
Scheduled commitments (classes/labs/breaks, not availability): 11:00 AM - CSE471-04 09A-05C; 2:00 PM - CSE370-16 (LAB) RBR,KZMN 12F-31L; 3:30 PM - CSE370-16 (LAB) RBR,KZMN 12F-31L

Course: CSE331-16
Theory Initial: TNF
Theory Day: MON+WED
Theory Time: 8:00 AM
Theory Room: 07F-22C

Course: STA201-16
Theory Initial: TBS
Theory Day: SAT+THU
Theory Time: 11:00 AM
Theory Room: 09H-37C",The theory classes for CSE370-16 are held on Saturday and Thursday at 9:30 AM.,entity_heavy,rrf,0.9,False,False,False,False,True,False,0.0228,0.0,4.9014,4.9242,2026-07-27T15:45:09.840242+00:00,99.9992,100.015
