ID,Category,Question,Answer,Type,Register,Source Reliability,Time-Sensitive,Split,Source / Notes
1,Admission,Am I allowed to apply for more than one program at the same time?,"Yes, you can apply for 3 programs at a time",Paraphrase,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
2,Admission,Am I allowed to enroll as a visiting student?,"Is there a specific application process for visiting/guest students?
One can enroll as a visiting or guest student in BRACU. Visiting or guest students are required to submit their applications along with the relevant transcripts and no objection letters (NOC) from her/his University. Please contact admissions@bracu.ac.bd for more details.",Paraphrase,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
3,Admission,Am I allowed to get a refund of my application/admission fee if I decide not to join?,"The admission application fee at BRAC University is explicitly described as non-refundable (Tk. 1,500 for local applicants, US$20 for international applicants), so it is not returned if an applicant later decides not to enroll.",Paraphrase,Synthesized (official/secondary sources),Medium (secondary/third-party source),Yes,train,BRAC University - Admissions FAQs / International Applicants pages
4,Admission,Am I allowed to see my application status online?,Applicants can check their application status online any time at admissions.bracu.ac.bd,Paraphrase,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
5,Admission,Am I required to have to upload a photograph as part of my application form?,Applicants are required to upload their scanned recent formal passport size photograph taken within last three months.,Paraphrase,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
6,Admission,Are GED (General Educational Development) qualifications accepted for BRAC University admission?,"No, applicants with only a GED qualification are generally not eligible to enroll in BRAC University's degree programs.",Original,Synthesized (official/secondary sources),Medium (secondary/third-party source),No,train,BRAC University - Undergraduate Admission Requirements pages
7,Admission,Are there any accommodation facilities in BRAC University?,"Accommodation facilities are provided only to female student’s subject to availability of seats. For details, please contact info@bracu.ac.bd",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
8,Admission,Are there any obligations to attend the residential semester during the Undergraduate program?,"How much does the residential semester cost?
All students are required to attend a Residential Semester at the Savar Campus in the 3rd semester. The cost is Tk. 80,000 for the 4-month long semester. (*May increase with a notice before the semester)",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",Yes,train,BRACU internal FAQ dataset
9,Admission,Are there any special admission requirements for the MBA program?,"Minimum 15 years of schooling with a Bachelor Degree from any discipline and 3 years of professional / executive experience after graduation or 14 years of schooling with 6 or more years of corporate experience having at least 2nd class or CGPA 2.5 out of 4.0 or equivalent (from any government authorized university).
Minimum GPA of 2.5 or 2nd Class in SSC/Equivalent and HSC/Equivalent separately (including additional subject).
Minimum GPA of 2.5 in O-Levels in five subjects and A-Levels in two subjects according to the scale (A=5, B=4, C=3, D=2 and E=1). Only one E is acceptable.",Original,Student-submitted (original dataset),"Medium (internal dataset, not independently re-verified)",No,train,BRACU internal FAQ dataset
10,Admission,Are there separate admission requirements for Diploma and Certificate programs at BRAC University?,"Yes, BRAC University's Programs in Detail page lists Diploma and Certificate programs as a distinct category alongside Undergraduate, Graduate, and the Joint PhD program, each with its own admission requirements described on the relevant program page.",Original,Synthesized (official/secondary sources),High (cites bracu.ac.bd or an official PDF directly),No,train,BRAC University - Programs in Detail page (bracu.ac.bd/academics/programs-detail)
