query_id,config,query,reference_answer,retrieved_context,generated_answer,route,fusion,lambda,abstained,raw_abstain,sufficient_context_override,graph_augmented,exact_match_any,question_match_any,translated_query,retrieval_s,rerank_s,generation_s,total_s,timestamp,query_confidence,query_top1_score,bleu,rougeL,meteor,bertscore
BQ001,adaptive_novel,TARC e student der ki ki amenities ar facility deya hoy?,"Tarc provides students of BRAC a residential campus where they experience to live with their fellow classmates.Tarc also provides students the importance of time dynamics ,punctuality and basic manners like to respect others work.Tarc also tries to make students do their own work by themselves.","Question (Banglish): TARC e student der ki ki amenities ar facility deya hoy?
Answer (English): Tarc provides students of BRAC a residential campus where they experience to live with their fellow classmates.Tarc also provides students the importance of time dynamics ,punctuality and basic manners like to respect others work.Tarc also tries to make students do their own work by themselves.

Question: What amenities and facilities are provided for students at TARC?
Answer: Tarc provides students of BRAC a residential campus where they experience to live with their fellow classmates.Tarc also provides students the importance of time dynamics ,punctuality and basic manners like to respect others work.Tarc also tries to make students do their own work by themselves.

Question: Quick question — what amenities and facilities are provided for students at TARC?
Answer: Tarc provides students of BRAC a residential campus where they experience to live with their fellow classmates.Tarc also provides students the importance of time dynamics ,punctuality and basic manners like to respect others work.Tarc also tries to make students do their own work by themselves.

Question: Curious about something: what amenities and facilities are provided for students at TARC?
Answer: Tarc provides students of BRAC a residential campus where they experience to live with their fellow classmates.Tarc also provides students the importance of time dynamics ,punctuality and basic manners like to respect others work.Tarc also tries to make students do their own work by themselves.

Question: For a friend who's asking — what amenities and facilities are provided for students at TARC?
Answer: Tarc provides students of BRAC a residential campus where they experience to live with their fellow classmates.Tarc also provides students the importance of time dynamics ,punctuality and basic manners like to respect others work.Tarc also tries to make students do their own work by themselves.","Tarc provides students of BRAC a residential campus where they experience to live with their fellow classmates. Tarc also provides students the importance of time dynamics, punctuality and basic manners like respecting others' work. Tarc also tries to make students do their own work by themselves.",open_ended,linear,0.5,False,False,False,False,False,True,,0.0776,0.0,18.5117,18.5895,2026-07-27T16:58:59.126260+00:00,0.5276,0.9742,0.7591769285131974,0.989247311827957,0.9264011664400041,0.9853708148002625
BQ002,adaptive_novel,Pre-Registration phase er por course selection kobe confirm korte hobe?,During the Self-Registration period assigned after result publication,"Question (Banglish): Pre-Registration phase er por course selection kobe confirm korte hobe?
Answer (English): During the Self-Registration period assigned after result publication

Question (Banglish): Pre-Registration Phase 2 er starting date ta kobe?
Answer (English): You will be emailed by the registrar.

Question: When must course selections be confirmed after Pre-Registration phases?
Answer: During the Self-Registration period assigned after result publication

Question: Does BRAC University have a confirmation button during Pre-Registration Phase 1 or Phase 2?
Answer: No confirmation button is available in either phase

Question: Is there a confirmation button during Pre-Registration Phase 1 or Phase 2?
Answer: No confirmation button is available in either phase",During the Self-Registration period assigned after result publication.,open_ended,linear,0.5,False,False,False,False,False,True,,0.03,0.0,3.9439,3.9741,2026-07-27T16:59:03.100873+00:00,0.4001,1.0111,0.8633400213704505,1.0,0.9866898148148149,0.9889206290245056
BQ003,adaptive_novel,"BRAC University bochore koyta semester chalay, ar kobe shuru hoy?","BRAC University runs three semesters a year - Spring, Summer and Fall - starting in January, May and September respectively. Pharmacy admits in Spring or Summer, and LLB admits in Spring or Fall.","Question (Banglish): BRAC University bochore koyta semester chalay, ar kobe shuru hoy?
Answer (English): BRAC University runs three semesters a year - Spring, Summer and Fall - starting in January, May and September respectively. Pharmacy admits in Spring or Summer, and LLB admits in Spring or Fall.

Question (Banglish): BRAC University protibochor koyta semester chalay, ar segula ke ki bola hoy?
Answer (English): BRAC University follows a semester-based system with three equal semesters each year: Spring, Summer, and Fall.

Question (Banglish): BRACU te bochore koyta semester hoy, ar segula kobe shuru hoy?
Answer (English): BRACU offers 3 semesters a year: Spring, Summer & Fall, and these start in January, May & September respectively.
For Pharmacy & LLB: BRACU offers admission for Pharmacy & LLB department twice a year. You can apply in for Pharmacy: Spring or Summer semester and for LLB: Spring or Fall. The classes start from January and July for Pharmacy. January and September for LLB accordingly.
Tentative Schedule - Admission Tests:
Semester
1st Intake
2nd Intake
Spring
November
December
Summer
March
April
Fall
July
August

Question (Banglish): Eta kobe shuru hoy?
Answer (English): Could you clarify what you're asking about - a specific semester, an event, the Residential Semester? Happy to help once I know which one.

Question (Banglish): Spring, Summer, ar Fall semester shadharonoto kon kon month e shuru hoy?
Answer (English): Spring semester usually starts in January, Summer in May, and Fall in September, though the exact start date each year is announced in that year's Academic Calendar.","BRAC University runs three semesters a year - Spring, Summer, and Fall - starting in January, May, and September respectively.",open_ended,linear,0.5,False,False,False,False,False,True,,0.0293,0.0,5.4384,5.4678,2026-07-27T16:59:08.569326+00:00,0.1753,0.935,0.4837266820301966,0.7346938775510204,0.6130790190735694,0.9585146903991699
BQ004,adaptive_novel,Amar vehicle ta kothay park korte hobe?,You can park your vehicle at basement-2.,"Question (Banglish): Amar vehicle ta kothay park korte hobe?
Answer (English): You can park your vehicle at basement-2.

Question: Where do i have to park the vehicle?
Answer: You can park your vehicle at basement-2.

Question (Banglish): Ami koto shomoy campus e amar vehicle park korte pari?
Answer (English): As long as you're paying the parking fee

Question: How long can i park my vehicle on campus?
Answer: As long as you're paying the parking fee

Question (Banglish): Driver driven car parking er payment koto?
Answer (English): For driver-driven vehicles: registered vehicles pay Tk 5,000 per semester; non-registered vehicles pay Tk 60 for the first 4 hours and Tk 20 for each additional hour.",You can park your vehicle at basement-2.,open_ended,linear,0.5,False,False,False,False,False,True,,0.0229,0.0,3.7626,3.7856,2026-07-27T16:59:12.355043+00:00,0.312,0.9972,1.0,1.0,0.9990234375,1.0
BQ005,adaptive_novel,Exam hall e student der koto age ashte hobe?,Students should aim to arrive at the exam hall at least 15 to 30 minutes before the scheduled start time of their exam.,"Question (Banglish): Exam hall e student der koto age ashte hobe?
Answer (English): Students should aim to arrive at the exam hall at least 15 to 30 minutes before the scheduled start time of their exam.

Question: How early should students arrive at the exam hall?
Answer: Students should aim to arrive at the exam hall at least 15 to 30 minutes before the scheduled start time of their exam.

Question: Curious about something: how early should students arrive at the exam hall?
Answer: Students should aim to arrive at the exam hall at least 15 to 30 minutes before the scheduled start time of their exam.

Question: Not sure if this is covered elsewhere, but how early should students arrive at the exam hall?
Answer: Students should aim to arrive at the exam hall at least 15 to 30 minutes before the scheduled start time of their exam.

Question (Banglish): Exam hall e ki ki jinish prohibited?
Answer (English): Mobile phones, tablets, smartwatches, and other electronic gadgets are not allowed. Bringing textbooks, notes, or any other written materials is prohibited unless explicitly allowed by the instructor.Bags, backpacks, and personal belongings should be left outside the exam hall or in designated areas.",Students should aim to arrive at the exam hall at least 15 to 30 minutes before the scheduled start time of their exam.,open_ended,linear,0.5,False,False,False,False,False,True,,0.0275,0.0,5.3905,5.4181,2026-07-27T16:59:17.774104+00:00,0.4742,0.9886,1.0,1.0,0.9999638310185185,1.0
BQ006,adaptive_novel,Print korar jonno jaiga gula thik kon kon jaygay ache?,"Level-12:

Level-12, Zone-B, Adjacent to Room No: 12B-15L

Level-12, Zone-D, Adjacent to Room No: 12D-25L

Level-12, Zone-F, Room No: 12F-31L

Level-12, Zone-F, Room No: 12F-32L

Level-11:

Level-11, Zone-A, Room No: 11A-03L

Level-11, Zone-B, Adjacent to Room No: 11B-15L

Level-11, Zone-B, Adjacent to Room No: 11B-16L

Level-11, Zone-D, Adjacent to Room No: 11D-27L

Level-11, Zone-F, Adjacent to Room No: 11F-34L

Level-10:

Level-10, Zone-B, Adjacent to Room No: 10B-11L

Level-10, Zone-D, Adjacent to Room No: 10D-22L

Level-10, Zone-F, Adjacent to Room No: 10F-28L

Level-09:

Level-09, Zone-B, Adjacent to Room No: 09B-09L

Level-09, Zone-D, Adjacent to Room No: 09D-17C

Level-09, Zone-F, Adjacent to Room No: 09F-25L

Level-08:

Level-08, Zone-B, Adjacent to Room No: 08B-08C

Level-08, Zone-D, Adjacent to Room No: 08D-12C

Level-08, Zone-F, Adjacent to Room No: 08F-19C

Level-07:

Level-07, Block-F, Adjacent to Room No: 07F-22C

Level-07, Zone-D, Adjacent to Room No: 07D-19C

Facilities Tower:

Facilities Tower, 10th Floor, Waiting Room","Question (Banglish): Print korar jonno jaiga gula thik kon kon jaygay ache?
Answer (English): Level-12:

Level-12, Zone-B, Adjacent to Room No: 12B-15L

Level-12, Zone-D, Adjacent to Room No: 12D-25L

Level-12, Zone-F, Room No: 12F-31L

Level-12, Zone-F, Room No: 12F-32L

Level-11:

Level-11, Zone-A, Room No: 11A-03L

Level-11, Zone-B, Adjacent to Room No: 11B-15L

Level-11, Zone-B, Adjacent to Room No: 11B-16L

Level-11, Zone-D, Adjacent to Room No: 11D-27L

Level-11, Zone-F, Adjacent to Room No: 11F-34L

Level-10:

Level-10, Zone-B, Adjacent to Room No: 10B-11L

Level-10, Zone-D, Adjacent to Room No: 10D-22L

Level-10, Zone-F, Adjacent to Room No: 10F-28L

Level-09:

Level-09, Zone-B, Adjacent to Room No: 09B-09L

Level-09, Zone-D, Adjacent to Room No: 09D-17C

Level-09, Zone-F, Adjacent to Room No: 09F-25L

Level-08:

Level-08, Zone-B, Adjacent to Room No: 08B-08C

Level-08, Zone-D, Adjacent to Room No: 08D-12C

Level-08, Zone-F, Adjacent to Room No: 08F-19C

Level-07:

Level-07, Block-F, Adjacent to Room No: 07F-22C

Level-07, Zone-D, Adjacent to Room No: 07D-19C

Facilities Tower:

Facilities Tower, 10th Floor, Waiting Room

Question (Banglish): International Student der jonno kon kon Scholarship ache?
Answer (English): Merit Scholarship Based on BracU Academic Results and BRAC Scholarship (A Needs Based Scholarship) are available for the International students.

Question (Banglish): Request korar jonno kon dorm room shobcheye bhalo?
Answer (English): Room-by-room comparisons aren't something I have data on. The Residential Semester handbook covers general allocation rules, but room-level preferences are better discussed with the dorm supervisor directly.

Question (Banglish): CGPA ta thik kon niyome calculate kora hoy?
Answer (English): To calculate your CGPA, simply sum all your GPAs for each semester and divide it by the sum of the Total Credit Units (TCU) for each semester

Question (Banglish): TARC cancel korte hole thik kon proshes follow korte hobe?
Answer (English): Valid reasons with all necessary information have to be submitted in the register office and also the signature of VC is necessary","The locations where printing can be done are Level-12, Zone-B, Adjacent to Room No: 12B-15L; Level-12, Zone-D, Adjacent to Room No: 12D-25L; Level-12, Zone-F, Room No: 12F-31L; Level-12, Zone-F, Room No: 12F-32L; and several other locations listed.",open_ended,linear,0.5,False,True,True,False,False,True,,0.0257,0.0,13.0207,13.0466,2026-07-27T16:59:30.820877+00:00,0.1145,0.6077,0.027619684583380877,0.27376425855513303,0.10381873319923476,0.8341398239135742
BQ007,adaptive_novel,EEE Department kothay?,The EEE Department is located on the 4th floor and the labs are on 11th and 12th.,"Question (Banglish): EEE Department kothay?
Answer (English): The EEE Department is located on the 4th floor and the labs are on 11th and 12th.

Question (Banglish): EEE department er printing Lab kothay?
Answer (English): The EEE Department's printing lab is on 12B-17L

Question: Where is the EEE Department?
Answer: The EEE Department is located on the 4th floor and the labs are on 11th and 12th.

Question (Banglish): ENH Department kothay?
Answer (English): The ENH Department is located on the 5th floor.

Question: Where is EEE department's printing Lab?
Answer: The EEE Department's printing lab is on 12B-17L",The EEE Department is located on the 4th floor and the labs are on 11th and 12th.,open_ended,linear,0.5,False,False,False,False,False,True,,0.0193,0.0,5.1454,5.1648,2026-07-27T16:59:35.986609+00:00,0.1681,1.0057,1.0,1.0,0.9999142661179699,1.0000001192092896
BQ008,adaptive_novel,Summer 2025 er Wishlist event er purpose ki?,To help plan course offerings based on student demand,"Question (Banglish): Summer 2025 er Wishlist event er purpose ki?
Answer (English): To help plan course offerings based on student demand

Question: Purpose of the Wishlist event for Summer 2025?
Answer: To help plan course offerings based on student demand

Question (Banglish): Protita semester e advising phase shuru kora event er naam ki?
Answer (English): Wishlist event, the schedule will be mailed by the registrar.

Question (Banglish): Connect system e Course Wishlist feature er purpose ki?
Answer (English): Addition of preferred courses to a wishlist to secure seats as they become available while following university policies

Question (Banglish): Wishlist event ekta course er offer kora section shonkha ke kivabe influence kore?
Answer (English): Course demand collected from Wishlist submissions is used to determine the number of sections needed",To help plan course offerings based on student demand.,open_ended,linear,0.5,False,True,True,False,False,True,,0.0228,0.0,3.7448,3.7677,2026-07-27T16:59:39.754403+00:00,0.0953,0.65,0.8801117367933934,1.0,0.9883326549993218,0.9958562850952148
BQ009,adaptive_novel,Transport service e change hole student der kivabe janano hoy?,Students are informed through official BRAC University notices and announcements.,"Question (Banglish): Transport service e change hole student der kivabe janano hoy?
Answer (English): Students are informed through official BRAC University notices and announcements.

Question (Banglish): Student ra transport service ke kivabe contact korbe?
Answer (English): Students can contact the transport service via designated phone numbers.

Question: How are students informed about changes to the transport service?
Answer: Students are informed through official BRAC University notices and announcements.

Question (Banglish): Ashche semester gula te transport schedule change hobe ki?
Answer (English): The transport schedule is subject to change based on academic schedules and operational needs. Updated schedules will be communicated by the university.

Question (Banglish): Transport service kon kon din operate kore?
Answer (English): The service operates from Sunday to Thursday.",Students are informed through official BRAC University notices and announcements.,open_ended,linear,0.5,False,False,False,False,False,True,,0.0256,0.0,3.9132,3.939,2026-07-27T16:59:43.694087+00:00,0.4606,0.9964,1.0,1.0,0.9996243425995492,1.0000001192092896
BQ010,adaptive_novel,Ke Wishlist event e participate korte hobe?,"All undergraduate students attending upcoming, excluding RS-eligible students and LLB, PHR students","Question (Banglish): Ke Wishlist event e participate korte hobe?
Answer (English): All undergraduate students attending upcoming, excluding RS-eligible students and LLB, PHR students

Question (Banglish): Wishlist event e course select korar por ki korte hobe?
Answer (English): Press the ""Confirm"" button within the assigned slot time

Question (Banglish): Wishlist event e participate na korle ki consequence hoy?
Answer (English): Student will not be allowed to register during Pre-Registration Phase 1

Question (Banglish): Kon group er student der Wishlist event e participate korar requirement nei?
Answer (English): Students who are eligible for residential semester in the upcoming semester.

Question: Who must participate in the Wishlist event?
Answer: All undergraduate students attending upcoming, excluding RS-eligible students and LLB, PHR students","All undergraduate students attending upcoming, excluding RS-eligible students and LLB, PHR students.",open_ended,linear,0.5,False,True,True,False,False,True,,0.0217,0.0,4.4427,4.4646,2026-07-27T16:59:48.158783+00:00,0.1867,0.65,0.9253911813809743,1.0,0.9927268779852366,0.9867429733276367
