rrf_k,query_id,has_unambiguous_match,recall@1,recall@5,mrr,ndcg@5,ndcg@10
10,Q101,True,1.0,1.0,1.0,1.0,1.0
10,Q102,True,1.0,1.0,1.0,0.46927872602275644,0.7844801364718913
10,Q103,True,1.0,1.0,1.0,1.0,1.0
10,Q104,True,1.0,1.0,1.0,1.0,1.0
10,Q105,True,1.0,1.0,1.0,1.0,1.0
10,Q106,True,1.0,1.0,1.0,1.0,1.0
10,Q107,True,0.0,0.0,0.0,0.0,0.0
10,Q108,True,1.0,1.0,1.0,1.0,1.0
10,Q109,True,1.0,1.0,1.0,1.0,1.0
10,Q110,True,0.0,0.0,0.0,0.0,0.0
10,Q111,True,1.0,1.0,1.0,1.0,1.0
10,Q112,True,1.0,1.0,1.0,1.0,1.0
10,Q113,True,1.0,1.0,1.0,1.0,1.0
10,Q114,True,1.0,1.0,1.0,0.6131471927654584,0.8315546295836225
10,Q115,True,1.0,1.0,1.0,1.0,1.0
10,Q116,True,1.0,1.0,1.0,1.0,1.0
10,Q117,True,1.0,1.0,1.0,1.0,1.0
10,Q118,True,1.0,1.0,1.0,1.0,1.0
10,Q119,True,1.0,1.0,1.0,1.0,1.0
10,Q120,True,0.0,0.0,0.0,0.0,0.0
10,Q121,True,0.0,0.0,0.0,0.0,0.0
10,Q122,True,0.0,0.0,0.0,0.0,0.0
10,Q123,True,1.0,1.0,1.0,1.0,1.0
10,Q124,True,0.0,0.0,0.0,0.0,0.0
10,Q125,True,1.0,1.0,1.0,1.0,1.0
10,Q126,True,1.0,1.0,1.0,0.6131471927654584,0.8065735963827293
10,Q127,True,1.0,1.0,1.0,1.0,1.0
10,Q128,True,1.0,1.0,1.0,0.7860137352654724,0.8976178835522929
10,Q129,True,1.0,1.0,1.0,1.0,1.0
10,Q130,True,0.0,0.0,0.0,0.0,0.0
10,Q131,True,1.0,1.0,1.0,1.0,1.0
10,Q132,True,1.0,1.0,1.0,1.0,1.0
10,Q133,True,1.0,1.0,1.0,1.0,1.0
10,Q134,True,1.0,1.0,1.0,1.0,1.0
10,Q135,True,1.0,1.0,1.0,1.0,1.0
10,Q136,True,1.0,1.0,1.0,1.0,1.0
10,Q137,True,1.0,1.0,1.0,1.0,1.0
10,Q138,True,1.0,1.0,1.0,1.0,1.0
10,Q139,True,1.0,1.0,1.0,1.0,1.0
10,Q140,True,1.0,1.0,1.0,1.0,1.0
10,Q141,True,1.0,1.0,1.0,1.0,1.0
10,Q142,True,1.0,1.0,1.0,1.0,1.0
10,Q143,True,1.0,1.0,1.0,1.0,1.0
10,Q144,True,1.0,1.0,1.0,1.0,1.0
10,Q145,True,1.0,1.0,1.0,1.0,1.0
10,Q146,True,1.0,1.0,1.0,1.0,1.0
10,Q147,True,1.0,1.0,1.0,1.0,1.0
10,Q148,True,1.0,1.0,1.0,1.0,1.0
10,Q149,True,1.0,1.0,1.0,1.0,1.0
10,Q150,True,1.0,1.0,1.0,1.0,1.0
10,Q151,True,1.0,1.0,1.0,0.5531464700081437,0.886759288789469
10,Q152,True,1.0,1.0,1.0,1.0,1.0
10,Q153,True,1.0,1.0,1.0,1.0,1.0
10,Q154,True,1.0,1.0,1.0,0.5531464700081437,0.8602762833296762
10,Q155,True,1.0,1.0,1.0,0.6131471927654584,0.8065735963827293
10,Q156,True,1.0,1.0,1.0,1.0,1.0
10,Q157,True,1.0,1.0,1.0,1.0,1.0
10,Q158,True,1.0,1.0,1.0,1.0,1.0
10,Q159,True,1.0,1.0,1.0,0.7227265726449519,0.9262845298966467
10,Q160,True,1.0,1.0,1.0,0.6131471927654584,0.8175295903539445
10,Q161,True,1.0,1.0,1.0,1.0,1.0
10,Q162,True,1.0,1.0,1.0,1.0,1.0
10,Q163,True,1.0,1.0,1.0,1.0,1.0
10,Q164,True,1.0,1.0,1.0,1.0,1.0
10,Q165,True,1.0,1.0,1.0,0.48522855511632257,0.8317144247565924
10,Q166,True,1.0,1.0,1.0,1.0,0.9842184869190973
10,Q167,True,1.0,1.0,1.0,1.0,1.0
10,Q168,True,1.0,1.0,1.0,1.0,1.0
10,Q169,True,1.0,1.0,1.0,1.0,1.0
10,Q170,True,1.0,1.0,1.0,1.0,1.0
10,Q171,True,1.0,1.0,1.0,1.0,1.0
