claim,context,is_correct,source,query,nli_score
"Not sure what 'it' refers to - could you tell me which process or service you mean (paying tuition, requesting a transcript, registering for a course)?","Question: Am I allowed to do it online?
Answer: Not sure what 'it' refers to - could you tell me which process or service you mean (paying tuition, requesting a transcript, registering for a course)?

Question: Are students allowed to pay their tuition and fees online?
Answer: Yes, students at BRAC University can pay their tuition and fees online. The university accepts online payments through platforms like bKash, Rocket, Nagad, and Visa/MasterCard.

Question: Can I do it online?
Answer: Not sure what 'it' refers to - could you tell me which process or service you mean (paying tuition, requesting a transcript, registering for a course)?

Question: Am I allowed to renew a book I have borrowed from the library?
Answer: Yes, an item can be renewed if no other user has placed a hold on it. Renewal can be done through the online catalogue (OPAC) or by contacting the circulation desk.

Question: Am I allowed to see my application status online?
Answer: Applicants can check their application status online any time at admissions.bracu.ac.bd",False,out_of_scope,Am I allowed to do it online?,0.9879224896430969
"No, you are not guaranteed a seat in the course you want next semester.","Question: Am I guaranteed a seat in the course I want next semester?
Answer: No, that's not something I can guarantee - course seats are limited and allocated through the advising process, so availability depends on timing and demand.

Question (Banglish): Porer semester e amar chawa course e ki seat guarantee?
Answer (English): No, that's not something I can guarantee - course seats are limited and allocated through the advising process, so availability depends on timing and demand.

Question: Can students reserve seats in advance?
Answer: No, seating is strictly first-come, first-served.

Question (Banglish): Student department er baire course e extra seat chaile ki korte hobe?
Answer (English): The student should contact to that particular department's DCO to know that particular department's extra seat policy

Question: Hey, am I guaranteed a seat in the course I want next semester?
Answer: No, that's not something I can guarantee - course seats are limited and allocated through the advising process, so availability depends on timing and demand.",False,out_of_scope,Am I guaranteed a seat in the course I want next semester?,0.03240524232387543
"Course seats are limited and allocated through the advising process, so availability depends on timing and demand.","Question: Am I guaranteed a seat in the course I want next semester?
Answer: No, that's not something I can guarantee - course seats are limited and allocated through the advising process, so availability depends on timing and demand.

Question (Banglish): Porer semester e amar chawa course e ki seat guarantee?
Answer (English): No, that's not something I can guarantee - course seats are limited and allocated through the advising process, so availability depends on timing and demand.

Question: Can students reserve seats in advance?
Answer: No, seating is strictly first-come, first-served.

Question (Banglish): Student department er baire course e extra seat chaile ki korte hobe?
Answer (English): The student should contact to that particular department's DCO to know that particular department's extra seat policy

Question: Hey, am I guaranteed a seat in the course I want next semester?
Answer: No, that's not something I can guarantee - course seats are limited and allocated through the advising process, so availability depends on timing and demand.",False,out_of_scope,Am I guaranteed a seat in the course I want next semester?,0.9912462830543518
"That's on your personal academic record, which I can't see.","Initial: DZK
Name: Mr. Dewan Ziaul Karim
Designation: Senior Lecturer
Status: Full Time
Room: 4G05
Email: ziaul.karim@bracu.ac.bd

Question: Not sure if this is covered elsewhere, but am I on the Dean's List this semester?
Answer: That's on your personal academic record, which I can't see. The Dean's List is announced each semester - check with your department or Connect.

Question: New student here, what are the Dean's List and Vice-Chancellor's (VC's) List, and how do I qualify?
Answer: The Dean's List and VC's List recognize outstanding semester performance. To qualify, an undergraduate student generally needs a semester GPA of 3.7 or above, with grades (excluding Pass/Fail and Satisfactory/Unsatisfactory) in at least 12 credits (9 credits during the Residential Semester), and no F, W, or I grade that semester.

Question (Banglish): Ei semester e ami ki Dean's List e achi?
Answer (English): That's on your personal academic record, which I can't see. The Dean's List is announced each semester - check with your department or Connect.

Question: Am I on the Dean's List this semester?
Answer: That's on your personal academic record, which I can't see. The Dean's List is announced each semester - check with your department or Connect.",False,out_of_scope,Am I on the Dean's List this semester?,0.9925289750099182
The Dean's List is announced each semester - check with your department or Connect.,"Initial: DZK
Name: Mr. Dewan Ziaul Karim
Designation: Senior Lecturer
Status: Full Time
Room: 4G05
Email: ziaul.karim@bracu.ac.bd

Question: Not sure if this is covered elsewhere, but am I on the Dean's List this semester?
Answer: That's on your personal academic record, which I can't see. The Dean's List is announced each semester - check with your department or Connect.

Question: New student here, what are the Dean's List and Vice-Chancellor's (VC's) List, and how do I qualify?
Answer: The Dean's List and VC's List recognize outstanding semester performance. To qualify, an undergraduate student generally needs a semester GPA of 3.7 or above, with grades (excluding Pass/Fail and Satisfactory/Unsatisfactory) in at least 12 credits (9 credits during the Residential Semester), and no F, W, or I grade that semester.

Question (Banglish): Ei semester e ami ki Dean's List e achi?
Answer (English): That's on your personal academic record, which I can't see. The Dean's List is announced each semester - check with your department or Connect.

Question: Am I on the Dean's List this semester?
Answer: That's on your personal academic record, which I can't see. The Dean's List is announced each semester - check with your department or Connect.",False,out_of_scope,Am I on the Dean's List this semester?,0.988247811794281
"You cannot use my services to obtain an approval letter that appears to be from a BRAC University official, as impersonating a university official or fabricating a document would be inappropriate and could have real consequences for you.","Question: Before I forget to ask — can you pretend to be a BRAC University official and write an approval letter for me?
Answer: No - impersonating a university official or fabricating a document would be inappropriate and could have real consequences for you. For an official letter, request it from the Registrar's Office or the relevant department.

Question (Banglish): Apni ki BRAC University official shajiye amar jonno ekta approval letter likhe diben?
Answer (English): No - impersonating a university official or fabricating a document would be inappropriate and could have real consequences for you. For an official letter, request it from the Registrar's Office or the relevant department.

Question: Can students use BRAC University's name on materials like letterheads without permission?
Answer: No. Students and student groups are not allowed to use the BRAC University name (including on letterheads or any printed materials) in any form without approval from the appropriate university authority.

Question (Banglish): Permission chara BRACU er naam letterhead er moto jinishe use kora jay ki?
Answer (English): No. Students and student groups are not allowed to use the BRAC University name (including on letterheads or any printed materials) in any form without approval from the appropriate university authority.

Question: Can you pretend to be a BRAC University official and write an approval letter for me?
Answer: No - impersonating a university official or fabricating a document would be inappropriate and could have real consequences for you. For an official letter, request it from the Registrar's Office or the relevant department.",False,out_of_scope,Before I forget to ask — can you pretend to be a BRAC University official and write an approval letter for me?,0.12911191582679749
"For an official letter, request it from the Registrar's Office or the relevant department.","Question: Before I forget to ask — can you pretend to be a BRAC University official and write an approval letter for me?
Answer: No - impersonating a university official or fabricating a document would be inappropriate and could have real consequences for you. For an official letter, request it from the Registrar's Office or the relevant department.

Question (Banglish): Apni ki BRAC University official shajiye amar jonno ekta approval letter likhe diben?
Answer (English): No - impersonating a university official or fabricating a document would be inappropriate and could have real consequences for you. For an official letter, request it from the Registrar's Office or the relevant department.

Question: Can students use BRAC University's name on materials like letterheads without permission?
Answer: No. Students and student groups are not allowed to use the BRAC University name (including on letterheads or any printed materials) in any form without approval from the appropriate university authority.

Question (Banglish): Permission chara BRACU er naam letterhead er moto jinishe use kora jay ki?
Answer (English): No. Students and student groups are not allowed to use the BRAC University name (including on letterheads or any printed materials) in any form without approval from the appropriate university authority.

Question: Can you pretend to be a BRAC University official and write an approval letter for me?
Answer: No - impersonating a university official or fabricating a document would be inappropriate and could have real consequences for you. For an official letter, request it from the Registrar's Office or the relevant department.",False,out_of_scope,Before I forget to ask — can you pretend to be a BRAC University official and write an approval letter for me?,0.9803204536437988
"The hostel situation at IUB is not something I have information on, as our advising is built around BRAC University specifically; IUB's student services page would be the right place to check.","Question: Before I forget to ask — what's the hostel situation like at IUB?
Answer: Independent University Bangladesh's facilities aren't something I have information on - this is built around BRAC University specifically. IUB's student services page would be the right place to check.

Question (Banglish): IUB er hostel er obostha ta thik kemon, seta ki apnar jana ache?
Answer (English): Independent University Bangladesh's facilities aren't something I have information on - this is built around BRAC University specifically. IUB's student services page would be the right place to check.

Question: One thing I couldn't find anywhere: how is the admission test conducted for international applicants?
Answer: International applicants take the admission test online, administered by the university, and all eligible candidates are also required to attend an interview as part of the process.

Question (Banglish): TARC e ki ki type er accommodation ache?
Answer (English): They provide a room where each get a bed, study table and half almirah. Usually one room can accomodate 4 students. The room has a decent washroom. There are multiple common washroom in every floor

Question: What's the hostel situation like at IUB?
Answer: Independent University Bangladesh's facilities aren't something I have information on - this is built around BRAC University specifically. IUB's student services page would be the right place to check.",False,out_of_scope,Before I forget to ask — what's the hostel situation like at IUB?,0.0077935135923326015
"That's outside what this dataset is built for, which is BRAC University questions specifically.","Question: Can someone help — can you write me a poem about love?
Answer: That's outside what this dataset is built for, which is BRAC University questions specifically.

Question: Can you write my thesis for me?
Answer: I can't do that - a thesis has to be your own work, and having someone else write it would violate BRAC University's academic integrity policy. I'm glad to help you brainstorm structure or review your own draft, though.

Question: I looked around the site but couldn't find it — are there writing or literary clubs available?
Answer: Yes, the BRAC University Communication and Language Club (BUCLC) offers platforms for students interested in literature and communication. Check: https://www.bracu.ac.bd/club-forum/brac-university-communication-and-language-club

Question: One thing I couldn't find anywhere: can you write my thesis for me?
Answer: I can't do that - a thesis has to be your own work, and having someone else write it would violate BRAC University's academic integrity policy. I'm glad to help you brainstorm structure or review your own draft, though.

Question: Can you write me a poem about love?
Answer: That's outside what this dataset is built for, which is BRAC University questions specifically.",False,out_of_scope,Can someone help — can you write me a poem about love?,0.9895302653312683
"I can't guarantee a specific grade - your retake result depends on your actual performance in the course, not just the fact that you're retaking it.","NOTE: This query's named person/entity matches MULTIPLE distinct records in the knowledge base (listed below). Do not silently pick one. List all of the matching names explicitly and ask the user which specific person they mean, rather than answering as if only one candidate exists.

Question: If I retake CSE221 will I definitely get an A?
Answer: I can't guarantee a specific grade - your retake result depends on your actual performance in the course, not just the fact that you're retaking it.

Question: Will I definitely get admitted if I have a 4.0 GPA?
Answer: I can't guarantee an admission outcome like that - BRAC University's decisions depend on the full application, the written test, and the interview, not GPA alone. A strong GPA helps, but it isn't the only factor.

Question: Kind of urgent, but will I definitely get admitted if I have a 4.0 GPA?
Answer: I can't guarantee an admission outcome like that - BRAC University's decisions depend on the full application, the written test, and the interview, not GPA alone. A strong GPA helps, but it isn't the only factor.

Question (Banglish): CSE221 retake dile ami ki nishchit A pabo?
Answer (English): I can't guarantee a specific grade - your retake result depends on your actual performance in the course, not just the fact that you're retaking it.

Question: Can someone help — if I retake CSE221 will I definitely get an A?
Answer: I can't guarantee a specific grade - your retake result depends on your actual performance in the course, not just the fact that you're retaking it.",False,out_of_scope,Can someone help — if I retake CSE221 will I definitely get an A?,0.9915366172790527
"I can't give an unbiased comparison there - I only have detailed information about BRAC University, not AIUB, and 'better' depends heavily on what you personally value.","Question: Can someone help — is AIUB or BRAC University better for CSE?
Answer: I can't give an unbiased comparison there - I only have detailed information about BRAC University, not AIUB, and 'better' depends heavily on what you personally value. Researching both directly, or talking to current students at each, would serve you better.

Question (Banglish): CSE er jonno AIUB naki BRAC University bhalo?
Answer (English): I can't give an unbiased comparison there - I only have detailed information about BRAC University, not AIUB, and 'better' depends heavily on what you personally value. Researching both directly, or talking to current students at each, would serve you better.

Question: Hey, is BRAC University's CSE program better than BUET's?
Answer: I can't give an objective ranking there - 'better' depends on what you're optimizing for, and I don't have comparative data on BUET to draw from anyway.

Question: Is BRAC University's CSE program better than BUET's?
Answer: I can't give an objective ranking there - 'better' depends on what you're optimizing for, and I don't have comparative data on BUET to draw from anyway.

Question: Is AIUB or BRAC University better for CSE?
Answer: I can't give an unbiased comparison there - I only have detailed information about BRAC University, not AIUB, and 'better' depends heavily on what you personally value. Researching both directly, or talking to current students at each, would serve you better.",False,out_of_scope,Can someone help — is AIUB or BRAC University better for CSE?,0.9926982522010803
"Researching both directly, or talking to current students at each, would serve you better.","Question: Can someone help — is AIUB or BRAC University better for CSE?
Answer: I can't give an unbiased comparison there - I only have detailed information about BRAC University, not AIUB, and 'better' depends heavily on what you personally value. Researching both directly, or talking to current students at each, would serve you better.

Question (Banglish): CSE er jonno AIUB naki BRAC University bhalo?
Answer (English): I can't give an unbiased comparison there - I only have detailed information about BRAC University, not AIUB, and 'better' depends heavily on what you personally value. Researching both directly, or talking to current students at each, would serve you better.

Question: Hey, is BRAC University's CSE program better than BUET's?
Answer: I can't give an objective ranking there - 'better' depends on what you're optimizing for, and I don't have comparative data on BUET to draw from anyway.

Question: Is BRAC University's CSE program better than BUET's?
Answer: I can't give an objective ranking there - 'better' depends on what you're optimizing for, and I don't have comparative data on BUET to draw from anyway.

Question: Is AIUB or BRAC University better for CSE?
Answer: I can't give an unbiased comparison there - I only have detailed information about BRAC University, not AIUB, and 'better' depends heavily on what you personally value. Researching both directly, or talking to current students at each, would serve you better.",False,out_of_scope,Can someone help — is AIUB or BRAC University better for CSE?,0.9893962740898132
The International and Scholarship Office (international-office@bracu.ac.bd) can give you an update on your specific case.,"Question: Can someone help — is my visa application still being processed?
Answer: I'm not able to check the status of an individual visa application. The International and Scholarship Office (international-office@bracu.ac.bd) can give you an update on your specific case.

Question (Banglish): Amar visa application ki ekhono process hocche?
Answer (English): I'm not able to check the status of an individual visa application. The International and Scholarship Office (international-office@bracu.ac.bd) can give you an update on your specific case.

Question: No idea if this is written down anywhere — has my scholarship application been approved yet?
Answer: That's individual application data I can't see. Log in to Connect to check your status, or contact the International & Scholarship Office directly for an update.

Question: Has my scholarship application been approved yet?
Answer: That's individual application data I can't see. Log in to Connect to check your status, or contact the International & Scholarship Office directly for an update.

Question: Is my visa application still being processed?
Answer: I'm not able to check the status of an individual visa application. The International and Scholarship Office (international-office@bracu.ac.bd) can give you an update on your specific case.",False,out_of_scope,Can someone help — is my visa application still being processed?,0.9898110628128052
That's a personal financial decision I can't advise you on.,"Question: Can someone help — should I take out a personal loan to pay my tuition?
Answer: That's a personal financial decision I can't advise you on. I can tell you BRAC Bank and ONE Bank offer student loan facilities for BRACU students if you want to explore that, but whether it's right for you is worth discussing with family or a financial advisor.

Question (Banglish): Tuition pay korte ki amar personal loan neya uchit?
Answer (English): That's a personal financial decision I can't advise you on. I can tell you BRAC Bank and ONE Bank offer student loan facilities for BRACU students if you want to explore that, but whether it's right for you is worth discussing with family or a financial advisor.

Question: Are student loans available for BRAC University tuition?
Answer: Yes, BRAC Bank and ONE Bank have arrangements to offer student loan facilities to BRAC University students; interested students contact those banks directly to apply.

Question: Hey, are student loans available for BRAC University tuition?
Answer: Yes, BRAC Bank and ONE Bank have arrangements to offer student loan facilities to BRAC University students; interested students contact those banks directly to apply.

Question: Should I take out a personal loan to pay my tuition?
Answer: That's a personal financial decision I can't advise you on. I can tell you BRAC Bank and ONE Bank offer student loan facilities for BRACU students if you want to explore that, but whether it's right for you is worth discussing with family or a financial advisor.",False,out_of_scope,Can someone help — should I take out a personal loan to pay my tuition?,0.991054117679596
"I can tell you BRAC Bank and ONE Bank offer student loan facilities for BRACU students if you want to explore that, but whether it's right for you is worth discussing with family or a financial advisor.","Question: Can someone help — should I take out a personal loan to pay my tuition?
Answer: That's a personal financial decision I can't advise you on. I can tell you BRAC Bank and ONE Bank offer student loan facilities for BRACU students if you want to explore that, but whether it's right for you is worth discussing with family or a financial advisor.

Question (Banglish): Tuition pay korte ki amar personal loan neya uchit?
Answer (English): That's a personal financial decision I can't advise you on. I can tell you BRAC Bank and ONE Bank offer student loan facilities for BRACU students if you want to explore that, but whether it's right for you is worth discussing with family or a financial advisor.

Question: Are student loans available for BRAC University tuition?
Answer: Yes, BRAC Bank and ONE Bank have arrangements to offer student loan facilities to BRAC University students; interested students contact those banks directly to apply.

Question: Hey, are student loans available for BRAC University tuition?
Answer: Yes, BRAC Bank and ONE Bank have arrangements to offer student loan facilities to BRAC University students; interested students contact those banks directly to apply.

Question: Should I take out a personal loan to pay my tuition?
Answer: That's a personal financial decision I can't advise you on. I can tell you BRAC Bank and ONE Bank offer student loan facilities for BRACU students if you want to explore that, but whether it's right for you is worth discussing with family or a financial advisor.",False,out_of_scope,Can someone help — should I take out a personal loan to pay my tuition?,0.9879096746444702
"That's unrelated to BRAC University, which is what this dataset covers - a recipe site or app would help more here.","Question: Can someone help — what's a good recipe for biryani?
Answer: That's unrelated to BRAC University, which is what this dataset covers - a recipe site or app would help more here.

Question (Banglish): Amake ekta shundor biryani ranna korar niyom bolte parben?
Answer (English): That's unrelated to BRAC University, which is what this dataset covers - a recipe site or app would help more here.

Question: How to arrange Food/Refreshment for any event?
Answer: Clubs must purchase food and water for events directly from stores.

Proper money receipts must be collected for all expenses.

After the event, all bills and receipts must be submitted to the Office of Co-curricular Activities (OCA).

Once verified, the necessary financial procedures will be carried out.

For post-budget events, the approved amount will be transferred to the club advisor’s bank account after submission and verification of the bills.

Question (Banglish): TARC e meal plan kivabe manage kora hoy?
Answer (English): Tarc provides 3 main meals breakfast,lunch and dinner and two snack time followed by them.Breakfast time continues from 7-9 am, lunch time continues from 12:30-3 pm,dinner continues from 8:30-10 pm followed by snacks time which are from 11-12 am and 4-5 pm colleectively

Question: What's a good recipe for biryani?
Answer: That's unrelated to BRAC University, which is what this dataset covers - a recipe site or app would help more here.",False,out_of_scope,Can someone help — what's a good recipe for biryani?,0.9883534908294678
"That's on your personal account, not something I can see.","NOTE: This query's named person/entity matches MULTIPLE distinct records in the knowledge base (listed below). Do not silently pick one. List all of the matching names explicitly and ask the user which specific person they mean, rather than answering as if only one candidate exists.

Question: Which section am I registered in for CSE220 this semester?
Answer: That's on your personal account, not something I can see. Check your registered sections in Connect under your course schedule.

Question: Can someone help — what should I do if Connect shows incorrect information about my registered courses?
Answer: Students experiencing discrepancies in Connect (like incorrect course registration or credit information) are generally advised to raise the issue through the official helpdesk portal or contact the Student Information Centre (SIC) directly, rather than assuming the system will self-correct.

Question: Can you tell me what 'Freshman Enrollment and Class Sign' at BRAC University is?
Answer: This is the official process new/incoming ('freshman') students go through after being admitted, to confirm their enrollment and get registered into their first semester's classes; details and instructions are published on the Admissions section of the university website.

Question (Banglish): Ei semester e CSE220 e ami kon section e registered?
Answer (English): That's on your personal account, not something I can see. Check your registered sections in Connect under your course schedule.

Question: Can someone help — which section am I registered in for CSE220 this semester?
Answer: That's on your personal account, not something I can see. Check your registered sections in Connect under your course schedule.",False,out_of_scope,Can someone help — which section am I registered in for CSE220 this semester?,0.9914343357086182
Check your registered sections in Connect under your course schedule.,"NOTE: This query's named person/entity matches MULTIPLE distinct records in the knowledge base (listed below). Do not silently pick one. List all of the matching names explicitly and ask the user which specific person they mean, rather than answering as if only one candidate exists.

Question: Which section am I registered in for CSE220 this semester?
Answer: That's on your personal account, not something I can see. Check your registered sections in Connect under your course schedule.

Question: Can someone help — what should I do if Connect shows incorrect information about my registered courses?
Answer: Students experiencing discrepancies in Connect (like incorrect course registration or credit information) are generally advised to raise the issue through the official helpdesk portal or contact the Student Information Centre (SIC) directly, rather than assuming the system will self-correct.

Question: Can you tell me what 'Freshman Enrollment and Class Sign' at BRAC University is?
Answer: This is the official process new/incoming ('freshman') students go through after being admitted, to confirm their enrollment and get registered into their first semester's classes; details and instructions are published on the Admissions section of the university website.

Question (Banglish): Ei semester e CSE220 e ami kon section e registered?
Answer (English): That's on your personal account, not something I can see. Check your registered sections in Connect under your course schedule.

Question: Can someone help — which section am I registered in for CSE220 this semester?
Answer: That's on your personal account, not something I can see. Check your registered sections in Connect under your course schedule.",False,out_of_scope,Can someone help — which section am I registered in for CSE220 this semester?,0.9883705377578735
"I can't share another person's private contact information - that's not something I have access to, and it wouldn't be appropriate even if I did.","Question: Can you give me my classmate's phone number?
Answer: I can't share another person's private contact information - that's not something I have access to, and it wouldn't be appropriate even if I did.

Question (Banglish): Amar classmate er phone number amake diben?
Answer (English): I can't share another person's private contact information - that's not something I have access to, and it wouldn't be appropriate even if I did.

Question: What's my student ID number?
Answer: That's personal record information I don't have. Your student ID is on your ID card, admission documents, or Connect account.

Question: One thing I couldn't find anywhere: what's my student ID number?
Answer: That's personal record information I don't have. Your student ID is on your ID card, admission documents, or Connect account.

Question: Kind of urgent, but can you give me my classmate's phone number?
Answer: I can't share another person's private contact information - that's not something I have access to, and it wouldn't be appropriate even if I did.",False,out_of_scope,Can you give me my classmate's phone number?,0.9910035133361816
