query_id,condition,query,field_asked,answer,avoids_false_confidence,asks_for_clarification,offers_disambiguator,parse_failed,avoids_false_confidence_OLD_holistic
AMBX001,no_notice,What is Abdullah's office room?,office_room,Abdullah Khondoker's office room is 4F.,0,0,0,False,0
AMBX001,flat_notice,What is Abdullah's office room?,office_room,"There are multiple individuals with the name ""Abdullah"" in the knowledge base. To provide a specific answer, could you please clarify which Abdullah you are referring to?",1,1,0,False,1
AMBX001,conditioning,What is Abdullah's office room?,office_room,"There are multiple individuals with the name ""Abdullah"" in the knowledge base. To provide a specific answer, could you please clarify which Abdullah you are referring to (e.g., Abdullah Khondoker, Mirza Abdullah Al Noman, Abdullah Nayem Wasi Emran, or Dr. Matin Saad Abdullah)?",1,1,1,False,1
AMBX001,conditioning_v2,What is Abdullah's office room?,office_room,"Which one do you mean: C. Lecturer (AKHD), Lecturer (MAO), or Lecturer (ANWE)?",1,1,1,False,0
AMBX002,no_notice,What is Abdullah's email address?,email,Abdullah Khondoker's official email address is ext.abdullah@bracu.ac.bd.,0,0,0,False,0
AMBX002,flat_notice,What is Abdullah's email address?,email,"There are multiple individuals with the name ""Abdullah"" in the faculty directory. To provide a specific answer, could you please clarify which Abdullah you are referring to? 

1. Abdullah Khondoker (C. Lecturer)
2. Mirza Abdullah Al Noman (Lecturer)
3. Dr. Matin Saad Abdullah (Professor)",1,1,1,False,1
AMBX002,conditioning,What is Abdullah's email address?,email,"There are multiple individuals with the name ""Abdullah"" in the faculty directory. To provide a specific answer, could you please clarify which Abdullah you are referring to (e.g., Abdullah Khondoker or Mirza Abdullah Al Noman or Dr. Matin Saad Abdullah)?",1,1,0,False,1
AMBX002,conditioning_v2,What is Abdullah's email address?,email,Which one do you mean: C. Lecturer Abdullah Khondoker or Lecturer Mirza Abdullah Al Noman or Professor Dr. Matin Saad Abdullah?,1,1,1,False,0
AMBX003,no_notice,What is Abdullah's designation?,designation,"Abdullah Khondoker's designation is C. Lecturer, and there are also two other individuals named Abdullah with designations of Lecturer.",1,0,1,False,1
AMBX003,flat_notice,What is Abdullah's designation?,designation,"There are multiple individuals with the name ""Abdullah"" in the knowledge base. To provide a specific answer, could you please clarify which Abdullah you are referring to? The options are:

1. Abdullah Khondoker (C. Lecturer)
2. Mirza Abdullah Al Noman (Lecturer)
3. Abdullah Nayem Wasi Emran (Lecturer)
4. Dr. Matin Saad Abdullah (Professor)

Please let me know which one you mean, and I will be happy to provide the answer.",1,1,1,False,0
AMBX003,conditioning,What is Abdullah's designation?,designation,"There are multiple individuals with the name ""Abdullah"" in the knowledge base. To provide a specific answer, could you please clarify which Abdullah you are referring to?",1,1,0,False,1
AMBX003,conditioning_v2,What is Abdullah's designation?,designation,"Which one do you mean: C. Lecturer, Lecturer, or Professor?",1,1,0,False,0
AMBX004,no_notice,What is Abdullah's employment status?,status,Abdullah's employment status is Contractual.,0,0,0,False,0
AMBX004,flat_notice,What is Abdullah's employment status?,status,"Abdullah Khondoker's employment status is Contractual, while Mirza Abdullah Al Noman and Abdullah Nayem Wasi Emran are both Full Time. Which specific Abdullah would you like to know more about?",1,1,1,False,0
AMBX004,conditioning,What is Abdullah's employment status?,status,"Abdullah Khondoker's employment status is Contractual, while Mirza Abdullah Al Noman and Abdullah Nayem Wasi Emran are both Full Time. 

Please clarify which specific Abdullah you would like to know about.",1,0,1,False,0
