query_id,question,answer,category,proposed_split,source_question
GOV-AUG-000-0,Do the alumni groups of BRAC University have chapters or connections in other countries besides Bangladesh?,"Yes, BRAC University has official regional alumni networks including BRAC University Alumni Network - Asia Pacific, Australia, US, and Canada, alongside an official alumni Facebook group for graduates to connect and collaborate globally.",University Facts & Governance,val,Are there regional BRAC University alumni networks outside Bangladesh?
GOV-AUG-000-1,Are there any international groups or chapters of BRAC University alumni?,"Yes, BRAC University has official regional alumni networks including BRAC University Alumni Network - Asia Pacific, Australia, US, and Canada, alongside an official alumni Facebook group for graduates to connect and collaborate globally.",University Facts & Governance,test,Are there regional BRAC University alumni networks outside Bangladesh?
GOV-AUG-000-2,Does BRAC University have any international chapters or groups for its graduates?,"Yes, BRAC University has official regional alumni networks including BRAC University Alumni Network - Asia Pacific, Australia, US, and Canada, alongside an official alumni Facebook group for graduates to connect and collaborate globally.",University Facts & Governance,train,Are there regional BRAC University alumni networks outside Bangladesh?
GOV-AUG-000-3,Do they have any alumni clubs or groups set up in different countries for students who studied at BRAC University and went back home after graduating?,"Yes, BRAC University has official regional alumni networks including BRAC University Alumni Network - Asia Pacific, Australia, US, and Canada, alongside an official alumni Facebook group for graduates to connect and collaborate globally.",University Facts & Governance,train,Are there regional BRAC University alumni networks outside Bangladesh?
GOV-AUG-001-0,Does anyone know if BRAC Onnesha received any recognition or accolades?,"Yes, the BRAC Onnesha project received the ACI Award and the Airbus Diversity Award, one of the more prestigious recognitions in the engineering field, for its successful 2017 launch.",University Facts & Governance,val,Before I forget to ask — did BRAC Onnesha win any awards?
GOV-AUG-001-1,I was wondering if I'll remember to ask this before leaving - can you tell me about any notable recognitions or accolades received by BRAC Onnesha?,"Yes, the BRAC Onnesha project received the ACI Award and the Airbus Diversity Award, one of the more prestigious recognitions in the engineering field, for its successful 2017 launch.",University Facts & Governance,test,Before I forget to ask — did BRAC Onnesha win any awards?
GOV-AUG-001-2,"I was wondering if I can remember to check this later, but do you know whether BRAC Onnesha has received any notable awards or recognition?","Yes, the BRAC Onnesha project received the ACI Award and the Airbus Diversity Award, one of the more prestigious recognitions in the engineering field, for its successful 2017 launch.",University Facts & Governance,train,Before I forget to ask — did BRAC Onnesha win any awards?
GOV-AUG-001-3,I just remembered that BRAC Onnesha won some awards - can you remind me what they were for exactly?,"Yes, the BRAC Onnesha project received the ACI Award and the Airbus Diversity Award, one of the more prestigious recognitions in the engineering field, for its successful 2017 launch.",University Facts & Governance,train,Before I forget to ask — did BRAC Onnesha win any awards?
GOV-AUG-002-0,Can you tell me about the people who are in charge at Brac University and roughly how many there are?,"The Board of Trustees is BRAC University's highest policy-making body and has 12 members, one of whom is the Vice-Chancellor.",University Facts & Governance,val,"Before I forget to ask — what is BRAC University's Board of Trustees, and how many members does it have?"
GOV-AUG-002-1,Can you tell me about the people in charge at BRAC University - who are they and how big is the team?,"The Board of Trustees is BRAC University's highest policy-making body and has 12 members, one of whom is the Vice-Chancellor.",University Facts & Governance,test,"Before I forget to ask — what is BRAC University's Board of Trustees, and how many members does it have?"
GOV-AUG-002-2,Can you tell me more about the people who are in charge at BRAC University - are they a big group or pretty small?,"The Board of Trustees is BRAC University's highest policy-making body and has 12 members, one of whom is the Vice-Chancellor.",University Facts & Governance,train,"Before I forget to ask — what is BRAC University's Board of Trustees, and how many members does it have?"
GOV-AUG-002-3,Can you tell me more about the governance structure at BRAC University specifically how many people are part of its governing body and what they do in terms of decision-making etc?,"The Board of Trustees is BRAC University's highest policy-making body and has 12 members, one of whom is the Vice-Chancellor.",University Facts & Governance,train,"Before I forget to ask — what is BRAC University's Board of Trustees, and how many members does it have?"
