query_id,config,recall@1,recall@3,recall@5,mrr,ndcg@5,ndcg@10
Q001,vector_only_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q001,vector_only_hyde,1.0,1.0,1.0,1.0,1.0,1.0
Q001,bm25_only,1.0,1.0,1.0,1.0,0.8318724637288826,0.9619991470595832
Q001,full_hybrid_baseline,1.0,1.0,1.0,1.0,0.9828920819566879,0.9828920819566879
Q001,full_hybrid_hyde,1.0,1.0,1.0,1.0,0.9828920819566879,0.9828920819566879
Q002,vector_only_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q002,vector_only_hyde,1.0,1.0,1.0,1.0,1.0,1.0
Q002,bm25_only,1.0,1.0,1.0,1.0,1.0,1.0
Q002,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q002,full_hybrid_hyde,1.0,1.0,1.0,1.0,1.0,1.0
Q003,vector_only_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q003,vector_only_hyde,1.0,1.0,1.0,1.0,1.0,1.0
Q003,bm25_only,1.0,1.0,1.0,1.0,1.0,1.0
Q003,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q003,full_hybrid_hyde,1.0,1.0,1.0,1.0,1.0,1.0
Q004,vector_only_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q004,vector_only_hyde,1.0,1.0,1.0,1.0,1.0,1.0
Q004,bm25_only,1.0,1.0,1.0,1.0,1.0,1.0
Q004,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q004,full_hybrid_hyde,1.0,1.0,1.0,1.0,1.0,1.0
Q005,vector_only_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q005,vector_only_hyde,1.0,1.0,1.0,1.0,1.0,1.0
Q005,bm25_only,1.0,1.0,1.0,1.0,1.0,1.0
Q005,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q005,full_hybrid_hyde,1.0,1.0,1.0,1.0,1.0,1.0
Q006,vector_only_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q006,vector_only_hyde,0.0,1.0,1.0,0.5,0.6934264036172708,0.6934264036172708
Q006,bm25_only,1.0,1.0,1.0,1.0,0.8772153153380493,0.8772153153380493
Q006,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q006,full_hybrid_hyde,1.0,1.0,1.0,1.0,1.0,1.0
Q007,vector_only_baseline,1.0,1.0,1.0,1.0,0.9197207891481876,0.9197207891481876
Q007,vector_only_hyde,1.0,1.0,1.0,1.0,1.0,1.0
Q007,bm25_only,0.0,1.0,1.0,0.5,0.38685280723454163,0.6052602440527057
Q007,full_hybrid_baseline,0.0,1.0,1.0,0.5,0.6934264036172708,0.6934264036172708
Q007,full_hybrid_hyde,0.0,1.0,1.0,0.5,0.6934264036172708,0.6934264036172708
Q008,vector_only_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q008,vector_only_hyde,1.0,1.0,1.0,1.0,1.0,1.0
Q008,bm25_only,1.0,1.0,1.0,1.0,1.0,1.0
Q008,full_hybrid_baseline,1.0,1.0,1.0,1.0,0.8772153153380493,0.8772153153380493
Q008,full_hybrid_hyde,1.0,1.0,1.0,1.0,0.6131471927654584,0.8175295903539445
Q009,vector_only_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q009,vector_only_hyde,0.0,0.0,1.0,0.25,0.2640681225725909,0.48247555939075504
Q009,bm25_only,1.0,1.0,1.0,1.0,1.0,1.0
Q009,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q009,full_hybrid_hyde,1.0,1.0,1.0,1.0,1.0,1.0
