query_id,base_query_id,variant,is_entity_heavy,query,reference_answer
Q138-orig,Q138,original,True,What is the coordinator email for CSE437?,The coordinator email for CSE437 is rabiul.alam@bracu.ac.bd.
Q138-p1,Q138,paraphrase1,True,Could you tell me the email address of CSE437's coordinator?,The coordinator email for CSE437 is rabiul.alam@bracu.ac.bd.
Q138-p2,Q138,paraphrase2,True,I need to reach the CSE437 coordinator -- what's their email?,The coordinator email for CSE437 is rabiul.alam@bracu.ac.bd.
Q127-orig,Q127,original,True,What is the full prerequisite chain for CSE220?,The full prerequisite chain for CSE220 is CSE111-CSE230-CSE110.
Q127-p1,Q127,paraphrase1,True,Can you list out the entire prerequisite chain leading up to CSE220?,The full prerequisite chain for CSE220 is CSE111-CSE230-CSE110.
Q127-p2,Q127,paraphrase2,True,What's the complete chain of prerequisites I'd need before taking CSE220?,The full prerequisite chain for CSE220 is CSE111-CSE230-CSE110.
Q179-orig,Q179,original,True,Who teaches the lab section of CSE420-13?,"The lab section of CSE420-13 is taught by SUE,NFMK."
Q179-p1,Q179,paraphrase1,True,Can you tell me who's in charge of the CSE420-13 lab section?,"The lab section of CSE420-13 is taught by SUE,NFMK."
Q179-p2,Q179,paraphrase2,True,I want to know the instructor for CSE420-13's lab.,"The lab section of CSE420-13 is taught by SUE,NFMK."
Q192-orig,Q192,original,True,What is FYS's designation?,Dr. Farig Yousuf Sadeque (FYS) is a Associate Professor.
Q192-p1,Q192,paraphrase1,True,Could you tell me FYS's job title?,Dr. Farig Yousuf Sadeque (FYS) is a Associate Professor.
Q192-p2,Q192,paraphrase2,True,What position does FYS hold?,Dr. Farig Yousuf Sadeque (FYS) is a Associate Professor.
Q150-orig,Q150,original,True,What is the coordinator email for CSE430?,The coordinator email for CSE430 is ehtashamul.haque@bracu.ac.bd.
Q150-p1,Q150,paraphrase1,True,What's the email of the person coordinating CSE430?,The coordinator email for CSE430 is ehtashamul.haque@bracu.ac.bd.
Q150-p2,Q150,paraphrase2,True,How can I email the CSE430 coordinator?,The coordinator email for CSE430 is ehtashamul.haque@bracu.ac.bd.
Q116-orig,Q116,original,True,What are the prerequisites for CSE360?,The prerequisite for CSE360 is CSE341 (HP).
Q116-p1,Q116,paraphrase1,True,What do I need to have completed before taking CSE360?,The prerequisite for CSE360 is CSE341 (HP).
Q116-p2,Q116,paraphrase2,True,Which courses are required before enrolling in CSE360?,The prerequisite for CSE360 is CSE341 (HP).
Q194-orig,Q194,original,True,What is MVH's designation?,Mohammad Naveed Hossain (MVH) is a Lecturer.
Q194-p1,Q194,paraphrase1,True,What is MVH's title at the university?,Mohammad Naveed Hossain (MVH) is a Lecturer.
Q194-p2,Q194,paraphrase2,True,Can you tell me MVH's designation?,Mohammad Naveed Hossain (MVH) is a Lecturer.
Q172-orig,Q172,original,True,Who teaches the lab section of CSE350-06B?,"The lab section of CSE350-06B is taught by RAO,SHJR."
Q172-p1,Q172,paraphrase1,True,Who's the instructor for the CSE350-06B lab?,"The lab section of CSE350-06B is taught by RAO,SHJR."
Q172-p2,Q172,paraphrase2,True,I need to know who teaches CSE350-06B's lab section.,"The lab section of CSE350-06B is taught by RAO,SHJR."
Q187-orig,Q187,original,True,What is FEK's designation?,Farden Ehsan Khan (FEK) is a Lecturer.
Q187-p1,Q187,paraphrase1,True,What's FEK's official title?,Farden Ehsan Khan (FEK) is a Lecturer.
Q187-p2,Q187,paraphrase2,True,Could you let me know FEK's designation?,Farden Ehsan Khan (FEK) is a Lecturer.
Q123-orig,Q123,original,True,What are the prerequisites for CSE430?,The prerequisite for CSE430 is MAT120 (HP).
Q123-p1,Q123,paraphrase1,True,Which courses must I take before CSE430?,The prerequisite for CSE430 is MAT120 (HP).
Q123-p2,Q123,paraphrase2,True,What do I need to complete first before taking CSE430?,The prerequisite for CSE430 is MAT120 (HP).
Q038-orig,Q038,original,False,Can students receive visitors while at the Savar campus?,"Only nominated visitors, usually parents, are allowed to visit on designated Parents' Days, which are announced each semester. Visiting hours are typically in the afternoon on specific Fridays."
Q038-p1,Q038,paraphrase1,False,Is it allowed for visitors to come see students at the Savar campus?,"Only nominated visitors, usually parents, are allowed to visit on designated Parents' Days, which are announced each semester. Visiting hours are typically in the afternoon on specific Fridays."
Q038-p2,Q038,paraphrase2,False,"If I'm staying at Savar, can I have guests visit me?","Only nominated visitors, usually parents, are allowed to visit on designated Parents' Days, which are announced each semester. Visiting hours are typically in the afternoon on specific Fridays."
Q027-orig,Q027,original,False,What amenities and facilities are provided for students at TARC?,"Tarc provides students of BRAC a residential campus where they experience to live with their fellow classmates.Tarc also provides students the importance of time dynamics ,punctuality and basic manners like to respect others work.Tarc also tries to make students do their own work by themselves."
Q027-p1,Q027,paraphrase1,False,What kind of facilities does TARC offer to students?,"Tarc provides students of BRAC a residential campus where they experience to live with their fellow classmates.Tarc also provides students the importance of time dynamics ,punctuality and basic manners like to respect others work.Tarc also tries to make students do their own work by themselves."
Q027-p2,Q027,paraphrase2,False,Could you describe what amenities are available for students at TARC?,"Tarc provides students of BRAC a residential campus where they experience to live with their fellow classmates.Tarc also provides students the importance of time dynamics ,punctuality and basic manners like to respect others work.Tarc also tries to make students do their own work by themselves."
Q079-orig,Q079,original,False,What steps do I need to follow to access the Prayer Room for females?,The Prayer Room is located in front of the indoor Multipurpose Hall and on 6th floor(ZONE-H)
Q079-p1,Q079,paraphrase1,False,How do I get access to the female Prayer Room?,The Prayer Room is located in front of the indoor Multipurpose Hall and on 6th floor(ZONE-H)
Q079-p2,Q079,paraphrase2,False,What's the process for female students to use the Prayer Room?,The Prayer Room is located in front of the indoor Multipurpose Hall and on 6th floor(ZONE-H)
Q092-orig,Q092,original,False,"I wanted to ask, is there an application fee, How much is it?","Admission Application Fee Tk. 1,500/- Non-Refundable [Through Bkash, Rocket, Nagod, Visa cards, Dhaka Bank Ltd., One Bank Ltd., Southeast Bank Ltd., Brac Bank Ltd. And Prime Bank Ltd]"
Q092-p1,Q092,paraphrase1,False,"Do I have to pay an application fee, and what's the amount?","Admission Application Fee Tk. 1,500/- Non-Refundable [Through Bkash, Rocket, Nagod, Visa cards, Dhaka Bank Ltd., One Bank Ltd., Southeast Bank Ltd., Brac Bank Ltd. And Prime Bank Ltd]"
