query_id,config,lambda,query,reference_answer,retrieved_context,generated_answer,retrieval_s,generation_s,total_s,timestamp,query_confidence,faithfulness,faithfulness_reason
Q010,full_hybrid,0.5,Purpose of the Wishlist event for Summer 2025?,To help plan course offerings based on student demand,"Question: Purpose of the Wishlist event for Summer 2025?
Answer: To help plan course offerings based on student demand

Question (Banglish): Summer 2025 er Wishlist event er purpose ki?
Answer (English): To help plan course offerings based on student demand

Question: Why is participation in the Wishlist event important?
Answer: Course offerings will be based on student demand collected from Wishlist submissions

Question (Banglish): Wishlist event e participation kora keno eto important, seta ektu bujhiye bolben?
Answer (English): Course offerings will be based on student demand collected from Wishlist submissions

Question: Purpose of the Course Wishlist feature in the Connect system?
Answer: Addition of preferred courses to a wishlist to secure seats as they become available while following university policies",The purpose of the Wishlist event for Summer 2025 is to help plan course offerings based on student demand.,0.0579,9.8114,9.8693,2026-08-01T07:26:38.169726+00:00,0.0256,0.5,SCORE: 0.5 | REASON: Only two out of four claims are supported by the context.
Q016,full_hybrid,0.5,How to contact with BRACU Finance and Accounts Department?,"BRAC University
Kha-224 Bir Uttam Rafiqul Islam Avenue, Merul Badda,
Dhaka 1212, Bangladesh
Phone: +88 09638464646 Ext: 1220, 1221

Email: queries-accounts@bracu.ac.bd","Question: How to contact with BRACU Finance and Accounts Department?
Answer: BRAC University
Kha-224 Bir Uttam Rafiqul Islam Avenue, Merul Badda,
Dhaka 1212, Bangladesh
Phone: +88 09638464646 Ext: 1220, 1221

Email: queries-accounts@bracu.ac.bd

Question: Can someone help — how to contact with BRACU Finance and Accounts Department?
Answer: BRAC University
Kha-224 Bir Uttam Rafiqul Islam Avenue, Merul Badda,
Dhaka 1212, Bangladesh
Phone: +88 09638464646 Ext: 1220, 1221

Email: queries-accounts@bracu.ac.bd

Question (Banglish): BRACU Finance and Accounts Department ke kivabe contact korbo?
Answer (English): BRAC University
Kha-224 Bir Uttam Rafiqul Islam Avenue, Merul Badda,
Dhaka 1212, Bangladesh
Phone: +88 09638464646 Ext: 1220, 1221

Email: queries-accounts@bracu.ac.bd

Question: What services are offered by the Finance & Accounts Office?
Answer: The Finance & Accounts Office manages student accounts, tuition payments, and financial aid. You can also email at queries-accounts@bracu.ac.bd

Question: How to collect payment clearance from Finance and Accounts department for Degree Processing/Convocation?
Answer: 1. Collect payment clearance from Finance and Accounts department for Degree Processing/Convocation

2. Collect the Degree Application Form from your respective Department's DCO and Fill up with the necessary information.

3. Take Library clearance

4. Clear all your previous dues (if any).

5. Make payment of Tk. 10,000 for each course as degree processing fee at BRAC Bank (any branch) or IFIC Bank (Mohakhali branch) through prescribed manual payslip.

6. Bring your payment slip and duly filled form in the Finance and Accounts department to take payment clearance.","To contact the BRACU Finance and Accounts Department, you can visit BRAC University at Kha-224 Bir Uttam Rafiqul Islam Avenue, Merul Badda, Dhaka 1212, Bangladesh, or call them at +88 09638464646 Ext: 1220, 1221. You can also email them at queries-accounts@bracu.ac.bd.",0.0201,11.0881,11.1082,2026-08-01T07:26:49.277993+00:00,0.0085,1.0,SCORE: 1.0 | REASON: All individual factual claims in the ANSWER are fully supported by the retrieved CONTEXT.
Q017,full_hybrid,0.5,"Hey, for further information regarding Admission who should I contact?","For more queries, please contact the Inquiry, Registration & Admissions Office, BRACU (Phone: +88 09638464646, Call Center Ext: 1001. You can also send e-mail at admissions@bracu.ac.bd.","Question: Hey, for further information regarding Admission who should I contact?
Answer: For more queries, please contact the Inquiry, Registration & Admissions Office, BRACU (Phone: +88 09638464646, Call Center Ext: 1001. You can also send e-mail at admissions@bracu.ac.bd.

Question: For further information regarding Admission who should I contact?
Answer: For more queries, please contact the Inquiry, Registration & Admissions Office, BRACU (Phone: +88 09638464646, Call Center Ext: 1001. You can also send e-mail at admissions@bracu.ac.bd.

Question (Banglish): Admission niye aro information er jonno kake contact korbo?
Answer (English): For more queries, please contact the Inquiry, Registration & Admissions Office, BRACU (Phone: +88 09638464646, Call Center Ext: 1001. You can also send e-mail at admissions@bracu.ac.bd.

Question: How do I contact the admissions office?
Answer: You can mail to admissions@bracu.ac.bd

Question (Banglish): Admissions office ke ami kivabe contact korbo?
Answer (English): You can mail to admissions@bracu.ac.bd","For more queries regarding admission, please contact the Inquiry, Registration & Admissions Office, BRACU (Phone: +88 09638464646, Call Center Ext: 1001. You can also send e-mail at admissions@bracu.ac.bd.",0.0184,7.9186,7.937,2026-08-01T07:26:57.215662+00:00,0.1162,1.0,SCORE: 1.0 | REASON: All individual factual claims are fully supported by the retrieved CONTEXT.
Q019,full_hybrid,0.5,How are students informed about changes to the transport service?,Students are informed through official BRAC University notices and announcements.,"Question: How are students informed about changes to the transport service?
Answer: Students are informed through official BRAC University notices and announcements.

Question (Banglish): Transport service e change hole student der kivabe janano hoy?
Answer (English): Students are informed through official BRAC University notices and announcements.

Question: How can students report a problem with the transport service?
Answer: Students can report issues by calling the designated route-specific numbers or reaching out to transport officers.

Question: How can students contact the transport service?
Answer: Students can contact the transport service via designated phone numbers.

Question: What are the features of the transport service?
Answer: The service includes air-conditioned buses, fixed routes with designated stoppages, GPS tracking, CCTV cameras for security, and a strict schedule for pick-up and drop-off.",Students are informed through official BRAC University notices and announcements.,0.023,4.0062,4.0291,2026-08-01T07:27:01.245221+00:00,0.3136,1.0,SCORE: 1.0 | REASON: All claims are directly supported by the corresponding questions and answers in the CONTEXT.
Q031,full_hybrid,0.5,"New student here, could you please provide details about the tuition fee structure at BRAC University?","For students enrolled in the Computer Science and Engineering (CSE) program at BRAC University, the tuition fee structure includes a one-time, non-refundable admission fee of BDT 30,800. Each course within the CSE program costs BDT 22,500. Additionally, students are required to pay a semester fee of BDT 11,500, which covers various facilities such as IT services and library access. There is also a one-time library membership fee of BDT 2,500. This fee structure is designed to support the comprehensive education provided in the CSE program, ensuring access to advanced resources and facilities?","Question: New student here, could you please provide details about the tuition fee structure at BRAC University?
Answer: For students enrolled in the Computer Science and Engineering (CSE) program at BRAC University, the tuition fee structure includes a one-time, non-refundable admission fee of BDT 30,800. Each course within the CSE program costs BDT 22,500. Additionally, students are required to pay a semester fee of BDT 11,500, which covers various facilities such as IT services and library access. There is also a one-time library membership fee of BDT 2,500. This fee structure is designed to support the comprehensive education provided in the CSE program, ensuring access to advanced resources and facilities?

Question: Could you please provide details about the tuition fee structure at BRAC University?
Answer: For students enrolled in the Computer Science and Engineering (CSE) program at BRAC University, the tuition fee structure includes a one-time, non-refundable admission fee of BDT 30,800. Each course within the CSE program costs BDT 22,500. Additionally, students are required to pay a semester fee of BDT 11,500, which covers various facilities such as IT services and library access. There is also a one-time library membership fee of BDT 2,500. This fee structure is designed to support the comprehensive education provided in the CSE program, ensuring access to advanced resources and facilities?

Question (Banglish): BRAC University er tuition fee structure ta ektu bolben please?
Answer (English): For students enrolled in the Computer Science and Engineering (CSE) program at BRAC University, the tuition fee structure includes a one-time, non-refundable admission fee of BDT 30,800. Each course within the CSE program costs BDT 22,500. Additionally, students are required to pay a semester fee of BDT 11,500, which covers various facilities such as IT services and library access. There is also a one-time library membership fee of BDT 2,500. This fee structure is designed to support the comprehensive education provided in the CSE program, ensuring access to advanced resources and facilities

Question: Not sure if this is covered elsewhere, but what's the tuition fee at North South University?
Answer: That's outside what I can help with - I only have information about BRAC University. North South University's own website would have their current fee structure.

Question: What's the tuition fee at North South University?
Answer: That's outside what I can help with - I only have information about BRAC University. North South University's own website would have their current fee structure.","For students enrolled in the Computer Science and Engineering (CSE) program at BRAC University, the tuition fee structure includes a one-time, non-refundable admission fee of BDT 30,800. Each course within the CSE program costs BDT 22,500. Additionally, students are required to pay a semester fee of BDT 11,500, which covers various facilities such as IT services and library access. There is also a one-time library membership fee of BDT 2,500. This fee structure is designed to support the comprehensive education provided in the CSE program, ensuring access to advanced resources and facilities?",0.0284,17.1147,17.1432,2026-08-01T07:27:18.388443+00:00,0.0481,1.0,SCORE: 1.0 | REASON: The answer is fully supported by the context as it directly quotes the provided information about BRAC University's tuition fee structure.
Q046,full_hybrid,0.5,What sports teams does the university have?,"BRAC University Football Club, BRAC University Chess Club, BRAC University Cricket Club, and BRAC University Indoor Games Club.","Question: What sports teams does the university have?
Answer: BRAC University Football Club, BRAC University Chess Club, BRAC University Cricket Club, and BRAC University Indoor Games Club.

Question: New student here, what sports teams does the university have?
Answer: BRAC University Football Club, BRAC University Chess Club, BRAC University Cricket Club, and BRAC University Indoor Games Club.

Question: One thing I couldn't find anywhere: does BRAC University take part in inter-university sports tournaments regularly?
Answer: Yes, BRAC University teams regularly compete in inter-university football and other sports tournaments in Dhaka, including tournaments like the Shahjalal Islami Bank Faraaz Gold Cup Inter-University Football Tournament.

Question: Does BRAC University have any costs associated with joining clubs or sports teams?
Answer: No there no costs associated with joining clubs or sports teams.

Question: Are there any costs associated with joining clubs or sports teams?
Answer: No there no costs associated with joining clubs or sports teams.","The university has BRAC University Football Club, BRAC University Chess Club, BRAC University Cricket Club, and BRAC University Indoor Games Club.",0.0208,5.3604,5.3812,2026-08-01T07:27:23.770200+00:00,0.0115,1.0,SCORE: 1.0 | REASON: All factual claims about sports teams are directly supported by the CONTEXT.
Q056,full_hybrid,0.5,"New student here, when was BRAC University established and who founded it?","BRAC University was established in 2001, founded by Sir Fazle Hasan Abed, and is affiliated with the University Grants Commission (UGC) of Bangladesh.","Question: New student here, when was BRAC University established and who founded it?
Answer: BRAC University was established in 2001, founded by Sir Fazle Hasan Abed, and is affiliated with the University Grants Commission (UGC) of Bangladesh.

Question: Quick question — when was BRAC University established and who founded it?
Answer: BRAC University was established in 2001, founded by Sir Fazle Hasan Abed, and is affiliated with the University Grants Commission (UGC) of Bangladesh.

Question: When was BRAC University established and who founded it?
Answer: BRAC University was established in 2001, founded by Sir Fazle Hasan Abed, and is affiliated with the University Grants Commission (UGC) of Bangladesh.

Question: I'm new to BRAC University - can you tell me what year the university started and who is behind its founding?
Answer: BRAC University was established in 2001, founded by Sir Fazle Hasan Abed, and is affiliated with the University Grants Commission (UGC) of Bangladesh.

Question: I'm a new student here, can you tell me what year Brac University was set up and by whom?
Answer: BRAC University was established in 2001, founded by Sir Fazle Hasan Abed, and is affiliated with the University Grants Commission (UGC) of Bangladesh.","BRAC University was established in 2001, founded by Sir Fazle Hasan Abed, and is affiliated with the University Grants Commission (UGC) of Bangladesh.",0.0206,5.8231,5.8436,2026-08-01T07:27:29.614371+00:00,0.1706,1.0,"SCORE: 1.0 | REASON: All three claims (established year, founder, and affiliation with UGC) are explicitly mentioned in the CONTEXT."
Q057,full_hybrid,0.5,Who must participate in the Wishlist event?,"All undergraduate students attending upcoming, excluding RS-eligible students and LLB, PHR students","Question: Who must participate in the Wishlist event?
Answer: All undergraduate students attending upcoming, excluding RS-eligible students and LLB, PHR students

Question: Which group of students is not required to participate in the Wishlist event?
Answer: Students who are eligible for residential semester in the upcoming semester.

Question (Banglish): Kon group er student der Wishlist event e participate korar requirement nei?
Answer (English): Students who are eligible for residential semester in the upcoming semester.

Question (Banglish): Ke Wishlist event e participate korte hobe?
Answer (English): All undergraduate students attending upcoming, excluding RS-eligible students and LLB, PHR students

Question (Banglish): Wishlist event e participate na korle ki consequence hoy?
Answer (English): Student will not be allowed to register during Pre-Registration Phase 1","All undergraduate students attending upcoming, excluding RS-eligible students and LLB, PHR students.",0.021,4.5831,4.6041,2026-08-01T07:27:34.219197+00:00,0.1475,0.8,"SCORE: 0.8 | REASON: The answer is partially supported as it correctly excludes RS-eligible students and LLB, PHR students but does not mention students eligible for residential semester in the upcoming semester."
Q061,full_hybrid,0.5,How do I access the Multipurpose Hall?,"Ground Floor, Find the lift lobby(2nd escalator); go straight to the West Side, where you will find some seats next to the Multipurpose Hall.","Question: How do I access the Multipurpose Hall?
Answer: Ground Floor, Find the lift lobby(2nd escalator); go straight to the West Side, where you will find some seats next to the Multipurpose Hall.

Question (Banglish): Multipurpose Hall ami kivabe access korbo?
Answer (English): Ground Floor, Find the lift lobby(2nd escalator); go straight to the West Side, where you will find some seats next to the Multipurpose Hall.

Question: What types of events can be held in the Multipurpose Hall?
Answer: The Multipurpose Hall can be used for meetings, seminars, workshops, and social gatherings.

Question: How can I access the Prayer Room for females?
Answer: The Prayer Room is located in front of the indoor Multipurpose Hall and on 6th floor(ZONE-H)

Question: Sorry if this was already answered, but what types of events can be held in the Multipurpose Hall?
Answer: The Multipurpose Hall can be used for meetings, seminars, workshops, and social gatherings.","To access the Multipurpose Hall, go to the Ground Floor, find the lift lobby (2nd escalator), go straight to the West Side, where you will find some seats next to the Multipurpose Hall.",0.0161,6.5834,6.5995,2026-08-01T07:27:40.810100+00:00,0.0914,0.8,"SCORE: 0.8 | REASON: The answer is mostly supported, but lacks specific information about event types and Prayer Room location."
Q066,full_hybrid,0.5,Can you tell me what the prerequisites for the Cse program are?,"Candidates applying for EEE, ECE, CSE, APE and Physics:HSC/ Equivalent(“B” grade in Physics & Mathematics),A-levels: “C” grade in Physics & Mathematics","Question: Can you tell me what the prerequisites for the Cse program are?
Answer: Candidates applying for EEE, ECE, CSE, APE and Physics:HSC/ Equivalent(“B” grade in Physics & Mathematics),A-levels: “C” grade in Physics & Mathematics

Question: What are the prerequisites for the Cse program?
Answer: Candidates applying for EEE, ECE, CSE, APE and Physics:HSC/ Equivalent(“B” grade in Physics & Mathematics),A-levels: “C” grade in Physics & Mathematics

Question: Can you tell me what the specific core courses required for the CSE program are?
Answer: The specific program core courses for CSE are CSE110/CSE161+CSE162L (or EEE/ECE103+103L), CSE111, CSE220, CSE221, CSE230, CSE250, CSE251, CSE260 (or EEE/ECE283+283L or EEE301+302), CSE320, CSE321, CSE330, CSE331, CSE340, CSE341, CSE350, CSE360, CSE370, CSE420, CSE421, CSE422, CSE423, CSE460, CSE461, CSE470, CSE471. This list can be revised between catalog years, so confirm against the current official degree plan with your department's DCO or academic advisor.

Question (Banglish): CSE program er prerequisite gula ki?
Answer (English): Candidates applying for EEE, ECE, CSE, APE and Physics:HSC/ Equivalent(""B"" grade in Physics & Mathematics),A-levels: ""C"" grade in Physics & Mathematics

Question: What are the specific core courses required for the CSE program?
Answer: The specific program core courses for CSE are CSE110/CSE161+CSE162L (or EEE/ECE103+103L), CSE111, CSE220, CSE221, CSE230, CSE250, CSE251, CSE260 (or EEE/ECE283+283L or EEE301+302), CSE320, CSE321, CSE330, CSE331, CSE340, CSE341, CSE350, CSE360, CSE370, CSE420, CSE421, CSE422, CSE423, CSE460, CSE461, CSE470, CSE471. This list can be revised between catalog years, so confirm against the current official degree plan with your department's DCO or academic advisor.","The prerequisites for the CSE program are Candidates applying for EEE, ECE, CSE, APE and Physics:HSC/ Equivalent(“B” grade in Physics & Mathematics),A-levels: “C” grade in Physics & Mathematics.",0.0185,8.3058,8.3242,2026-08-01T07:27:49.143555+00:00,0.1191,1.0,SCORE: 1.0 | REASON: All claims are fully supported by the provided CONTEXT.
