query_id,config,query,reference_answer,retrieved_context,generated_answer,route,fusion,lambda,abstained,raw_abstain,sufficient_context_override,graph_augmented,exact_match_any,question_match_any,translated_query,retrieval_s,rerank_s,generation_s,total_s,timestamp,query_confidence,query_top1_score
BQ001,adaptive_novel,TARC e student der ki ki amenities ar facility deya hoy?,"Tarc provides students of BRAC a residential campus where they experience to live with their fellow classmates.Tarc also provides students the importance of time dynamics ,punctuality and basic manners like to respect others work.Tarc also tries to make students do their own work by themselves.","Question (Banglish): TARC e student der ki ki amenities ar facility deya hoy?
Answer (English): Tarc provides students of BRAC a residential campus where they experience to live with their fellow classmates.Tarc also provides students the importance of time dynamics ,punctuality and basic manners like to respect others work.Tarc also tries to make students do their own work by themselves.

Question: What amenities and facilities are provided for students at TARC?
Answer: Tarc provides students of BRAC a residential campus where they experience to live with their fellow classmates.Tarc also provides students the importance of time dynamics ,punctuality and basic manners like to respect others work.Tarc also tries to make students do their own work by themselves.

Question: Quick question — what amenities and facilities are provided for students at TARC?
Answer: Tarc provides students of BRAC a residential campus where they experience to live with their fellow classmates.Tarc also provides students the importance of time dynamics ,punctuality and basic manners like to respect others work.Tarc also tries to make students do their own work by themselves.

Question: Curious about something: what amenities and facilities are provided for students at TARC?
Answer: Tarc provides students of BRAC a residential campus where they experience to live with their fellow classmates.Tarc also provides students the importance of time dynamics ,punctuality and basic manners like to respect others work.Tarc also tries to make students do their own work by themselves.

Question: For a friend who's asking — what amenities and facilities are provided for students at TARC?
Answer: Tarc provides students of BRAC a residential campus where they experience to live with their fellow classmates.Tarc also provides students the importance of time dynamics ,punctuality and basic manners like to respect others work.Tarc also tries to make students do their own work by themselves.","Tarc provides students of BRAC a residential campus where they experience to live with their fellow classmates. Tarc also provides students the importance of time dynamics, punctuality and basic manners like respecting others' work. Tarc also tries to make students do their own work by themselves.",open_ended,linear,0.5,False,True,True,False,False,True,,0.1603,0.0000,9.2600,9.4205,2026-07-28T09:34:32.586310+00:00,0.5276,0.9742
BQ002,adaptive_novel,Pre-Registration phase er por course selection kobe confirm korte hobe?,During the Self-Registration period assigned after result publication,"Question (Banglish): Pre-Registration phase er por course selection kobe confirm korte hobe?
Answer (English): During the Self-Registration period assigned after result publication

Question (Banglish): Pre-Registration Phase 2 er starting date ta kobe?
Answer (English): You will be emailed by the registrar.

Question: When must course selections be confirmed after Pre-Registration phases?
Answer: During the Self-Registration period assigned after result publication

Question: Does BRAC University have a confirmation button during Pre-Registration Phase 1 or Phase 2?
Answer: No confirmation button is available in either phase

Question: Is there a confirmation button during Pre-Registration Phase 1 or Phase 2?
Answer: No confirmation button is available in either phase",During the Self-Registration period assigned after result publication.,open_ended,linear,0.5,False,True,True,False,False,True,,0.0273,0.0000,3.9601,3.9877,2026-07-28T09:34:36.574355+00:00,0.4051,1.0111
BQ003,adaptive_novel,"BRAC University bochore koyta semester chalay, ar kobe shuru hoy?","BRAC University runs three semesters a year - Spring, Summer and Fall - starting in January, May and September respectively. Pharmacy admits in Spring or Summer, and LLB admits in Spring or Fall.","Question (Banglish): BRAC University bochore koyta semester chalay, ar kobe shuru hoy?
Answer (English): BRAC University runs three semesters a year - Spring, Summer and Fall - starting in January, May and September respectively. Pharmacy admits in Spring or Summer, and LLB admits in Spring or Fall.

Question (Banglish): BRAC University protibochor koyta semester chalay, ar segula ke ki bola hoy?
Answer (English): BRAC University follows a semester-based system with three equal semesters each year: Spring, Summer, and Fall.

Question (Banglish): BRACU te bochore koyta semester hoy, ar segula kobe shuru hoy?
Answer (English): BRACU offers 3 semesters a year: Spring, Summer & Fall, and these start in January, May & September respectively.
For Pharmacy & LLB: BRACU offers admission for Pharmacy & LLB department twice a year. You can apply in for Pharmacy: Spring or Summer semester and for LLB: Spring or Fall. The classes start from January and July for Pharmacy. January and September for LLB accordingly.
Tentative Schedule - Admission Tests:
Semester
1st Intake
2nd Intake
Spring
November
December
Summer
March
April
Fall
July
August

Question (Banglish): Eta kobe shuru hoy?
Answer (English): Could you clarify what you're asking about - a specific semester, an event, the Residential Semester? Happy to help once I know which one.

Question (Banglish): Spring, Summer, ar Fall semester shadharonoto kon kon month e shuru hoy?
Answer (English): Spring semester usually starts in January, Summer in May, and Fall in September, though the exact start date each year is announced in that year's Academic Calendar.","BRAC University runs three semesters a year - Spring, Summer, and Fall - starting in January, May, and September respectively.",open_ended,linear,0.5,False,True,True,False,False,True,,0.0243,0.0000,5.7100,5.7344,2026-07-28T09:34:42.309365+00:00,0.1904,0.9350
BQ004,adaptive_novel,Amar vehicle ta kothay park korte hobe?,You can park your vehicle at basement-2.,"Question (Banglish): Amar vehicle ta kothay park korte hobe?
Answer (English): You can park your vehicle at basement-2.

Question: Where do i have to park the vehicle?
Answer: You can park your vehicle at basement-2.

Question (Banglish): Ami koto shomoy campus e amar vehicle park korte pari?
Answer (English): As long as you're paying the parking fee

Question: How long can i park my vehicle on campus?
Answer: As long as you're paying the parking fee

Question (Banglish): Driver driven car parking er payment koto?
Answer (English): For driver-driven vehicles: registered vehicles pay Tk 5,000 per semester; non-registered vehicles pay Tk 60 for the first 4 hours and Tk 20 for each additional hour.",You can park your vehicle at basement-2.,open_ended,linear,0.5,False,True,True,False,False,True,,0.0253,0.0000,4.1518,4.1772,2026-07-28T09:34:46.486823+00:00,0.2436,0.9972
BQ005,adaptive_novel,Exam hall e student der koto age ashte hobe?,Students should aim to arrive at the exam hall at least 15 to 30 minutes before the scheduled start time of their exam.,"Question (Banglish): Exam hall e student der koto age ashte hobe?
Answer (English): Students should aim to arrive at the exam hall at least 15 to 30 minutes before the scheduled start time of their exam.

Question: How early should students arrive at the exam hall?
Answer: Students should aim to arrive at the exam hall at least 15 to 30 minutes before the scheduled start time of their exam.

Question: Curious about something: how early should students arrive at the exam hall?
Answer: Students should aim to arrive at the exam hall at least 15 to 30 minutes before the scheduled start time of their exam.

Question: Not sure if this is covered elsewhere, but how early should students arrive at the exam hall?
Answer: Students should aim to arrive at the exam hall at least 15 to 30 minutes before the scheduled start time of their exam.

Question (Banglish): Exam hall e ki ki jinish prohibited?
Answer (English): Mobile phones, tablets, smartwatches, and other electronic gadgets are not allowed. Bringing textbooks, notes, or any other written materials is prohibited unless explicitly allowed by the instructor.Bags, backpacks, and personal belongings should be left outside the exam hall or in designated areas.",Students should aim to arrive at the exam hall at least 15 to 30 minutes before the scheduled start time of their exam.,open_ended,linear,0.5,False,True,True,False,False,True,,0.0211,0.0000,5.4162,5.4374,2026-07-28T09:34:51.924535+00:00,0.4728,0.9886
BQ006,adaptive_novel,Print korar jonno jaiga gula thik kon kon jaygay ache?,"Level-12:

Level-12, Zone-B, Adjacent to Room No: 12B-15L

Level-12, Zone-D, Adjacent to Room No: 12D-25L

Level-12, Zone-F, Room No: 12F-31L

Level-12, Zone-F, Room No: 12F-32L

Level-11:

Level-11, Zone-A, Room No: 11A-03L

Level-11, Zone-B, Adjacent to Room No: 11B-15L

Level-11, Zone-B, Adjacent to Room No: 11B-16L

Level-11, Zone-D, Adjacent to Room No: 11D-27L

Level-11, Zone-F, Adjacent to Room No: 11F-34L

Level-10:

Level-10, Zone-B, Adjacent to Room No: 10B-11L

Level-10, Zone-D, Adjacent to Room No: 10D-22L

Level-10, Zone-F, Adjacent to Room No: 10F-28L

Level-09:

Level-09, Zone-B, Adjacent to Room No: 09B-09L

Level-09, Zone-D, Adjacent to Room No: 09D-17C

Level-09, Zone-F, Adjacent to Room No: 09F-25L

Level-08:

Level-08, Zone-B, Adjacent to Room No: 08B-08C

Level-08, Zone-D, Adjacent to Room No: 08D-12C

Level-08, Zone-F, Adjacent to Room No: 08F-19C

Level-07:

Level-07, Block-F, Adjacent to Room No: 07F-22C

Level-07, Zone-D, Adjacent to Room No: 07D-19C

Facilities Tower:

Facilities Tower, 10th Floor, Waiting Room","Question (Banglish): Print korar jonno jaiga gula thik kon kon jaygay ache?
Answer (English): Level-12:

Level-12, Zone-B, Adjacent to Room No: 12B-15L

Level-12, Zone-D, Adjacent to Room No: 12D-25L

Level-12, Zone-F, Room No: 12F-31L

Level-12, Zone-F, Room No: 12F-32L

Level-11:

Level-11, Zone-A, Room No: 11A-03L

Level-11, Zone-B, Adjacent to Room No: 11B-15L

Level-11, Zone-B, Adjacent to Room No: 11B-16L

Level-11, Zone-D, Adjacent to Room No: 11D-27L

Level-11, Zone-F, Adjacent to Room No: 11F-34L

Level-10:

Level-10, Zone-B, Adjacent to Room No: 10B-11L

Level-10, Zone-D, Adjacent to Room No: 10D-22L

Level-10, Zone-F, Adjacent to Room No: 10F-28L

Level-09:

Level-09, Zone-B, Adjacent to Room No: 09B-09L

Level-09, Zone-D, Adjacent to Room No: 09D-17C

Level-09, Zone-F, Adjacent to Room No: 09F-25L

Level-08:

Level-08, Zone-B, Adjacent to Room No: 08B-08C

Level-08, Zone-D, Adjacent to Room No: 08D-12C

Level-08, Zone-F, Adjacent to Room No: 08F-19C

Level-07:

Level-07, Block-F, Adjacent to Room No: 07F-22C

Level-07, Zone-D, Adjacent to Room No: 07D-19C

Facilities Tower:

Facilities Tower, 10th Floor, Waiting Room

Question (Banglish): TARC cancel korte hole thik kon proshes follow korte hobe?
Answer (English): Valid reasons with all necessary information have to be submitted in the register office and also the signature of VC is necessary

Question (Banglish): Section change korte hole thik kon niyom follow korte hobe?
Answer (English): If you are already enrolled in a section then your request will be rejected by DCO due to the policies set by department.

Question (Banglish): CGPA ta thik kon niyome calculate kora hoy?
Answer (English): To calculate your CGPA, simply sum all your GPAs for each semester and divide it by the sum of the Total Credit Units (TCU) for each semester

Question (Banglish): TARC e student der kon kon course korte hoy? Details ta bolen.
Answer (English): Students have to complete BNG101,HUM101,EMB101 and ENG102/ENG101","The locations where printing can be done are:

Level-12, Zone-B, Adjacent to Room No: 12B-15L
Level-12, Zone-D, Adjacent to Room No: 12D-25L
Level-12, Zone-F, Room No: 12F-31L
Level-12, Zone-F, Room No: 12F-32L
Level-11, Zone-A, Room No: 11A-03L
Level-11, Zone-B, Adjacent to Room No: 11B-15L
Level-11, Zone-B, Adjacent to Room No: 11B-16L
Level-11, Zone-D, Adjacent to Room No: 11D-27L
Level-11, Zone-F, Adjacent to Room No: 11F-34L
Level-10, Zone-B, Adjacent to Room No: 10B-11L
Level-10, Zone-D, Adjacent to Room No: 10D-22L
Level-10, Zone-F, Adjacent to Room No: 10F-28L
Level-09, Zone-B, Adjacent to Room No: 09B-09L
Level-09, Zone-D, Adjacent to Room No: 09D-17C
Level-09, Zone-F, Adjacent to Room No: 09F-25L
Level-08, Zone-B, Adjacent to Room No: 08B-08C
Level-08, Zone-D, Adjacent to Room No: 08D-12C
Level-08, Zone-F, Adjacent to Room No: 08F-19C
Level-07, Block-F, Adjacent to Room No: 07F-22C
Level-07, Zone-D, Adjacent to Room No: 07D-19C
Facilities Tower, 10th Floor, Waiting Room",open_ended,linear,0.5,False,True,True,False,False,True,,0.0198,0.0000,52.4880,52.5080,2026-07-28T09:35:44.432719+00:00,0.0727,0.5848
BQ007,adaptive_novel,EEE Department kothay?,The EEE Department is located on the 4th floor and the labs are on 11th and 12th.,"Question (Banglish): EEE Department kothay?
Answer (English): The EEE Department is located on the 4th floor and the labs are on 11th and 12th.

Question (Banglish): EEE department er printing Lab kothay?
Answer (English): The EEE Department's printing lab is on 12B-17L

Question: Where is the EEE Department?
Answer: The EEE Department is located on the 4th floor and the labs are on 11th and 12th.

Question (Banglish): ENH Department kothay?
Answer (English): The ENH Department is located on the 5th floor.

Question: Where is EEE department's printing Lab?
Answer: The EEE Department's printing lab is on 12B-17L",The EEE Department is located on the 4th floor and the labs are on 11th and 12th.,open_ended,linear,0.5,False,True,True,False,False,True,,0.0170,0.0000,5.2044,5.2215,2026-07-28T09:35:49.654743+00:00,0.1615,1.0057
BQ008,adaptive_novel,Summer 2025 er Wishlist event er purpose ki?,To help plan course offerings based on student demand,"Question: Purpose of the Wishlist event for Summer 2025?
Answer: To help plan course offerings based on student demand

Question (Banglish): Summer 2025 er Wishlist event er purpose ki?
Answer (English): To help plan course offerings based on student demand

Question: Why is participation in the Wishlist event important?
Answer: Course offerings will be based on student demand collected from Wishlist submissions

Question (Banglish): Kon undergraduate program gula Wishlist event theke excluded?
Answer (English): LLB and PHR (Pharmacy) students are excluded from the Wishlist event, along with students eligible for the Residential Semester in the upcoming term.

Question: Purpose of the Course Wishlist feature in the Connect system?
Answer: Addition of preferred courses to a wishlist to secure seats as they become available while following university policies",The purpose of the Wishlist event for Summer 2025 is to help plan course offerings based on student demand.,open_ended,linear,0.5,False,True,True,False,False,True,,0.0164,0.0000,4.7456,4.7622,2026-07-28T09:35:54.417316+00:00,0.0116,0.6442
BQ009,adaptive_novel,Transport service e change hole student der kivabe janano hoy?,Students are informed through official BRAC University notices and announcements.,"Question (Banglish): Transport service e change hole student der kivabe janano hoy?
Answer (English): Students are informed through official BRAC University notices and announcements.

Question (Banglish): Student ra transport service ke kivabe contact korbe?
Answer (English): Students can contact the transport service via designated phone numbers.

Question: How are students informed about changes to the transport service?
Answer: Students are informed through official BRAC University notices and announcements.

Question (Banglish): Ashche semester gula te transport schedule change hobe ki?
Answer (English): The transport schedule is subject to change based on academic schedules and operational needs. Updated schedules will be communicated by the university.

Question (Banglish): Transport service kon kon din operate kore?
Answer (English): The service operates from Sunday to Thursday.",Students are informed through official BRAC University notices and announcements.,open_ended,linear,0.5,False,True,True,False,False,True,,0.0234,0.0000,3.8499,3.8735,2026-07-28T09:35:58.291234+00:00,0.4604,0.9964
BQ010,adaptive_novel,Ke Wishlist event e participate korte hobe?,"All undergraduate students attending upcoming, excluding RS-eligible students and LLB, PHR students","Question (Banglish): Ke Wishlist event e participate korte hobe?
Answer (English): All undergraduate students attending upcoming, excluding RS-eligible students and LLB, PHR students

Question (Banglish): Wishlist event e participate na korle ki consequence hoy?
Answer (English): Student will not be allowed to register during Pre-Registration Phase 1

Question (Banglish): Kon group er student der Wishlist event e participate korar requirement nei?
Answer (English): Students who are eligible for residential semester in the upcoming semester.

Question (Banglish): Wishlist event e participation kora keno eto important, seta ektu bujhiye bolben?
Answer (English): Course offerings will be based on student demand collected from Wishlist submissions

Question (Banglish): Wishlist event e course select korar por ki korte hobe?
Answer (English): Press the ""Confirm"" button within the assigned slot time","All undergraduate students attending the upcoming semester, excluding RS-eligible students and LLB, PHR students will be able to participate in the Wishlist event.",open_ended,linear,0.5,False,True,True,False,False,True,,0.0205,0.0000,5.5267,5.5474,2026-07-28T09:36:03.839363+00:00,0.2106,1.0217
