orig_id,para_id,category,split,orig_question,para_question,found_original_chunk_top5,rank_of_original_chunk,found_any_correct_answer_top5
16,110,Admission,val,Can PhD students in this joint program be based in Bangladesh rather than London?,"Not sure if this is covered elsewhere, but can PhD students in this joint program be based in Bangladesh rather than London?",True,1.0,True
46,105,Admission,val,Does BRAC University publish sample questions for the admission test?,"Kind of urgent, but does BRAC University publish sample questions for the admission test?",True,1.0,True
52,55,Admission,test,For further information regarding Admission who should I contact?,"Hey, for further information regarding Admission who should I contact?",True,1.0,True
66,138,Admission,val,How can I contact the BRAC University admissions office?,What steps do I need to follow to contact the BRAC University admissions office?,True,4.0,True
71,142,Admission,val,How can I pay the admission application fee?,What steps do I need to follow to pay the admission application fee?,True,2.0,True
77,59,Admission,val,How many semesters are offered yearly at BRACU and when do they start?,"Hi, how many semesters are offered yearly at BRACU and when do they start?",True,1.0,True
77,91,Admission,val,How many semesters are offered yearly at BRACU and when do they start?,I'm trying to plan when to apply - how often during the year can I actually start at BRACU?,True,2.0,True
78,101,Admission,test,"How many semesters does BRAC University run per year, and when do they start?","Just wondering, how many semesters does BRAC University run per year, and when do they start?",True,1.0,True
79,102,Admission,val,"How many total credits does the BSc in Computer Science (CS) program require, compared to BSc in CSE?","Just wondering, how many total credits does the BSc in Computer Science (CS) program require, compared to BSc in CSE?",True,1.0,True
96,89,Admission,test,Is there an application fee? How much is it?,"I wanted to ask, is there an application fee, How much is it?",True,2.0,True
119,22,Admission,test,What are the important dates and deadlines for admission?,Can you tell me what the important dates and deadlines for admission are?,True,2.0,True
120,23,Admission,test,What are the prerequisites for the Cse program?,Can you tell me what the prerequisites for the Cse program are?,True,2.0,True
126,19,Admission,val,What GPA do I need to be considered for the Engineering program?,Can someone help — what GPA do I need to be considered for the Engineering program?,True,1.0,True
128,20,Admission,test,What is 'Freshman Enrollment and Class Sign' at BRAC University?,Can you tell me what 'Freshman Enrollment and Class Sign' at BRAC University is?,True,2.0,True
144,51,Admission,val,"What subjects are tested for BSc programs like CSE, EEE, Physics, or Mathematics?","For a friend who's asking — what subjects are tested for BSc programs like CSE, EEE, Physics, or Mathematics?",True,1.0,True
145,57,Admission,test,"What subjects are tested for BSS in Anthropology, BA in English, and LLB admission?","Hey, what subjects are tested for BSS in Anthropology, BA in English, and LLB admission?",True,1.0,True
149,36,Admission,test,When is the next intake for the undergraduate program?,Do you know when is the next intake for the undergraduate program?,True,2.0,True
195,284,Advising,val,How can I contact with my advisor during advising?,What steps do I need to follow to contact with my advisor during advising?,True,2.0,True
225,181,Advising,val,Is there a confirmation button during Pre-Registration Phase 1 or Phase 2?,Does BRAC University have a confirmation button during Pre-Registration Phase 1 or Phase 2?,True,2.0,True
242,249,Advising,val,Official contact platform for questions or concerns regarding the new system?,Quick question — official contact platform for questions or concerns regarding the new system?,True,1.0,True
264,229,Advising,val,What happens if a student fails to confirm the Wishlist on time?,"Just wondering, what happens if a student fails to confirm the Wishlist on time?",True,1.0,True
272,168,Advising,test,What is the consequence of not participating in the Wishlist event?,Can you tell me what the consequence of not participating in the Wishlist event is?,True,2.0,True
