query_id,config,query,reference_answer,generated_answer,abstained,graph_augmented
Q105,graph_on,What is the full prerequisite chain for PHY112?,The full prerequisite chain for PHY112 is PHY111.,The full prerequisite chain for PHY112 is PHY111.,False,True
Q107,graph_on,What is the full prerequisite chain for CSE310?,The full prerequisite chain for CSE310 is CSE370-CSE221-CSE220-CSE111-CSE230-CSE110.,The full prerequisite chain for CSE310 is CSE370-CSE221-CSE220-CSE111-CSE230-CSE110.,False,True
Q109,graph_on,What is the full prerequisite chain for MAT216?,The full prerequisite chain for MAT216 is MAT120-MAT110.,The full prerequisite chain for MAT216 is MAT120-MAT110.,False,True
Q110,graph_on,What is the full prerequisite chain for CSE460?,The full prerequisite chain for CSE460 is CSE260-CSE251-CSE250-PHY112-PHY111.,The full prerequisite chain for CSE460 is CSE260-CSE251-CSE250.,False,True
Q113,graph_on,What is the full prerequisite chain for ENG102?,The full prerequisite chain for ENG102 is ENG101.,The full prerequisite chain for ENG102 is ENG101.,False,True
Q120,graph_on,What is the full prerequisite chain for CSE340?,The full prerequisite chain for CSE340 is CSE260-CSE251-CSE250-PHY112-PHY111.,The full prerequisite chain for CSE340 is CSE260-CSE251-CSE250.,False,True
Q121,graph_on,What is the full prerequisite chain for CSE471?,The full prerequisite chain for CSE471 is CSE370-CSE221-CSE220-CSE111-CSE230-CSE110.,The full prerequisite chain for CSE471 is CSE370-CSE221-CSE220-CSE111-CSE230-CSE110.,False,True
Q122,graph_on,What is the full prerequisite chain for CSE260?,The full prerequisite chain for CSE260 is CSE251-CSE250-PHY112-PHY111.,The full prerequisite chain for CSE260 is PHY112-PHY111-CSE250-CSE251.,False,True
Q124,graph_on,What is the full prerequisite chain for CSE341?,The full prerequisite chain for CSE341 is CSE340-CSE321-CSE260-CSE221-CSE251-CSE220-CSE250-CSE111-CSE230-PHY112-CSE110-PHY111.,The full prerequisite chain for CSE341 is CSE340-CSE321-CSE260-CSE221-CSE251-CSE220-CSE250-CSE111-CSE230-PHY112-CSE110-PHY111.,False,True
Q127,graph_on,What is the full prerequisite chain for CSE220?,The full prerequisite chain for CSE220 is CSE111-CSE230-CSE110.,The full prerequisite chain for CSE220 is CSE230-CSE111-CSE110.,False,True
Q129,graph_on,What is the full prerequisite chain for CSE421?,The full prerequisite chain for CSE421 is CSE320.,The full prerequisite chain for CSE421 is CSE320.,False,True
Q130,graph_on,What is the full prerequisite chain for CSE221?,The full prerequisite chain for CSE221 is CSE220-CSE111-CSE230-CSE110.,The full prerequisite chain for CSE221 is CSE220-CSE111-CSE230-CSE110.,False,True
Q105,graph_off,What is the full prerequisite chain for PHY112?,The full prerequisite chain for PHY112 is PHY111.,The full prerequisite chain for PHY112 is PHY111.,False,False
Q107,graph_off,What is the full prerequisite chain for CSE310?,The full prerequisite chain for CSE310 is CSE370-CSE221-CSE220-CSE111-CSE230-CSE110.,The full prerequisite chain for CSE310 is CSE370-CSE221-CSE220-CSE111-CSE110.,False,False
Q109,graph_off,What is the full prerequisite chain for MAT216?,The full prerequisite chain for MAT216 is MAT120-MAT110.,The full prerequisite chain for MAT216 is MAT110.,False,False
Q110,graph_off,What is the full prerequisite chain for CSE460?,The full prerequisite chain for CSE460 is CSE260-CSE251-CSE250-PHY112-PHY111.,The full prerequisite chain for CSE460 is CSE260-CSE251-CSE250.,False,False
Q113,graph_off,What is the full prerequisite chain for ENG102?,The full prerequisite chain for ENG102 is ENG101.,The full prerequisite chain for ENG102 is ENG101.,False,False
Q120,graph_off,What is the full prerequisite chain for CSE340?,The full prerequisite chain for CSE340 is CSE260-CSE251-CSE250-PHY112-PHY111.,The full prerequisite chain for CSE340 is CSE260-CSE251-CSE250.,False,False
Q121,graph_off,What is the full prerequisite chain for CSE471?,The full prerequisite chain for CSE471 is CSE370-CSE221-CSE220-CSE111-CSE230-CSE110.,The full prerequisite chain for CSE471 is CSE370-CSE221-CSE220-CSE111-CSE110.,False,False
Q122,graph_off,What is the full prerequisite chain for CSE260?,The full prerequisite chain for CSE260 is CSE251-CSE250-PHY112-PHY111.,The full prerequisite chain for CSE260 is CSE250.,False,False
Q124,graph_off,What is the full prerequisite chain for CSE341?,The full prerequisite chain for CSE341 is CSE340-CSE321-CSE260-CSE221-CSE251-CSE220-CSE250-CSE111-CSE230-PHY112-CSE110-PHY111.,The full prerequisite chain for CSE341 is CSE340 and CSE321.,False,False
Q127,graph_off,What is the full prerequisite chain for CSE220?,The full prerequisite chain for CSE220 is CSE111-CSE230-CSE110.,The full prerequisite chain for CSE220 is CSE230-CSE111-CSE110.,False,False
Q129,graph_off,What is the full prerequisite chain for CSE421?,The full prerequisite chain for CSE421 is CSE320.,The full prerequisite chain for CSE421 is CSE320.,False,False
Q130,graph_off,What is the full prerequisite chain for CSE221?,The full prerequisite chain for CSE221 is CSE220-CSE111-CSE230-CSE110.,"The full prerequisite chain for CSE221 is not explicitly stated in the retrieved context, as it only lists courses that have CSE221 as a prerequisite.",False,False
