id,Question,cluster_id,cluster_size
2244,Can you tell me who is the current Chancellor of BRAC University?,2296,10
2245,Can you tell me who is the current Vice-Chancellor of BRAC University?,2296,10
2256,I looked around the site but couldn't find it — who is the current Vice-Chancellor of BRAC University?,2296,10
2261,"Just wondering, who was BRAC University's first Vice-Chancellor?",2296,10
2263,"Kind of urgent, but who is the current Vice-Chancellor of BRAC University?",2296,10
2269,"Not sure if this is covered elsewhere, but who is the current Chancellor of BRAC University?",2296,10
2280,"This might be a silly question, but who was BRAC University's first Vice-Chancellor?",2296,10
2295,Who is the current Chancellor of BRAC University?,2296,10
2296,Who is the current Vice-Chancellor of BRAC University?,2296,10
2297,Who was BRAC University's first Vice-Chancellor?,2296,10
1832,"Hey, how do I change my BRACU G Suite email password?",1916,8
1835,"Hey, I forgot my BRACU G Suite email password. How can I reset it?",1916,8
1841,"Hi, I forgot my BRACU G Suite email password. How can I reset it?",1916,8
1850,How do I change my BRACU G Suite email password?,1916,8
1860,I forgot my BRACU G Suite email password. How can I reset it?,1916,8
1917,"Sorry if this was already answered, but I forgot my BRACU G Suite email password. How can I reset it?",1916,8
1922,"This might be a silly question, but how do I change my BRACU G Suite email password?",1916,8
1941,What's the process to change my BRACU G Suite email password?,1916,8
767,Before I forget to ask — is there any scholarship scheme for international students?,1337,7
815,"Hi, is there any scholarship scheme for international students?",1337,7
840,Is there any scholarship scheme for international students?,1337,7
848,"Kind of urgent, but is there any scholarship scheme for international students?",1337,7
1199,Are there scholarships specifically for international students?,1337,7
1224,Curious about something: which Scholarships are available for International Students?,1337,7
1338,Which Scholarships are available for International Students?,1337,7
765,"Before I forget to ask — how much it will cost for accomodation, food and transportation fee for international students?",858,6
784,"Curious about something: how much it will cost for accomodation, food and transportation fee for international students?",858,6
823,"How much it will cost for accomodation, food and transportation fee for international students?",858,6
828,"I looked around the site but couldn't find it — how much it will cost for accomodation, food and transportation fee for international students?",858,6
845,"Just wondering, how much it will cost for accomodation, food and transportation fee for international students?",858,6
859,"No idea if this is written down anywhere — how much it will cost for accomodation, food and transportation fee for international students?",858,6
771,Can someone help — does BRAC University have partnerships that let international students transfer in from abroad mid-degree?,862,6
797,Does BRAC University have partnerships that let international students transfer in from abroad mid-degree?,862,6
806,"Hey, does BRAC University have partnerships that let international students transfer in from abroad mid-degree?",862,6
826,I looked around the site but couldn't find it — does BRAC University have partnerships that let international students transfer in from abroad mid-degree?,862,6
844,"Just wondering, does BRAC University have partnerships that let international students transfer in from abroad mid-degree?",862,6
863,"Not sure if this is covered elsewhere, but does BRAC University have partnerships that let international students transfer in from abroad mid-degree?",862,6
762,Are international students required to attend the Residential Semester like local students?,883,6
812,"Hi, are international students required to attend the Residential Semester like local students?",883,6
824,I looked around the site but couldn't find it — are international students required to attend the Residential Semester like local students?,883,6
831,"I wanted to ask, are international students required to attend the Residential Semester like local students?",883,6
869,One thing I couldn't find anywhere: are international students required to attend the Residential Semester like local students?,883,6
884,"Random question, are international students required to attend the Residential Semester like local students?",883,6
764,Before I forget to ask — how many credit hours must a scholarship-holding international student take each semester?,886,6
783,Curious about something: how many credit hours must a scholarship-holding international student take each semester?,886,6
791,Do you know how many credit hours must a scholarship-holding international student take each semester?,886,6
822,How many credit hours must a scholarship-holding international student take each semester?,886,6
833,"I wanted to ask, how many credit hours must a scholarship-holding international student take each semester?",886,6
887,"Random question, how many credit hours must a scholarship-holding international student take each semester?",886,6
770,Can someone help — does BRAC University have a dedicated office for international students?,889,6
779,Curious about something: does BRAC University have a dedicated office for international students?,889,6
793,Does BRAC University have a dedicated office for international students?,889,6
805,"Hey, does BRAC University have a dedicated office for international students?",889,6
854,"New student here, does BRAC University have a dedicated office for international students?",889,6
890,"Sorry if this was already answered, but does BRAC University have a dedicated office for international students?",889,6
772,Can someone help — does BRACU provide accomodation for international students?,890,6
780,Curious about something: does BRACU provide accomodation for international students?,890,6
798,Does BRACU provide accomodation for international students?,890,6
813,"Hi, does BRACU provide accomodation for international students?",890,6
