query_id,config,query,reference_answer,retrieved_context,generated_answer,route,fusion,lambda,abstained,graph_augmented,retrieval_s,rerank_s,generation_s,total_s,timestamp,query_confidence,bleu,rougeL,meteor,bertscore
Q001,adaptive_novel,Am I allowed to take a course on a Pass/Fail basis instead of a letter grade?,"Yes, with conditions: the course instructor must approve the Pass/Fail option, the student must be carrying at least 12 credits for regular letter grades that same semester, no more than 4 credits can be taken Pass/Fail in any one semester, and a maximum of 16 credits total may be taken under the Pass/Fail option across a degree.","Question: Am I allowed to take a course on a Pass/Fail basis instead of a letter grade?
Answer: Yes, with conditions: the course instructor must approve the Pass/Fail option, the student must be carrying at least 12 credits for regular letter grades that same semester, no more than 4 credits can be taken Pass/Fail in any one semester, and a maximum of 16 credits total may be taken under the Pass/Fail option across a degree.

Question: Can I take a course on a Pass/Fail basis instead of a letter grade?
Answer: Yes, with conditions: the course instructor must approve the Pass/Fail option, the student must be carrying at least 12 credits for regular letter grades that same semester, no more than 4 credits can be taken Pass/Fail in any one semester, and a maximum of 16 credits total may be taken under the Pass/Fail option across a degree.

Question: Hey, can I take a course on a Pass/Fail basis instead of a letter grade?
Answer: Yes, with conditions: the course instructor must approve the Pass/Fail option, the student must be carrying at least 12 credits for regular letter grades that same semester, no more than 4 credits can be taken Pass/Fail in any one semester, and a maximum of 16 credits total may be taken under the Pass/Fail option across a degree.

Question (Banglish): Letter grade er bodole ami ki course ta Pass/Fail basis e nite parbo?
Answer (English): Yes, with conditions: the course instructor must approve the Pass/Fail option, the student must be carrying at least 12 credits for regular letter grades that same semester, no more than 4 credits can be taken Pass/Fail in any one semester, and a maximum of 16 credits total may be taken under the Pass/Fail option across a degree.

Question: I looked around the site but couldn't find it — does a Pass/Fail grade or a Satisfactory/Unsatisfactory grade count toward Dean's List or VC's List eligibility credits?
Answer: No. Dean's List and VC's List eligibility is calculated only from credits with regular letter grades; Pass/Fail and Satisfactory/Unsatisfactory graded credits are excluded from that count.","Yes, with conditions: the course instructor must approve the Pass/Fail option, the student must be carrying at least 12 credits for regular letter grades that same semester, no more than 4 credits can be taken Pass/Fail in any one semester, and a maximum of 16 credits total may be taken under the Pass/Fail option across a degree.",open_ended,linear,0.5,False,False,0.0954,0.1252,11.1237,11.3444,2026-07-26T17:54:33.881296+00:00,0.0413,1.0,1.0,0.9999980003759293,0.9999999403953552
Q002,adaptive_novel,"Just wondering, which undergraduate programs have the lowest total credit requirements at BRAC University?","Programs like BSS in Anthropology, BSS in Economics, and BA in English have some of the lowest total credit requirements among BRACU's undergraduate offerings, generally around 120 credits.","Question: Just wondering, which undergraduate programs have the lowest total credit requirements at BRAC University?
Answer: Programs like BSS in Anthropology, BSS in Economics, and BA in English have some of the lowest total credit requirements among BRACU's undergraduate offerings, generally around 120 credits.

Question: Which undergraduate programs have the lowest total credit requirements at BRAC University?
Answer: Programs like BSS in Anthropology, BSS in Economics, and BA in English have some of the lowest total credit requirements among BRACU's undergraduate offerings, generally around 120 credits.

Question (Banglish): BRAC University er kon undergraduate program gula te total credit requirement shobcheye kom?
Answer (English): Programs like BSS in Anthropology, BSS in Economics, and BA in English have some of the lowest total credit requirements among BRACU's undergraduate offerings, generally around 120 credits.

Question: Which undergraduate program at BRAC University has the highest total credit requirement?
Answer: Among standard undergraduate programs, Bachelor of Architecture has the highest total credit requirement at 207 credits, followed by Bachelor of Pharmacy at 164 credits.

Question: I wanted to ask, which undergraduate program at BRAC University has the highest total credit requirement?
Answer: Among standard undergraduate programs, Bachelor of Architecture has the highest total credit requirement at 207 credits, followed by Bachelor of Pharmacy at 164 credits.","Programs like BSS in Anthropology, BSS in Economics, and BA in English have some of the lowest total credit requirements among BRACU's undergraduate offerings, generally around 120 credits.",open_ended,linear,0.5,False,False,0.0269,0.1355,7.0644,7.2268,2026-07-26T17:54:41.109164+00:00,0.0561,1.0,1.0,0.9999860867629463,0.9999999403953552
Q003,adaptive_novel,"Kind of urgent, but can you recommend a good laptop for engineering students?",That's not something I can speak to from BRAC University's official information. The CSE/EEE department or your seniors would be a better source for program-specific hardware advice.,"Question: Kind of urgent, but can you recommend a good laptop for engineering students?
Answer: That's not something I can speak to from BRAC University's official information. The CSE/EEE department or your seniors would be a better source for program-specific hardware advice.

Question: Can you recommend a good laptop for engineering students?
Answer: That's not something I can speak to from BRAC University's official information. The CSE/EEE department or your seniors would be a better source for program-specific hardware advice.

Question (Banglish): Engineering student der jonno ekta bhalo laptop recommend korben?
Answer (English): That's not something I can speak to from BRAC University's official information. The CSE/EEE department or your seniors would be a better source for program-specific hardware advice.

Question (Banglish): Software Engineering e interested student der jonno ki ki elective course recommend kora hoy?
Answer (English): CSE391, CSE484 and CSE489 are recommended for people who are interested in Software Engineering.

Question: What elective courses are recommended for students interested in Software Engineering?
Answer: CSE391, CSE484 and CSE489 are recommended for people who are interested in Software Engineering.",That's not something I can speak to from BRAC University's official information. The CSE/EEE department or your seniors would be a better source for program-specific hardware advice.,open_ended,linear,0.5,False,False,0.0246,0.0911,6.5569,6.6726,2026-07-26T17:54:47.782539+00:00,0.1308,1.0,1.0,0.9999832164076399,1.0
Q004,adaptive_novel,"Kind of urgent, but what is the Digital Scholarship Lab at the Ayesha Abed Library?","The Digital Scholarship Lab is a dedicated space within the library used for research-support sessions, such as plagiarism-check/Turnitin training and other digital research-skills workshops for students and faculty.","Question: Kind of urgent, but what is the Digital Scholarship Lab at the Ayesha Abed Library?
Answer: The Digital Scholarship Lab is a dedicated space within the library used for research-support sessions, such as plagiarism-check/Turnitin training and other digital research-skills workshops for students and faculty.

Question: What is the Digital Scholarship Lab at the Ayesha Abed Library?
Answer: The Digital Scholarship Lab is a dedicated space within the library used for research-support sessions, such as plagiarism-check/Turnitin training and other digital research-skills workshops for students and faculty.

Question: Not sure if this is covered elsewhere, but what is the Digital Scholarship Lab at the Ayesha Abed Library?
Answer: The Digital Scholarship Lab is a dedicated space within the library used for research-support sessions, such as plagiarism-check/Turnitin training and other digital research-skills workshops for students and faculty.

Question: Hi, what is the Digital Scholarship Lab at the Ayesha Abed Library?
Answer: The Digital Scholarship Lab is a dedicated space within the library used for research-support sessions, such as plagiarism-check/Turnitin training and other digital research-skills workshops for students and faculty.

Question: Can you tell me what the Digital Scholarship Lab at the Ayesha Abed Library is?
Answer: The Digital Scholarship Lab is a dedicated space within the library used for research-support sessions, such as plagiarism-check/Turnitin training and other digital research-skills workshops for students and faculty.","The Digital Scholarship Lab at the Ayesha Abed Library is a dedicated space within the library used for research-support sessions, such as plagiarism-check/Turnitin training and other digital research-skills workshops for students and faculty.",open_ended,linear,0.5,False,False,0.0285,0.1289,7.4246,7.5821,2026-07-26T17:54:55.365934+00:00,0.1137,0.8036431532733102,0.927536231884058,0.9831147540983608,0.9820877909660339
Q005,adaptive_novel,"Are journals, magazines and reference books available for borrowing?","No. Journals, magazines, newspapers, and items in the reference collection are for in-library use only and cannot be checked out.","Question: Are journals, magazines and reference books available for borrowing?
Answer: No. Journals, magazines, newspapers, and items in the reference collection are for in-library use only and cannot be checked out.

Question: Quick question — are journals, magazines and reference books available for borrowing?
Answer: No. Journals, magazines, newspapers, and items in the reference collection are for in-library use only and cannot be checked out.

Question: This might be a silly question, but are journals, magazines and reference books available for borrowing?
Answer: No. Journals, magazines, newspapers, and items in the reference collection are for in-library use only and cannot be checked out.

Question: Just wondering, are journals, magazines and reference books available for borrowing?
Answer: No. Journals, magazines, newspapers, and items in the reference collection are for in-library use only and cannot be checked out.

Question: For a friend who's asking — are journals, magazines and reference books available for borrowing?
Answer: No. Journals, magazines, newspapers, and items in the reference collection are for in-library use only and cannot be checked out.",I don't have reliable information retrieved for this question. Please check with your academic advisor or BRAC University's official resources rather than relying on a guess here.,open_ended,linear,0.5,True,False,0.0231,0.0739,0.0,0.097,2026-07-26T17:54:55.461888+00:00,0.0073,0.007939087147543497,0.08,0.07547169811320756,0.8383979201316833
Q006,adaptive_novel,"Quick question — what are the Dean's List and Vice-Chancellor's (VC's) List, and how do I qualify?","The Dean's List and VC's List recognize outstanding semester performance. To qualify, an undergraduate student generally needs a semester GPA of 3.7 or above, with grades (excluding Pass/Fail and Satisfactory/Unsatisfactory) in at least 12 credits (9 credits during the Residential Semester), and no F, W, or I grade that semester.","Question: Quick question — what are the Dean's List and Vice-Chancellor's (VC's) List, and how do I qualify?
Answer: The Dean's List and VC's List recognize outstanding semester performance. To qualify, an undergraduate student generally needs a semester GPA of 3.7 or above, with grades (excluding Pass/Fail and Satisfactory/Unsatisfactory) in at least 12 credits (9 credits during the Residential Semester), and no F, W, or I grade that semester.

Question: What are the Dean's List and Vice-Chancellor's (VC's) List, and how do I qualify?
Answer: The Dean's List and VC's List recognize outstanding semester performance. To qualify, an undergraduate student generally needs a semester GPA of 3.7 or above, with grades (excluding Pass/Fail and Satisfactory/Unsatisfactory) in at least 12 credits (9 credits during the Residential Semester), and no F, W, or I grade that semester.

Question: New student here, what are the Dean's List and Vice-Chancellor's (VC's) List, and how do I qualify?
Answer: The Dean's List and VC's List recognize outstanding semester performance. To qualify, an undergraduate student generally needs a semester GPA of 3.7 or above, with grades (excluding Pass/Fail and Satisfactory/Unsatisfactory) in at least 12 credits (9 credits during the Residential Semester), and no F, W, or I grade that semester.

Question (Banglish): Dean's List ar Vice-Chancellor's (VC's) List ta ki, ar ami kivabe qualify korbo?
Answer (English): The Dean's List and VC's List recognize outstanding semester performance. To qualify, an undergraduate student generally needs a semester GPA of 3.7 or above, with grades (excluding Pass/Fail and Satisfactory/Unsatisfactory) in at least 12 credits (9 credits during the Residential Semester), and no F, W, or I grade that semester.

Question: Before I forget to ask — does a Pass/Fail grade or a Satisfactory/Unsatisfactory grade count toward Dean's List or VC's List eligibility credits?
Answer: No. Dean's List and VC's List eligibility is calculated only from credits with regular letter grades; Pass/Fail and Satisfactory/Unsatisfactory graded credits are excluded from that count.","The Dean's List and VC's List recognize outstanding semester performance. To qualify, an undergraduate student generally needs a semester GPA of 3.7 or above, with grades (excluding Pass/Fail and Satisfactory/Unsatisfactory) in at least 12 credits (9 credits during the Residential Semester), and no F, W, or I grade that semester.",open_ended,linear,0.5,False,False,0.0366,0.1502,11.5635,11.7504,2026-07-26T17:55:07.214882+00:00,0.0373,1.0,1.0,0.9999980003759293,1.0
Q007,adaptive_novel,Where can I find the nearest ATM from the reception?,"The nearest ATM is at Brac Bank, located on the Ground Floor between the manual barrier and lift lobby entries.","Question: Where can I find the nearest ATM from the reception?
Answer: The nearest ATM is at Brac Bank, located on the Ground Floor between the manual barrier and lift lobby entries.

Question: Where is the nearest ATM from the reception?
Answer: The nearest ATM is at Brac Bank, located on the Ground Floor between the manual barrier and lift lobby entries.

Question (Banglish): Reception theke shobcheye kach er ATM kothay?
Answer (English): The nearest ATM is at Brac Bank, located on the Ground Floor between the manual barrier and lift lobby entries.

Question: Where can I find an ATM on campus?
Answer: Ground Floor, Between manual barrier and lift lobby entries

Question: Where is the Reception located?
Answer: Ground Floor, Between the Manual Barrier(1st escalator) and the lift lobby(2nd escalator).","The nearest ATM is at Brac Bank, located on the Ground Floor between the manual barrier and lift lobby entries.",open_ended,linear,0.5,False,False,0.0206,0.0771,5.0926,5.1903,2026-07-26T17:55:12.405804+00:00,0.0805,1.0,1.0,0.9999530428249437,0.9999998807907104
Q008,adaptive_novel,"Before I forget to ask — what is BRAC University's Board of Trustees, and how many members does it have?","The Board of Trustees is BRAC University's highest policy-making body and has 12 members, one of whom is the Vice-Chancellor.","Question: Before I forget to ask — what is BRAC University's Board of Trustees, and how many members does it have?
Answer: The Board of Trustees is BRAC University's highest policy-making body and has 12 members, one of whom is the Vice-Chancellor.

Question: For a friend who's asking — what is BRAC University's Board of Trustees, and how many members does it have?
Answer: The Board of Trustees is BRAC University's highest policy-making body and has 12 members, one of whom is the Vice-Chancellor.

Question: What is BRAC University's Board of Trustees, and how many members does it have?
Answer: The Board of Trustees is BRAC University's highest policy-making body and has 12 members, one of whom is the Vice-Chancellor.

Question (Banglish): BRAC University er Board of Trustees ta ki, ar ete koyjon member ache?
Answer (English): The Board of Trustees is BRAC University's highest policy-making body and has 12 members, one of whom is the Vice-Chancellor.

Question: Roughly how many students and academic staff does BRAC University have?
Answer: As of recent figures, BRAC University has over 20,000 students in total (around 17,000+ undergraduates and 3,000+ postgraduates) and roughly 649 academic staff.","The Board of Trustees is BRAC University's highest policy-making body and has 12 members, one of whom is the Vice-Chancellor.",open_ended,linear,0.5,False,False,0.0302,0.1525,5.6563,5.839,2026-07-26T17:55:18.245355+00:00,0.1114,1.0,1.0,0.999958905235473,0.9999999403953552
Q009,adaptive_novel,What are the operating hours of the BRAC University Medical Center?,"The main (Badda/Dhaka) Medical Center operates from 8:30 AM to 8:30 PM. The Savar Residential Campus Medical Centre, located in the Sulla Building, provides services 24/7.","Question: What are the operating hours of the BRAC University Medical Center?
Answer: The main (Badda/Dhaka) Medical Center operates from 8:30 AM to 8:30 PM. The Savar Residential Campus Medical Centre, located in the Sulla Building, provides services 24/7.

Question (Banglish): BRAC University Medical Center koto shomoy khola thake?
Answer (English): The main (Badda/Dhaka) Medical Center operates from 8:30 AM to 8:30 PM. The Savar Residential Campus Medical Centre, located in the Sulla Building, provides services 24/7.

Question: On which days does the BRAC University transport service run?
Answer: The service generally runs on university working days (historically Sunday-Thursday; more recent schedules list Saturday-Thursday), excluding weekends, government holidays, semester breaks, and periods of fully online classes.

Question: Hi, what services does the BRAC University Medical Center provide?
Answer: The Medical Center offers emergency medical services and free consultations/medicine to students and employees, health checkups with an official Health Card, referrals to partner hospitals for emergencies, ambulance support, and workshops on reproductive health and family planning, among other services.

Question (Banglish): BRAC University te student der jonno ki medical center ache?
Answer (English): Yes, BRAC University's Student Life section lists a Medical Center that provides healthcare services to students on campus, in addition to the medical facilities available at the Savar Residential Campus.","The main (Badda/Dhaka) Medical Center operates from 8:30 AM to 8:30 PM. The Savar Residential Campus Medical Centre, located in the Sulla Building, provides services 24/7.",open_ended,linear,0.5,False,False,0.0258,0.097,7.7469,7.8698,2026-07-26T17:55:26.116297+00:00,0.2684,1.0,1.0,0.9999847412109375,1.0
Q010,adaptive_novel,"Kind of urgent, but how is the attendance component of my RS grade calculated?","Attendance is graded separately from academic performance during the Residential Semester; each unexcused absence results in a deduction from the attendance marks (historically around 0.5 marks per absence), on top of the general 90% attendance requirement to sit the final exam.","Question: Kind of urgent, but how is the attendance component of my RS grade calculated?
Answer: Attendance is graded separately from academic performance during the Residential Semester; each unexcused absence results in a deduction from the attendance marks (historically around 0.5 marks per absence), on top of the general 90% attendance requirement to sit the final exam.

Question: This might be a silly question, but how is the attendance component of my RS grade calculated?
Answer: Attendance is graded separately from academic performance during the Residential Semester; each unexcused absence results in a deduction from the attendance marks (historically around 0.5 marks per absence), on top of the general 90% attendance requirement to sit the final exam.

Question: How is the attendance component of my RS grade calculated?
Answer: Attendance is graded separately from academic performance during the Residential Semester; each unexcused absence results in a deduction from the attendance marks (historically around 0.5 marks per absence), on top of the general 90% attendance requirement to sit the final exam.

Question (Banglish): Amar RS grade er attendance part ta kivabe calculate hoy?
Answer (English): Attendance is graded separately from academic performance during the Residential Semester; each unexcused absence results in a deduction from the attendance marks (historically around 0.5 marks per absence), on top of the general 90% attendance requirement to sit the final exam.

Question: This might be a silly question, but what attendance percentage is required to sit for the final exams during RS?
Answer: Students must attend at least 90 percent of classes to be eligible to sit for the final examinations at the Residential Campus.","Each unexcused absence results in a deduction from the attendance marks (historically around 0.5 marks per absence), on top of the general 90% attendance requirement to sit the final exam.",open_ended,linear,0.5,False,False,0.0284,0.1113,7.2497,7.3894,2026-07-26T17:55:33.506306+00:00,0.1083,0.7097395956891256,0.8493150684931507,0.7641832278763033,0.9659647941589355
