query_id,config,lambda,query,reference_answer,retrieved_context,generated_answer,retrieval_s,generation_s,total_s,timestamp
Q001,full_hybrid,0.5,What is the function of the Proctor's Office?,The Proctor's Office oversees academic integrity and student conduct during examinations.,"What is the function of the Proctor's Office?
The Proctor's Office oversees academic integrity and student conduct during examinations.

What is the function of the Security Supervisor Office?
To check student IDs and monitor the entry and exit of all workers.

What is located on the 4th Floor?
Chancellery, Registry, Finance & Accounts, HR, Proctor's Office, BSRM School of Engineering, School of Data and Sciences, CSE, MNS, and School of Law.

his office.

d from the OCA office.

•Projector-Screen will also be provided from the OCA office.",The function of the Proctor's Office is to oversee academic integrity and student conduct during examinations.,0.2009,2.5229,2.7238,2026-07-24T06:48:48.060394+00:00
Q002,full_hybrid,0.5,"How many credits are required for each category of courses (core, electives, general education) in the CSE program?","A total of 136 credits must be completed for the CSE program where 39 credits belong to General Education or University Core, 12 credits belong to School Core, 75 credits belong to Program Core, 6 credits belong to Program Elective and 4 credits belong to Project/ Internship/ Thesis.","How many credits are required for each category of courses (core, electives, general education) in the CSE program?
A total of 136 credits must be completed for the CSE program where 39 credits belong to General Education or University Core, 12 credits belong to School Core, 75 credits belong to Program Core, 6 credits belong to Program Elective and 4 credits belong to Project/ Internship/ Thesis.

What are the specific core courses required for the CSE program?
The specific program core courses for CSE are CSE 110 / CSE 161 + CSE 162 L / EEE/ECE103 + EEE/ECE103 L, CSE 111, CSE 220, CSE 221, CSE 230, CSE 250, CSE 251, CSE 260 / EEE/ECE 283 + EEE/ECE 283L /EEE 301 + EEE 302, CSE 320, CSE 321, CSE 330, CSE 331, CSE 340, CSE 341, CSE 350, CSE 360, CSE 370, CSE 420, CSE 421, CSE 422, CSE 423, CSE 460, CSE 461, CSE 470, CSE 471 Please follow the latest degree plan of CSE: https://docs.google.co

Are there any non-credit courses required for the CSE program?
There are 2 non-credit courses that are assigned to prepare students for upcoming credit courses. These courses are assigned if the student's performance was not satisfactory during the admission test. The non-credit courses are: ENG 091:  Foundation Course in English  and MAT 092: Remedial Course in Mathematics.

How many courses can a final thesis/project/intern student take?
A maximum of 3 courses in addition to the thesis/project (CSE 400).

How many credits I am allowed to take?
If your CGPA is 3.5 or above you can take a minimum of 15 credits per semster otherwise 12.","According to the retrieved context:

* General Education/University Core: 39 credits
* School Core: 12 credits
* Program Core: 75 credits
* Program Elective: 6 credits
* Project/Internship/Thesis: 4 credits

Note that there is no specific breakdown for ""core"" and ""electives"", as the category labels seem to be somewhat redundant (e.g. ""Program Core"" includes courses that are likely considered both core and program-specific).",0.0109,3.5705,3.5814,2026-07-24T06:48:51.642128+00:00
Q003,full_hybrid,0.5,How many credits I am allowed to take?,If your CGPA is 3.5 or above you can take a minimum of 15 credits per semster otherwise 12.,"How many credits I am allowed to take?
If your CGPA is 3.5 or above you can take a minimum of 15 credits per semster otherwise 12.

How many credits I am allowed to take as I am a probation student?
It depends on your advisor. Either 6 or 9. You will not ne allowed to take 12.

Is a student allowed to take less than 9 credits?
Preferably NOT. USIS should prohibit from approving such students.

However, if those courses are their last semester's only remaining courses, then please fill up the special approval form.""

How many credit thesis/intership hold?
Thesis/Intership contains a total of 4 credits. 

Can a student take CSE400 and other courses together if their advisor says they’ve reached the credit limit?
Yes, they can do that. Without CSE400, your credit limit should be 12. If your CGPA is 3.5+ you can take 15 credits with CSE400 and then your credit turns out be 19. If your CGPA is less than 3.5 then you can take 12 credits and if you take CSE400 with those 12 credits, it becomes 16.","It depends on your situation. 

If your CGPA is 3.5 or above, you are allowed to take a minimum of 15 credits per semester.
If your CGPA is below 3.5 and you're a probation student, the number of credits you can take may be either 6 or 9 (check with your advisor), but not 12.

Please note that I couldn't find a definitive answer to how many credits you are allowed to take in general.",0.0106,3.5617,3.5723,2026-07-24T06:48:55.214647+00:00
Q004,full_hybrid,0.5,"What is the process for participating in international competitions, tours, or events?","To participate in international events, submit a proposal to the OCA, including a detailed budget and required documents. The proposal needs approval from the Director of OCA, Director of Finance/Treasurer, and finally, the VC/Pro-VC. The proposal should include your contributions to the club, membership details, CGPA, reasons for attending, how the experience will benefit BRACU students, and whether you’ve traveled abroad before. Additionally, attach a letter of approval from the club advisor and president. A selection committee may be formed for certain events. After returning, a session must be arranged to share the experience and learning.","What is the process for participating in international competitions, tours, or events?
To participate in international events, submit a proposal to the OCA, including a detailed budget and required documents. The proposal needs approval from the Director of OCA, Director of Finance/Treasurer, and finally, the VC/Pro-VC. The proposal should include your contributions to the club, membership details, CGPA, reasons for attending, how the experience will benefit BRACU students, and whether you’ve tr

What is the process for organizing club outdoor activities or study tours?
Study tours must align with the club's objectives and require approval from the Registrar through the Director of OCA. Tours should take place during semester breaks and are funded by the club budget. Food costs are allocated at Tk. 200 per day for one-day trips and Tk. 1,000 per day for longer trips. Advisors and co-advisors must accompany students. A Parent Consent Form (signed by guardians) and a list of students with 

How to Apply to Organize Online club events?
Student Organizations (clubs/societies) may organize online events:

1. Clubs/Societies will plan student activities on online platforms

2. The official time of the programs will be: a. 11 am to 9 pm

3. Must submit the proposal by email before 10 working days of the event to student_org@bracu.ac.bd and cc to <club advisor/co-advisor>

4. In the proposal, club must provide the following information:

• Specific Topic or Objective
• Online Platform (F

How to apply for club outdoor activites or tour?
1. The purpose of study tours has to be relevant to the club activities and objectives.

2. Approval from the Registrar through the Director of OCA is required for conducting the tour.

3. Tours are to be conducted during the semester break.

4. Study tour expenses are covered by the club budget.

5. One-day trip: Food cost Tk.200/- per day per person will be allocated

6. Long trips: If more than one day, food cost Tk.1,000/- per day pe

will benefit BRACU students, and whether you’ve traveled abroad before. Additionally, attach a letter of approval from the club advisor and president. A selection committee may be formed for certain events. After returning, a session must be arranged to share the experience and learning.","To participate in international events, submit a proposal to the OCA, including a detailed budget and required documents. The proposal needs approval from the Director of OCA, Director of Finance/Treasurer, and finally, the VC/Pro-VC. 

The proposal should include your contributions to the club, membership details, CGPA, reasons for attending, how the experience will benefit BRACU students, and whether you’ve traveled abroad before. Additionally, attach a letter of approval from the club advisor and president.

A selection committee may be formed for certain events. After returning, a session must be arranged to share the experience and learning.",0.0082,8.3320,8.3402,2026-07-24T06:49:03.555178+00:00
Q005,full_hybrid,0.5,What are the eligibility criteria for receiving financial aid?,"BRAC University offers financial aid to students based on demonstrated financial need. Financial aid eligibility is reassessed regularly, and students may need to maintain satisfactory academic performance. Special consideration may be given to students from disadvantaged backgrounds or those facing extraordinary circumstances. The Financial Aid Office can provide more detailed information on the application process.","What are the eligibility criteria for receiving financial aid?
BRAC University offers financial aid to students based on demonstrated financial need. Financial aid eligibility is reassessed regularly, and students may need to maintain satisfactory academic performance. Special consideration may be given to students from disadvantaged backgrounds or those facing extraordinary circumstances. The Financial Aid Office can provide more detailed information on the application process.

scholarships/financial aid are not required to apply further. If they fulfill all the conditions of the scholarship, they will be awarded automatically. 

4. If the scholarship /financial aid of a student is discontinued for one or more than one semester, s/he needs to re-apply through BracU prescribed form after fulfilling the eligibility criteria.

How can students apply for financial aid?
To apply for financial aid at BRAC University, students should start by confirming their eligibility by reviewing the criteria provided on the university's website or contacting the financial aid office. Next, they need to gather all required documents, such as income certificates and academic records. After preparing the necessary paperwork, students should complete and submit the financial aid application form by the specified deadline.

What are the requirements for maintaining financial aid eligibility?
At BRAC University, students must maintain a minimum CGPA of 3.25, be enrolled full-time, meet satisfactory academic progress, follow the code of conduct, and sometimes demonstrate ongoing financial need to maintain financial aid eligibility.


Is there any separate exam for awarding Scholarship/Financial Aid?
There is no separate exam for Scholarship/Financial Aid.","BRAC University offers financial aid to students based on demonstrated financial need. Financial aid eligibility is reassessed regularly, and students may need to maintain satisfactory academic performance. Special consideration may be given to students from disadvantaged backgrounds or those facing extraordinary circumstances. The university also has specific minimum requirements for maintaining financial aid eligibility, including a minimum CGPA of 3.25, full-time enrollment, meeting satisfactory academic progress, following the code of conduct, and sometimes demonstrating ongoing financial need.",0.0077,3.5745,3.5822,2026-07-24T06:49:07.137586+00:00
Q006,full_hybrid,0.5,Are there any additional fees for taking a make-up exam?,"Yes, at BRAC University, there is typically a fee associated with taking a make-up exam. Students are required to pay this fee, which covers administrative costs related to scheduling and conducting the make-up exam. The fee amount and payment procedures can vary, so it is important for students to check with the Registrar’s Office or the Accounts Office for specific details regarding the fee amount and payment process.","Are there any additional fees for taking a make-up exam?
Yes, at BRAC University, there is typically a fee associated with taking a make-up exam. Students are required to pay this fee, which covers administrative costs related to scheduling and conducting the make-up exam. The fee amount and payment procedures can vary, so it is important for students to check with the Registrar’s Office or the Accounts Office for specific details regarding the fee amount and payment process.

What is the procedure to apply for a make-up exam if a student misses an exam due to illness?
Students must apply for a makeup exam within 10 days from the day of the exam .To apply for a make-up exam at BRAC University, students should first collect the make-up exam request form from the Registrar’s Office. If the absence was due to illness, they need to have their medical certificate and health card verified at the BRACU Medical Center. Following this, students must obtain approval from the co

ip fee of BDT 2,500. Depending on the specific courses, students might incur additional lab fees, although these are generally included within the course fees for most programs​

Are there any additional fees apart from tuition?
In addition to the tuition fees for the Computer Science and Engineering (CSE) program at BRAC University, students are required to pay several additional fees. These include a one-time, non-refundable admission fee of BDT 30,800 and a semester fee of BDT 11,500, which covers essential services such as IT facilities, library access, and student activities. There is also a one-time library membership fee of BDT 2,500. Depending on the specific cou

How to collect payment clearance from Finance and Accounts department for the Makeup exam?
Take approval from the Dean/Chair.

1. Make payment of Tk.3,000 for each course as a make-up exam fee at BRAC Bank (any branch) or IFIC Bank (Mohakhali branch) through prescribed manual payslip.

2. Bring your payment slip and duly filled form with departmental approval in the Finance and Accounts department to take payment clearance.

This form should be submitted to the Controller’s Office with sufficien","Yes, at BRAC University, there is typically a fee associated with taking a make-up exam. Students are required to pay this fee, which covers administrative costs related to scheduling and conducting the make-up exam. The fee amount and payment procedures can vary, so it is important for students to check with the Registrar’s Office or the Accounts Office for specific details regarding the fee amount and payment process.

To be more precise, the make-up exam fee at BRAC University is Tk.3,000 per course.",0.0074,3.7588,3.7662,2026-07-24T06:49:10.903983+00:00
Q007,full_hybrid,0.5,Can I get some thesis samples of thesis?,"Yes, sure. The link: https://drive.google.com/drive/folders/17Vz4kBF_zH7NKX0fWd8n9aIcJtziBXtz","Can I get some thesis samples of thesis?
Yes, sure. The link: https://drive.google.com/drive/folders/17Vz4kBF_zH7NKX0fWd8n9aIcJtziBXtz

How long is each phase of a thesis or internship?
Each phase (Pre-Thesis I, Pre-Thesis II, Final Thesis) spans 1 semester.

What prerequisites must be completed before the thesis defense?
Pre-Thesis I and Pre-Thesis II.

Give me an overall idea of the thesis lifecycle?
Here is the link of the overall thesis life cycle: https://drive.google.com/file/d/1tMgIr8czAURIiF41qBydUZVhbinrrIzZ/view

Is it possible to do more than one thesis before graduation?","Yes, sure. The link: https://drive.google.com/drive/folders/17Vz4kBF_zH7NKX0fWd8n9aIcJtziBXtz",0.0073,2.8569,2.8642,2026-07-24T06:49:13.768376+00:00
Q008,full_hybrid,0.5,Can a CS and CSE student work together on the same thesis?,"Yes. If their research interest is similar, they can obviously work in a same team.","Can a CS and CSE student work together on the same thesis?
Yes. If their research interest is similar, they can obviously work in a same team.

If a student changes their program (e.g., from CSE to CS), how can they ensure their new student ID is updated in the thesis registration system?
The Thesis commitee will email you a from where you can update your new ID. You can also add Co-supervisor 1,2 and also many other information if required.

Can more than one student from the same group submit the registration form?
No, only one student is allowed to register for their Thesis.

What happens if a thesis defense is deferred—does the student need to retake CSE400?
No, a student should only take CSE400 only once.

Is it possible to do more than one thesis before graduation?","Yes. If their research interest is similar, they can obviously work in a same team.",0.0080,2.5409,2.5488,2026-07-24T06:49:16.317391+00:00
Q009,full_hybrid,0.5,What is the process for arranging food or refreshments for events?,"For refreshments from the Brac University cafeteria, orders must be confirmed by OCA, and payments will be made by the Accounts Office from the club/forum budget (not in cash). For refreshments from outside vendors, financial assistance will be transferred to the club advisor’s bank account as per the approved budget.","What is the process for arranging food or refreshments for events?
For refreshments from the Brac University cafeteria, orders must be confirmed by OCA, and payments will be made by the Accounts Office from the club/forum budget (not in cash). For refreshments from outside vendors, financial assistance will be transferred to the club advisor’s bank account as per the approved budget.

How to arrange Food/Refreshment for any event? 
1. For ordering refreshments, Brac University cafeteria authorities are expected to get the order after confirmation by the OCA. Bills of Brac University Cafeteria for refreshments must not be paid in cash. Payment will be made by the Accounts office, BRACU from the club/ forum budget upon approval from OCA.

2. Also, Financial assistance will be provided as per the approved budget to the club advisor’s bank account for refreshment purposes from 

What types of events can be held in the Chancellery?
The Chancellery can host formal events, ceremonies, and administrative meetings.

Can I take food to the library?
 No food or drinks are allowed, but you may bring a water bottle.

How are meal plans managed at TARC?
Tarc provides 3 main meals breakfast,lunch and dinner and two snack time followed by them.Breakfast time continues from 7-9 am, lunch time continues from 12:30-3 pm,dinner continues from 8:30-10 pm followed by snacks time which are from 11-12 am and 4-5 pm colleectively","For ordering refreshments, Brac University cafeteria authorities are expected to get the order after confirmation by the OCA. Bills of Brac University Cafeteria for refreshments must not be paid in cash. Payment will be made by the Accounts office, BRACU from the club/ forum budget upon approval from OCA.

Also, financial assistance will be provided as per the approved budget to the club advisor’s bank account for refreshment purposes when ordering from outside vendors.",0.0079,3.6179,3.6258,2026-07-24T06:49:19.943430+00:00
Q010,full_hybrid,0.5,"How many postgraduate programs does BRAC University offer, and what are they?","BRAC University provides total 17 post graduate programs:
1. Executive MBA
2. M.S. In Biotechnology
3. M.Sc./M.Engg. in Computer Science and Engineering
4. MA in English
5. MA in Governance and Development
6. Master of Science in Applied Economics 
7. Masters in Procurement and Supply Management
8. MA in TESOL (Teaching English to Speakers of Other Languages)
9. Master in Computer Applications
10. Master in Disaster Management
11. Master of Business Administration
12. Master of Development Studies
13. Master of Public Health
14. Master of Science (M. Sc.) Electrical And Electronic Engineering
15. Master of Engineering (M. Engg.) Electrical And Electronic Engineering 
16. MEd & PGD in Educational Leadership & School Improvement 
17. MSc & PGD in Early Childhood Development","How many postgraduate programs does BRAC University offer, and what are they?
BRAC University provides total 17 post graduate programs:
1. Executive MBA
2. M.S. In Biotechnology
3. M.Sc./M.Engg. in Computer Science and Engineering
4. MA in English
5. MA in Governance and Development
6. Master of Science in Applied Economics 
7. Masters in Procurement and Supply Management
8. MA in TESOL (Teaching English to Speakers of Other Languages)
9. Master in Computer Applications
10. Master in Di

How many undergraduate programs does BRAC University offer, and what are they?
BRAC University offers 17 undergraduate programs across its various departments. Here is the list of those programs:

        1.        Bachelor of Architecture (B.Arch)
Department of Architecture (ARC)
        2.        Bachelor of Science in Computer Science (BSc in CS)
Department of Computer Science and Engineering (CSE)
        3.        Bachelor of Science in Computer Science and Engineering (BSc in CSE)
Departme

How competitive are the scholarship programs at BRAC University?
BRAC University’s scholarship programs are highly competitive due to limited availability and stringent criteria. Merit-based scholarships require a minimum CGPA of 3.70 (full tuition waiver for a CGPA of 4.00), while needs-based scholarships assess both financial hardship and academic merit. Applicants must meet credit requirements, maintain good conduct, and avoid failed or retaken courses. For details, visit BRAC University.

 How many bus routes are there?
There are 9 bus routes for Brac University transportation. 

What schools and departments does BRAC University have, and how are they structured?
BRAC University currently has nine academic departments across various disciplines. These are:

        1.        Department of Architecture (ARC)
        2.        Department of Computer Science and Engineering (CSE)
        3.        Department of Electrical and Electronic Engineering (EEE)
        4.        Department of Economics and Social Sciences (ESS)
        5.        Department of English and Humanitie","BRAC University offers a total of 17 postgraduate programs:

1. Executive MBA
2. M.S. In Biotechnology
3. M.Sc./M.Engg. in Computer Science and Engineering
4. MA in English
5. MA in Governance and Development
6. Master of Science in Applied Economics 
7. Masters in Procurement and Supply Management
8. MA in TESOL (Teaching English to Speakers of Other Languages)
9. Master in Computer Applications
10. Master in Design (the question cut off mid-list, but the next part is) Master in Development Studies
11-17. The complete list of postgraduate programs was not provided in the retrieved context.",0.0083,4.2312,4.2395,2026-07-24T06:49:24.183134+00:00
