,Question,Answer,Source
1,Brac e bochore koyta semester hoy?,"BRAC University offers three semesters every academic year: Spring, Summer, and Fall. These semesters typically begin in January, May, and September, respectively.",https://www.bracu.ac.bd/admissions/faqs-admissions
2,Brac e admission apply online korte hoy naki campus e giye?,Applicants can apply for admission only through the online admission portal. The application process is conducted online.,https://www.bracu.ac.bd/admissions/faqs-admissions
3,Brac e admission information kothay pabo?,"Admission information is available on the BRAC University website and through the Inquiry, Registration & Admissions Office. Applicants can also contact the admissions office by phone or email for assistance.",https://www.bracu.ac.bd/admissions/faqs-admissions
4,Brac e CSE program e mot koy credit complete korte hoy?,The Bachelor of Science in Computer Science and Engineering (CSE) program requires students to complete 136 credits.,https://www.bracu.ac.bd/admissions/faqs-admissions
5,Brac e Computer Science (CS) program e koy credit lage?,The Bachelor of Science in Computer Science (CS) program requires students to complete 124 credits.,https://www.bracu.ac.bd/admissions/faqs-admissions
6,Brac e application fee koto?,"The non-refundable admission application fee for local applicants is Tk. 1,500. International applicants are required to pay a non-refundable application fee of US$20.",https://www.bracu.ac.bd/admissions/faqs-admissions
7,Brac e application status online check korte parbo?,Yes. Applicants can check their application status at any time through the BRAC University online admission portal.,https://www.bracu.ac.bd/admissions/faqs-admissions
8,Brac e online course ba online degree ache?,No. BRAC University does not offer online courses or online degree programs.,https://www.bracu.ac.bd/admissions/faqs-admissions
9,Brac e Residential Semester sobar jonno compulsory?,Yes. All undergraduate students are required to attend the Residential Semester at the Savar Campus during their third semester.,https://www.bracu.ac.bd/admissions/faqs-admissions
10,Brac e Residential Semester er cost koto?,"The Residential Semester costs Tk. 88,000 for the four-month semester. The university notes that the fee may change with prior notice.",https://www.bracu.ac.bd/admissions/faqs-admissions
11,BRAC e ki ki undergraduate program ache?,"BRAC University offers undergraduate programs in Architecture, BBA, Computer Science and Engineering (CSE), Computer Science (CS), Electrical and Electronic Engineering (EEE), Electronics and Communication Engineering (ECE), Mathematics, Physics, Applied Physics and Electronics, Pharmacy, Biotechnology, Microbiology, Economics, English, Anthropology, and Law, among others.",https://www.bracu.ac.bd/admissions/faqs-admissions
