ID,Category,Question (Banglish),Answer (English),Source Reliability,Time-Sensitive,Split,Source / Notes
1,Admission,Admission application fee ami kivabe pay korbo?,"Applicants can pay their admission application fee through-
Bkash
Rocket
Nagod
Visa cards
Dhaka Bank Ltd. One Bank Ltd. Southeast Bank Ltd. Brac Bank Ltd. And Prime Bank Ltd.","Medium (internal dataset, not independently re-verified)",Yes,val,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
2,Admission,Admission er important date ar deadline gula ki?,"The exact admission test date, application deadline, and academic-session start date change every semester, so BRAC University publishes them on its Admissions page (bracu.ac.bd/admissions) ahead of each intake rather than fixing them year-round - check that page for the current cycle's dates.","Medium (internal dataset, not independently re-verified)",Yes,test,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
3,Admission,Admission er jonno ami kivabe apply korbo?,BRACU website to have precise information about admission procedures.,"Medium (internal dataset, not independently re-verified)",No,train,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
4,Admission,Admission er jonno application korte gele fee hisebe koto taka lagbe?,"Local Applicants need to pay the non-refundable application fee Tk. 1500. For international applicants, the non-refundable application fee is US$ 20.","High (independently re-verified live against bracu.ac.bd, 2026-07 - confirmed accurate, no change needed)",Yes,train,"BRACU internal FAQ dataset [Confirmed accurate 2026-07 against live bracu.ac.bd sources - no correction needed.] [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
5,Admission,Admission niye aro information er jonno kake contact korbo?,"For more queries, please contact the Inquiry, Registration & Admissions Office, BRACU (Phone: +88 09638464646, Call Center Ext: 1001. You can also send e-mail at admissions@bracu.ac.bd.","Medium (internal dataset, not independently re-verified)",No,test,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
6,Admission,Admission test e boste local applicant der ki identification lagbe?,"Applicants must bring their printed Admit Card (downloaded from their applicant account and printed on 80gsm A4 paper) to the exam hall; without it, they will not be allowed to sit for the exam.",Medium (secondary/third-party source),No,train,"BRAC University - Admissions FAQs / International Applicants pages [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
7,Admission,Admission test er jonno BRAC University ki sample questions publish kore?,"Yes, the Admissions section of the university website includes a dedicated 'Sample Questions' page so prospective applicants can see the style and difficulty of questions used in the admission test for their intended program.",High (cites bracu.ac.bd or an official PDF directly),No,val,"BRAC University Admissions - Sample Questions page (bracu.ac.bd/admissions/sample-questions) [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
8,Admission,Admission test er result ami kivabe pabo?,"After the publication of the admission test result, applicants are required to check the result on the BRACU website.","Medium (internal dataset, not independently re-verified)",No,train,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
9,Admission,Admission withdrawal er process ta ki?,"To withdraw from an admission, students must have to apply for admission withdrawal through email. Farzana apu (f.yeasmin@bracu.ac.bd) Office of the Registrar.","Medium (internal dataset, not independently re-verified)",No,train,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
10,Admission,Admission written test e koyta section thakbe?,"All candidates will have to sit for a written admission test and an interview in the manner as described: 
Program
Test section
BSS in Anthropology, BA in English and LLB (Hons)
English
BBA and BSS in Economics
English and Mathematics
Bachelor of Pharmacy, BSc in Microbiology and BSc in Biotechnology
English, Mathematics and Biology & Chemistry
BSc in Computer Science, BSc in Computer Science and Engineering, BSc in Electronic and Communication Engineering, BSc in Electrical and Electronic Engineering, BSc in Physics, BSc in Applied Physics & Electronics, BSc in Mathematics
English, Mathematics,
Higher Mathematics and Physics
Bachelor of Architecture
English, Mathematics and Drawing
In order to qualify, candidates must pass each section separately. Candidates who qualified in pre-university on the basis of written tests, will be called for an interview for final selection. In order to qualify, candidates must pass each section separately. Those who qualify in the written test will be called for interview for final selection.","Medium (internal dataset, not independently re-verified)",No,train,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
11,Admission,Admissions office ke ami kivabe contact korbo?,You can mail to admissions@bracu.ac.bd,"Medium (internal dataset, not independently re-verified)",No,train,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
12,Admission,Amar Admit card ami kivabe collect korbo?,"After the deadline of submitting the Admission Form, candidates will be notified through SMS to collect the admit card. They will be required to login to their account to collect the Admit Card. There will be an option named 'Ädmit Card' at the left side. They are required to download the Admit Card from that option and print it out in an 80 gm A4 size white page. Applicants must bring this printed Admit Card to the exam hall; otherwise, they will not be allowed to sit for the exam.","Medium (internal dataset, not independently re-verified)",Yes,train,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
13,Admission,Amar application er status ami kivabe check korbo?,Applicants can check their application status online any time at admissions.bracu.ac.bd,"Medium (internal dataset, not independently re-verified)",No,train,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
14,Admission,Amar credit transfer hobe kina ami kivabe jante parbo?,"Courses that are similar in content with BRACU or that have equivalence with BRACU may be considered for transfer. However courses that are not directly equivalent or similar to BRACU courses may be transferred as elective courses based on approval of the credit transfer committee.
The credit transfer from other universities will not exceed 50% of the credits required for degree completion at BRAC University except Architecture.
The total credits transferred by a student from other universities should not exceed 65 credits including maximum of 21 credits in design studio courses for students of Architecture.","Medium (internal dataset, not independently re-verified)",Yes,train,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
15,Admission,Ami ki amar application status online e dekhte pari?,Applicants can check their application status online any time at admissions.bracu.ac.bd,"Medium (internal dataset, not independently re-verified)",No,train,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
16,Admission,Ami ki ekshathe ekaddhik program e apply korte pari?,"Yes, you can apply for 3 programs at a time","Medium (internal dataset, not independently re-verified)",No,train,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
17,Admission,Ami ki visiting student hisebe enroll korte pari?,"Is there a specific application process for visiting/guest students?
One can enroll as a visiting or guest student in BRACU. Visiting or guest students are required to submit their applications along with the relevant transcripts and no objection letters (NOC) from her/his University. Please contact admissions@bracu.ac.bd for more details.","Medium (internal dataset, not independently re-verified)",No,train,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
18,Admission,"Applicant ra ki shudhu online e apply kore, naki in person, naki written application diye?",Applicants can apply only online for admission (admissions.bracu.ac.bd).,"Medium (internal dataset, not independently re-verified)",No,train,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
19,Admission,Application er jonno ki ki documents lagbe?,"Verified/attested copies of previous academic documents from their Institute/Foreign Ministry (of the country that they studied in) and equivalence certificates from the Board of Intermediate and Secondary Education, Dhaka.","Medium (internal dataset, not independently re-verified)",No,train,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
20,Admission,Application fee ki ache? Koto?,"Admission Application Fee Tk. 1,500/- Non-Refundable [Through Bkash, Rocket, Nagod, Visa cards, Dhaka Bank Ltd., One Bank Ltd., Southeast Bank Ltd., Brac Bank Ltd. And Prime Bank Ltd]","Medium (internal dataset, not independently re-verified)",Yes,test,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
21,Admission,Application form e amar kora bhul ami kivabe correct korbo?,"If applicants make any mistake during filling up their application form and submit it with that error, they are required to send an email immediately at admissions@bracu.ac.bd to inform the authority. But till submission you can edit the form any time.","Medium (internal dataset, not independently re-verified)",No,train,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
22,Admission,Application form er part hisebe amake ki photograph upload korte hobe?,Applicants are required to upload their scanned recent formal passport size photograph taken within last three months.,"Medium (internal dataset, not independently re-verified)",No,train,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
23,Admission,Architecture applicant der jonno ki specific admission test section ache?,"Yes. Bachelor of Architecture applicants are tested in English, Mathematics, and Drawing as part of the admission test, reflecting the design-oriented nature of the program.",High (cites bracu.ac.bd or an official PDF directly),No,train,"BRAC University official website - Admissions and Academics pages [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
24,Admission,Bangladesh e na thakle international student ra ki off-campus interview er offer pay?,"For getting admission into BRACU, International applicants must appear for written test and interview on the date and time mentioned in their admit cards in the designated exam site in their respective home countries.","Medium (internal dataset, not independently re-verified)",No,train,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
25,Admission,BBA ar BSS in Economics admission test e kon kon subject test hoy?,Applicants to BBA and BSS in Economics are tested on English and Mathematics in the admission test.,High (cites bracu.ac.bd or an official PDF directly),No,train,"BRAC University official Admission Requirements page [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
26,Admission,Bidesh theke Bachelor's kora postgraduate applicant der ki ki documents lagbe?,"They must submit verified/attested copies of their previous academic documents from their institute or home-country Foreign Ministry, plus an Equivalence Certificate from the University Grants Commission (UGC) in Dhaka.",High (cites bracu.ac.bd or an official PDF directly),No,train,"BRAC University - Admission Requirements page (bracu.ac.bd) [Banglish paraphrase: hand-written by Claude, not template-generated - genuine Bangla-English code-switching, not mechanical translation.]"
27,Admission,BRAC University admission er jonno GED (General Educational Development) qualification accept kora hoy ki?,"No, applicants with only a GED qualification are generally not eligible to enroll in BRAC University's degree programs.",Medium (secondary/third-party source),No,train,"BRAC University - Undergraduate Admission Requirements pages [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
28,Admission,BRAC University admissions office ke ami kivabe contact korbo?,Prospective applicants can email admissions@bracu.ac.bd or call the university's main line +88 09638464646 (call centre extension 1001) for admission-related queries.,High (cites bracu.ac.bd or an official PDF directly),No,val,"BRAC University official website - Admissions FAQs / Scholarships pages [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
29,Admission,"BRAC University bochore koyta semester chalay, ar kobe shuru hoy?","BRAC University runs three semesters a year - Spring, Summer and Fall - starting in January, May and September respectively. Pharmacy admits in Spring or Summer, and LLB admits in Spring or Fall.",High (cites bracu.ac.bd or an official PDF directly),No,test,"BRAC University official website - Admissions FAQs / Scholarships pages [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
30,Admission,BRAC University er 'Freshman Enrollment and Class Sign' ta ki?,"This is the official process new/incoming ('freshman') students go through after being admitted, to confirm their enrollment and get registered into their first semester's classes; details and instructions are published on the Admissions section of the university website.",High (cites bracu.ac.bd or an official PDF directly),No,test,"BRAC University - Freshman Enrollment page (bracu.ac.bd/admissions/freshman-enrollment-and-class-sign) [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
31,Admission,BRAC University er kon undergraduate program e total credit requirement shobcheye beshi?,"Among standard undergraduate programs, Bachelor of Architecture has the highest total credit requirement at 207 credits, followed by Bachelor of Pharmacy at 164 credits.",High (cites bracu.ac.bd or an official PDF directly),No,train,"BRAC University - Undergraduate Admission Brochure (official PDF, bracu.ac.bd) [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
32,Admission,BRAC University er kon undergraduate program gula te total credit requirement shobcheye kom?,"Programs like BSS in Anthropology, BSS in Economics, and BA in English have some of the lowest total credit requirements among BRACU's undergraduate offerings, generally around 120 credits.",High (cites bracu.ac.bd or an official PDF directly),No,train,"BRAC University - Undergraduate Admission Brochure (official PDF, bracu.ac.bd) [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
33,Admission,BRAC University ki kono online course offer kore?,We do not offer online courses or degree programs.,"Medium (internal dataset, not independently re-verified)",No,train,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
34,Admission,BRAC University ki PhD program offer kore?,"Yes, BRAC University offers a Joint PhD in the Political Economy of Development, run together with SOAS University of London, through BRAC University's research institute, the BRAC Institute of Governance and Development (BIGD).",High (cites bracu.ac.bd or an official PDF directly),No,train,"BRAC University - Joint PhD Admission page (bracu.ac.bd/admissions/joint-phd-admission) [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
35,Admission,"BRAC University koyta postgraduate program offer kore, ar segula ki ki?","BRAC University offers 17 postgraduate programs, with their credit requirements:

1. Executive MBA (EMBA) - 45 credits
2. Master of Business Administration (MBA) - 60 credits
3. MSc/M.Engg. in Computer Science and Engineering (MSc CSE) - 36 credits
4. Master in Computer Applications (MCA)
5. MS in Biotechnology - 36 credits
6. MSc/M.Engg. in Electrical and Electronic Engineering - 36 credits
7. MA in English - 36 credits
8. MA in TESOL - 39 credits (45 for non-English-background graduates)
9. Master of Science in Applied Economics (MSAE) - 36 credits
10. MA in Governance and Development (MAGD) - 36 credits
11. Master of Development Studies (MDS) - 45 credits
12. Master of Public Health (MPH) - 51 credits
13. Masters in Procurement and Supply Management (MPSM) - 48 credits
14. Master in Disaster Management (MDM) - 36 credits
15. M.Ed & PGD in Educational Leadership & School Improvement - 36 credits
16. MSc & PGD in Early Childhood Development (ECD) - 36 credits
17. Joint PhD in the Political Economy of Development (with SOAS University of London)

Plus the LL.M. (Master of Laws) offered by the School of Law.",High (cites bracu.ac.bd or an official PDF directly),No,train,"Consolidated from BRAC University official Admission Requirements/Postgraduate Programs pages (bracu.ac.bd) - merged from 2 previously-separate, overlapping dataset entries into one canonical answer. [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
36,Admission,"BRAC University koyta undergraduate program offer kore, ar segula ki ki?","BRAC University offers 17 undergraduate programs across its departments and schools, spanning engineering, sciences, business, law, humanities and social sciences. With their credit requirements:

1. Bachelor of Architecture (B.Arch) - Dept. of Architecture - 207 credits
2. Bachelor of Pharmacy Hons (BPharm) - Dept. of Pharmacy - 164 credits
3. BSc in Computer Science and Engineering (CSE) - Dept. of CSE - 136 credits
4. BSc in Electronic and Communication Engineering (ECE) - Dept. of EEE - 136 credits
5. BSc in Electrical and Electronic Engineering (EEE) - Dept. of EEE - 136 credits
6. BSc in Microbiology - Dept. of Mathematics and Natural Sciences - 136 credits
7. BSc in Biotechnology - Dept. of Mathematics and Natural Sciences - 136 credits
8. Bachelor of Laws (LLB Hons) - School of Law - 135 credits
9. BSc in Physics - Dept. of Mathematics and Natural Sciences - 132 credits
10. Bachelor of Business Administration (BBA) - BRAC Business School - 130 credits
11. BSc in Applied Physics and Electronics (APE) - Dept. of Mathematics and Natural Sciences - 130 credits
12. BSc in Mathematics - Dept. of Mathematics and Natural Sciences - 127 credits
13. BSc in Computer Science (CS) - Dept. of CSE - 124 credits
14. BSS in Economics - Dept. of Economics and Social Sciences - 120 credits
15. BSS in Anthropology - Dept. of Economics and Social Sciences - 120 credits
16. BSS in Sociology - Dept. of Economics and Social Sciences - 120 credits
17. BA in English (with Literature, Applied Linguistics & ELT, or Media & Cultural Studies streams) - Dept. of English and Humanities - 120 credits

(A BA in Linguistics and ELT track also exists under the Dept. of English and Humanities.)",High (cites bracu.ac.bd or an official PDF directly),No,train,"Consolidated from BRAC University official Admission Requirements/Programs pages (bracu.ac.bd) - merged from 3 previously-separate, overlapping dataset entries into one canonical answer. [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
37,Admission,BRAC University main Mohakhali/Badda campus er baire ki kono diploma program chalay?,"Yes, for example BRAC University leads a 3-year Diploma in Midwifery program delivered in partnership with NGO implementing partners across several districts (including Cox's Bazar, Dhaka, Dinajpur, Khulna, Mymensingh and Sylhet), aimed at recruiting students from remote and underserved areas to address maternal and newborn health needs there.",High (cites bracu.ac.bd or an official PDF directly),No,train,"BRAC University - Certificate and Diploma Courses page (bracu.ac.bd/admissions/certificate-and-diploma-courses) [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
38,Admission,BRAC University te Diploma ar Certificate program er jonno ki alada admission requirement ache?,"Yes, BRAC University's Programs in Detail page lists Diploma and Certificate programs as a distinct category alongside Undergraduate, Graduate, and the Joint PhD program, each with its own admission requirements described on the relevant program page.",High (cites bracu.ac.bd or an official PDF directly),No,train,"BRAC University - Programs in Detail page (bracu.ac.bd/academics/programs-detail) [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
39,Admission,BRAC University te ki kono accommodation facility ache?,"Accommodation facilities are provided only to female student's subject to availability of seats. For details, please contact info@bracu.ac.bd","Medium (internal dataset, not independently re-verified)",No,train,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
40,Admission,BRAC University te Scholarship/Financial Aid niye information ami kivabe pabo?,"Regarding all information about Financial Aid, please contact:
BRACU (Phone: +88 09638464646, Call Center Ext: 1001 or email at scholarship@bracu.ac.bd
(BRACU Scholarship Office)","Medium (internal dataset, not independently re-verified)",No,train,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
41,Admission,BRAC University undergraduate admission er jonno shadharonoto minimum SSC/HSC ba O/A-Level grade koto lagbe?,"As a general baseline (subject-specific requirements can be higher), applicants typically need a minimum GPA of 3.0 out of 5.0 (or 2nd division) in both SSC and HSC, a minimum C grade at O-Level, and a minimum C grade at A-Level.",Medium (secondary/third-party source),No,train,"BRAC University general facts (mastersportal.com, collegevorti.com) [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
42,Admission,BRACU admission application er jonno amar 'O'/'A' level er GPA ami kivabe calculate korbo?,"Our requirement for undergraduate programs is to have a minimum GPA of 2.5 in 'O' Level and 'A' Level separately. For 'O' level best 5 subjects and 'A' level best 2 subjects will be counted. The grade will be calculated according to BRAC University scale: A=5, B=4, C=3 and D=2. Subjects with E Grade will not be considered. It is to be noted that applicants must fulfill subject-wise requirements.
You can check the below box for your help:
O/A Levels
Example (Best 5 for 'O' Level)
Grade Letter
As per following Scale
Total
Cumulative Grade
 
A
5
17
17/5=3.4
 
B
4
 
C
3
 
D
2
 
C
3","Medium (internal dataset, not independently re-verified)",No,train,"BRACU internal FAQ dataset [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
43,Admission,BRACU graduate ra nijer university te postgraduate program er jonno kivabe apply korbe?,"BRACU graduates with a CGPA of 3.0 or above are generally recognized as meeting a baseline eligibility criterion referenced in the university's postgraduate admission requirements, though each specific postgraduate program may set its own additional criteria.",High (cites bracu.ac.bd or an official PDF directly),No,train,"BRAC University - Admission Requirements page (bracu.ac.bd) [Banglish paraphrase: hand-written by Claude, genuine Bangla-English code-switching, not mechanical translation.]"
