query_id,is_entity_heavy,recall@1,recall@5,recall@10,mrr,correct_chunk_present_but_not_rank1
Q001,False,1.0,1.0,1.0,1.0,False
Q002,False,1.0,1.0,1.0,1.0,False
Q003,False,1.0,1.0,1.0,1.0,False
Q004,False,1.0,1.0,1.0,1.0,False
Q005,False,1.0,1.0,1.0,1.0,False
Q006,False,1.0,1.0,1.0,1.0,False
Q007,False,0.0,1.0,1.0,0.5,True
Q008,False,1.0,1.0,1.0,1.0,False
Q009,False,1.0,1.0,1.0,1.0,False
Q010,False,1.0,1.0,1.0,1.0,False
Q011,False,1.0,1.0,1.0,1.0,False
Q012,False,1.0,1.0,1.0,1.0,False
Q013,False,1.0,1.0,1.0,1.0,False
Q014,False,1.0,1.0,1.0,1.0,False
Q015,False,1.0,1.0,1.0,1.0,False
Q016,False,1.0,1.0,1.0,1.0,False
Q017,False,1.0,1.0,1.0,1.0,False
Q018,False,1.0,1.0,1.0,1.0,False
Q019,False,1.0,1.0,1.0,1.0,False
Q020,False,1.0,1.0,1.0,1.0,False
Q021,False,1.0,1.0,1.0,1.0,False
Q022,False,1.0,1.0,1.0,1.0,False
Q023,False,1.0,1.0,1.0,1.0,False
Q024,False,1.0,1.0,1.0,1.0,False
Q025,False,1.0,1.0,1.0,1.0,False
Q026,False,1.0,1.0,1.0,1.0,False
Q027,False,1.0,1.0,1.0,1.0,False
Q028,False,1.0,1.0,1.0,1.0,False
Q029,False,1.0,1.0,1.0,1.0,False
Q030,False,1.0,1.0,1.0,1.0,False
Q031,False,1.0,1.0,1.0,1.0,False
Q032,False,1.0,1.0,1.0,1.0,False
Q033,False,1.0,1.0,1.0,1.0,False
Q034,False,1.0,1.0,1.0,1.0,False
Q035,False,1.0,1.0,1.0,1.0,False
Q036,False,1.0,1.0,1.0,1.0,False
Q037,False,1.0,1.0,1.0,1.0,False
Q038,False,1.0,1.0,1.0,1.0,False
Q039,False,1.0,1.0,1.0,1.0,False
Q040,False,1.0,1.0,1.0,1.0,False
Q041,False,1.0,1.0,1.0,1.0,False
Q042,False,1.0,1.0,1.0,1.0,False
Q043,False,1.0,1.0,1.0,1.0,False
Q044,False,1.0,1.0,1.0,1.0,False
Q045,False,1.0,1.0,1.0,1.0,False
Q046,False,1.0,1.0,1.0,1.0,False
Q047,False,1.0,1.0,1.0,1.0,False
Q048,False,1.0,1.0,1.0,1.0,False
Q049,False,1.0,1.0,1.0,1.0,False
Q050,False,1.0,1.0,1.0,1.0,False
Q051,False,1.0,1.0,1.0,1.0,False
Q052,False,1.0,1.0,1.0,1.0,False
Q053,False,1.0,1.0,1.0,1.0,False
Q054,False,1.0,1.0,1.0,1.0,False
Q055,False,1.0,1.0,1.0,1.0,False
Q056,False,1.0,1.0,1.0,1.0,False
Q057,False,1.0,1.0,1.0,1.0,False
Q058,False,0.0,1.0,1.0,0.5,True
Q059,False,1.0,1.0,1.0,1.0,False
Q060,False,1.0,1.0,1.0,1.0,False
Q061,False,1.0,1.0,1.0,1.0,False
Q062,False,1.0,1.0,1.0,1.0,False
Q063,False,1.0,1.0,1.0,1.0,False
Q064,False,1.0,1.0,1.0,1.0,False
Q065,False,1.0,1.0,1.0,1.0,False
Q066,False,1.0,1.0,1.0,1.0,False
Q067,False,1.0,1.0,1.0,1.0,False
Q068,False,1.0,1.0,1.0,1.0,False
Q069,False,1.0,1.0,1.0,1.0,False
Q070,False,1.0,1.0,1.0,1.0,False
Q071,False,1.0,1.0,1.0,1.0,False
Q072,False,1.0,1.0,1.0,1.0,False
Q073,False,1.0,1.0,1.0,1.0,False
Q074,False,1.0,1.0,1.0,1.0,False
Q075,False,1.0,1.0,1.0,1.0,False
Q076,False,1.0,1.0,1.0,1.0,False
Q077,False,1.0,1.0,1.0,1.0,False
Q078,False,1.0,1.0,1.0,1.0,False
Q079,False,1.0,1.0,1.0,1.0,False
Q080,False,1.0,1.0,1.0,1.0,False
Q081,False,0.0,0.0,0.0,0.0,False
Q082,False,1.0,1.0,1.0,1.0,False
Q083,False,1.0,1.0,1.0,1.0,False
Q084,False,1.0,1.0,1.0,1.0,False
Q085,False,1.0,1.0,1.0,1.0,False
Q086,False,1.0,1.0,1.0,1.0,False
Q087,False,1.0,1.0,1.0,1.0,False
Q088,False,1.0,1.0,1.0,1.0,False
Q089,False,1.0,1.0,1.0,1.0,False
Q090,False,1.0,1.0,1.0,1.0,False
Q091,False,1.0,1.0,1.0,1.0,False
Q092,False,1.0,1.0,1.0,1.0,False
Q093,False,1.0,1.0,1.0,1.0,False
Q094,False,1.0,1.0,1.0,1.0,False
Q095,False,1.0,1.0,1.0,1.0,False
Q096,False,1.0,1.0,1.0,1.0,False
Q097,False,1.0,1.0,1.0,1.0,False
Q098,False,1.0,1.0,1.0,1.0,False
Q099,False,1.0,1.0,1.0,1.0,False
Q100,False,1.0,1.0,1.0,1.0,False
Q101,True,1.0,1.0,1.0,1.0,False
Q102,True,1.0,1.0,1.0,1.0,False
Q103,True,1.0,1.0,1.0,1.0,False
Q104,True,1.0,1.0,1.0,1.0,False
Q105,True,1.0,1.0,1.0,1.0,False
Q106,True,1.0,1.0,1.0,1.0,False
Q107,True,0.0,0.0,0.0,0.0,False
Q108,True,1.0,1.0,1.0,1.0,False
Q109,True,1.0,1.0,1.0,1.0,False
Q110,True,0.0,0.0,0.0,0.0,False
Q111,True,1.0,1.0,1.0,1.0,False
Q112,True,1.0,1.0,1.0,1.0,False
Q113,True,1.0,1.0,1.0,1.0,False
Q114,True,1.0,1.0,1.0,1.0,False
Q115,True,1.0,1.0,1.0,1.0,False
Q116,True,1.0,1.0,1.0,1.0,False
Q117,True,1.0,1.0,1.0,1.0,False
Q118,True,1.0,1.0,1.0,1.0,False
Q119,True,1.0,1.0,1.0,1.0,False
Q120,True,0.0,0.0,0.0,0.0,False
Q121,True,0.0,0.0,0.0,0.0,False
Q122,True,0.0,0.0,0.0,0.0,False
Q123,True,1.0,1.0,1.0,1.0,False
Q124,True,0.0,0.0,0.0,0.0,False
Q125,True,1.0,1.0,1.0,1.0,False
Q126,True,1.0,1.0,1.0,1.0,False
Q127,True,1.0,1.0,1.0,1.0,False
Q128,True,1.0,1.0,1.0,1.0,False
Q129,True,1.0,1.0,1.0,1.0,False
Q130,True,0.0,0.0,0.0,0.0,False
Q131,True,1.0,1.0,1.0,1.0,False
Q132,True,1.0,1.0,1.0,1.0,False
Q133,True,1.0,1.0,1.0,1.0,False
Q134,True,1.0,1.0,1.0,1.0,False
Q135,True,1.0,1.0,1.0,1.0,False
Q136,True,1.0,1.0,1.0,1.0,False
Q137,True,1.0,1.0,1.0,1.0,False
Q138,True,1.0,1.0,1.0,1.0,False
Q139,True,1.0,1.0,1.0,1.0,False
Q140,True,1.0,1.0,1.0,1.0,False
Q141,True,1.0,1.0,1.0,1.0,False
Q142,True,1.0,1.0,1.0,1.0,False
Q143,True,1.0,1.0,1.0,1.0,False
Q144,True,1.0,1.0,1.0,1.0,False
Q145,True,1.0,1.0,1.0,1.0,False
Q146,True,1.0,1.0,1.0,1.0,False
Q147,True,1.0,1.0,1.0,1.0,False
Q148,True,1.0,1.0,1.0,1.0,False
Q149,True,1.0,1.0,1.0,1.0,False
Q150,True,1.0,1.0,1.0,1.0,False
Q151,True,1.0,1.0,1.0,1.0,False
Q152,True,1.0,1.0,1.0,1.0,False
Q153,True,1.0,1.0,1.0,1.0,False
Q154,True,1.0,1.0,1.0,1.0,False
Q155,True,1.0,1.0,1.0,1.0,False
Q156,True,1.0,1.0,1.0,1.0,False
Q157,True,1.0,1.0,1.0,1.0,False
Q158,True,1.0,1.0,1.0,1.0,False
Q159,True,1.0,1.0,1.0,1.0,False
