query_id,config,recall@1,recall@3,recall@5,mrr,ndcg@5,ndcg@10
Q101,rrf_current,1.0,1.0,1.0,1.0,1.0,1.0
Q101,linear_0.9,1.0,1.0,1.0,1.0,1.0,1.0
Q102,rrf_current,1.0,1.0,1.0,1.0,1.0,1.0
Q102,linear_0.9,1.0,1.0,1.0,1.0,1.0,1.0
Q103,rrf_current,1.0,1.0,1.0,1.0,1.0,1.0
Q103,linear_0.9,1.0,1.0,1.0,1.0,1.0,1.0
Q104,rrf_current,1.0,1.0,1.0,1.0,1.0,1.0
Q104,linear_0.9,1.0,1.0,1.0,1.0,1.0,1.0
Q105,rrf_current,1.0,1.0,1.0,1.0,1.0,1.0
Q105,linear_0.9,1.0,1.0,1.0,1.0,1.0,1.0
Q106,rrf_current,1.0,1.0,1.0,1.0,1.0,1.0
Q106,linear_0.9,1.0,1.0,1.0,1.0,1.0,1.0
Q107,rrf_current,0.0,0.0,0.0,0.0,0.0,0.0
Q107,linear_0.9,0.0,0.0,0.0,0.0,0.0,0.0
Q108,rrf_current,1.0,1.0,1.0,1.0,1.0,1.0
Q108,linear_0.9,1.0,1.0,1.0,1.0,1.0,1.0
Q109,rrf_current,1.0,1.0,1.0,1.0,0.9828920819566879,0.9828920819566879
Q109,linear_0.9,1.0,1.0,1.0,1.0,1.0,1.0
Q110,rrf_current,0.0,0.0,0.0,0.0,0.0,0.0
Q110,linear_0.9,0.0,0.0,0.0,0.0,0.0,0.0
Q111,rrf_current,1.0,1.0,1.0,1.0,1.0,1.0
Q111,linear_0.9,1.0,1.0,1.0,1.0,1.0,1.0
Q112,rrf_current,1.0,1.0,1.0,1.0,1.0,1.0
Q112,linear_0.9,1.0,1.0,1.0,1.0,1.0,1.0
Q113,rrf_current,1.0,1.0,1.0,1.0,1.0,1.0
Q113,linear_0.9,1.0,1.0,1.0,1.0,1.0,1.0
Q114,rrf_current,1.0,1.0,1.0,1.0,1.0,1.0
Q114,linear_0.9,1.0,1.0,1.0,1.0,1.0,1.0
Q115,rrf_current,1.0,1.0,1.0,1.0,1.0,1.0
Q115,linear_0.9,1.0,1.0,1.0,1.0,1.0,1.0
Q116,rrf_current,1.0,1.0,1.0,1.0,1.0,1.0
Q116,linear_0.9,1.0,1.0,1.0,1.0,1.0,1.0
Q117,rrf_current,1.0,1.0,1.0,1.0,1.0,1.0
Q117,linear_0.9,1.0,1.0,1.0,1.0,1.0,1.0
Q118,rrf_current,1.0,1.0,1.0,1.0,1.0,1.0
Q118,linear_0.9,1.0,1.0,1.0,1.0,1.0,1.0
Q119,rrf_current,1.0,1.0,1.0,1.0,1.0,1.0
Q119,linear_0.9,1.0,1.0,1.0,1.0,1.0,1.0
Q120,rrf_current,0.0,0.0,0.0,0.0,0.0,0.0
Q120,linear_0.9,0.0,0.0,0.0,0.0,0.0,0.0
Q121,rrf_current,0.0,0.0,0.0,0.0,0.0,0.0
Q121,linear_0.9,0.0,0.0,0.0,0.0,0.0,0.0
Q122,rrf_current,0.0,0.0,0.0,0.0,0.0,0.0
Q122,linear_0.9,0.0,0.0,0.0,0.0,0.0,0.0
Q123,rrf_current,1.0,1.0,1.0,1.0,1.0,1.0
Q123,linear_0.9,1.0,1.0,1.0,1.0,1.0,1.0
Q124,rrf_current,0.0,0.0,0.0,0.0,0.0,0.0
Q124,linear_0.9,0.0,0.0,0.0,0.0,0.0,0.0
Q125,rrf_current,1.0,1.0,1.0,1.0,1.0,1.0
Q125,linear_0.9,1.0,1.0,1.0,1.0,1.0,1.0
Q126,rrf_current,1.0,1.0,1.0,1.0,1.0,1.0
Q126,linear_0.9,1.0,1.0,1.0,1.0,1.0,1.0
Q127,rrf_current,1.0,1.0,1.0,1.0,1.0,1.0
Q127,linear_0.9,1.0,1.0,1.0,1.0,1.0,1.0
Q128,rrf_current,1.0,1.0,1.0,1.0,0.8529278650606567,0.8529278650606567
Q128,linear_0.9,1.0,1.0,1.0,1.0,0.9828920819566879,0.9828920819566879
